Name,Species,lambda,chi,loggf,r_loggf,EW,l_logepsX,logepsX
J1208+0024,Fe I,4250.12,2.47,-0.41,1,18.1,,4.45
J1208+0024,Fe I,4250.79,1.56,-0.71,1,46.8,,4.63
J1208+0024,Fe I,4260.47,2.4,0.08,1,40.9,,4.43
J1208+0024,Fe I,4271.15,2.45,-0.35,1,23.7,,4.53
J1208+0024,Fe I,4282.4,2.18,-0.78,1,13.8,,4.42
J1208+0024,Fe I,4404.75,1.56,-0.14,1,71.5,,4.64
J1208+0024,Fe I,4415.12,1.61,-0.62,1,43.6,,4.5
J1208+0024,Fe I,4427.31,0.05,-3.04,1,12.5,,4.64
J1208+0024,Fe I,4442.34,2.2,-1.25,1,9.0,,4.68
J1208+0024,Fe I,4461.65,0.09,-3.21,1,,,
J1208+0024,Fe I,4494.56,2.2,-1.14,10,,,
J1208+0024,Fe I,4891.49,2.85,-0.11,1,17.0,,4.43
J1208+0024,Fe I,4920.5,2.83,0.07,1,,,
J1208+0024,Fe I,5232.94,2.94,-0.06,1,17.2,,4.45
J1208+0024,Fe I,5371.49,0.96,-1.64,1,44.8,,4.88
J1208+0024,Fe I,5397.13,0.92,-1.99,1,20.7,,4.62
J1208+0024,Fe I,5429.7,0.96,-1.88,1,21.9,,4.57
J1208+0024,Fe II,4233.17,2.58,-1.81,1,13.0,,4.64
J1208+0024,Fe II,4522.63,2.84,-1.99,1,6.2,,4.77
J1208+0024,Fe II,4583.84,2.81,-1.74,1,13.9,,4.63
J1208+0024,Co I,3502.28,0.43,0.11,11,,<,2.9
J1208+0024,Co I,4121.32,0.92,-0.33,11,,<,2.8
J1208+0024,Ni I,3566.37,0.42,-0.24,12,68.5,,3.64
J1208+0024,Ni I,3783.53,0.42,-1.4,12,16.3,,3.22
J1208+0024,Ni I,3807.14,0.42,-1.23,12,23.7,,3.27
J1208+0024,Zn I,4810.53,4.08,-0.37,13,,<,2.9
J1208+0024,Sr II,4077.71,0.0,0.15,1,,,0.34
J1208+0024,Sr II,4215.52,0.0,-0.17,1,,,0.01
J1208+0024,Ba II,4554.03,0.0,0.14,14,,<,-1.05
J1208+0024,Ba II,4934.08,0.0,-0.16,14,,<,-0.9
J1208+0024,Eu II,3819.67,0.0,0.51,15,,<,-0.3
J1208+0024,Eu II,4129.72,0.0,0.22,15,,<,-0.2
J1208+0024,Eu II,4205.04,0.0,0.21,15,,<,-0.2
