ID,f_ID,RAh,RAm,RAs,DE-,DEd,DEm,DEs,gmag,g-i,Obs.Y,Obs.M,Obs.D,Texp,Slit,RVel,S/N45,S/N60
SMSS~J175046.30-425506.9,,17,50,46.3,-,42,55,6.9,14.052,0.889,2013,Jun,1,5400,0.7,336.5,10,6
SMSS~J175738.37-454823.5,,17,57,38.37,-,45,48,23.5,13.257,0.889,2013,May,31,1200,0.7,-64.5,32,58
SMSS~J175738.37-454823.5,,17,57,38.37,-,45,48,23.5,13.257,0.889,2013,Jun,1,6486,0.7,-65.1,19,10
SMSS~J183246.49-343434.2,,18,32,46.49,-,34,34,34.2,12.827,0.861,2013,May,31,1200,0.7,221.2,42,72
SMSS~J183753.10-380725.9,,18,37,53.1,-,38,7,25.9,13.152,0.789,2013,May,31,1200,0.7,106.3,34,54
SMSS~J184226.25-272602.7,,18,42,26.25,-,27,26,2.7,13.371,0.834,2013,May,29,1800,1.0,-247.0,35,60
SMSS~J184825.29-305929.7,,18,48,25.29,-,30,59,29.7,13.65,0.891,2013,May,29,1800,1.0,110.2,32,62
SMSS~J185628.44-231809.8,,18,56,28.44,-,23,18,9.8,13.215,0.865,2013,Jun,1,1200,1.0,-14.9,47,79
SMSS~J190549.33-214945.0,,19,5,49.33,-,21,49,45.0,13.2,0.604,2013,Jun,1,1200,1.0,130.1,50,72
SMSS~J190911.03-213207.5,,19,9,11.03,-,21,32,7.5,13.07,0.888,2013,Jun,1,900,1.0,48.9,44,73
SMSS~J190931.13-214053.9,,19,9,31.13,-,21,40,53.9,13.856,0.876,2013,May,29,1800,1.0,183.2,34,59
SMSS~J191802.51-851523.0,,19,18,2.51,-,85,15,23.0,15.301,0.999,2012,Sep,8,3600,1.0,198.9,12,34
SMSS~J193528.46-462129.6,,19,35,28.46,-,46,21,29.6,14.318,0.574,2013,Jun,1,2400,1.0,78.6,39,56
SMSS~J193617.38-790231.4,,19,36,17.38,-,79,2,31.4,13.743,1.192,2012,Sep,9,1800,1.0,450.5,34,65
SMSS~J194432.13-720537.1,,19,44,32.13,-,72,5,37.1,14.607,1.131,2012,Sep,9,1800,1.0,269.7,38,65
SMSS~J195614.75-320145.9,,19,56,14.75,-,32,1,45.9,13.45,0.773,2013,Nov,18,600,0.7,-50.5,16,43
SMSS~J195931.70-643529.3,,19,59,31.7,-,64,35,29.3,13.575,1.265,2012,Sep,8,1200,1.0,286.1,40,87
SMSS~J195931.70-643529.3,,19,59,31.7,-,64,35,29.3,13.575,1.265,2013,Oct,28,1870,0.7,285.0,50,104
SMSS~J200228.85-533114.4,,20,2,28.85,-,53,31,14.4,14.318,1.04,2012,Sep,8,4200,1.0,231.5,20,22
SMSS~J200654.42-321157.7,,20,6,54.42,-,32,11,57.7,15.719,0.98,2012,Sep,9,1800,1.0,132.1,24,39
SMSS~J202057.49-522417.2,,20,20,57.49,-,52,24,17.2,14.118,0.889,2012,Sep,9,900,1.0,188.1,40,42
SMSS~J202123.89-515742.8,,20,21,23.89,-,51,57,42.8,13.722,1.066,2012,Sep,8,2400,1.0,278.2,15,25
SMSS~J205313.80-651830.6,,20,53,13.8,-,65,18,30.6,14.597,0.906,2012,Sep,9,1800,1.0,289.5,44,71
SMSS~J210021.85-653627.9,,21,0,21.85,-,65,36,27.9,14.057,1.061,2012,Sep,9,1800,1.0,359.4,55,84
SMSS~J211340.44-520017.5,,21,13,40.44,-,52,0,17.5,14.115,0.682,2013,Nov,19,900,1.0,-170.6,21,41
SMSS~J215805.81-651327.2,,21,58,5.81,-,65,13,27.2,13.854,0.55,2013,Nov,18,900,0.7,-36.9,27,43
SMSS~J221448.33-453949.9,,22,14,48.33,-,45,39,49.9,14.248,0.975,2013,Nov,20,900,0.7,74.8,28,49
SMSS~J224838.41-550635.1,,22,48,38.41,-,55,6,35.1,14.846,0.845,2013,Nov,20,1800,0.7,-32.7,28,46
SMSS~J224843.95-543610.1,,22,48,43.95,-,54,36,10.1,13.142,1.037,2012,Sep,8,1800,1.0,326.7,35,64
SMSS~J225851.25-265434.9,,22,58,51.25,-,26,54,34.9,14.402,0.92,2012,Sep,8,2700,1.0,141.5,27,45
SMSS~J230013.16-263511.0,,23,0,13.16,-,26,35,11.0,14.76,1.042,2012,Sep,9,1800,1.0,-240.0,41,70
SMSS~J230113.95-291458.2,,23,1,13.95,-,29,14,58.2,15.595,1.091,2012,Sep,9,1800,1.0,185.3,23,39
2MASS~J23203653-3637223,,23,20,36.53,-,36,37,22.3,,,2011,Nov,2,3600,0.7,-82.5,25,35
2MASS~J23261426-3719492,,23,26,14.26,-,37,19,49.2,,,2011,Nov,3,3600,0.7,146.1,33,47
