Name,LiI-6707,OI-7771,OI-7774,OI-7775,NaI-5682,NaI-5688,NaI-5889,NaI-5895,KI-7664,KI-7698
CS 22944-061,-0.03,-0.34,-0.34,-0.33,,,,,,
CS 22945-017,-0.03,-0.37,-0.36,,,,,,,-0.26
CS 22945-024,0.05,-0.1,-0.09,-0.09,,,,,-0.44,
CS 22945-028,0.08,-0.08,-0.08,,,,-0.44,-0.35,-0.32,-0.28
CS 22945-031,-0.02,-0.29,-0.29,-0.28,,,,,,
CS 22945-056,0.05,-0.27,-0.26,,,,,,,
CS 22945-058,-0.03,-0.32,-0.31,-0.31,,,,,,
CS 22945-063,0.05,-0.19,,,,,,,,
CS 22947-187,0.09,-0.12,-0.12,-0.11,,,-0.63,,,
CS 22948-066,0.09,-0.07,-0.07,-0.07,,,,,,
CS 22948-093,-0.05,-0.7,,-0.68,,,-0.06,-0.07,,
CS 22949-030,-0.03,-0.31,-0.31,-0.3,,,-0.27,,,
CS 22949-037,0.13,-0.06,-0.06,,,,,,,
CS 22949-048,0.13,-0.06,-0.06,-0.06,,,,,,
CS 22950-046,0.16,-0.05,-0.05,-0.05,,,,,-0.07,-0.2
CS 22951-005,-0.03,-0.3,-0.29,,,,,-0.2,,
CS 22951-059,0.04,-0.1,-0.09,-0.09,,,,,,-0.29
CS 22951-077,0.09,,,,,,,,,
CS 22952-015,0.13,-0.05,-0.05,-0.05,,,,,,
CS 22953-003,0.09,-0.07,-0.07,-0.07,,,-0.37,,,
CS 22953-037,-0.04,,-0.48,-0.48,,,,,,
CS 22954-004,-0.03,-0.26,-0.25,,,,,,,
CS 22954-015,-0.05,-0.15,-0.14,-0.13,,,,,-0.36,
CS 22955-110,-0.04,-0.41,-0.37,-0.32,,,,,,-0.56
CS 22955-174,0.1,-0.12,-0.12,-0.12,,,,,,
CS 22956-015,-0.04,-0.26,-0.25,,,,,,,
CS 22956-021,-0.04,-0.29,-0.28,-0.27,,,-0.29,,,
CS 22956-050,0.13,-0.06,-0.06,-0.06,,,,,,
CS 22956-062,-0.02,-0.13,-0.13,-0.12,,,,-0.25,,
CS 22956-081,-0.04,-0.5,-0.5,-0.49,,,,,,
CS 22956-102,-0.04,-0.25,-0.24,-0.23,,,,,,
CS 22956-106,-0.05,-0.47,-0.46,,,,,,,-0.26
CS 22956-110,0.05,-0.28,-0.27,,,,-0.1,,,
CS 22956-114,0.08,-0.08,-0.08,-0.08,,,,,,
CS 22957-013,0.13,-0.06,-0.06,-0.06,,,-0.37,,,-0.26
CS 22957-019,-0.03,-0.28,-0.27,-0.26,,,,,,
CS 22957-022,0.09,-0.07,-0.07,-0.07,,,,,,
CS 22957-024,-0.04,,,,,,-0.21,,,
CS 22957-026,-0.05,-0.18,-0.17,-0.15,,,,,,
CS 22957-027,0.03,-0.1,-0.1,-0.09,,-0.08,-0.47,-0.49,-0.22,
CS 22957-036,-0.04,-0.17,-0.16,-0.15,,,,-0.44,,
CS 22958-037,0.04,-0.21,-0.2,-0.19,,,-0.48,,,
CS 22958-041,-0.03,,,,,,,,,
CS 22958-042,-0.01,,,,-0.1,-0.11,,,,
CS 22958-052,-0.04,-0.28,-0.27,-0.27,,,,,,
CS 22958-065,-0.04,-0.22,-0.21,,,,,,,-0.29
CS 22958-074,-0.03,-0.23,-0.22,-0.21,,,,,,-0.28
CS 22958-083,0.08,,,,,,,-0.37,,
CS 22959-074,0.07,-0.09,-0.09,-0.08,,,,,,
CS 22959-139,-0.04,,-0.29,,,,,,,
CS 22960-010,-0.01,-0.11,-0.11,-0.11,,,,,,
CS 22960-029,-0.03,-0.29,-0.29,-0.28,,,,,,
CS 22960-048,0.1,-0.07,-0.07,-0.07,,,,,,
CS 22960-053,0.09,,,,,,,,,
CS 22960-064,0.05,-0.09,-0.09,-0.09,,,-0.5,-0.54,-0.38,
CS 22963-004,0.05,-0.09,-0.09,-0.09,,,,,,
CS 22964-115,-0.03,-0.36,-0.36,-0.35,,,,,,
CS 22964-176,-0.04,-0.27,-0.26,,,,-0.33,,-0.31,
CS 22964-183,-0.03,,,,,,,,,
CS 22964-214,-0.04,-0.45,,,,,,,,
CS 22965-016,0.11,-0.07,-0.07,,,,-0.39,,-0.29,
CS 22965-054,-0.04,-0.4,-0.39,,,,,,,
CS 22968-001,-0.03,,,,,,,,,
CS 22968-014,0.13,-0.06,-0.06,-0.06,,,-0.02,0.06,,
CS 22968-026,-0.03,-0.2,-0.19,-0.18,,,,,-0.33,-0.29
CS 22968-029,-0.03,-0.25,-0.25,-0.25,,,,,,
CS 29493-023,-0.03,-0.31,,,,,,,,
CS 29493-050,-0.05,-0.51,-0.51,,,,-0.21,,,
CS 29493-062,-0.03,-0.12,-0.11,,,,,,,
CS 29493-094,-0.04,-0.3,-0.3,,,,,,,
CS 29495-005,-0.04,-0.21,-0.21,,,,,,,-0.35
CS 29495-042,0.04,-0.1,-0.1,-0.09,,,-0.44,,,
CS 29497-030,-0.06,-0.47,-0.46,-0.45,,,,,,
CS 29498-043,0.14,-0.05,-0.05,-0.05,-0.03,-0.04,-0.41,-0.44,-0.09,-0.2
CS 29499-003,-0.04,-0.26,,,,,-0.37,-0.27,,
CS 29499-058,-0.04,-0.32,-0.32,,,,,,,
CS 29499-060,-0.05,,,,,,,,,
CS 29501-032,-0.05,-0.3,-0.3,,,,,,,
CS 29502-092,0.1,-0.07,-0.07,-0.07,,,-0.3,,,-0.22
CS 29504-004,-0.04,-0.4,-0.38,-0.35,,,,,,
CS 29504-006,-0.03,,,,,,,,,
CS 29506-007,-0.03,-0.35,,,,,,,,
CS 29506-090,-0.03,-0.36,-0.35,-0.35,,,,,,
CS 29509-027,-0.04,-0.41,-0.4,-0.39,,,,,,
CS 29512-073,-0.03,-0.12,-0.11,-0.11,,,,,,
CS 29513-003,0.06,-0.14,-0.13,-0.12,,,-0.68,-0.55,,
CS 29513-014,0.08,-0.15,-0.14,-0.12,,,-0.72,,,-0.42
CS 29513-015,-0.04,-0.32,,,,,,,,
CS 29513-031,-0.06,-0.5,-0.49,,,,-0.51,,,
CS 29513-032,-0.05,-0.17,-0.16,-0.14,,,-0.55,,,-0.35
CS 29514-007,-0.05,,,,,,,,,
CS 29514-017,0.01,-0.11,-0.1,-0.09,,,,,,-0.35
CS 29514-018,-0.03,-0.29,,,,,,,,-0.26
CS 29514-037,-0.04,,,,,,,,,
CS 29517-018,-0.03,-0.21,-0.21,-0.2,,,,,-0.25,
CS 29517-042,-0.04,-0.33,-0.32,,,,,,,
CS 29529-054,-0.03,-0.2,-0.2,-0.19,,,,,,
