Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,I,B,J,H,R,V,K,U,otype,rvz_nature,pmdec,rvz_qual,pmra,plx_value,sp_bibcode,sp_qual,sp_type
True,,srg449,14:02:29.14,+10:17:36.89,Gaia DR3 3724011729697503616,210.62143512199376,10.293578351620836,0.0213,0.0173,90,O,2020yCat.1350....0G,,,,,,,,,*,,-0.431,,-0.921,,,,
True,,srg452,14:34:27.39,+00:57:43.49,Gaia DR3 3654980335256551808,218.6141245434187,0.9620781546641665,0.0453,0.0414,90,O,2020yCat.1350....0G,,,,,,,,,*,,-0.51,,-1.165,0.049,,,
True,,sgr453,15:20:10.18,-00:55:16.21,Gaia DR3 4415617329687172224,230.0424156447779,-0.9211650857305556,0.0229,0.0203,90,O,2020yCat.1350....0G,,,,,,,,,*,s,-0.519,D,-1.281,,,,
True,,sgr459,18:35:35.32,-31:04:52.25,Gaia DR3 4046752756534194304,278.8971809315604,-31.08117769012861,0.0278,0.0257,90,O,2020yCat.1350....0G,,,,,,,,,*,s,-1.254,E,-2.81,,,,
True,,srg460,18:37:37.03,-31:12:18.65,Gaia DR3 4046692626988248704,279.40430256241956,-31.20517686373972,0.0355,0.0322,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.461,,-2.696,0.0411,,,
True,,srg462,18:39:44.78,-30:37:02.03,Gaia DR3 4047106558751402112,279.9365797938124,-30.61722332751638,0.0323,0.0301,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.381,,-2.83,,,,
True,,srg463,18:43:10.67,-30:13:29.17,Gaia DR3 4047227809930988288,280.79446936734746,-30.224767775185,0.0294,0.0274,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.283,,-2.764,0.0061,,,
True,,srg468,18:49:32.13,-34:35:45.82,Gaia DR3 6732306574448077824,282.383873973448,-34.59606009175667,0.0288,0.0275,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.091,,-2.451,0.0496,,,
True,,sgr2,18:49:59.02,-33:49:51.56,Gaia DR3 6735720523692986368,282.4959136209209,-33.830982545015004,0.0293,0.0287,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.355,,-2.82,0.0206,,,
True,,sgr471,18:50:53.71,-31:33:17.71,UCAC4 293-210907,282.7238195877162,-31.55491366321833,0.0255,0.0232,90,O,2020yCat.1350....0G,,,13.269000053405762,12.614999771118164,15.225000381469727,,12.559000015258789,,Pe*,s,-1.277,A,-2.827,0.0142,,,
True,,sgr476,18:52:10.30,-31:54:13.21,UCAC4 291-203990,283.0429426956729,-31.903665298715005,0.0231,0.0227,90,O,2020yCat.1350....0G,,,13.00100040435791,12.362000465393066,14.996000289916992,,12.253999710083008,,Pe*,s,-1.515,A,-2.594,,,,
True,,sgr69,18:52:48.45,-29:32:23.42,Pristine J185248.45-293223.4,283.20187946820545,-29.539831745956114,0.0298,0.0258,90,O,2020yCat.1350....0G,,,,,,,,,Pe*,s,-1.518,A,-2.613,0.0007,,,
True,,srg482,18:56:40.24,-29:54:02.05,Gaia DR3 6760843501083241216,284.1676743112804,-29.90056114185056,0.0287,0.0291,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.285,,-2.627,,,,
True,,sgr4,18:57:04.51,-30:10:21.68,UCAC4 300-244985,284.268822355455,-30.172680313608055,0.0261,0.0235,90,O,2020yCat.1350....0G,,16.58799934387207,12.963000297546387,12.324999809265137,15.303000450134277,15.407999992370605,12.220999717712402,,Pe*,s,-1.408,A,-2.78,0.0028,,,
True,,sgr38,18:57:27.66,-31:07:39.86,Gaia DR3 6760148545331944832,284.36527848526123,-31.12773522062916,0.0406,0.0398,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.482,,-2.848,,,,
True,,srg484,19:01:38.93,-32:54:27.18,Gaia DR3 6756665051965670400,285.4122079287937,-32.90754403092444,0.0355,0.0311,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.438,,-2.543,0.056,,,
True,,sgr488,19:05:13.06,-34:09:16.56,Gaia DR3 6755741496554745728,286.30444404163455,-34.15459825674528,0.0265,0.0251,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.435,,-2.581,,,,
True,,sgr492,19:06:12.10,-31:55:04.48,UCAC4 291-209201,286.5504405292467,-31.917902927003613,0.0313,0.0282,90,O,2020yCat.1350....0G,,,13.39799976348877,12.815999984741211,15.402999877929688,,12.661999702453613,,Pe*,s,-1.293,A,-2.633,0.0469,,,
True,,srg495,19:09:05.19,-31:06:32.80,Gaia DR3 6757333348879294336,287.27162879267416,-31.109104051638894,0.0222,0.0205,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.299,,-2.832,0.0084,,,
True,,srg496,19:10:57.06,-28:53:15.86,Gaia DR3 6762312242461355008,287.73776794970536,-28.887737601151393,0.0357,0.0344,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.603,,-2.517,0.0879,,,
True,,sgr9,19:14:03.21,-32:42:03.56,Gaia DR3 6756198442417269504,288.51340688384875,-32.70098095680278,0.0334,0.0299,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.43,,-2.86,0.0234,,,
True,,sgr504_2,19:14:48.69,-33:07:52.86,Gaia DR3 6756126841019510784,288.7029069843863,-33.1313435206275,0.0247,0.0239,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.319,,-2.729,0.043,,,
True,,sgr505,19:15:11.99,-29:53:26.05,Gaia DR3 6759005362463205760,288.79999235212455,-29.890564882116664,0.0303,0.0276,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.543,,-2.722,,,,
True,,srg509,19:18:30.21,-33:42:59.69,Gaia DR3 6744030735644086784,289.62591022470247,-33.716571648383336,0.0335,0.0323,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.653,,-2.698,0.0333,,,
True,,srg512,19:19:57.41,-33:13:50.92,Gaia DR3 6744069390349796224,289.9892060070433,-33.230804501277774,0.0361,0.0341,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.53,,-2.677,0.0302,,,
