Name,[NaI/Fe],e_[NaI/Fe],o_[NaI/Fe],[MgI/Fe],e_[MgI/Fe],o_[MgI/Fe],[SiI/Fe],e_[SiI/Fe],o_[SiI/Fe],[CaI/Fe],e_[CaI/Fe],o_[CaI/Fe],[TiI/Fe],e_[TiI/Fe],o_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],o_[TiII/Fe],[CrI/Fe],e_[CrI/Fe],o_[CrI/Fe],[FeI/H],e_[FeI/H],o_[FeI/H],[FeII/H],e_[FeII/H],o_[FeII/H],[NiI/Fe],e_[NiI/Fe],o_[NiI/Fe],[YII/Fe],e_[YII/Fe],o_[YII/Fe],[BaII/Fe],e_[BaII/Fe],o_[BaII/Fe],[LaII/Fe],e_[LaII/Fe],o_[LaII/Fe],[NdII/Fe],e_[NdII/Fe],o_[NdII/Fe],[EuII/Fe],e_[EuII/Fe],o_[EuII/Fe]
BL213,-0.60,0.22,1,-0.17,0.16,2,0.01,0.10,5,-0.27,0.07,9,-0.11,0.07,9,-0.08,0.14,4,-0.30,0.22,1,-0.94,0.06,43,-0.78,0.10,5,-0.27,0.06,15,0.10,0.22,1,0.35,0.16,2,0.39,0.22,1,0.31,0.16,2,0.65,0.22,1
BL216,-0.46,0.17,2,-0.01,0.14,3,-0.08,0.14,3,-0.13,0.09,7,0.02,0.10,6,-0.14,0.17,4,-0.07,0.24,1,-0.79,0.06,35,-1.06,0.17,2,-0.11,0.07,14,0.03,0.24,1,0.55,0.17,2,0.60,0.24,1,0.31,0.14,3,0.77,0.24,1
BL218,-0.79,0.19,2,-0.11,0.16,3,-0.05,0.19,2,-0.24,0.10,7,-0.18,0.10,7,-0.28,0.14,4,-0.16,0.27,1,-0.63,0.09,41,-0.59,0.18,3,-0.16,0.08,16,-0.02,0.27,1,0.62,0.27,1,0.57,0.27,1,0.27,0.16,3,0.50,0.27,1
BL221,-0.90,0.21,1,-0.14,0.15,2,-0.14,0.15,2,-0.24,0.07,8,-0.28,0.07,9,0.46,0.14,3,-0.17,0.21,1,-0.83,0.06,43,-0.74,0.18,5,-0.26,0.08,15,-0.08,0.21,1,0.56,0.15,2,0.52,0.21,1,0.48,0.16,2,0.94,0.21,1
BL227,-0.50,0.18,2,-0.15,0.18,2,0.12,0.10,6,-0.25,0.08,9,-0.21,0.09,7,0.16,0.19,2,-0.06,0.25,1,-0.87,0.08,43,-0.65,0.14,3,-0.23,0.07,12,0.15,0.25,1,0.56,0.18,2,0.31,0.25,1,0.39,0.25,3,0.87,0.25,1
BL228,-0.88,0.11,2,-0.18,0.11,2,-0.06,0.10,3,-0.39,0.07,9,-0.20,0.05,9,0.11,0.17,3,-0.19,0.16,1,-0.87,0.05,42,-0.44,0.14,4,-0.26,0.07,14,-0.31,0.17,1,-0.15,0.11,2,0.01,0.16,1,0.41,0.16,1,0.40,0.16,1
BL229,-0.74,0.17,2,-0.20,0.17,2,-0.05,0.10,6,-0.27,0.11,8,-0.23,0.09,7,0.06,0.12,4,-0.36,0.24,1,-0.68,0.06,39,-0.44,0.13,4,-0.27,0.09,14,-0.47,0.24,1,0.50,0.17,2,0.57,0.24,1,0.39,0.14,3,0.72,0.24,1
BL233,-0.58,0.16,2,-0.18,0.13,3,-0.20,0.11,4,-0.41,0.08,8,-0.22,0.07,9,0.17,0.11,4,-0.42,0.22,1,-0.65,0.07,44,-0.43,0.10,4,-0.24,0.08,15,0.10,0.22,1,0.43,0.16,2,0.41,0.22,1,0.24,0.13,3,0.52,0.22,1
BL239,-0.68,0.22,1,-0.13,0.16,2,-0.20,0.13,3,-0.17,0.08,8,-0.27,0.07,9,-0.12,0.19,2,-0.26,0.22,1,-0.94,0.06,43,-0.79,0.10,4,-0.25,0.08,14,,,0,0.42,0.16,2,-0.03,0.22,1,0.11,0.13,3,0.28,0.22,1
BL242,-0.55,0.20,1,0.20,0.14,3,0.11,0.14,2,-0.36,0.09,9,-0.17,0.07,8,0.12,0.18,3,-0.13,0.20,1,-1.14,0.07,43,-0.93,0.18,3,-0.13,0.06,13,-0.11,0.20,1,0.39,0.14,2,0.15,0.20,1,0.29,0.23,2,0.51,0.20,1
BL247,-0.54,0.11,2,0.07,0.18,2,0.16,0.13,2,-0.25,0.10,9,-0.21,0.08,10,0.18,0.15,4,-0.16,0.15,1,-0.84,0.09,37,-0.60,0.12,5,-0.05,0.08,15,0.44,0.15,1,0.30,0.11,2,0.53,0.15,1,0.95,0.11,2,0.66,0.15,1
BL250,-0.41,0.18,2,-0.11,0.15,3,0.15,0.15,3,-0.13,0.10,7,0.04,0.09,8,-0.29,0.18,2,0.05,0.26,1,-0.64,0.09,38,-0.46,0.30,4,-0.15,0.10,14,-0.14,0.26,1,,,0,0.33,0.26,1,0.36,0.18,3,0.38,0.26,1
BL253,-0.54,0.13,2,-0.18,0.10,3,-0.15,0.11,4,-0.26,0.11,8,-0.18,0.07,7,-0.11,0.10,4,-0.27,0.18,1,-0.70,0.06,38,-0.74,0.10,4,-0.22,0.07,17,-0.23,0.18,1,0.51,0.13,2,0.39,0.18,1,0.32,0.17,3,0.58,0.18,1
BL257,-0.76,0.17,2,-0.20,0.14,3,-0.06,0.13,5,-0.30,0.08,8,-0.21,0.10,9,0.03,0.18,3,-0.25,0.24,1,-0.54,0.07,41,-1.07,0.12,3,-0.21,0.07,15,0.02,0.24,1,0.57,0.24,1,0.80,0.24,1,0.29,0.14,3,0.52,0.24,1
BL258,-0.64,0.16,2,-0.29,0.16,2,-0.23,0.14,3,-0.13,0.12,9,-0.24,0.11,9,0.11,0.15,4,-0.11,0.23,1,-0.58,0.08,39,-0.62,0.08,4,-0.20,0.07,15,0.06,0.23,1,0.58,0.23,1,0.61,0.23,1,0.45,0.28,3,0.75,0.23,1
BL260,-0.80,0.19,1,-0.29,0.13,2,0.29,0.23,3,-0.31,0.08,9,-0.20,0.07,8,-0.08,0.10,4,-0.31,0.19,1,-0.86,0.06,39,-0.39,0.11,3,-0.29,0.07,12,-0.23,0.19,1,-0.04,0.13,2,0.17,0.19,1,0.34,0.12,3,0.41,0.19,1
BL261,-0.79,0.15,2,-0.10,0.15,2,-0.44,0.21,1,-0.30,0.08,8,-0.27,0.07,9,0.02,0.09,5,-0.31,0.21,1,-0.78,0.09,43,-0.45,0.22,4,-0.31,0.10,12,-0.11,0.21,1,0.23,0.15,2,0.25,0.21,1,0.35,0.12,3,0.55,0.21,1
BL266,,,0,0.05,0.16,2,0.41,0.19,1,-0.17,0.09,10,-0.09,0.08,9,0.51,0.10,4,-0.14,0.19,1,-1.46,0.06,43,-1.17,0.18,4,-0.17,0.07,10,0.08,0.19,1,0.12,0.13,2,-0.02,0.19,1,,,0,0.50,0.19,1
BL267,-0.41,0.13,2,-0.02,0.10,3,-0.08,0.10,7,-0.16,0.10,9,-0.15,0.06,8,0.32,0.12,4,-0.10,0.18,1,-0.74,0.07,44,-0.65,0.11,5,-0.18,0.09,14,-0.04,0.18,1,0.37,0.13,2,0.57,0.18,1,0.09,0.18,3,0.54,0.18,1
BL269,-0.63,0.21,2,-0.12,0.17,3,0.26,0.17,4,-0.24,0.10,9,-0.14,0.09,10,0.04,0.25,3,-0.36,0.30,1,-0.80,0.07,45,-0.48,0.28,2,-0.24,0.10,15,-0.26,0.30,1,0.54,0.21,2,0.30,0.30,1,0.26,0.17,3,0.87,0.30,1
BL278,-0.18,0.18,2,-0.05,0.18,2,-0.04,0.12,4,-0.06,0.10,8,0.15,0.08,9,0.10,0.12,4,0.08,0.25,1,-0.73,0.07,38,-0.86,0.13,3,-0.13,0.07,14,0.10,0.25,1,,,0,0.62,0.25,1,0.50,0.14,3,0.63,0.25,1
BL279,0.05,0.20,1,0.15,0.20,1,0.35,0.12,3,-0.01,0.10,9,-0.22,0.11,5,0.68,0.12,4,-0.31,0.20,1,-1.52,0.08,44,-1.31,0.16,3,-0.02,0.10,12,,,0,0.35,0.14,2,0.24,0.20,1,0.67,0.20,1,0.70,0.20,1
BL295,-0.52,0.18,2,-0.08,0.15,3,0.02,0.27,3,-0.08,0.12,8,-0.12,0.09,8,0.21,0.24,3,-0.22,0.26,1,-0.66,0.08,38,-0.23,0.22,3,-0.19,0.07,15,0.07,0.26,1,,,0,0.86,0.26,1,0.29,0.18,3,0.68,0.26,1
BL300,-0.47,0.12,2,0.14,0.10,3,-0.02,0.10,3,-0.16,0.09,7,-0.04,0.06,8,0.09,0.11,5,-0.09,0.17,1,-0.92,0.07,39,-0.58,0.09,4,-0.16,0.07,14,-0.03,0.17,1,0.71,0.12,2,0.91,0.17,1,0.49,0.10,3,0.61,0.17,1
BL304,-0.72,0.13,2,-0.03,0.13,2,0.12,0.13,2,-0.28,0.07,8,-0.17,0.07,8,-0.17,0.12,3,-0.35,0.19,1,-0.97,0.06,42,-0.84,0.10,4,-0.19,0.07,14,-0.37,0.19,1,0.29,0.13,2,0.31,0.19,1,0.18,0.11,3,0.48,0.19,1
BL315,-0.88,0.21,1,-0.09,0.21,1,-0.07,0.12,6,-0.35,0.09,6,-0.34,0.07,9,0.27,0.12,4,-0.30,0.21,1,-0.78,0.09,45,-0.56,0.16,4,-0.39,0.11,15,,,0,0.36,0.15,2,0.32,0.21,1,0.32,0.21,1,0.90,0.21,1
BL323,-0.72,0.25,1,-0.18,0.14,3,0.13,0.18,2,-0.63,0.13,8,-0.31,0.09,8,0.04,0.14,3,-0.28,0.25,1,-0.92,0.06,42,-0.79,0.16,3,-0.22,0.07,15,0.04,0.25,1,0.27,0.18,2,0.09,0.25,1,0.14,0.19,2,0.59,0.25,1
