Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,-34:31:20.8,02:39:57.30,BL257,[KGS2010] For   66101,02 39 57.3255,-34 31 21.002,14,14,0.0575,0.0797,90,A,O,2020yCat.1350....0G,,20.153,,17.674,,15.91,15.1,14.67,AGB*_Candidate,,02 39 57.3255,-34 31 21.002,0.499,-0.499,0.0736,56.51,1
True,-34:28:50.4,02:39:49.68,BL258,[WMO2009] For-0949,02 39 49.7023,-34 28 50.637,14,14,0.062,0.0866,90,A,O,2020yCat.1350....0G,,20.188,18.6,17.813,17.06,16.072,15.302,15.336,Star,,02 39 49.7023,-34 28 50.637,0.475,-0.406,0.239,49.41,1
True,-34:29:54.6,02:39:55.38,BL260,[KGS2010] For   64059,02 39 55.4015,-34 29 54.846,14,14,0.0576,0.0788,90,A,O,2020yCat.1350....0G,,20.214,,17.719,,15.796,15.049,14.696,RGB*,,02 39 55.4015,-34 29 54.846,0.392,-0.36,,59.71,1
True,-34:26:48.8,02:39:57.80,BL261,[LHT2010] BL261,02 39 57.8196,-34 26 49.235,14,14,0.0639,0.0889,90,A,O,2020yCat.1350....0G,,,,,,16.091,15.19,15.077,Star,,02 39 57.8196,-34 26 49.235,0.408,-0.394,0.0236,71.7626,1
True,-34:26:10.3,02:39:38.42,BL262,[WMO2009] For-1219,02 39 38.4515,-34 26 10.752,14,14,0.0586,0.0801,90,A,O,2020yCat.1350....0G,,,18.54,,17.07,16.031,15.084,15.527,Star,,02 39 38.4515,-34 26 10.752,0.471,-0.348,0.1395,47.715,1
True,-34:29:58.8,02:40:10.00,BL266,2MASS J02401001-3429589,02 40 10.0211,-34 29 58.971,14,14,0.0747,0.1026,90,A,O,2020yCat.1350....0G,,19.76,18.2,18.06,16.75,15.937,15.198,14.977,RGB*,,02 40 10.0211,-34 29 58.971,1.312,-0.978,0.1025,52.1759,1
True,-34:26:06.1,02:40:17.50,BL267,GB07 Fnx07,02 40 17.5320,-34 26 06.568,14,14,0.0504,0.0736,90,A,O,2020yCat.1350....0G,,,18.18,,16.76,15.981,15.163,14.925,RGB*,,02 40 17.5320,-34 26 06.568,0.347,-0.288,,59.04,1
True,-34:32:05.3,02:39:58.20,BL269,[WMO2009] For-2280,02 39 58.2312,-34 32 05.319,14,14,0.0548,0.0746,90,A,O,2020yCat.1350....0G,,20.109,18.43,17.616,16.9,15.815,15.004,14.639,RRLyrae,,02 39 58.2312,-34 32 05.319,0.493,-0.44,0.0354,44.0165,1
True,-34:27:11.3,02:40:04.38,BL278,WEL 112,02 40 04.4134,-34 27 11.601,14,14,0.0502,0.0716,90,A,O,2020yCat.1350....0G,,19.946,18.37,17.414,,15.632,14.833,14.758,Star,K5,02 40 04.4134,-34 27 11.601,0.491,-0.319,0.0255,52.97,1
True,-34:38:29.9,02:40:02.70,BL279,[WMO2009] For-0025,02 40 02.4584,-34 38 26.159,14,14,0.1017,0.1393,90,A,O,2020yCat.1350....0G,,,19.17,,17.99,,,,Star,,02 40 02.4584,-34 38 26.159,0.493,-0.574,,36.5,1
True,-34:26:56.8,02:40:26.72,BL295,[LHT2010] BL295,02 40 26.7435,-34 26 57.133,14,14,0.0608,0.0924,90,A,O,2020yCat.1350....0G,,20.097,,17.573,,15.689,14.973,14.814,Star,,02 40 26.7435,-34 26 57.133,0.402,-0.374,0.1568,43.0833,1
True,-34:27:00.7,02:40:17.90,BL300,[WMO2009] For-2044,02 40 17.9251,-34 27 01.042,14,14,0.0544,0.0779,90,A,O,2020yCat.1350....0G,,,18.42,,16.79,15.737,14.862,14.601,Star,,02 40 17.9251,-34 27 01.042,0.475,-0.455,,69.745,1
True,-34:32:42.7,02:40:05.49,BL304,2MASS J02400550-3432429,02 40 05.5084,-34 32 42.767,14,14,0.0554,0.0784,90,A,O,2020yCat.1350....0G,,20.155,18.326,17.595,16.74,15.856,14.798,14.769,RGB*,,02 40 05.5084,-34 32 42.767,0.474,-0.401,0.0831,72.1,1
True,-34:31:31.0,02:40:22.64,BL311,[LHT2010] BL311,02 40 22.6661,-34 31 31.198,14,14,0.0561,0.0803,90,A,O,2020yCat.1350....0G,,,,,,15.801,15.092,15.036,Star,,02 40 22.6661,-34 31 31.198,0.436,-0.445,0.002,50.9604,1
True,-34:26:20.0,02:40:24.22,BL315,[WMO2009] For-0968,02 40 24.2493,-34 26 20.369,14,14,0.0632,0.091,90,A,O,2020yCat.1350....0G,,19.872,18.41,17.709,17.04,16.077,15.285,15.493,Star,,02 40 24.2493,-34 26 20.369,0.378,-0.241,0.0285,53.15,1
True,-34:29:34.4,02:40:16.76,BL323,[WMO2009] For-1250,02 40 16.7867,-34 29 34.568,14,14,0.054,0.0775,90,A,O,2020yCat.1350....0G,,20.082,18.39,17.547,16.75,15.617,14.837,14.562,Star,,02 40 16.7867,-34 29 34.568,0.339,-0.339,0.0246,53.3982,1
