Name,Species,lambda,chi,loggf,EW,logepsX
TucIII-J000549,Fe I,6592.91,2.730,-1.470,40.88,4.803
TucIII-J000549,Fe I,6593.87,2.430,-2.420,19.74,4.932
TucIII-J000549,Fe I,6677.99,2.690,-1.420,56.85,4.988
TucIII-J000549,Fe I,7511.02,4.175,0.120,31.34,4.702
TucIII-J000549,Fe I,8220.38,4.317,0.300,37.39,4.798
TucIII-J000549,Fe I,8387.77,2.174,-1.510,96.01,5.035
TucIII-J000549,Fe I,8824.22,2.196,-1.540,96.25,5.044
TucIII-J000549,Fe II,4233.17,2.580,-1.810,81.79,4.746
TucIII-J000549,Fe II,4416.83,2.780,-2.410,57.10,4.979
TucIII-J000549,Fe II,4489.18,2.828,-2.971,22.98,4.869
TucIII-J000549,Fe II,4491.41,2.850,-2.640,28.78,4.702
TucIII-J000549,Fe II,4508.29,2.860,-2.250,52.99,4.818
TucIII-J000549,Fe II,4515.34,2.840,-2.360,45.62,4.759
TucIII-J000549,Fe II,4520.22,2.810,-2.600,44.45,4.939
TucIII-J000549,Fe II,4541.52,2.860,-2.790,26.64,4.813
TucIII-J000549,Fe II,4555.89,2.830,-2.250,64.32,5.018
TucIII-J000549,Fe II,4576.34,2.840,-2.920,24.23,4.859
TucIII-J000549,Fe II,4583.84,2.810,-1.740,81.92,4.877
TucIII-J000549,Fe II,4923.93,2.890,-1.210,94.58,4.679
TucIII-J000549,Fe II,5197.58,3.230,-2.050,40.64,4.760
TucIII-J000549,Fe II,5234.63,3.220,-2.180,43.40,4.939
TucIII-J000549,Fe II,5276.00,3.200,-1.900,56.72,4.875
TucIII-J000549,Fe II,5284.11,2.891,-3.195,17.72,4.979
TucIII-J000549,Fe II,5316.62,3.150,-1.780,88.02,5.358
TucIII-J000549,Fe II,5362.87,3.199,-2.616,38.73,5.250
TucIII-J000549,Fe II,5534.85,3.245,-2.865,9.45,4.739
TucIII-J000549,Fe II,6456.38,3.900,-2.080,10.14,4.726
TucIII-J234351,Fe I,3898.01,1.010,-2.040,93.62,5.192
TucIII-J234351,Fe I,3917.18,0.989,-2.150,88.66,5.129
TucIII-J234351,Fe I,3940.88,0.957,-2.490,63.59,4.716
TucIII-J234351,Fe I,4009.71,2.221,-1.250,64.79,4.975
TucIII-J234351,Fe I,4098.18,3.239,-0.970,28.64,5.026
TucIII-J234351,Fe I,4147.67,1.484,-2.070,67.88,4.982
TucIII-J234351,Fe I,4152.17,0.957,-3.160,55.37,5.157
TucIII-J234351,Fe I,4175.64,2.850,-0.830,38.95,4.663
TucIII-J234351,Fe I,4181.76,2.830,-0.370,53.16,4.480
TucIII-J234351,Fe I,4184.89,2.830,-0.870,38.12,4.664
TucIII-J234351,Fe I,4187.04,2.450,-0.560,69.72,4.601
TucIII-J234351,Fe I,4187.80,2.420,-0.550,76.81,4.733
TucIII-J234351,Fe I,4191.43,2.470,-0.670,60.38,4.513
TucIII-J234351,Fe I,4206.70,0.052,-3.960,65.79,5.131
TucIII-J234351,Fe I,4216.18,0.000,-3.360,73.10,4.656
TucIII-J234351,Fe I,4222.21,2.450,-0.970,51.13,4.584
TucIII-J234351,Fe I,4227.43,3.330,0.270,57.44,4.503
TucIII-J234351,Fe I,4233.60,2.482,-0.600,64.95,4.556
TucIII-J234351,Fe I,4238.81,3.400,-0.230,45.58,4.815
TucIII-J234351,Fe I,4250.12,2.470,-0.410,79.82,4.713
TucIII-J234351,Fe I,4271.15,2.450,-0.350,83.84,4.726
TucIII-J234351,Fe I,4282.40,2.174,-0.780,72.95,4.614
TucIII-J234351,Fe I,4337.05,1.556,-1.700,60.59,4.479
TucIII-J234351,Fe I,4352.74,2.221,-1.290,51.18,4.639
TucIII-J234351,Fe I,4375.93,0.000,-3.000,92.84,4.828
TucIII-J234351,Fe I,4408.41,2.196,-1.770,41.15,4.869
TucIII-J234351,Fe I,4430.61,2.221,-1.730,46.47,4.962
TucIII-J234351,Fe I,4443.19,2.860,-1.040,31.46,4.703
TucIII-J234351,Fe I,4447.72,2.221,-1.340,67.51,5.018
TucIII-J234351,Fe I,4459.12,2.174,-1.330,75.49,5.141
TucIII-J234351,Fe I,4461.65,0.087,-3.190,96.89,5.211
TucIII-J234351,Fe I,4489.74,0.121,-3.900,62.87,5.030
TucIII-J234351,Fe I,4494.56,2.196,-1.140,65.54,4.738
TucIII-J234351,Fe I,4528.61,2.174,-0.890,91.53,5.072
TucIII-J234351,Fe I,4531.15,1.484,-2.100,57.69,4.703
TucIII-J234351,Fe I,4592.65,1.556,-2.460,46.24,4.906
TucIII-J234351,Fe I,4602.94,1.484,-2.210,54.85,4.742
TucIII-J234351,Fe I,4707.27,3.241,-0.960,21.73,4.806
TucIII-J234351,Fe I,4736.77,3.209,-0.670,32.56,4.731
TucIII-J234351,Fe I,4871.32,2.865,-0.340,71.93,4.809
TucIII-J234351,Fe I,4872.14,2.880,-0.570,44.50,4.485
TucIII-J234351,Fe I,4890.76,2.876,-0.380,58.72,4.574
TucIII-J234351,Fe I,4891.49,2.850,-0.110,64.65,4.400
TucIII-J234351,Fe I,4903.31,2.882,-0.890,50.04,4.914
TucIII-J234351,Fe I,4918.99,2.860,-0.340,66.37,4.676
TucIII-J234351,Fe I,4938.81,2.880,-1.080,36.97,4.842
TucIII-J234351,Fe I,4939.69,0.858,-3.250,32.80,4.579
TucIII-J234351,Fe I,4966.09,3.329,-0.790,31.09,4.943
TucIII-J234351,Fe I,5041.07,0.957,-3.090,56.16,4.993
TucIII-J234351,Fe I,5041.76,1.484,-2.200,50.53,4.597
TucIII-J234351,Fe I,5049.82,2.277,-1.350,41.41,4.499
TucIII-J234351,Fe I,5051.64,0.914,-2.760,73.79,4.999
TucIII-J234351,Fe I,5123.72,1.010,-3.060,38.96,4.679
TucIII-J234351,Fe I,5150.84,0.989,-3.040,61.86,5.086
TucIII-J234351,Fe I,5151.91,1.010,-3.320,31.88,4.793
TucIII-J234351,Fe I,5171.60,1.484,-1.720,79.86,4.771
TucIII-J234351,Fe I,5191.45,3.040,-0.550,48.55,4.707
TucIII-J234351,Fe I,5192.34,3.000,-0.420,71.68,5.008
TucIII-J234351,Fe I,5194.94,1.556,-2.020,68.19,4.870
TucIII-J234351,Fe I,5202.34,2.174,-1.870,33.90,4.739
TucIII-J234351,Fe I,5232.94,2.940,-0.060,79.46,4.747
TucIII-J234351,Fe I,5250.65,2.196,-2.180,21.75,4.795
TucIII-J234351,Fe I,5281.79,3.040,-0.830,46.30,4.939
TucIII-J234351,Fe I,5328.53,1.556,-1.850,86.20,5.125
TucIII-J234351,Fe I,5367.47,4.420,0.440,25.69,4.811
TucIII-J234351,Fe I,5367.47,4.420,0.440,25.52,4.807
TucIII-J234351,Fe I,5367.47,4.420,0.440,17.61,4.593
TucIII-J234351,Fe I,5383.37,4.310,0.650,36.78,4.721
TucIII-J234351,Fe I,5397.13,0.914,-1.980,95.74,4.732
TucIII-J234351,Fe I,5415.20,4.390,0.640,33.81,4.758
TucIII-J234351,Fe I,5424.07,4.320,0.520,33.57,4.794
TucIII-J234351,Fe I,5434.52,1.010,-2.130,92.08,4.896
TucIII-J234351,Fe I,5455.61,1.010,-2.090,96.57,4.967
TucIII-J234351,Fe I,5497.52,1.010,-2.830,62.62,4.885
TucIII-J234351,Fe I,5501.47,0.957,-3.050,38.83,4.577
TucIII-J234351,Fe I,5506.78,0.989,-2.790,75.23,5.100
TucIII-J234351,Fe I,5586.76,3.366,-0.110,47.65,4.604
TucIII-J234351,Fe I,5615.64,3.332,0.040,54.01,4.538
TucIII-J234351,Fe I,5658.82,3.394,-0.760,37.45,5.084
TucIII-J234351,Fe I,6137.69,2.590,-1.400,41.76,4.857
TucIII-J234351,Fe I,6191.56,2.430,-1.420,43.59,4.725
TucIII-J234351,Fe I,6230.72,2.560,-1.280,40.55,4.674
TucIII-J234351,Fe I,6252.56,2.400,-1.690,48.06,5.041
TucIII-J234351,Fe I,6265.13,2.174,-2.540,27.67,5.218
TucIII-J234351,Fe I,6400.00,3.603,-0.270,33.42,4.721
TucIII-J234351,Fe I,6421.35,2.277,-2.010,26.46,4.772
TucIII-J234351,Fe I,6430.85,2.174,-1.950,43.01,4.929
TucIII-J234351,Fe I,6494.98,2.400,-1.270,62.32,4.888
TucIII-J234351,Fe I,6592.91,2.730,-1.470,24.59,4.708
TucIII-J234351,Fe I,6677.99,2.690,-1.420,35.81,4.851
TucIII-J234351,Fe II,4178.86,2.580,-2.440,35.40,4.551
TucIII-J234351,Fe II,4233.17,2.580,-1.810,69.86,4.667
TucIII-J234351,Fe II,4489.18,2.828,-2.971,18.77,4.941
TucIII-J234351,Fe II,4491.41,2.850,-2.640,30.83,4.936
TucIII-J234351,Fe II,4508.29,2.860,-2.250,29.74,4.532
TucIII-J234351,Fe II,4515.34,2.840,-2.360,25.12,4.512
TucIII-J234351,Fe II,4520.22,2.810,-2.600,31.99,4.874
TucIII-J234351,Fe II,4522.63,2.840,-1.990,58.85,4.850
TucIII-J234351,Fe II,4541.52,2.860,-2.790,27.02,5.008
TucIII-J234351,Fe II,4555.89,2.830,-2.250,44.88,4.809
TucIII-J234351,Fe II,4583.84,2.810,-1.740,68.79,4.781
TucIII-J234351,Fe II,4923.93,2.890,-1.210,90.79,4.821
TucIII-J234351,Fe II,5197.58,3.230,-2.050,26.10,4.629
TucIII-J234351,Fe II,5234.63,3.220,-2.180,34.96,4.943
TucIII-J234351,Fe II,5284.11,2.891,-3.195,10.78,4.907
TucIII-J234351,Fe II,5316.62,3.150,-1.780,62.16,5.003
TucIII-J235550,Fe I,3977.74,2.196,-1.120,79.89,5.170
TucIII-J235550,Fe I,4001.66,2.174,-1.900,46.96,4.987
TucIII-J235550,Fe I,4009.71,2.221,-1.250,64.46,4.837
TucIII-J235550,Fe I,4021.87,2.670,-0.729,57.67,4.663
TucIII-J235550,Fe I,4058.22,3.209,-1.180,21.51,4.884
TucIII-J235550,Fe I,4067.98,3.209,-0.530,41.85,4.709
TucIII-J235550,Fe I,4073.76,3.263,-0.970,29.06,4.925
TucIII-J235550,Fe I,4076.63,3.209,-0.590,46.62,4.874
TucIII-J235550,Fe I,4084.49,3.329,-0.540,48.62,5.009
TucIII-J235550,Fe I,4114.44,2.830,-1.300,41.38,5.023
TucIII-J235550,Fe I,4132.90,2.840,-0.920,29.94,4.397
TucIII-J235550,Fe I,4134.68,2.830,-0.650,74.36,5.205
TucIII-J235550,Fe I,4147.67,1.484,-2.070,61.51,4.648
TucIII-J235550,Fe I,4152.17,0.957,-3.160,45.84,4.733
TucIII-J235550,Fe I,4153.90,3.397,-0.280,30.14,4.411
TucIII-J235550,Fe I,4154.50,2.830,-0.690,50.46,4.604
TucIII-J235550,Fe I,4154.50,2.830,-0.690,44.55,4.471
TucIII-J235550,Fe I,4156.80,2.830,-0.810,62.65,5.036
TucIII-J235550,Fe I,4157.78,3.420,-0.400,34.03,4.648
TucIII-J235550,Fe I,4158.79,3.428,-0.700,21.68,4.657
TucIII-J235550,Fe I,4172.75,0.957,-3.020,54.81,4.795
TucIII-J235550,Fe I,4174.91,0.914,-2.940,59.93,4.789
TucIII-J235550,Fe I,4175.64,2.850,-0.830,44.40,4.636
TucIII-J235550,Fe I,4181.76,2.830,-0.370,69.28,4.772
TucIII-J235550,Fe I,4181.76,2.830,-0.370,66.26,4.686
TucIII-J235550,Fe I,4184.89,2.830,-0.870,47.35,4.718
TucIII-J235550,Fe I,4187.04,2.450,-0.560,74.26,4.606
TucIII-J235550,Fe I,4187.80,2.420,-0.550,87.14,4.901
TucIII-J235550,Fe I,4191.43,2.470,-0.670,83.04,4.971
TucIII-J235550,Fe I,4195.33,3.330,-0.490,38.38,4.720
TucIII-J235550,Fe I,4199.10,3.050,0.160,70.07,4.527
TucIII-J235550,Fe I,4216.18,0.000,-3.360,92.87,5.059
TucIII-J235550,Fe I,4222.21,2.450,-0.970,60.09,4.644
TucIII-J235550,Fe I,4233.60,2.482,-0.600,79.92,4.822
TucIII-J235550,Fe I,4250.12,2.470,-0.410,81.18,4.647
TucIII-J235550,Fe I,4258.32,0.087,-4.360,52.94,5.018
TucIII-J235550,Fe I,4282.40,2.174,-0.780,80.45,4.717
TucIII-J235550,Fe I,4337.05,1.556,-1.700,87.75,5.055
TucIII-J235550,Fe I,4352.74,2.221,-1.290,71.59,5.000
TucIII-J235550,Fe I,4408.41,2.196,-1.770,60.26,5.108
TucIII-J235550,Fe I,4430.61,2.221,-1.730,39.51,4.648
TucIII-J235550,Fe I,4442.34,2.196,-1.230,69.07,4.775
TucIII-J235550,Fe I,4443.19,2.860,-1.040,35.79,4.644
TucIII-J235550,Fe I,4447.72,2.221,-1.340,59.71,4.690
TucIII-J235550,Fe I,4459.12,2.174,-1.330,74.00,4.969
TucIII-J235550,Fe I,4461.65,0.087,-3.190,91.43,4.855
TucIII-J235550,Fe I,4466.55,2.830,-0.600,68.76,4.935
TucIII-J235550,Fe I,4484.22,3.600,-0.640,21.36,4.766
TucIII-J235550,Fe I,4489.74,0.121,-3.900,63.12,4.799
TucIII-J235550,Fe I,4494.56,2.196,-1.140,85.85,5.095
TucIII-J235550,Fe I,4531.15,1.484,-2.100,60.53,4.580
TucIII-J235550,Fe I,4592.65,1.556,-2.460,60.73,5.022
TucIII-J235550,Fe I,4602.00,1.607,-3.130,16.57,4.744
TucIII-J235550,Fe I,4602.94,1.484,-2.210,58.36,4.627
TucIII-J235550,Fe I,4678.85,3.600,-0.680,17.64,4.685
TucIII-J235550,Fe I,4707.27,3.241,-0.960,27.41,4.801
TucIII-J235550,Fe I,4736.77,3.209,-0.670,50.16,4.957
TucIII-J235550,Fe I,4871.32,2.865,-0.340,62.28,4.466
TucIII-J235550,Fe I,4872.14,2.880,-0.570,78.78,5.102
TucIII-J235550,Fe I,4890.76,2.876,-0.380,74.89,4.811
TucIII-J235550,Fe I,4891.49,2.850,-0.110,82.21,4.686
TucIII-J235550,Fe I,4903.31,2.882,-0.890,47.30,4.712
TucIII-J235550,Fe I,4918.99,2.860,-0.340,69.28,4.616
TucIII-J235550,Fe I,4920.50,2.830,0.070,96.12,4.802
TucIII-J235550,Fe I,4924.77,2.277,-2.110,23.95,4.711
TucIII-J235550,Fe I,4938.81,2.880,-1.080,27.45,4.479
TucIII-J235550,Fe I,4939.69,0.858,-3.250,69.49,5.126
TucIII-J235550,Fe I,4946.39,3.368,-1.110,25.20,5.033
TucIII-J235550,Fe I,5041.76,1.484,-2.200,78.39,5.011
TucIII-J235550,Fe I,5049.82,2.277,-1.350,84.98,5.314
TucIII-J235550,Fe I,5051.64,0.914,-2.760,61.67,4.505
TucIII-J235550,Fe I,5083.34,0.957,-2.840,74.62,4.947
TucIII-J235550,Fe I,5098.70,2.174,-2.030,46.64,4.984
TucIII-J235550,Fe I,5110.41,0.000,-3.760,87.99,5.032
TucIII-J235550,Fe I,5123.72,1.010,-3.060,63.70,4.959
TucIII-J235550,Fe I,5127.36,0.914,-3.250,49.69,4.729
TucIII-J235550,Fe I,5150.84,0.989,-3.040,67.04,4.987
TucIII-J235550,Fe I,5166.28,0.000,-4.120,65.35,4.811
TucIII-J235550,Fe I,5171.60,1.484,-1.720,83.06,4.679
TucIII-J235550,Fe I,5191.45,3.040,-0.550,75.14,5.142
TucIII-J235550,Fe I,5192.34,3.000,-0.420,73.04,4.916
TucIII-J235550,Fe I,5194.94,1.556,-2.020,77.67,4.920
TucIII-J235550,Fe I,5198.71,2.221,-2.090,51.78,5.189
TucIII-J235550,Fe I,5202.34,2.174,-1.870,63.37,5.161
TucIII-J235550,Fe I,5215.18,3.263,-0.860,22.14,4.565
TucIII-J235550,Fe I,5216.27,1.607,-2.080,57.29,4.555
TucIII-J235550,Fe I,5217.39,3.209,-1.070,30.37,4.907
TucIII-J235550,Fe I,5232.94,2.940,-0.060,73.15,4.483
TucIII-J235550,Fe I,5263.31,3.263,-0.870,21.12,4.545
TucIII-J235550,Fe I,5266.56,3.000,-0.390,49.67,4.373
TucIII-J235550,Fe I,5281.79,3.040,-0.830,41.55,4.696
TucIII-J235550,Fe I,5332.90,1.556,-2.780,19.15,4.357
TucIII-J235550,Fe I,5339.93,3.263,-0.630,20.54,4.285
TucIII-J235550,Fe I,5341.02,1.607,-1.950,82.38,5.012
TucIII-J235550,Fe I,5367.47,4.420,0.440,40.46,5.032
TucIII-J235550,Fe I,5369.96,4.370,0.540,34.62,4.752
TucIII-J235550,Fe I,5383.37,4.310,0.650,29.67,4.462
TucIII-J235550,Fe I,5393.17,3.241,-0.720,43.78,4.864
TucIII-J235550,Fe I,5424.07,4.320,0.520,28.40,4.573
TucIII-J235550,Fe I,5497.52,1.010,-2.830,80.34,5.080
TucIII-J235550,Fe I,5501.47,0.957,-3.050,76.36,5.137
TucIII-J235550,Fe I,5506.78,0.989,-2.790,94.32,5.374
TucIII-J235550,Fe I,5572.84,3.394,-0.280,58.23,4.887
TucIII-J235550,Fe I,5586.76,3.366,-0.110,58.65,4.692
TucIII-J235550,Fe I,5615.64,3.332,0.040,73.79,4.826
