Found, Query_ID           , RA_input   , DEC_input   , MAIN_ID                , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE    , SP_TYPE, RA_2         , DEC_2        , PMRA  , PMDEC , PLX_VALUE, RV_VALUE   , SCRIPT_NUMBER_ID
True , [CSF2018] 10-8-2148, 01:00:23.49, -33:41:46.18, SCMS  766              , 01 00 23.5019, -33 41 46.172,      14,       14,       0.2326,       0.1061,            90, A       , O             , 2020yCat.1350....0G,       , 20.34 , 19.79 ,       ,       ,       ,       ,       , ChemPec* ,        , 01 00 23.5019, -33 41 46.172, 0.173 , -0.049,          ,            ,                1
True , [CSF2018] 10-8-2211, 01:00:22.74, -33:51:22.84, 2MASS J01002275-3351227, 01 00 22.7426, -33 51 22.808,      14,       14,       0.066 ,       0.0336,            90, A       , O             , 2020yCat.1350....0G,       ,       , 18.04 ,       , 16.79 , 15.97 , 15.33 , 14.98 , ChemPec* ,        , 01 00 22.7426, -33 51 22.808, 0.174 , -0.139,          , 110.2      ,                1
True , [CSF2018] 10-8-2558, 01:00:17.03, -33:42:47.26, SCMS  985              , 01 00 17.0382, -33 42 47.261,      14,       14,       0.1283,       0.0613,            90, A       , O             , 2020yCat.1350....0G,       , 19.59 , 18.8  ,       , 17.844, 17.22 , 16.71 , 16.6  , RGB*     ,        , 01 00 17.0382, -33 42 47.261, 0.069 , 0.243 ,          ,            ,                1
True , [CSF2018] 10-8-2635, 01:00:15.87, -33:45:01.90, SCMS  823              , 01 00 15.8776, -33 45 01.929,      14,       14,       0.1143,       0.0572,            90, A       , O             , 2020yCat.1350....0G,       , 19.52 , 18.78 ,       ,       , 17.03 , 16.47 , 16.45 , ChemPec* ,        , 01 00 15.8776, -33 45 01.929, -0.007, -0.33 ,    0.2132,            ,                1
True , [CSF2018] 10-8-2647, 01:00:15.67, -33:45:59.96, SCMS  526              , 01 00 15.6769, -33 46 00.010,      14,       14,       0.2269,       0.1083,            90, A       , O             , 2020yCat.1350....0G,       , 20.5  , 19.79 ,       ,       ,       ,       ,       , ChemPec* ,        , 01 00 15.6769, -33 46 00.010, 0.661 , -0.189,          ,            ,                1
True , [CSF2018] 10-8-265 , 01:01:27.22, -33:45:15.31, [CSF2018] 10-8-265     , 01 01 27.2223, -33 45 15.377,      14,       14,       0.1906,       0.084 ,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       , 17.66 , 17.1  , 17.07 , ChemPec* ,        , 01 01 27.2223, -33 45 15.377, 0.153 , -0.188,          ,            ,                1
True , [CSF2018] 10-8-2669, 01:00:15.26, -33:45:49.87, SCMS  528              , 01 00 15.2626, -33 45 49.908,      14,       14,       0.1703,       0.0651,            90, A       , O             , 2020yCat.1350....0G,       , 19.61 , 18.95 ,       , 17.9  , 17.3  , 16.81 , 16.78 , ChemPec* ,        , 01 00 15.2626, -33 45 49.908, 0.439 , -0.304,    0.2569, 124.9      ,                1
True , [CSF2018] 10-8-2730, 01:00:14.49, -33:47:50.49, 2MASS J01001452-3347501, 01 00 14.4998, -33 47 50.544,      14,       14,       0.07  ,       0.0367,            90, A       , O             , 2020yCat.1350....0G,       , 18.85 , 17.936,       , 16.877, 16.15 , 15.71 , 15.59 , RGB*     ,        , 01 00 14.4998, -33 47 50.544, 0.131 , -0.118,          ,            ,                1
True , [CSF2018] 10-8-2818, 01:00:12.95, -33:42:03.91, 2MASS J01001295-3342038, 01 00 12.9546, -33 42 03.847,      14,       14,       0.0777,       0.0366,            90, A       , O             , 2020yCat.1350....0G,       , 18.96 , 18.029,       , 16.84 , 16.11 , 15.47 , 15.38 , RGB*     ,        , 01 00 12.9546, -33 42 03.847, 0.198 , -0.164,    0.0346, 103.85     ,                1
True , [CSF2018] 10-8-2824, 01:00:12.77, -33:38:53.56, SCMS  712              , 01 00 12.7824, -33 38 53.574,      14,       14,       0.1533,       0.073 ,            90, A       , O             , 2020yCat.1350....0G,       , 19.85 , 19.19 ,       , 18.04 ,       ,       ,       , ChemPec* ,        , 01 00 12.7824, -33 38 53.574, 0.394 , -0.203,    0.2015, 92.3       ,                1
True , [CSF2018] 10-8-2908, 01:00:11.72, -33:44:50.34, 2MASS J01001174-3344503, 01 00 11.7319, -33 44 50.369,      14,       14,       0.0633,       0.0311,            90, A       , O             , 2020yCat.1350....0G,       , 18.84 , 17.809,       , 16.58 , 15.85 , 15.23 , 15.16 , RGB*     ,        , 01 00 11.7319, -33 44 50.369, 0.165 , -0.13 ,          , -183.944   ,                1
True , [CSF2018] 10-8-2927, 01:00:11.30, -33:39:35.67, 2MASS J01001133-3339355, 01 00 11.3080, -33 39 35.665,      14,       14,       0.082 ,       0.0396,            90, A       , O             , 2020yCat.1350....0G,       , 19.13 , 18.055,       , 16.992, 16.27 , 15.93 , 15.24 , RGB*     ,        , 01 00 11.3080, -33 39 35.665, 0.126 , -0.204,    0.2137, 110.4      ,                1
True , [CSF2018] 10-8-2933, 01:00:11.19, -33:40:38.65, SCMS  934              , 01 00 11.2007, -33 40 38.633,      14,       14,       0.1854,       0.0864,            90, A       , O             , 2020yCat.1350....0G,       , 19.91 , 19.44 ,       , 18.38 ,       ,       ,       , ChemPec* ,        , 01 00 11.2007, -33 40 38.633, -0.116, 0.099 ,          , 104.9      ,                1
True , [CSF2018] 10-8-3045, 01:00:09.72, -33:47:00.79, SCMS  158              , 01 00 09.7274, -33 47 00.835,      14,       14,       0.1373,       0.0742,            90, A       , O             , 2020yCat.1350....0G,       , 19.6  , 19.13 ,       ,       ,       ,       ,       , ChemPec* ,        , 01 00 09.7274, -33 47 00.835, 0.042 , -0.102,          ,            ,                1
True , [CSF2018] 10-8-3111, 01:00:08.86, -33:49:49.67, EV* SclG V0524         , 01 00 08.8678, -33 49 49.647,      14,       14,       0.2095,       0.1114,            90, A       , O             , 2020yCat.1350....0G,       ,       , 19.66 ,       ,       ,       ,       ,       , Variable*,        , 01 00 08.8678, -33 49 49.647, 0.115 , -0.531,    0.8097,            ,                1
True , [CSF2018] 10-8-3167, 01:00:07.86, -33:47:07.62, SCMS  163              , 01 00 07.8678, -33 47 07.655,      14,       14,       0.1802,       0.0953,            90, A       , O             , 2020yCat.1350....0G,       , 20.26 , 19.64 ,       ,       ,       ,       ,       , ChemPec* ,        , 01 00 07.8678, -33 47 07.655, 0.515 , -0.212,    0.2152,            ,                1
True , [CSF2018] 10-8-3188, 01:00:07.66, -33:49:46.99, SCMS 1319              , 01 00 07.6716, -33 49 46.993,      14,       14,       0.1543,       0.0839,            90, A       , O             , 2020yCat.1350....0G,       , 19.71 , 19.27 ,       ,       ,       ,       ,       , ChemPec* ,        , 01 00 07.6716, -33 49 46.993, -0.113, 0.117 ,    0.0638,            ,                1
True , [CSF2018] 10-8-320 , 01:01:22.24, -33:46:21.81, [MFW2011] 24017        , 01 01 22.2460, -33 46 21.849,      14,       14,       0.0672,       0.0346,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       , 16.009, 15.309, 15.397, ChemPec* ,        , 01 01 22.2460, -33 46 21.849, -0.043, -0.101,    0.0547, 87.59      ,                1
True , [CSF2018] 10-8-3315, 01:00:05.93, -33:45:56.39, 2MASS J01000594-3345564, 01 00 05.9357, -33 45 56.440,      14,       14,       0.0692,       0.0355,            90, A       , O             , 2020yCat.1350....0G,       , 19.02 , 17.964,       , 16.715, 15.98 , 15.29 , 15.27 , RGB*     ,        , 01 00 05.9357, -33 45 56.440, -0.019, -0.032,    0.0037, 104.52     ,                1
True , [CSF2018] 10-8-3520, 01:00:03.27, -33:47:44.44, SCMS  171              , 01 00 03.2820, -33 47 44.439,      14,       14,       0.1081,       0.0549,            90, A       , O             , 2020yCat.1350....0G,       , 19.49 , 18.75 ,       , 17.56 , 16.89 , 16.39 , 16.31 , ChemPec* ,        , 01 00 03.2820, -33 47 44.439, 0.171 , -0.167,    0.345 , 111.0      ,                1
True , [CSF2018] 10-8-3558, 01:00:02.65, -33:49:18.73, SCMS 1333              , 01 00 02.6574, -33 49 18.694,      14,       14,       0.2181,       0.1152,            90, A       , O             , 2020yCat.1350....0G,       , 20.01 , 19.53 ,       ,       ,       ,       ,       , ChemPec* ,        , 01 00 02.6574, -33 49 18.694, 0.477 , -0.561,    0.7004,            ,                1
True , [CSF2018] 10-8-3625, 01:00:01.44, -33:51:16.74, 2MASS J01000146-3351167, 01 00 01.4579, -33 51 16.639,      14,       14,       0.0606,       0.0322,            90, A       , O             , 2020yCat.1350....0G,       ,       , 17.716,       , 16.595, 15.89 , 15.44 , 15.17 , RGB*     ,        , 01 00 01.4579, -33 51 16.639, 0.111 , -0.131,    0.0118, 588.111023 ,                1
True , [CSF2018] 10-8-3698, 01:00:00.04, -33:45:28.81, 2MASS J01000005-3345287, 01 00 00.0485, -33 45 28.843,      14,       14,       0.0981,       0.0502,            90, A       , O             , 2020yCat.1350....0G,       , 19.28 , 18.328,       , 17.277, 16.74 , 15.77 , 15.98 , RGB*     ,        , 01 00 00.0485, -33 45 28.843, -0.013, -0.111,    0.3059, 108.1      ,                1
True , [CSF2018] 10-8-3709, 00:59:59.95, -33:47:02.03, SCMS  187              , 00 59 59.9781, -33 47 02.028,      14,       14,       0.2939,       0.1543,            90, A       , O             , 2020yCat.1350....0G,       , 20.38 , 19.62 ,       ,       ,       ,       ,       , ChemPec* ,        , 00 59 59.9781, -33 47 02.028, -0.037, -0.198,    0.544 ,            ,                1
