Name,RA_hms,DEC_dms
[CSF2018] 10-7-442,01:00:50.35,-33:52:15.67
[CSF2018] 10-7-486,01:00:45.42,-33:52:14.68
[CSF2018] 10-7-790,01:00:12.64,-33:53:09.36
[CSF2018] 10-7-923,01:00:01.12,-33:59:21.38
[CSF2018] 10-8-1226,01:00:42.96,-33:47:06.35
[CSF2018] 10-8-1566,01:00:33.94,-33:40:08.24
[CSF2018] 10-8-2714,01:00:14.74,-33:51:18.29
[CSF2018] 10-8-3804,00:59:58.91,-33:50:53.61
[CSF2018] 10-8-3810,00:59:58.64,-33:43:29.30
[CSF2018] 10-8-3963,00:59:56.17,-33:43:04.89
[CSF2018] 11-1-3334,00:59:49.62,-33:40:41.78
[CSF2018] 11-1-4121,00:59:41.05,-33:45:25.28
[CSF2018] 11-1-4296,00:59:38.75,-33:46:14.58
[CSF2018] 11-1-4422,00:59:36.61,-33:40:38.51
[CSF2018] 11-1-4673,00:59:33.64,-33:49:10.10
[CSF2018] 11-1-6015,00:59:10.25,-33:45:53.36
[CSF2018] 11-1-6440,00:59:00.13,-33:38:50.96
[CSF2018] 11-2-556,00:59:37.91,-33:55:26.68
[CSF2018] 11-2-661,00:59:25.63,-33:58:21.42
[CSF2018] 6-5-1035,01:00:19.33,-33:37:11.74
[CSF2018] 6-5-1598,00:59:59.09,-33:36:44.90
[CSF2018] 6-5-505,01:00:45.76,-33:38:34.83
[CSF2018] 6-6-402,01:00:00.39,-33:29:15.21
[CSF2018] 7-4-1992,00:59:42.30,-33:35:47.28
[CSF2018] 7-4-2408,00:59:30.43,-33:36:05.23
[CSF2018] 7-4-3280,00:58:37.07,-33:34:08.10
BPS CS 29497-034,00:41:39.82,-26:18:54.46
