Name,Species,N,l_logepsX,logepsX,e_stat,[X/H],e_[X/H],[X/Fe],e_[X/Fe]
CarII-5664,Mn I,3,,0.91,0.11,-4.52,0.25,-0.99,0.12
CarII-5664,Fe I,113,,3.97,0.01,-3.53,0.18,0.00,0.02
CarII-5664,Fe II,10,,3.96,0.04,-3.54,0.10,0.00,0.05
CarII-5664,Co I,4,,1.47,0.07,-3.52,0.22,0.00,0.08
CarII-5664,Ni I,1,,2.25,0.20,-3.96,0.28,-0.44,0.21
CarII-5664,Sr II,2,,-2.86,0.09,-5.73,0.16,-2.19,0.12
CarII-5664,C-H,2,,4.74,0.21,-3.69,0.48,-0.17,0.33
CarII-5664,O I,2,<,6.88,,-1.81,,1.72,
CarII-5664,Cu I,2,<,1.47,,-2.72,,0.80,
CarII-5664,Zn I,2,<,1.54,,-3.02,,0.50,
CarII-5664,Ba II,2,<,-3.29,,-5.47,,-1.93,
CarII-5664,Eu II,2,<,-2.81,,-3.33,,0.21,
CarII-5664,C-N,2,<,5.79,,-2.04,,1.48,
CarII-6544,O I,2,,6.99,0.09,-1.70,0.18,0.96,0.21
CarII-6544,Na I,2,,3.53,0.20,-2.71,0.44,-0.05,0.28
CarII-6544,Mg I,7,,5.11,0.08,-2.49,0.16,0.17,0.10
CarII-6544,Al I,2,,3.17,0.25,-3.28,0.36,-0.62,0.26
CarII-6544,Si I,2,,5.16,0.25,-2.35,0.36,0.31,0.26
CarII-6544,K I,1,,2.69,0.20,-2.34,0.28,0.32,0.20
CarII-6544,Ca I,21,,3.78,0.03,-2.56,0.15,0.10,0.07
CarII-6544,Sc II,11,,0.33,0.04,-2.82,0.11,-0.16,0.06
CarII-6544,Ti I,22,,2.19,0.04,-2.77,0.29,-0.11,0.10
CarII-6544,Ti II,44,,2.34,0.02,-2.61,0.12,0.05,0.08
CarII-6544,Cr I,16,,2.84,0.03,-2.80,0.27,-0.15,0.07
CarII-6544,Cr II,1,,3.12,0.14,-2.52,0.19,0.14,0.15
CarII-6544,Mn I,7,,2.29,0.06,-3.14,0.22,-0.48,0.07
CarII-6544,Fe I,144,,4.84,0.01,-2.66,0.21,0.00,0.02
CarII-6544,Fe II,22,,4.84,0.03,-2.66,0.13,0.00,0.05
CarII-6544,Co I,5,,2.19,0.12,-2.80,0.27,-0.14,0.13
CarII-6544,Ni I,12,,3.43,0.04,-2.79,0.20,-0.13,0.05
CarII-6544,Zn I,1,,1.47,0.13,-3.09,0.15,-0.43,0.23
CarII-6544,Sr II,2,,-1.58,0.15,-4.45,0.25,-1.79,0.21
CarII-6544,Ba II,4,,-2.00,0.10,-4.18,0.16,-1.52,0.15
CarII-6544,C-H,2,,5.24,0.16,-3.19,0.35,-0.54,0.21
CarII-6544,C-N,1,,5.48,0.54,-2.35,0.67,0.31,0.58
CarII-6544,Cu I,1,<,1.48,,-2.71,,-0.06,
CarII-6544,Eu II,1,<,-2.34,,-2.86,,-0.20,
CarII-7872,O I,2,,7.56,0.07,-1.13,0.15,1.38,0.21
CarII-7872,Na I,2,,3.21,0.18,-3.03,0.39,-0.52,0.23
CarII-7872,Mg I,5,,5.09,0.06,-2.51,0.20,-0.00,0.08
CarII-7872,Al I,2,,3.59,0.27,-2.86,0.43,-0.35,0.31
CarII-7872,Si I,2,,5.17,0.32,-2.34,0.43,0.17,0.34
CarII-7872,K I,2,,2.83,0.12,-2.20,0.25,0.31,0.12
CarII-7872,Ca I,12,,3.83,0.04,-2.51,0.17,0.00,0.07
CarII-7872,Sc II,5,,0.54,0.06,-2.61,0.16,-0.12,0.08
CarII-7872,Ti I,18,,2.38,0.04,-2.57,0.30,-0.06,0.10
CarII-7872,Ti II,27,,2.55,0.03,-2.40,0.12,0.09,0.09
CarII-7872,Cr I,16,,2.86,0.04,-2.78,0.27,-0.27,0.07
CarII-7872,Mn I,6,,2.29,0.08,-3.13,0.20,-0.62,0.10
CarII-7872,Fe I,123,,4.99,0.02,-2.51,0.21,0.00,0.02
CarII-7872,Fe II,20,,5.01,0.04,-2.49,0.13,0.00,0.06
CarII-7872,Co I,5,,2.36,0.10,-2.63,0.22,-0.12,0.11
CarII-7872,Ni I,10,,3.62,0.05,-2.60,0.20,-0.08,0.06
CarII-7872,Zn I,1,,1.73,0.10,-2.83,0.12,-0.32,0.23
CarII-7872,Sr II,1,,-1.03,0.36,-3.90,0.46,-1.41,0.41
CarII-7872,Ba II,5,,-0.89,0.06,-3.07,0.16,-0.57,0.13
CarII-7872,C-H,2,,6.24,0.14,-2.19,0.31,0.32,0.20
CarII-7872,C-N,1,,6.48,0.53,-1.35,0.55,1.17,0.55
CarII-7872,Cu I,1,<,1.42,,-2.77,,-0.25,
CarII-7872,Eu II,1,<,-2.59,,-3.11,,-0.61,
CarII-9296,Na I,2,,3.38,0.15,-2.86,0.33,0.03,0.19
CarII-9296,Mg I,5,,5.18,0.09,-2.42,0.21,0.47,0.11
CarII-9296,Al I,2,,3.42,0.35,-3.04,0.44,-0.15,0.40
CarII-9296,Si I,2,,4.71,0.28,-2.80,0.39,0.09,0.29
CarII-9296,Ca I,12,,3.82,0.05,-2.52,0.17,0.37,0.09
CarII-9296,Sc II,6,,0.37,0.07,-2.78,0.18,0.13,0.11
CarII-9296,Ti I,4,,2.60,0.15,-2.35,0.30,0.54,0.16
CarII-9296,Ti II,18,,2.49,0.05,-2.46,0.18,0.45,0.12
CarII-9296,Cr I,4,,2.28,0.15,-3.36,0.35,-0.47,0.18
CarII-9296,Mn I,3,,2.22,0.36,-3.21,0.42,-0.32,0.36
CarII-9296,Fe I,72,,4.61,0.03,-2.89,0.23,0.00,0.05
CarII-9296,Fe II,8,,4.59,0.08,-2.91,0.17,0.00,0.11
CarII-9296,Co I,2,,1.76,0.21,-3.23,0.36,-0.34,0.23
CarII-9296,Ni I,1,,3.24,0.34,-2.98,0.42,-0.09,0.34
CarII-9296,Sr II,2,,-1.28,0.26,-4.15,0.39,-1.25,0.32
CarII-9296,Ba II,3,,-1.95,0.14,-4.13,0.25,-1.23,0.22
CarII-9296,C-H,2,,5.72,0.32,-2.71,0.56,0.17,0.41
CarII-9296,O I,2,<,7.88,,-0.81,,2.08,
CarII-9296,K I,2,<,3.13,,-1.90,,0.99,
CarII-9296,Cu I,2,<,2.38,,-1.81,,1.07,
CarII-9296,Zn I,2,<,2.70,,-1.86,,1.03,
CarII-9296,Eu II,2,<,-1.44,,-1.96,,0.95,
CarII-9296,C-N,2,<,6.31,,-1.52,,1.37,
CarII-V3,Na I,2,,3.04,0.13,-3.20,0.27,-0.56,0.15
CarII-V3,Mg I,2,,5.62,0.31,-1.98,0.40,0.67,0.33
CarII-V3,Al I,2,,3.24,0.16,-3.21,0.32,-0.56,0.17
CarII-V3,Si I,1,,4.29,0.31,-3.22,0.41,-0.57,0.31
CarII-V3,Ca I,1,,4.01,0.36,-2.33,0.49,0.31,0.38
CarII-V3,Sc II,2,,0.66,0.17,-2.49,0.26,0.23,0.21
CarII-V3,Ti II,14,,2.53,0.05,-2.42,0.18,0.30,0.11
CarII-V3,Cr I,3,,2.88,0.13,-2.76,0.35,-0.12,0.14
CarII-V3,Fe I,22,,4.85,0.04,-2.65,0.28,0.00,0.06
CarII-V3,Fe II,8,,4.78,0.06,-2.72,0.13,0.00,0.09
CarIII-1120,Na I,2,,3.75,0.20,-2.49,0.45,1.39,0.26
CarIII-1120,Mg I,5,,4.94,0.10,-2.66,0.23,1.22,0.13
CarIII-1120,Al I,2,,2.41,0.37,-4.04,0.46,-0.17,0.45
CarIII-1120,Si I,1,,4.72,0.42,-2.79,0.50,1.08,0.42
CarIII-1120,Ca I,1,,2.93,0.22,-3.41,0.28,0.46,0.24
CarIII-1120,Sc II,5,,-0.60,0.12,-3.75,0.18,0.14,0.16
CarIII-1120,Ti II,6,,1.36,0.07,-3.59,0.18,0.30,0.14
CarIII-1120,Cr I,2,,1.29,0.17,-4.34,0.33,-0.47,0.18
CarIII-1120,Mn I,3,,0.86,0.18,-4.57,0.25,-0.70,0.22
CarIII-1120,Fe I,48,,3.63,0.03,-3.87,0.27,0.00,0.05
CarIII-1120,Fe II,4,,3.61,0.08,-3.89,0.14,0.00,0.12
CarIII-1120,Co I,3,,1.62,0.17,-3.37,0.28,0.51,0.20
CarIII-1120,Sr II,2,,-2.75,0.24,-5.62,0.28,-1.72,0.26
CarIII-1120,C-H,2,,5.81,0.28,-2.62,0.63,1.25,0.43
CarIII-1120,O I,2,<,7.50,,-1.19,,2.68,
CarIII-1120,K I,2,<,2.31,,-2.72,,1.15,
CarIII-1120,Ni I,2,<,3.12,,-3.10,,0.78,
CarIII-1120,Cu I,2,<,2.07,,-2.12,,1.75,
CarIII-1120,Zn I,2,<,2.55,,-2.01,,1.86,
CarIII-1120,Ba II,2,<,-2.48,,-4.66,,-0.76,
CarIII-1120,Eu II,2,<,-1.82,,-2.34,,1.55,
CarIII-1120,C-N,2,<,5.15,,-2.68,,1.20,
CarIII-8144,Na I,2,,3.97,0.14,-2.27,0.31,-0.00,0.19
CarIII-8144,Mg I,7,,5.58,0.08,-2.02,0.18,0.25,0.10
CarIII-8144,Al I,2,,3.58,0.23,-2.87,0.27,-0.60,0.24
CarIII-8144,Si I,2,,5.84,0.18,-1.67,0.32,0.60,0.21
CarIII-8144,K I,1,,3.86,0.21,-1.17,0.29,1.09,0.22
CarIII-8144,Ca I,24,,4.62,0.03,-1.72,0.14,0.55,0.05
CarIII-8144,Sc II,5,,1.42,0.07,-1.73,0.17,0.50,0.10
CarIII-8144,Ti I,15,,3.05,0.02,-1.90,0.21,0.36,0.05
CarIII-8144,Ti II,38,,3.14,0.03,-1.81,0.14,0.43,0.08
CarIII-8144,Cr I,13,,3.23,0.05,-2.41,0.20,-0.14,0.06
CarIII-8144,Cr II,2,,3.67,0.08,-1.97,0.14,0.26,0.10
CarIII-8144,Mn I,7,,2.97,0.11,-2.46,0.19,-0.19,0.12
CarIII-8144,Fe I,147,,5.23,0.01,-2.27,0.18,0.00,0.02
CarIII-8144,Fe II,16,,5.27,0.04,-2.23,0.13,0.00,0.06
CarIII-8144,Co I,3,,2.56,0.14,-2.43,0.24,-0.16,0.16
CarIII-8144,Ni I,4,,3.85,0.08,-2.37,0.19,-0.10,0.09
CarIII-8144,Zn I,2,,2.84,0.08,-1.72,0.12,0.55,0.15
CarIII-8144,Sr II,2,,-0.75,0.26,-3.62,0.38,-1.39,0.32
CarIII-8144,Ba II,1,,-2.07,0.14,-4.25,0.18,-2.02,0.17
CarIII-8144,C-H,2,,6.31,0.16,-2.12,0.35,0.15,0.23
CarIII-8144,O I,2,<,8.17,,-0.52,,1.74,
CarIII-8144,Cu I,2,<,2.50,,-1.69,,0.58,
CarIII-8144,Eu II,2,<,-1.30,,-1.82,,0.42,
CarIII-8144,C-N,2,<,6.03,,-1.80,,0.46,
