name,Element,N,Solar,Logeps,[X/H],[X/Fe],[X/H]_err,ul,[X/H]_errteff,[X/H]_errlogg,[X/H]_errvt,[X/H]_errsys,[X/H]_errtot,[X/Fe]_errteff,[X/Fe]_errlogg,[X/Fe]_errvt,[X/Fe]_errsys,[X/Fe]_errtot
lmc124,20.0,13,6.34,3.74,-2.6,0.37,0.21,0.0,0.14,-0.03,-0.02,0.14,0.25,-0.1,0.01,0.03,0.1,0.23
lmc124,21.1,8,3.15,0.28,-2.87,0.1,0.21,0.0,0.07,0.08,-0.04,0.11,0.24,-0.17,0.12,0.01,0.21,0.3
lmc124,22.0,10,4.95,2.22,-2.73,0.24,0.21,0.0,0.23,-0.04,-0.02,0.23,0.31,-0.01,-0.0,0.03,0.03,0.21
lmc124,22.1,29,4.95,2.36,-2.59,0.38,0.22,0.0,0.06,0.09,-0.03,0.11,0.25,-0.18,0.13,0.02,0.22,0.31
lmc124,23.0,1,3.93,1.12,-2.81,0.16,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc124,23.1,1,3.93,1.68,-2.26,0.71,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc124,24.0,8,5.64,2.44,-3.2,-0.23,0.21,0.0,0.21,-0.04,-0.01,0.21,0.3,-0.03,0.0,0.04,0.05,0.22
lmc124,25.0,1,5.43,2.38,-3.05,-0.08,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc124,26.0,87,7.5,4.53,-2.97,0.0,0.21,0.0,0.24,-0.04,-0.05,0.25,0.33,-0.0,-0.0,0.0,0.0,0.21
lmc124,26.1,16,7.5,4.59,-2.91,0.06,0.21,0.0,0.0,0.1,-0.03,0.1,0.23,-0.24,0.14,0.02,0.28,0.35
lmc124,27.0,2,4.99,1.78,-3.21,-0.24,0.21,0.0,0.25,-0.04,-0.03,0.25,0.33,0.01,0.0,0.02,0.02,0.21
lmc124,28.0,5,6.22,3.3,-2.92,0.05,0.21,0.0,0.19,-0.02,-0.01,0.19,0.28,-0.05,0.02,0.04,0.07,0.22
lmc124,38.1,2,2.87,-0.14,-3.01,-0.04,0.21,0.0,0.13,0.06,-0.17,0.22,0.3,-0.11,0.1,-0.12,0.19,0.28
lmc124,39.1,2,2.21,-0.9,-3.11,-0.14,0.21,0.0,0.08,0.1,-0.01,0.13,0.25,-0.16,0.14,0.04,0.22,0.3
lmc124,40.1,1,2.58,0.32,-2.26,0.71,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc124,56.1,4,2.18,-1.47,-3.65,-0.68,0.21,0.0,0.11,0.09,-0.03,0.15,0.26,-0.13,0.13,0.02,0.18,0.28
