41                           , Segue 3      , -0.74 +or- 0.37                    , -0.93 +or- 0.56 , -0.87 +or- 0.67 , 2.280 +or- 0.268                         , ${23.84}_{-1.02}^{+1.09}$, ${26.31}_{-1.02}^{+1.09}$,  
42                           , Pisces II    , -3.87 +or- 0.24                    , -4.45 +or- 0.30 , -4.22 +or- 0.38 , 3.620 +or- 0.152                         , ${26.52}_{-0.71}^{+0.77}$, ${28.60}_{-0.71}^{+0.77}$,  
43                           , Palomar 13   , -2.49 +or- 0.29                    , -3.06 +or- 0.47 , -2.84 +or- 0.55 , 3.066 +or- 0.220                         , 22.14 +or- 0.70          , 26.60 +or- 0.70          ,  
44                           , NGC 7492     , -5.75 +or- 0.03                    , -6.34 +or- 0.03 , -6.11 +or- 0.04 , 4.375 +or- 0.016                         , 21.22 +or- 0.06          , 23.04 +or- 0.06          ,  
Secondary Sample             ,              ,                                    ,                 ,                 ,                                          ,                          ,                          ,  
1                            , Laevens 2    , -1.46 +or- 0.42                    , -1.67 +or- 0.63 , -1.60 +or- 0.76 , 2.572 +or- 0.304                         , ${25.72}_{-1.16}^{+1.24}$, ${28.52}_{-1.16}^{+1.24}$,  
2                            , Eridanus III , -2.01 +or- 0.60                    , -2.61 +or- 0.61 , -2.37 +or- 0.86 , 2.881 +or- 0.344                         , ${22.84}_{-2.13}^{+4.28}$, ${26.04}_{-2.12}^{+4.28}$,  
3                            , Horologium I , -3.31 +or- 0.37                    , -3.69 +or- 0.42 , -3.55 +or- 0.56 , 3.351 +or- 0.224                         , ${26.28}_{-0.99}^{+1.10}$, ${28.05}_{-0.99}^{+1.10}$,  
4                            , Horologium II, -1.28 +or- 0.69                    , -1.73 +or- 0.75 , -1.56 +or- 1.02 , 2.555 +or- 0.408                         , ${27.64}_{-1.85}^{+2.37}$, ${29.65}_{-1.85}^{+2.37}$,  
5                            , Reticulum II , -3.65 +or- 0.24                    , -4.01 +or- 0.29 , -3.88 +or- 0.38 , 3.482 +or- 0.152                         , 26.77 +or- 0.46          , 27.72 +or- 0.46          ,  
6                            , Eridanus II  , -6.89 +or- 0.06                    , -7.41 +or- 0.07 , -7.21 +or- 0.09 , 4.815 +or- 0.036                         , 26.63 +or- 0.30          , 27.95 +or- 0.30          ,  
7                            , Pictoris I   , -3.16 +or- 0.41                    , -3.63 +or- 0.44 , -3.45 +or- 0.60 , 3.311 +or- 0.240                         , ${24.50}_{-1.46}^{+2.04}$, ${27.42}_{-1.46}^{+2.04}$,  
8                            , Laevens 1    , -4.62 +or- 0.22                    , -4.90 +or- 0.25 , -4.80 +or- 0.33 , 3.852 +or- 0.132                         , ${24.48}_{-0.62}^{+0.66}$, ${25.80}_{-0.62}^{+0.66}$,  
9                            , Hydra II     , -4.32 +or- 0.25                    , -4.77 +or- 0.27 , -4.60 +or- 0.37 , 3.771 +or- 0.148                         , ${26.14}_{-0.79}^{+0.89}$, ${28.39}_{-0.79}^{+0.89}$,  
10                           , Indus I      , -3.01 +or- 0.43                    , -3.52 +or- 0.45 , -3.32 +or- 0.62 , 3.260 +or- 0.248                         , ${24.38}_{-1.53}^{+2.20}$, ${26.67}_{-1.53}^{+2.20}$,  
11                           , Balbinot 1   , -0.94 +or- 0.60                    , -1.40 +or- 0.66 , -1.22 +or- 0.89 , 2.421 +or- 0.356                         , ${24.36}_{-1.16}^{+1.19}$, ${27.22}_{-1.16}^{+1.19}$,  
                             , Kim 1        , +0.98 +or- 0.71                    , +0.58 +or- 0.78 , +0.73 +or- 1.05 , 1.639 +or- 0.420                         , ${25.21}_{-1.51}^{+1.64}$, ${27.54}_{-1.51}^{+1.64}$,  
12                           , Grus I       , -3.27 +or- 0.39                    , -3.59 +or- 0.44 , -3.47 +or- 0.59 , 3.321 +or- 0.236                         , ${26.86}_{-1.35}^{+1.77}$, ${29.39}_{-1.35}^{+1.77}$,  
13                           , Phoenix II   , -3.09 +or- 0.42                    , -3.42 +or- 0.47 , -3.30 +or- 0.63 , 3.252 +or- 0.252                         , ${25.85}_{-0.97}^{+1.03}$, ${27.96}_{-0.97}^{+1.03}$,  
