JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7406,,ROE10c,Roederer+2010c,CS 29518-051,BPS CS 29518-0051,,,,,,,,,01:24:10.0049,-28:15:21.115,,,,,13.567,13.62,13.02,12.594,12.162,11.54,11.15,11.032,,,-2.78,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,-0.63,,,,,,,,,,,,-2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7407,,ROE10c,Roederer+2010c,CS 30306-132,BPS CS 30306-0132,,,,,,,,,15:14:18.9191,+07:27:02.680,,,,,,13.62,12.73,12.421,11.948,11.302,10.853,10.751,,,-2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,-0.78,,,,,-1.02,,,,,,,,,,,,,,,,<0.5,,,,,,,,,,Yelland
7408,,ROE10c,Roederer+2010c,CS 31078-018,BPS CS 31079-0028,,,,,,,,,03:01:00.6866,+06:16:31.808,,,,,,13.9,13.211,12.713,12.19,11.496,11.071,10.999,,,-2.84,,,,,,,,,,,,,,,,,,,,,,,,,2.13,,,,,,,-0.43,,,,,,,,,,,,-1.0,,,,,-1.17,,,,,,,,,,,,,,,,<0.25,,,,,,,,,,Yelland
7409,,ROE10c,Roederer+2010c,CS 31082-001,BD-16 251,,,,,,,,RG,01:29:31.1311,-16:00:45.495,,,,,12.527,12.427,11.642,11.189,10.713,10.053,9.612,9.464,,,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,,,,,-0.23,,,,,,,,,,,,-0.62,,,,,-0.72,,,,,,,,,,,,,,,,-0.55,,,,,,,,,,Yelland
7410,,ROE10c,Roederer+2010c,G005-001,BD+22 396,,,,,,,,,02:48:37.4276,+22:35:54.368,,,,,,10.68,,9.9,,8.875,8.539,8.501,,,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,0.73,,,,,,,,,,,,-0.09,,,,,-0.38,,,,,,,,,,,,,,,,<1.35,,,,,,,,,,Yelland
7411,,ROE10c,Roederer+2010c,G009-036,G 47-12,,,,,,,,,08:57:59.2546,+24:28:22.529,,,,,,12.52,,11.9,,10.745,10.426,10.378,,,-1.17,,,,,,,,,,,,,,,,,,,,,,,,,3.14,,,,,,,0.31,,,,,,,,,,,,0.26,,,,,-0.16,,,,,,,,,,,,,,,,1.25,,,,,,,,,,Yelland
7412,,ROE10c,Roederer+2010c,G017-025,HD 149414,,,,,,,,SB,16:34:42.3538,-04:13:44.635,,,,,10.48,10.37,9.63,,,8.055,7.637,7.517,,,-1.54,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,Yelland
7413,,ROE10c,Roederer+2010c,G023-014,BD+05 4314,,,,,,,,,19:51:49.6043,+05:36:45.901,,,,,,11.46,,10.8,,9.161,8.731,8.657,,,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,,,,,0.46,,,,,,,,,,,,-0.33,,,,,-0.58,,,,,,,,,,,,,,,,<0.75,,,,,,,,,,Yelland
7414,,ROE10c,Roederer+2010c,G028-043,BD-00 4470,,,,,,,,,23:09:32.9443,+00:42:39.749,,,,,,10.66,,9.6,,8.465,8.054,7.977,,,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,0.39,,,,,,,,,,,,-0.22,,,,,-0.53,,,,,,,,,,,,,,,,0.69,,,,,,,,,,Yelland
7415,,ROE10c,Roederer+2010c,G029-025,G 29-25,,,,,,,,,23:22:18.1564,+12:09:33.607,,,,,,11.48,,10.6,,9.474,9.155,9.071,,,-1.09,,,,,,,,,,,,,,,,,,,,,,,,,3.81,,,,,,,1.14,,,,,,,,,,,,0.19,,,,,-0.23,,,,,,,,,,,,,,,,0.8,,,,,,,,,,Yelland
