Name,Species,lambda,EW
HD 6755,Y II,5200,17.0
HD 6833,Zn I,4722,63.6
HD 6833,Zn I,4810,64.8
HD 6833,Y II,4833,85.9
HD 6833,Y II,5087,67.8
HD 6833,Y II,5200,
HD 74462,Zn I,4722,54.2
HD 74462,Zn I,4810,58.2
HD 74462,Y II,4833,70.8
HD 74462,Y II,5087,55.5
HD 74462,Y II,5200,46.0
HD 82590,Zn I,4722,19.5
HD 82590,Zn I,4810,25.3
HD 82590,Y II,4833,48.0
HD 82590,Y II,5087,28.3
HD 82590,Y II,5200,17.4
HD 85773,Zn I,4722,46.1
HD 85773,Zn I,4810,52.4
HD 85773,Y II,4833,40.5
HD 85773,Y II,5087,25.3
HD 85773,Y II,5200,
HD 88609,Zn I,4722,9.3
HD 88609,Zn I,4810,14.9
HD 88609,Y II,4833,23.0
HD 88609,Y II,5087,
HD 88609,Y II,5200,8.2
