Species,lambda,chi,loggf,EW33,loge33,EW41,loge41,EW94,loge94,EW117,loge117,EW119,loge119,EW127,loge127,EW130,loge130
Ti I,4991.06,0.84,0.38,53.3,2.29,,,53.6,2.13,90.6,2.73,,,115.0,3.01,,
Ti I,4999.50,0.83,0.25,67.5,2.59,,,45.2,2.14,88.9,2.82,,,87.8,2.73,55.3,2.48
Ti I,5064.65,0.05,-0.99,,,138.5,3.79,40.2,2.34,65.8,2.81,,,89.3,3.02,,
Ti I,5173.75,0.00,-1.12,57.3,2.81,128.5,3.68,35.7,2.33,,,,,106.5,3.30,38.5,2.60
Ti I,5192.97,0.02,-1.01,,,,,,,70.8,2.84,,,95.8,3.06,,
Ti I,5210.38,0.05,-0.88,61.3,2.68,,,46.2,2.30,72.7,2.77,,,101.5,3.04,60.5,2.72
Ti II,4865.61,1.12,-2.81,,,,,23.0,2.43,,,,,,,46.5,3.17
Ti II,5129.15,1.89,-1.30,,,,,44.0,2.20,75.5,2.89,,,81.1,3.02,,
Ti II,5185.91,1.89,-1.37,32.2,2.38,123.5,3.78,29.6,2.05,51.7,2.65,,,74.1,3.00,54.0,2.73
Ti II,5226.54,1.57,-1.23,93.4,2.67,,,76.1,2.11,91.2,2.62,,,125.0,3.16,,
Ti II,5336.77,1.58,-1.63,78.6,2.89,166.0,4.29,60.5,2.34,79.2,2.88,,,90.9,3.08,79.3,2.93
Cr I,5206.04,0.94,0.02,110.0,2.70,,,93.2,2.24,132.0,3.01,36.5,1.80,158.5,3.36,120.0,2.95
Cr I,5208.42,0.94,0.16,,,,,115.0,2.37,,,65.0,2.09,,,191.0,3.99
Cr I,5247.57,0.96,-1.64,20.8,3.08,76.2,3.88,,,29.0,3.22,,,,,,
Cr I,5296.70,0.98,-1.40,35.1,3.14,82.2,3.72,11.7,2.45,38.5,3.16,,,71.6,3.53,,
Cr I,5345.80,1.00,-0.98,,,111.5,3.71,,,64.0,3.11,,,87.8,3.34,68.7,3.25
Cr I,5348.33,1.00,-1.29,44.3,3.19,102.0,3.90,,,60.8,3.38,,,79.7,3.54,,
Cr I,5409.77,1.03,-0.72,55.5,2.81,111.0,3.47,29.5,2.28,85.0,3.14,,,98.5,3.25,61.0,2.92
Fe I,4871.32,2.87,-0.36,,,174.0,5.86,87.6,4.37,140.5,5.38,,,163.0,5.70,118.5,5.12
Fe I,4872.14,2.88,-0.57,,,,,60.5,4.27,112.0,5.12,,,139.0,5.52,84.5,4.79
Fe I,4891.49,2.85,-0.11,,,135.0,,96.0,4.19,148.5,5.24,78.2,4.32,,,129.5,5.04
Fe I,4918.99,2.87,-0.34,113.5,4.92,123.5,,77.9,4.23,122.5,5.05,,,131.5,5.14,116.0,5.05
Fe I,4920.50,2.83,0.07,129.0,4.72,,,112.5,4.20,157.0,5.17,,,169.0,5.30,146.0,5.12
Fe I,4938.81,2.87,-1.08,58.5,4.88,,,44.2,4.55,120.0,,,,,,,
Fe I,4939.69,0.86,-3.34,117.0,5.52,142.0,5.83,99.1,4.97,108.0,5.34,72.6,,131.0,5.60,,
Fe I,4994.13,0.92,-3.08,129.5,5.52,,,90.6,4.68,134.5,5.56,,,149.0,5.70,,
Fe I,5001.87,3.88,0.01,,,60.7,,23.0,4.31,54.4,4.91,,,66.6,5.03,52.8,4.94
Fe I,5006.12,2.83,-0.62,97.2,4.89,131.5,5.37,71.4,4.38,107.0,5.01,,,129.5,5.32,99.2,4.99
Fe I,5049.82,2.28,-1.36,108.0,5.11,127.0,5.36,77.2,4.50,120.5,5.28,46.7,4.40,136.0,5.48,92.2,4.96
Fe I,5051.63,0.92,-2.80,123.0,5.12,153.5,5.53,114.5,4.69,135.5,5.28,46.7,4.23,151.0,5.44,113.5,5.08
Fe I,5068.77,2.94,-1.04,67.2,5.03,109.5,5.57,26.1,4.29,59.2,4.90,,,93.8,5.31,56.2,4.93
Fe I,5074.75,4.22,-0.20,36.2,5.26,86.9,5.94,,,,,,,57.0,5.51,38.2,5.32
Fe I,5079.74,0.99,-3.22,101.0,5.30,119.5,5.51,72.9,4.71,,,,,139.5,5.75,103.0,5.41
Fe I,5083.34,0.96,-2.96,132.5,5.48,152.5,5.72,100.5,4.72,124.5,5.31,,,150.0,5.62,124.5,5.46
Fe I,5123.72,1.01,-3.07,128.0,5.57,159.0,5.99,93.8,4.81,126.0,5.50,,,141.0,5.65,126.5,
Fe I,5127.36,0.92,-3.31,90.8,5.15,112.0,5.39,82.7,4.81,100.2,5.23,26.9,4.39,118.0,5.41,95.8,5.30
Fe I,5150.84,0.99,-3.04,117.5,5.35,141.0,5.63,85.8,4.66,131.5,5.53,,,139.0,5.54,94.2,5.09
Fe I,5151.91,1.01,-3.32,72.4,5.04,125.5,5.71,69.7,4.79,99.5,5.34,,,116.5,5.51,85.8,5.28
Fe I,5162.27,4.18,0.02,52.2,5.23,88.7,5.69,,,54.5,5.24,,,64.4,5.34,48.9,5.21
Fe I,5166.28,0.00,-4.20,119.0,5.31,115.0,5.16,110.0,4.84,124.0,5.32,34.2,4.31,151.0,5.61,109.0,5.25
Fe I,5171.60,1.49,-1.79,145.5,5.17,149.0,5.14,118.0,4.42,139.0,5.03,,,151.5,5.13,143.0,5.25
Fe I,5191.46,3.04,-0.55,114.5,5.31,141.0,5.67,62.1,4.44,106.0,5.15,,,129.0,5.47,95.2,5.09
Fe I,5192.34,3.00,-0.42,89.2,4.76,119.5,5.16,68.4,4.34,108.0,5.01,57.1,4.45,130.5,5.31,91.3,4.85
Fe I,5194.94,1.56,-2.09,121.0,5.15,155.0,5.62,105.0,4.64,126.5,5.20,,,142.5,5.38,110.0,5.07
Fe I,5216.27,1.61,-2.15,118.0,5.22,144.5,5.57,85.6,4.54,101.5,4.94,42.7,4.32,131.5,5.31,102.5,5.07
Fe I,5225.53,0.11,-4.79,78.2,5.47,81.9,5.46,58.5,5.00,95.7,5.64,,,101.8,5.61,62.4,5.34
Fe I,5232.94,2.94,-0.06,125.0,4.86,142.5,5.08,99.2,4.25,131.0,4.94,,,140.5,5.03,106.5,
Fe I,5254.96,0.11,-4.76,75.2,5.40,109.0,5.76,,,,,,,104.5,5.61,,
Fe I,5266.56,3.00,-0.39,89.2,4.72,113.5,,63.7,4.25,89.0,,,,119.0,5.09,94.8,4.87
Fe I,5281.79,3.04,-0.83,69.2,4.95,111.5,5.48,39.8,4.42,80.6,5.07,,,89.8,5.15,77.6,5.11
Fe I,5283.62,3.24,-0.52,,,,,58.2,4.60,111.5,5.44,,,135.5,5.77,,
Fe I,5302.31,3.28,-0.88,,,108.0,5.77,26.9,4.55,69.4,5.26,,,80.8,5.36,,
Fe I,5307.36,1.61,-2.99,57.8,5.24,103.0,5.77,31.6,4.70,67.2,5.32,,,82.9,5.44,62.5,5.35
Fe I,5324.18,3.21,-0.24,90.6,4.84,144.0,5.59,66.1,4.38,98.9,4.93,,,122.0,5.24,,
Fe I,5328.04,0.92,-1.47,194.0,4.88,,,194.5,4.44,,,145.0,4.58,,,191.5,5.00
Fe I,5328.53,1.56,-1.85,140.0,5.20,,,121.5,4.58,148.0,5.29,50.5,4.07,,,139.0,5.30
Fe I,5339.93,3.27,-0.72,88.2,5.36,,,40.2,4.60,78.0,5.20,,,98.3,5.43,73.9,5.22
Fe I,5369.97,4.37,0.54,61.9,5.05,95.2,5.47,17.8,4.22,69.4,5.14,,,81.5,5.27,54.7,4.98
Fe I,5371.49,0.96,-1.65,169.5,4.72,,,165.0,4.23,181.5,4.86,97.3,3.87,197.0,4.95,158.0,4.68
Fe I,5383.38,4.31,0.64,64.5,4.92,108.0,5.48,,,64.1,4.89,,,91.2,5.23,63.6,4.94
Fe I,5393.18,3.24,-0.91,69.0,5.26,93.6,5.55,35.8,4.68,67.2,5.21,,,83.4,5.37,59.8,5.18
Fe I,5397.13,0.92,-1.99,168.5,4.99,,,167.0,4.54,167.0,4.92,118.5,4.56,174.0,,173.0,5.21
Fe I,5405.77,0.99,-1.84,164.0,4.85,179.5,,156.0,4.31,162.0,4.78,94.2,4.03,183.5,4.97,161.5,4.95
Fe I,5429.70,0.96,-1.88,186.0,5.20,,,171.5,4.54,194.0,5.26,109.0,4.30,,,166.5,5.04
Fe I,5434.52,1.01,-2.12,159.5,5.08,182.0,5.31,146.5,4.48,157.0,4.99,84.2,4.17,168.0,5.04,170.0,5.39
Fe I,5446.92,0.99,-1.91,178.0,5.14,,,169.0,4.57,194.0,5.33,103.2,4.26,,,168.5,5.13
Fe I,5455.61,1.01,-2.09,189.0,5.51,,,156.5,4.58,,,97.0,4.35,,,186.0,5.61
Fe I,5497.52,1.01,-2.85,128.5,5.29,150.5,5.55,103.5,4.65,128.5,5.25,39.8,4.24,145.5,5.40,123.5,5.32
Fe I,5501.46,0.96,-3.05,111.0,5.17,142.5,5.56,98.2,4.73,113.0,5.16,39.8,4.38,138.5,5.43,102.5,5.14
Fe I,5506.78,0.99,-2.80,121.5,5.12,132.5,5.20,107.5,4.62,113.5,4.96,,,138.5,5.22,127.0,5.31
Fe I,5569.62,3.42,-0.54,60.9,4.99,,,37.0,4.54,65.1,5.02,,,87.1,5.25,,
Fe I,5572.84,3.40,-0.31,,,136.0,5.73,57.5,4.56,93.2,5.13,,,116.0,5.41,92.2,5.20
Fe I,5586.76,3.37,-0.14,89.0,4.89,125.5,5.37,54.3,4.31,96.1,4.97,,,120.5,5.27,79.8,4.82
Fe I,5615.64,3.33,-0.14,115.5,5.22,130.0,5.39,65.3,4.39,112.5,5.15,,,115.0,5.14,,
Fe I,6136.62,2.45,-1.40,94.5,5.07,,,69.0,4.57,114.0,5.30,,,124.0,5.38,,
Fe I,6137.69,2.59,-1.40,87.6,5.15,121.5,5.56,52.0,4.55,115.0,5.49,,,123.0,5.54,92.6,5.28
Fe I,6191.56,2.43,-1.42,106.5,5.22,139.0,5.62,64.2,4.51,115.0,5.31,,,129.0,5.44,105.0,5.27
Fe I,6213.44,2.22,-2.48,43.0,5.21,75.2,5.59,17.6,4.58,53.2,5.31,,,,,50.7,5.36
Fe I,6219.29,2.20,-2.43,54.0,5.28,80.8,5.58,25.3,4.69,67.3,5.42,,,92.8,5.66,49.0,5.26
Fe I,6230.72,2.56,-1.28,98.7,5.13,137.0,5.61,66.4,4.55,100.0,5.12,,,99.8,5.05,89.3,5.07
Fe I,6252.56,2.40,-1.69,94.2,5.28,115.5,5.52,61.1,4.70,102.5,5.36,,,123.0,5.58,101.9,5.46
Fe I,6393.60,2.43,-1.58,103.0,5.32,123.0,5.54,56.3,4.57,106.0,5.33,,,135.0,5.66,,
Fe I,6400.01,3.60,-0.52,56.0,5.08,,,30.5,4.58,63.8,5.15,,,93.8,5.49,51.5,5.05
Fe I,6421.35,2.28,-2.03,67.9,5.14,102.8,5.53,42.2,4.65,84.0,5.30,,,102.0,5.47,72.1,5.24
Fe I,6430.85,2.18,-2.01,92.7,5.30,106.5,5.44,57.7,4.70,102.2,5.39,,,118.0,5.53,94.4,5.39
Fe I,6494.98,2.40,-1.27,96.3,4.87,129.0,5.26,70.5,4.37,117.5,5.12,,,130.0,5.23,111.5,5.15
Fe II,4923.93,2.89,-1.21,132.5,4.82,160.0,5.42,120.5,4.21,133.5,4.84,44.3,3.51,154.0,5.27,142.0,5.08
Fe II,5197.58,3.23,-2.23,53.0,5.06,119.0,6.13,40.8,4.63,,,,,83.2,5.52,64.5,5.24
Fe II,5234.62,3.22,-2.15,66.0,5.14,,,,,74.0,5.23,,,84.9,5.45,,
Fe II,5325.55,3.22,-3.22,19.3,5.43,32.2,5.85,,,26.6,5.59,,,,,,
Ni I,5137.07,1.68,-1.99,44.0,3.87,,,32.0,3.52,70.4,4.18,,,77.1,4.20,52.5,4.03
Ni I,5476.90,1.83,-0.89,94.0,3.57,,,80.6,3.19,110.5,3.77,,,133.5,4.05,111.0,3.90
Ni I,6643.64,1.68,-2.01,39.0,3.72,57.0,3.94,14.3,3.03,41.0,3.71,,,,,30.8,3.62
Zn I,4810.53,4.08,-0.14,,,56.2,2.75,,,47.2,2.53,,,,,40.9,2.47
Ba II,4934.08,0.00,-0.15,153.0,-0.43,175.0,0.07,102.8,-1.74,168.0,-0.20,44.2,-2.03,192.0,0.23,151.5,-0.31
Ba II,5853.69,0.60,-0.91,40.0,-0.68,66.1,-0.18,,,20.5,-1.08,,,36.4,-0.72,,
Ba II,6141.73,0.70,-0.08,95.8,-0.71,115.0,-0.29,54.3,-1.58,102.5,-0.64,,,102.0,-0.59,73.6,-0.93
Ba II,6496.91,0.60,-0.38,69.4,-0.88,98.0,-0.37,19.7,-1.98,51.1,-1.13,,,66.2,-0.89,56.7,-0.99
