J201721.9-380126,4751,1.51,-1.6,2.0,0.36,0.39,0.23,0.12,0.31
J201925.1-282207,4471,1.16,-2.02,5.9,0.55,0.54,0.28,0.13,0.17
J202319.0-661217,4816,1.77,-1.98,1.7,0.44,0.5,0.4,0.13,0.35
J202400.5-182024,4912,1.68,-1.42,1.8,0.38,0.42,0.28,0.14,0.23
J203717.9-353513,4216,0.69,-1.85,2.0,0.44,0.41,0.28,0.05,0.32
J204406.2-300007,6223,4.02,-1.87,1.2,0.48,-99.99,0.4,0.34,0.31
J204547.1-621403,5009,2.32,-1.81,1.6,0.29,0.38,0.33,0.17,0.3
J204923.3-362238,4356,0.75,-2.1,2.0,0.41,0.35,0.23,0.04,0.2
J205058.6-315839,6423,4.06,-0.5,1.6,0.04,0.2,0.12,-0.04,0.08
J205155.4-325126,4692,2.0,-1.08,1.2,0.31,0.28,0.19,0.12,0.29
J205319.4-244456,4861,1.67,-1.63,1.7,0.21,0.26,0.21,0.05,0.2
J205440.3-053500,4932,1.37,-1.74,2.0,0.35,0.41,0.32,0.16,0.33
J205515.5-403414,4821,2.13,-1.15,1.3,0.46,0.41,0.36,0.19,0.32
J210038.2-053916,5014,1.56,-2.05,1.9,0.44,0.47,0.37,0.09,0.27
J210634.7-495749,5346,2.99,-2.72,1.7,0.37,-99.99,0.3,0.31,0.34
J211103.7-071250,4480,1.04,-1.63,1.8,0.2,0.23,0.19,-0.01,0.24
J212558.5-265657,4776,1.87,-1.63,1.9,0.27,0.38,0.27,0.15,0.39
J213539.2-152631,4500,0.87,-2.12,2.1,0.29,0.38,0.23,0.09,0.26
J213932.9-071932,5419,2.17,-1.19,1.9,0.42,0.52,0.32,0.13,0.28
J214348.9-162137,4851,1.62,-1.46,1.8,0.45,0.36,0.32,0.11,0.29
J214939.2-424202,4501,1.25,-1.6,1.7,0.46,0.37,0.38,0.16,0.31
J215707.2-353949,5980,3.79,-1.54,1.1,0.29,0.33,0.37,0.26,0.24
J220103.9-033641,5991,4.16,-1.34,0.9,0.27,0.39,0.35,0.14,0.24
J220119.1-542301,4886,2.31,-0.99,1.4,0.55,0.86,0.37,0.1,0.26
J220149.1-320337,6375,4.06,-0.41,1.5,0.06,0.18,0.13,-0.01,0.02
J220157.5-444950,4578,1.24,-1.78,1.9,0.39,0.52,0.36,0.16,0.28
J220211.8-441701,5359,3.07,-2.36,1.4,0.23,-99.99,0.21,0.17,0.36
J220403.6-402918,5219,2.75,-2.38,1.7,0.38,-99.99,0.31,0.26,0.3
J222235.9-013827,5123,2.2,-2.83,1.7,0.41,-99.99,0.25,0.11,0.22
J223203.2-213556,5005,2.16,-0.89,1.6,0.36,0.3,0.12,0.01,0.2
J224923.5-213029,5218,2.67,-2.38,1.4,0.31,-99.99,0.25,0.12,0.26
J225822.1-530715,4697,2.05,-1.13,1.3,0.47,0.35,0.34,0.16,0.33
J225939.5-130249,4401,1.05,-1.39,1.6,0.31,0.23,0.3,0.02,0.25
J230028.8-284922,5001,1.71,-1.58,2.1,0.32,0.43,0.27,0.13,0.25
J230222.8-683323,5119,2.4,-2.42,1.6,0.49,0.63,0.37,0.19,0.3
J230955.6-142048,4107,0.72,-1.61,2.4,0.31,0.4,0.16,0.15,0.34
J231348.3-172808,4769,1.59,-1.79,1.8,0.35,0.38,0.27,0.1,0.26
J232143.5-492914,5135,2.8,-1.54,1.2,0.29,0.28,0.32,0.1,0.17
J234945.3-431707,4298,0.72,-1.64,2.5,0.33,0.36,0.09,0.11,0.22
J235210.2-534929,4492,0.87,-2.25,2.3,0.44,0.48,0.31,0.13,0.23
J235221.1-270333,5863,3.81,-0.54,1.2,0.17,0.2,0.14,-0.06,0.08
T4683_01164_1,5564,2.06,-1.29,2.1,0.19,0.4,0.24,0.14,0.18
T4687_02037_1,6224,3.82,-0.71,1.5,0.24,0.28,0.24,0.1,0.14
T4701_00802_1,4939,3.05,-0.6,1.2,0.34,0.28,0.13,0.15,0.27
T4944_01332_1,4462,1.44,-1.16,1.5,0.5,0.36,0.24,0.07,0.23
T4954_00606_1,5328,2.54,-0.98,1.7,0.45,0.41,0.25,0.2,0.34
T4956_00959_1,4832,2.57,-0.88,1.3,0.42,0.34,0.26,0.16,0.32
T4968_00858_1,4816,1.81,-1.75,1.7,0.44,0.46,0.35,0.25,0.31
T4995_00333_1,4923,1.33,-1.87,1.9,0.27,0.35,0.25,0.07,0.19
T5008_00508_1,4883,2.13,-1.09,1.3,0.32,0.23,0.19,0.02,0.14
T5271_00001_1,4889,1.8,-2.03,1.8,0.17,0.3,0.22,0.08,0.25
T5277_01245_1,5959,3.77,-1.64,0.9,0.33,0.39,0.4,0.28,0.32
T5295_00511_1,5993,4.12,-0.5,1.0,0.11,0.16,0.13,-0.12,0.04
T5310_00259_1,4269,0.8,-1.45,1.9,0.34,0.28,0.21,0.07,0.2
T5311_00017_1,5203,2.7,-0.67,1.6,0.28,0.25,0.06,0.04,0.3
T5481_00786_1,4864,1.71,-1.67,2.0,0.22,0.3,0.18,0.1,0.31
T5492_00011_1,5032,3.09,-0.61,1.4,0.27,0.3,0.09,0.13,0.28
T5495_00660_1,6448,4.06,-0.44,1.7,0.07,0.17,0.08,-0.04,0.1
T5496_00376_1,4933,2.25,-0.63,1.4,0.23,0.19,0.16,0.01,0.17
T5499_00076_1,6149,4.19,-0.53,1.4,0.07,0.12,0.08,0.21,0.21
T5507_01406_1,6425,4.13,-0.53,1.5,0.06,0.01,0.06,0.12,0.17
T5551_00318_1,4647,2.11,-0.9,1.4,0.3,0.28,0.16,0.05,0.15
T5552_00154_1,4334,0.66,-1.45,1.8,0.06,-0.15,0.19,-0.46,-0.27
T5762_00685_1,4903,2.68,-1.05,1.1,0.46,0.54,0.38,0.18,0.33
T5789_00559_1,4385,1.12,-1.13,1.7,0.53,0.51,0.23,0.09,0.22
T5843_00314_1,4782,1.84,-1.67,1.6,0.28,0.41,0.34,0.17,0.36
T5866_00288_1,6036,4.18,-0.57,1.1,0.14,0.24,0.13,-0.05,0.12
T5875_00738_1,4350,1.03,-1.34,1.5,0.5,0.34,0.39,0.18,0.43
T5911_00452_1,6445,4.16,-2.12,1.5,0.34,-99.99,0.34,0.29,0.29
T6090_00859_1,6131,3.85,-0.63,1.5,0.14,0.22,0.18,-0.02,0.18
T6092_00035_1,6269,4.1,-0.47,1.3,0.08,0.17,0.14,-0.08,-0.03
T6105_00098_1,4555,2.07,-0.8,1.4,0.52,0.48,0.16,0.12,0.34
T6117_01347_1,5009,2.28,-0.77,1.3,0.3,0.35,0.32,0.07,0.22
T6122_00253_1,6084,4.05,-0.71,1.2,0.16,0.27,0.15,0.02,0.16
T6141_00148_1,5818,4.17,-0.63,0.9,0.36,0.25,0.16,0.11,0.16
T6170_00280_1,6413,3.96,-0.83,1.8,0.16,0.29,0.13,0.21,0.03
T6333_00173_1,6224,4.03,-0.52,1.2,0.07,0.18,0.11,-0.03,0.08
T6333_01571_1,6026,4.03,-0.48,1.1,0.12,0.22,0.15,-0.08,0.0
T6338_00797_1,4297,0.84,-1.58,2.0,0.41,0.4,0.25,0.05,0.36
T6340_00478_1,5636,4.09,-0.63,0.8,0.34,0.27,0.23,0.15,0.24
T6412_00004_1,6217,3.83,-0.59,1.5,0.05,0.23,0.16,-0.02,0.1
T6444_00154_1,4915,2.64,-1.11,0.9,0.46,0.38,0.4,0.17,0.31
T6501_01104_1,5013,2.32,-1.67,1.6,0.34,0.43,0.28,0.13,0.25
T6640_00549_1,6373,4.11,-0.5,1.5,0.02,0.17,0.11,-0.11,0.03
T6642_00874_1,4878,2.87,-0.95,1.5,0.48,0.4,0.4,0.28,0.33
T6695_00459_1,4942,1.33,-1.86,1.9,0.22,0.34,0.28,0.05,0.11
T6703_00690_1,5321,1.86,-1.2,1.9,0.08,0.3,0.11,-0.15,-0.03
T6709_00331_1,4479,0.94,-1.75,1.9,0.25,0.41,0.18,0.01,0.29
T6718_00241_1,5077,2.1,-0.93,1.6,0.41,0.4,0.22,0.11,0.24
T6757_00705_1,4310,0.79,-1.56,2.0,0.33,0.39,0.21,-0.03,0.33
T6904_00180_1,6143,3.88,-0.67,1.5,0.08,0.21,0.17,0.0,0.1
T6909_00633_1,5808,4.21,-0.86,0.7,0.33,0.31,0.26,0.14,0.25
T6909_01741_1,5000,2.47,-0.53,1.5,0.35,0.27,0.13,0.08,0.28
