Table 1 
Adopted and Derived Parameters for Outer Halo Satellites


No.,Object,alpha_0 (J2000),sigma_alpha,delta_0 (J2000),sigma_delta,R_sun,R_GC,[Fe/H],sigma_[Fe/H],${\overline{v}}_{r}$,${\sigma }_{{v}_{r}}$,M/L_V,Sources,
43,Palomar 13,346.6858,0.12,+12.7712,2.5,26.0,27.1,-1.60,cdots,25.2,${0.4}_{-0.3}^{+0.4}$,cdots,25,
44,NGC 7492,347.1102,0.08,-15.6108,1.0,26.3,25.4,-1.78,cdots,-177.5,1.2 +or- 1.0,cdots,19,
Secondary Sample,,,,,,,,,,,,,,
1,Triangulum II,33.3252,0.97,+36.1702,19.0,30.0,36.5,-2.24,0.53,-381.7,<4.2,cdots,26,
2,Eridanus III,35.6952,1.47,-52.2838,7.1,87.0,87.0,cdots,cdots,cdots,cdots,cdots,,
3,Horologium I,43.8813,1.71,-54.1160,20.2,79.0,79.3,-2.76,0.17,112.8,4.9,cdots,27,
4,Horologium II,49.1077,14.15,-50.0486,40.4,78.0,79.1,-2.10,cdots,cdots,cdots,cdots,28,
5,Reticulum II,53.9203,1.63,-54.0513,7.9,30.0,31.5,-2.46,~0.3,64.7,3.22,cdots,27,
6,Eridanus II,56.0925,0.84,-43.5329,5.7,380.0,381.9,-2.38,0.47,75.6,${6.9}_{-0.9}^{+1.2}$,cdots,29,
7,Pictoris I,70.9490,1.92,-50.2854,8.6,114.0,115.7,cdots,cdots,cdots,cdots,cdots,,
8,Laevens 1,174.0668,0.28,-10.8772,2.9,145.0,144.8,-1.65,cdots,148.2,2.04,cdots,30,
9,Hydra II,185.4251,0.91,-31.9860,13.7,134.0,131.1,-2.02,cdots,303.1,3.6,cdots,30,
10,Kim 2,317.2020,1.21,-51.1671,38.3,100.0,94.0,cdots,cdots,cdots,cdots,cdots,
11,Balbinot 1,332.6791,0.25,+14.9403,4.6,31.9,31.2,-1.58,cdots,cdots,cdots,cdots,31,
,Kim 1^a,+332.9214,0.90,7.0271,12.9,19.8,19.2,-1.70,cdots,cdots,cdots,cdots,32,
12,Grus I,344.1797,3.58,-50.1800,55.2,120.0,116.1,cdots,cdots,cdots,cdots,cdots,,
13,Phoenix II,354.9960,0.90,-54.4115,21.0,83.0,79.9,cdots,cdots,cdots,cdots,cdots,,
Note. Sources for primary sample: (1) Kirby et al. (2013b), (2) Walker et al. (2009b), (3) Carraro et al. (2007), (4) (Kirby et al. 2013a; 95% confidence limit for kinematic data), (5) Webbink (1985), (6) Koch et al. (2006), (7) Willman & Strader (2012), (8) Baumgardt et al. (2009), (9) Simon & Geha (2007), (10) Palma et al. (2000), (11) Simon et al. (2011), (12) Willman et al. (2011), (13) Koch et al. (2007), (14) Walker et al. (2009a), (15) Belokurov et al. (2008), (16) Koch & Rich (2014), (17) Koposov et al. (2011), (18) Lai et al. (2011), (19) Harris (1996), (20) Munoz et al. (2012a), (21) Wilkinson et al. (2004), (22) Aden et al. (2009), (23) Walker et al. (2007), (24) Fadely et al. (2011), (25) Bradford et al. (2011). Sources for secondary sample: (26) Kirby et al. (2017; 95% confidence limit for kinematic data), (27) Koposov et al. (2015b), (28) Kim & Jerjen (2015a), (29) Li et al. (2017), (30) Kirby et al. (2015), (31) Balbinot et al. (2013), (32) Kim & Jerjen (2015b).
^a Inner halo member.
