Title: High-Resolution Spectroscopic Study of Extremely Metal-Poor Star 
       Candidates from the SkyMapper Survey
Authors: Jacobson H.R., Keller S., Frebel A., Casey A.R., Asplund M., 
         Bessell M.S., Da Costa G.S., Lind K., Marino A.F., Norris J.E., 
         Pena J.M., Schmidt B.P., Tisserand P., Walsh J.M., Yong D., Yu Q. 
Table: Corrected Carbon Abundances
================================================================================
Byte-by-byte Description of file: apj512602t7_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1- 24 A24    ---     ID       Star identifier
      26 A1     ---   l_[C/Fe]o  Limit flag on [C/Fe]o
  27- 32 F6.2   [-]     [C/Fe]o  ? Original log C/Fe abundance
  34- 37 F4.2   [-]     Cor      ? Correction for log C/Fe
      39 A1     ---   l_[C/Fe]c  Limit flag on [C/Fe]c
  40- 44 F5.2   [-]     [C/Fe]c  ? Corrected log C/Fe abundance
--------------------------------------------------------------------------------
SMSS~J110850.60-080034.7 <  0.15 0.00 < 0.15   
SMSS~J121353.63-441911.2    0.29 0.27   0.56   
SMSS~J121716.48-442510.2   -0.19 0.52   0.33   
SMSS~J122455.61-151134.0    0.14 0.01   0.15   
SMSS~J123158.00-162317.6    0.62 0.75   1.38   
SMSS~J123246.06-054559.1    0.18 0.60   0.78   
SMSS~J125115.37-331448.1    0.16 0.36   0.52   
SMSS~J125125.64-340343.4    0.09 0.01   0.10   
SMSS~J125451.18-334440.3   -0.07 0.65   0.58   
SMSS~J125804.65-335045.1    0.61 0.10   0.71   
SMSS~J130537.01-294438.3   -0.18 0.68   0.50   
SMSS~J133013.61-434632.4   -0.32 0.75   0.44   
SMSS~J133532.32-210632.9   -0.50 0.73   0.23   
SMSS~J135217.78-151405.7    0.23 0.01   0.24   
SMSS~J135625.09-161538.7    0.18 0.43   0.61   
SMSS~J135819.95-150937.4    0.23 0.01   0.24   
SMSS~J141547.72-414034.0    0.13 0.10   0.23   
SMSS~J143511.34-420326.5    0.27 0.71   0.98   
SMSS~J151101.05-182103.0    0.04 0.03   0.07   
SMSS~J151450.18-182946.0   -0.35 0.50   0.15   
SMSS~J155430.57-263904.8   -0.26 0.67   0.42   
SMSS~J155628.74-165533.4    0.36 0.44   0.80   
SMSS~J160447.75-293146.7    0.26 0.62   0.88   
SMSS~J164921.94-041943.9   -0.25 0.41   0.16   
SMSS~J165023.82-252948.7   -0.45 0.62   0.17   
SMSS~J165219.76-253133.7    0.27 0.24   0.51   
SMSS~J173823.36-145701.0    0.60 0.73   1.33   
SMSS~J174048.48-143635.6   -0.11 0.43   0.33   
SMSS~J174916.38-455427.5    0.30 0.56   0.87   
SMSS~J174922.26-455103.8    0.55 0.50   1.05   
SMSS~J175021.86-414627.2    0.36 0.25   0.61   
SMSS~J175046.30-425506.9   -0.12 0.43   0.31   
SMSS~J175738.37-454823.5   -0.43 0.68   0.25   
SMSS~J183246.49-343434.2   -0.33 0.74   0.41   
SMSS~J183753.10-380725.9   -0.35 0.74   0.39   
SMSS~J184226.25-272602.7 < -0.29 0.68 < 0.39   
SMSS~J184825.29-305929.7    0.25 0.72   0.97   
SMSS~J185628.44-231809.8   -0.79 0.75  -0.04   
SMSS~J190549.33-214945.0    0.35 0.36   0.72   
SMSS~J190911.03-213207.5   -0.56 0.76   0.21   
SMSS~J190931.13-214053.9   -0.35 0.74   0.39   
SMSS~J191802.51-851523.0    0.04 0.01   0.05   
SMSS~J193528.46-462129.6 < -0.26 0.68 < 0.41   
SMSS~J193617.38-790231.4    0.33 0.02   0.35   
SMSS~J194432.13-720537.1    0.05 0.55   0.60   
SMSS~J195614.75-320145.9   -0.31 0.42   0.11   
SMSS~J195931.70-643529.3   -0.45 0.70   0.25   
SMSS~J200228.85-533114.4   -0.46 0.74   0.28   
SMSS~J200654.42-321157.7    0.67 0.01   0.68   
SMSS~J202057.49-522417.2 < -0.23 0.73 < 0.50   
SMSS~J202123.89-515742.8   -0.21 0.27   0.06   
SMSS~J205313.80-651830.6    0.09 0.34   0.43   
SMSS~J210021.85-653627.9   -0.05 0.25   0.20   
SMSS~J211340.44-520017.5   -0.03 0.51   0.48   
SMSS~J215805.81-651327.2    0.38 0.34   0.72   
SMSS~J221448.33-453949.9   -0.67 0.72   0.05   
SMSS~J224838.41-550635.1   -0.56 0.75   0.19   
SMSS~J224843.95-543610.1   -0.20 0.41   0.21   
SMSS~J225851.25-265434.9    0.36 0.73   1.09   
SMSS~J230013.16-263511.0   -0.55 0.73   0.18   
SMSS~J230113.95-291458.2   -0.12 0.63   0.51   
2MASS~J23203653-3637223    -0.08 0.04  -0.04   
2MASS~J23261426-3719492     0.25 0.01   0.26   
