Name,[Fe/H],e_[Fe/H],[C/Fe],e_[C/Fe],[Na I/Fe],e_[Na I/Fe],[Mg I/Fe],e_[Mg I/Fe],[Al I/Fe],e_[Al I/Fe],[Si I/Fe],e_[Si I/Fe],[Ca I/Fe],e_[Ca I/Fe],[Sc II/Fe],e_[Sc II/Fe],[Ti II/Fe],e_[Ti II/Fe],[Cr I/Fe],e_[Cr I/Fe],[Cr II/Fe],e_[Cr II/Fe],[Mn I/Fe],e_[Mn I/Fe],[Co I/Fe],e_[Co I/Fe],[Ni I/Fe],e_[Ni I/Fe],[Zn I/Fe],e_[Zn I/Fe],[Sr II/Fe],e_[Sr II/Fe],[Y II/Fe],e_[Y II/Fe],[Zr II/Fe],e_[Zr II/Fe],[Ba II/Fe],e_[Ba II/Fe],[La II/Fe],e_[La II/Fe],[Eu II/Fe],e_[Eu II/Fe],[Dy II/Fe],e_[Dy II/Fe]
Gaia DR3 2659914516754259456,-2.3,0.17,-0.4,0.15,0.31,0.1,0.26,0.09,-1.37,0.17,0.79,0.12,0.32,0.07,-0.17,0.05,0.27,0.07,-0.12,0.05,-0.0,0.06,-0.5,0.09,-0.04,0.13,-0.1,0.07,-0.0,0.16,-0.36,0.21,-0.38,0.06,-0.11,0.06,-0.14,0.09,0.12,0.07,0.5,0.07,0.84,0.06
Gaia DR3 2733469542550276352,-2.39,0.13,0.26,0.16,0.14,0.09,0.29,0.06,-1.15,0.11,0.39,0.14,0.32,0.06,0.14,0.04,0.42,0.07,-0.01,0.1,0.13,0.07,-0.38,0.06,0.21,0.06,0.05,0.05,0.11,0.08,0.09,0.19,-0.12,0.06,0.3,0.04,0.02,0.1,0.25,0.1,0.56,0.04,0.7,0.05
Gaia DR3 2765074076578453760,-1.89,0.24,-0.62,0.24,-0.18,0.16,0.41,0.11,-0.71,0.08,0.48,0.18,0.37,0.08,0.1,0.08,0.35,0.07,-0.11,0.05,0.0,0.05,-0.46,0.11,-0.1,0.21,-0.1,0.1,0.02,0.24,0.05,0.11,-0.11,0.05,0.12,0.07,0.16,0.12,0.16,0.08,0.52,0.08,0.51,0.06
Gaia DR3 2792504520868554240,-2.35,0.21,-1.02,0.2,0.1,0.1,0.61,0.12,-0.99,0.25,0.63,0.16,0.39,0.09,0.14,0.06,0.39,0.06,-0.15,0.04,0.04,0.06,-0.38,0.09,-0.08,0.08,-0.04,0.08,0.03,0.21,-0.29,0.15,-0.52,0.08,-0.32,0.06,-0.37,0.07,-0.23,0.09,0.22,0.1,0.21,0.11
Gaia DR3 2810525379008979968,-1.17,0.22,-0.42,0.23,-0.05,0.13,0.2,0.13,-0.84,0.22,0.37,0.18,0.43,0.06,0.22,0.1,0.42,0.08,0.02,0.08,0.19,0.1,-0.29,0.09,-0.34,0.17,-0.04,0.08,-0.1,0.21,0.07,0.12,-0.05,0.14,0.33,0.11,0.34,0.11,0.5,0.06,0.85,0.08,0.92,0.13
Gaia DR3 2811948250134539520,-1.11,0.2,-0.46,0.25,0.04,0.12,0.18,0.14,-0.92,0.14,0.32,0.18,0.37,0.05,0.26,0.12,0.47,0.09,0.02,0.11,0.17,0.11,-0.28,0.09,-0.23,0.21,-0.06,0.07,0.01,0.21,0.03,0.15,-0.11,0.11,0.22,0.11,0.2,0.12,0.29,0.09,0.53,0.11,0.63,0.11
Gaia DR3 2911019229961694208,-2.23,0.18,-0.49,0.16,0.69,0.11,0.51,0.11,,,0.38,0.13,0.41,0.07,0.06,0.05,0.33,0.06,-0.2,0.05,0.06,0.05,-0.53,0.09,0.03,0.14,-0.04,0.06,0.2,0.17,0.37,0.15,-0.02,0.05,0.28,0.05,0.21,0.09,0.11,0.08,0.16,0.06,0.22,0.11
Gaia DR3 2914192523598690048,-2.19,0.14,0.14,0.14,0.17,0.1,0.28,0.07,-0.88,0.21,0.46,0.09,0.33,0.05,0.09,0.04,0.36,0.05,-0.12,0.04,0.01,0.05,-0.47,0.07,0.14,0.09,-0.05,0.06,0.05,0.1,0.06,0.17,-0.06,0.05,0.26,0.04,0.18,0.08,0.45,0.06,0.74,0.06,0.78,0.06
Gaia DR3 3247170789616103808,-2.0,0.18,-0.18,0.16,0.12,0.05,0.33,0.11,-0.71,0.19,0.58,0.1,0.37,0.07,0.08,0.05,0.37,0.05,-0.15,0.05,0.07,0.05,-0.43,0.1,0.11,0.12,-0.01,0.08,0.08,0.15,0.18,0.12,-0.12,0.05,0.23,0.05,0.07,0.09,0.3,0.06,0.61,0.06,0.64,0.05
Gaia DR3 3257948717988018304,-2.11,0.15,-0.5,0.13,,,0.22,0.1,-1.02,0.06,0.06,0.09,0.24,0.06,-0.04,0.05,0.19,0.05,-0.15,0.05,-0.0,0.06,-0.54,0.09,0.06,0.09,-0.09,0.07,-0.06,0.11,-0.04,0.14,-0.22,0.05,0.08,0.04,0.04,0.09,0.19,0.07,0.33,0.07,0.36,0.06
Gaia DR3 3642334203486585728,-0.93,0.18,-0.72,0.31,0.08,0.11,0.14,0.14,-1.14,0.2,0.29,0.19,0.36,0.12,0.48,0.26,0.24,0.14,0.19,0.18,-0.14,0.08,-0.29,0.1,,,-0.09,0.07,-0.2,0.22,0.12,0.22,-0.04,0.28,,,0.34,0.2,0.71,0.25,0.66,0.15,,
Gaia DR3 4045622011959470464,-1.3,0.2,-0.3,0.25,0.05,0.13,0.35,0.14,-0.8,0.2,0.36,0.2,0.37,0.04,0.28,0.11,0.36,0.09,0.02,0.1,0.02,0.12,-0.26,0.09,-0.23,0.21,-0.02,0.08,0.04,0.22,0.12,0.17,-0.13,0.14,0.11,0.11,0.25,0.13,0.24,0.1,0.68,0.13,0.58,0.1
Gaia DR3 4081038754562022528,-1.21,0.18,-0.8,0.28,0.0,0.1,0.23,0.12,-1.05,0.16,0.44,0.19,0.35,0.09,0.33,0.2,0.28,0.14,-0.06,0.2,-0.2,0.06,-0.38,0.1,-0.44,0.25,-0.06,0.08,0.03,0.22,-0.02,0.2,-0.09,0.26,,,0.18,0.16,0.29,0.2,0.7,0.13,0.44,0.21
Gaia DR3 4227203402244069120,-1.19,0.17,-0.8,0.29,0.3,0.09,0.18,0.12,-1.07,0.16,0.35,0.18,0.32,0.1,0.48,0.22,0.48,0.14,0.07,0.19,-0.12,0.06,-0.27,0.1,-0.14,0.13,-0.04,0.08,-0.04,0.2,0.11,0.24,0.02,0.25,0.1,0.22,0.3,0.19,0.52,0.18,0.58,0.14,0.35,0.22
Gaia DR3 4377687545785813248,-1.44,0.19,-0.6,0.26,0.09,0.11,0.4,0.11,-1.39,0.53,0.51,0.19,0.55,0.05,0.39,0.15,0.55,0.11,-0.02,0.14,0.01,0.05,-0.34,0.11,-0.71,0.16,-0.04,0.08,0.01,0.23,0.34,0.18,0.16,0.21,0.36,0.14,0.24,0.15,0.13,0.14,0.3,0.11,-0.08,0.14
Gaia DR3 4420695900880776576,-1.19,0.19,-0.71,0.28,0.05,0.1,0.27,0.13,-0.91,0.15,0.36,0.19,0.43,0.08,0.4,0.16,0.48,0.14,0.2,0.17,-0.07,0.06,-0.31,0.07,-0.37,0.2,-0.03,0.08,-0.02,0.21,0.22,0.18,0.09,0.24,,,0.26,0.16,0.1,0.18,0.58,0.13,0.53,0.19
Gaia DR3 4675852078212908416,-2.26,0.15,-0.06,0.15,0.16,0.12,0.38,0.1,-0.84,0.2,0.44,0.15,0.34,0.06,0.02,0.06,0.3,0.06,-0.1,0.05,0.04,0.06,-0.42,0.07,0.15,0.1,0.01,0.06,0.13,0.11,-0.11,0.18,-0.2,0.06,0.07,0.05,-0.06,0.08,0.28,0.07,0.5,0.06,0.57,0.05
Gaia DR3 4750826882756774784,-1.87,0.18,-0.19,0.2,0.13,0.08,0.23,0.13,-1.06,0.26,0.26,0.11,0.21,0.07,-0.12,0.05,0.21,0.06,-0.18,0.06,-0.15,0.06,-0.5,0.11,-0.07,0.12,-0.14,0.09,-0.08,0.14,0.04,0.13,-0.34,0.06,-0.04,0.06,-0.06,0.08,0.04,0.07,0.35,0.08,0.46,0.09
Gaia DR3 4757975288886077184,-2.52,0.29,-0.38,0.21,0.07,0.17,0.43,0.13,-0.89,0.16,0.76,0.11,0.3,0.1,0.02,0.11,0.36,0.08,-0.13,0.05,0.02,0.06,-0.35,0.1,0.1,0.14,0.08,0.09,0.2,0.32,-0.69,0.18,-0.65,0.07,-0.31,0.1,-0.79,0.08,-0.68,0.11,-0.33,0.09,,
Gaia DR3 4777636927611794432,-2.14,0.17,-0.66,0.15,0.16,0.1,0.29,0.08,-0.88,0.1,0.49,0.08,0.27,0.06,-0.01,0.05,0.21,0.05,-0.16,0.04,-0.04,0.04,-0.45,0.08,0.04,0.12,-0.06,0.06,0.08,0.13,-0.19,0.14,-0.42,0.05,-0.1,0.04,-0.34,0.07,-0.17,0.06,0.16,0.07,0.18,0.05
Gaia DR3 4780985799511960576,-2.06,0.2,-0.48,0.19,0.1,0.05,0.4,0.11,-0.77,0.2,0.63,0.15,0.37,0.07,0.12,0.07,0.39,0.06,-0.12,0.05,0.03,0.04,-0.42,0.1,0.06,0.18,-0.03,0.08,0.08,0.2,-0.04,0.13,-0.24,0.06,0.07,0.05,0.06,0.08,0.22,0.06,0.5,0.08,0.55,0.06
Gaia DR3 4786174291804662528,-2.16,0.2,-0.33,0.15,0.05,0.08,0.34,0.1,-0.88,0.2,0.57,0.08,0.33,0.08,-0.0,0.08,0.29,0.06,-0.16,0.05,0.05,0.07,-0.36,0.1,0.01,0.13,-0.0,0.08,0.12,0.19,0.13,0.11,-0.21,0.06,0.05,0.05,-0.38,0.07,-0.19,0.09,0.14,0.07,0.06,0.08
Gaia DR3 4816836269489019904,-2.33,0.17,-0.27,0.16,0.23,0.11,0.46,0.1,-0.87,0.17,0.7,0.06,0.41,0.06,0.1,0.05,0.38,0.06,-0.15,0.05,-0.03,0.04,-0.52,0.08,0.15,0.14,0.01,0.07,0.11,0.13,-0.0,0.21,-0.17,0.06,0.19,0.04,-0.06,0.08,0.27,0.07,0.6,0.06,0.61,0.04
Gaia DR3 4892850490479845120,-1.76,0.18,-0.12,0.16,-0.13,0.12,0.3,0.1,-0.66,0.16,0.34,0.11,0.39,0.05,0.21,0.08,0.42,0.05,-0.07,0.04,0.06,0.04,-0.42,0.11,0.07,0.11,-0.01,0.08,0.03,0.16,0.19,0.11,-0.09,0.03,0.18,0.06,0.12,0.09,0.27,0.06,0.55,0.05,0.6,0.04
Gaia DR3 4930039787661776896,-2.17,0.16,-0.39,0.16,0.51,0.12,0.35,0.1,-0.95,0.34,0.69,0.07,0.36,0.06,-0.02,0.07,0.21,0.06,-0.2,0.05,-0.02,0.09,-0.56,0.09,0.14,0.19,0.08,0.06,0.25,0.12,0.22,0.18,-0.01,0.06,0.28,0.04,0.85,0.18,0.64,0.06,0.44,0.11,0.38,0.08
Gaia DR3 4940475493039087872,-2.18,0.18,-0.25,0.16,-0.02,0.08,0.4,0.1,-0.69,0.14,0.63,0.06,0.38,0.07,0.16,0.08,0.37,0.06,-0.12,0.05,0.02,0.05,-0.38,0.09,0.11,0.13,0.06,0.07,0.01,0.14,-0.76,0.18,-0.68,0.06,-0.4,0.05,-0.58,0.06,-0.35,0.11,0.02,0.06,0.05,0.03
Gaia DR3 4953772814866348928,-2.4,0.17,-0.33,0.16,0.11,0.1,0.34,0.1,-0.77,0.18,0.51,0.12,0.32,0.07,0.08,0.07,0.3,0.06,-0.18,0.06,0.06,0.07,-0.4,0.08,0.09,0.11,0.04,0.07,0.09,0.16,-0.65,0.19,-0.54,0.07,-0.17,0.04,-0.28,0.08,0.12,0.07,0.47,0.06,0.51,0.03
Gaia DR3 5152929864265512448,-1.79,0.2,-0.18,0.18,-0.02,0.05,0.3,0.11,-0.86,0.23,0.19,0.12,0.39,0.08,0.18,0.11,0.32,0.07,-0.12,0.08,-0.12,0.08,-0.48,0.12,0.06,0.11,-0.04,0.1,0.05,0.2,0.02,0.12,-0.21,0.06,0.23,0.07,0.19,0.1,0.24,0.09,0.5,0.08,0.71,0.07
Gaia DR3 5208594251034223872,-2.24,0.16,-0.03,0.1,0.2,0.1,0.34,0.1,-0.91,0.23,0.71,0.08,0.27,0.06,0.01,0.06,0.35,0.06,-0.13,0.05,0.06,0.13,-0.43,0.08,0.07,0.11,-0.03,0.07,0.08,0.13,0.03,0.15,-0.1,0.06,0.24,0.05,-0.09,0.06,0.15,0.06,0.36,0.07,0.56,0.04
Gaia DR3 5221522416131163392,-2.04,0.18,-0.18,0.14,0.17,0.13,0.31,0.08,-0.5,0.1,0.61,0.08,0.34,0.07,0.06,0.07,0.3,0.05,-0.18,0.05,0.02,0.06,-0.55,0.1,0.06,0.1,-0.14,0.08,-0.02,0.16,0.06,0.11,-0.21,0.05,0.14,0.05,-0.02,0.07,0.1,0.07,0.25,0.07,0.31,0.04
Gaia DR3 5548763464834134400,-1.67,0.21,-0.36,0.21,-0.08,0.09,0.25,0.11,-1.39,0.34,0.42,0.1,0.34,0.07,0.17,0.06,0.32,0.05,-0.13,0.04,0.1,0.06,-0.41,0.13,-0.05,0.14,-0.08,0.09,-0.02,0.2,0.08,0.1,-0.16,0.05,0.11,0.07,0.17,0.09,0.24,0.07,0.55,0.07,0.61,0.09
Gaia DR3 6243816407441434752,-1.04,0.2,-0.66,0.28,-0.0,0.1,0.14,0.13,-0.86,0.18,0.25,0.19,0.38,0.06,0.58,0.2,0.48,0.12,0.13,0.18,0.03,0.04,-0.3,0.1,-0.46,0.23,-0.1,0.08,-0.21,0.21,0.29,0.16,0.19,0.23,,,0.42,0.15,0.5,0.18,0.86,0.1,0.88,0.22
Gaia DR3 6782821815106683008,-2.5,0.15,-0.14,0.17,0.2,0.1,0.38,0.08,-0.89,0.14,0.61,0.12,0.38,0.06,-0.06,0.05,0.28,0.06,-0.19,0.04,-0.13,0.04,-0.54,0.07,0.1,0.11,-0.04,0.06,0.09,0.1,-0.28,0.19,-0.27,0.06,0.04,0.04,-0.35,0.08,-0.07,0.06,0.25,0.06,0.41,0.05
