Name,lambda,Species,chi,loggf,EW,f_EW,e_EW,l_logeps,logeps,sigma,sigmaStat,sigmaSys,sigmaTeff,sigmalogg,sigmaVmic,sigma[M/H],sigmacont
CarII-0064,4789.65,26.0,3.53,-0.96,42.8,,4.0,,5.3,0.16,0.07,0.15,0.14,-0.02,-0.02,-0.0,0.03
CarII-0064,4800.65,26.0,4.12,-1.03,15.4,,3.8,,5.48,0.17,0.11,0.12,0.12,-0.02,-0.01,-0.0,0.02
CarII-0064,4805.09,22.1,2.06,-1.1,67.3,,3.7,,2.77,0.14,0.06,0.12,0.03,0.11,-0.05,0.01,0.04
CarII-0064,4807.71,26.0,3.37,-2.15,12.4,,2.3,,5.61,0.18,0.09,0.15,0.15,-0.02,-0.0,-0.0,0.02
CarII-0064,4810.53,30.0,4.08,-0.14,38.7,,3.6,,2.35,0.11,0.06,0.09,0.06,0.06,-0.02,0.01,0.03
CarII-0064,4840.87,22.0,0.9,-0.43,20.8,,3.7,,2.55,0.23,0.09,0.21,0.21,-0.03,-0.01,-0.0,0.02
CarII-0064,4859.74,26.0,2.87,-0.85,110.9,,4.4,,5.53,0.25,0.08,0.24,0.18,-0.07,-0.14,-0.01,0.09
CarII-0064,4865.61,22.1,1.11,-2.7,27.1,,2.9,,2.57,0.15,0.06,0.14,0.07,0.12,-0.01,0.01,0.02
CarII-0064,4871.32,26.0,2.87,-0.34,119.2,,3.7,,5.17,0.26,0.07,0.25,0.18,-0.08,-0.15,-0.01,0.09
CarII-0064,4872.14,26.0,2.88,-0.6,111.4,,3.7,,5.3,0.25,0.07,0.24,0.18,-0.07,-0.14,-0.01,0.08
CarII-0064,4882.14,26.0,3.41,-1.48,17.1,,3.0,,5.15,0.17,0.09,0.15,0.15,-0.02,-0.01,-0.0,0.02
CarII-0064,4885.43,26.0,3.88,-0.97,19.7,,3.0,,5.27,0.15,0.07,0.13,0.13,-0.02,-0.01,-0.0,0.02
CarII-0064,4889.0,26.0,2.2,-2.55,46.1,,4.5,,5.33,0.22,0.07,0.2,0.2,-0.03,-0.02,-0.0,0.03
CarII-0064,4890.76,26.0,2.88,-0.38,108.2,,3.4,,5.01,0.24,0.06,0.23,0.17,-0.07,-0.13,-0.01,0.08
CarII-0064,4891.49,26.0,2.85,-0.14,123.9,,3.8,,5.03,0.27,0.07,0.26,0.18,-0.08,-0.16,-0.01,0.1
CarII-0064,4903.31,26.0,2.88,-0.89,97.5,,3.6,,5.33,0.23,0.07,0.21,0.17,-0.06,-0.11,-0.01,0.08
CarII-0064,4907.73,26.0,3.43,-1.7,31.6,,6.3,,5.72,0.19,0.12,0.15,0.15,-0.02,-0.01,-0.0,0.03
CarII-0064,4910.02,26.0,3.39,-1.28,25.6,,4.1,,5.14,0.17,0.09,0.15,0.15,-0.02,-0.01,-0.0,0.03
CarII-0064,4911.19,22.1,3.12,-0.64,12.9,,2.5,,2.53,0.15,0.09,0.12,0.0,0.12,-0.0,0.01,0.02
CarII-0064,4918.99,26.0,2.85,-0.34,117.6,,4.1,,5.1,0.26,0.08,0.25,0.18,-0.08,-0.15,-0.01,0.1
CarII-0064,4920.5,26.0,2.83,0.06,142.6,,4.0,,5.13,0.28,0.07,0.28,0.2,-0.1,-0.17,-0.01,0.1
CarII-0064,4923.93,26.1,2.89,-1.26,121.4,,3.5,,4.8,0.19,0.07,0.18,-0.02,0.09,-0.15,0.0,0.09
CarII-0064,4924.77,26.0,2.28,-2.11,55.4,,3.4,,5.12,0.21,0.05,0.2,0.2,-0.03,-0.03,-0.01,0.03
CarII-0064,4938.81,26.0,2.87,-1.08,84.0,,3.5,,5.26,0.2,0.06,0.2,0.17,-0.05,-0.08,-0.01,0.05
CarII-0064,4939.69,26.0,0.86,-3.25,112.7,,3.4,,5.46,0.33,0.07,0.32,0.28,-0.06,-0.15,-0.02,0.09
CarII-0064,4946.39,26.0,3.37,-1.11,33.9,,3.5,,5.09,0.17,0.06,0.15,0.15,-0.03,-0.01,-0.0,0.03
CarII-0064,4950.11,26.0,3.41,-1.5,24.8,,4.3,,5.36,0.18,0.09,0.15,0.15,-0.02,-0.01,-0.0,0.02
CarII-0064,4966.09,26.0,3.33,-0.79,62.8,,3.9,,5.19,0.17,0.06,0.16,0.15,-0.04,-0.05,-0.0,0.04
CarII-0064,4973.1,26.0,3.96,-0.69,37.9,,4.7,,5.46,0.15,0.08,0.13,0.13,-0.03,-0.02,-0.0,0.03
CarII-0064,4981.73,22.0,0.85,0.57,66.1,,4.1,,2.23,0.23,0.06,0.23,0.22,-0.04,-0.04,-0.01,0.05
CarII-0064,4994.13,26.0,0.91,-2.97,130.7,,4.5,,5.58,0.36,0.09,0.35,0.29,-0.06,-0.18,-0.02,0.12
CarII-0064,4999.5,22.0,0.82,0.32,66.8,,4.0,,2.47,0.23,0.06,0.23,0.22,-0.04,-0.04,-0.01,0.04
CarII-0064,5001.86,26.0,3.88,-0.01,59.3,,4.0,,5.02,0.15,0.06,0.14,0.13,-0.03,-0.04,-0.0,0.04
CarII-0064,5002.79,26.0,3.4,-1.46,36.3,,4.1,,5.52,0.17,0.07,0.15,0.15,-0.03,-0.02,-0.0,0.03
CarII-0064,5005.71,26.0,3.88,-0.12,62.5,,3.7,,5.19,0.15,0.06,0.14,0.13,-0.03,-0.04,-0.01,0.04
CarII-0064,5006.12,26.0,2.83,-0.61,118.7,,4.8,,5.36,0.26,0.09,0.25,0.18,-0.07,-0.15,-0.01,0.1
CarII-0064,5007.21,22.0,0.82,0.17,89.6,,3.8,,2.96,0.25,0.06,0.24,0.22,-0.06,-0.09,-0.01,0.07
CarII-0064,5012.07,26.0,0.86,-2.6,133.2,,4.3,,5.18,0.36,0.09,0.35,0.3,-0.05,-0.18,-0.02,0.12
CarII-0064,5014.94,26.0,3.94,-0.18,53.8,,4.7,,5.18,0.15,0.07,0.13,0.12,-0.03,-0.04,-0.01,0.04
CarII-0064,5017.58,28.0,3.54,-0.03,17.5,,2.5,,3.56,0.15,0.07,0.14,0.14,-0.01,-0.01,-0.0,0.02
CarII-0064,5018.45,26.1,2.89,-1.1,152.8,,5.4,,5.16,0.21,0.08,0.19,-0.02,0.08,-0.17,0.0,0.11
CarII-0064,5022.24,26.0,3.98,-0.33,38.1,,4.0,,5.12,0.15,0.07,0.13,0.13,-0.02,-0.02,-0.0,0.03
CarII-0064,5028.13,26.0,3.56,-1.02,22.5,,3.4,,5.0,0.17,0.08,0.15,0.14,-0.02,-0.01,-0.0,0.03
CarII-0064,5035.36,28.0,3.63,0.29,33.3,,6.9,,3.71,0.18,0.12,0.13,0.13,-0.01,-0.01,-0.0,0.03
CarII-0064,5035.9,22.0,1.46,0.22,19.6,,2.9,,2.53,0.21,0.07,0.19,0.19,-0.03,-0.01,-0.0,0.03
CarII-0064,5039.25,26.0,3.37,-1.52,16.8,,4.1,,5.11,0.19,0.12,0.16,0.15,-0.02,-0.0,-0.0,0.03
CarII-0064,5039.96,22.0,0.02,-1.08,29.0,,4.4,,2.28,0.27,0.08,0.26,0.26,-0.04,-0.01,-0.01,0.03
CarII-0064,5041.07,26.0,0.96,-3.09,128.1,,6.5,,5.7,0.36,0.13,0.34,0.28,-0.06,-0.17,-0.02,0.14
CarII-0064,5041.76,26.0,1.48,-2.2,126.1,,5.3,,5.44,0.33,0.11,0.31,0.25,-0.06,-0.17,-0.02,0.14
CarII-0064,5044.21,26.0,2.85,-2.15,24.2,,3.5,,5.31,0.19,0.07,0.18,0.17,-0.03,-0.01,-0.0,0.03
CarII-0064,5051.64,26.0,0.91,-2.76,120.4,,6.0,,5.16,0.35,0.11,0.33,0.28,-0.06,-0.16,-0.02,0.14
CarII-0064,5064.65,22.0,0.05,-0.94,67.4,,7.6,,2.77,0.28,0.11,0.26,0.25,-0.04,-0.04,-0.01,0.06
CarII-0064,5068.77,26.0,2.94,-1.23,63.2,,5.7,,5.15,0.2,0.09,0.18,0.17,-0.04,-0.05,-0.01,0.06
CarII-0064,5074.75,26.0,4.22,-0.2,39.9,,5.5,,5.3,0.15,0.09,0.12,0.12,-0.03,-0.02,-0.0,0.04
CarII-0064,5079.22,26.0,2.2,-2.1,80.9,,0.7,,5.38,0.28,0.18,0.22,0.2,-0.04,-0.07,-0.01,0.08
CarII-0064,5079.74,26.0,0.99,-3.25,119.7,,8.2,,5.72,0.36,0.15,0.32,0.27,-0.06,-0.16,-0.02,0.14
CarII-0064,5080.53,28.0,3.65,0.32,43.5,,8.2,,3.87,0.19,0.13,0.13,0.13,-0.02,-0.02,-0.0,0.04
CarII-0064,5081.11,28.0,3.84,0.3,27.5,,6.2,,3.83,0.17,0.12,0.12,0.12,-0.01,-0.01,-0.0,0.03
CarII-0064,5083.34,26.0,0.96,-2.84,124.7,,8.2,,5.36,0.36,0.15,0.33,0.28,-0.06,-0.16,-0.02,0.14
CarII-0064,5123.72,26.0,1.01,-3.06,109.7,,5.9,,5.36,0.33,0.12,0.31,0.27,-0.06,-0.13,-0.02,0.11
CarII-0064,5125.12,26.0,4.22,-0.14,47.6,,5.5,,5.36,0.15,0.09,0.12,0.12,-0.03,-0.03,-0.0,0.04
CarII-0064,5127.36,26.0,0.91,-3.25,114.4,,5.7,,5.51,0.34,0.11,0.32,0.28,-0.06,-0.15,-0.02,0.1
CarII-0064,5129.16,22.1,1.89,-1.34,63.6,,5.7,,2.72,0.15,0.08,0.12,0.03,0.11,-0.04,0.01,0.04
CarII-0064,5131.47,26.0,2.22,-2.52,49.9,,4.9,,5.36,0.22,0.07,0.21,0.2,-0.03,-0.03,-0.01,0.04
CarII-0064,5133.69,26.0,4.17,0.36,58.2,,7.2,,4.98,0.17,0.11,0.13,0.12,-0.03,-0.04,-0.0,0.04
CarII-0064,5141.74,26.0,2.42,-2.15,43.8,,4.4,,5.15,0.21,0.07,0.2,0.2,-0.03,-0.02,-0.0,0.04
CarII-0064,5150.84,26.0,0.99,-3.04,113.6,,5.9,,5.38,0.33,0.11,0.32,0.27,-0.06,-0.14,-0.02,0.11
CarII-0064,5151.91,26.0,1.01,-3.32,116.9,,6.9,,5.75,0.34,0.13,0.32,0.27,-0.06,-0.15,-0.02,0.11
CarII-0064,5162.27,26.0,4.17,0.02,65.8,,6.4,,5.43,0.17,0.1,0.13,0.12,-0.04,-0.05,-0.01,0.05
CarII-0064,5171.6,26.0,1.48,-1.72,143.5,,5.5,,5.26,0.36,0.1,0.35,0.27,-0.07,-0.21,-0.03,0.13
CarII-0064,5172.68,12.0,2.71,-0.39,200.7,,6.2,,5.0,0.28,0.07,0.27,0.21,-0.12,-0.12,-0.01,0.1
CarII-0064,5173.74,22.0,0.0,-1.06,47.7,,4.9,,2.53,0.27,0.07,0.26,0.26,-0.04,-0.02,-0.01,0.03
CarII-0064,5183.6,12.0,2.72,-0.17,251.8,,7.0,,5.21,0.28,0.04,0.28,0.23,-0.14,-0.08,-0.01,0.07
CarII-0064,5185.9,22.1,1.89,-1.41,61.1,,6.7,,2.75,0.16,0.1,0.12,0.03,0.11,-0.04,0.01,0.04
CarII-0064,5188.68,22.1,1.58,-1.21,94.8,,8.7,,2.68,0.21,0.15,0.14,0.03,0.1,-0.1,0.01,0.07
CarII-0064,5191.45,26.0,3.04,-0.55,96.4,,6.2,,5.11,0.23,0.11,0.21,0.17,-0.06,-0.1,-0.01,0.08
CarII-0064,5192.34,26.0,3.0,-0.42,113.2,,5.8,,5.24,0.26,0.1,0.23,0.18,-0.07,-0.14,-0.01,0.09
CarII-0064,5192.97,22.0,0.02,-0.95,57.3,,6.7,,2.58,0.28,0.1,0.26,0.26,-0.04,-0.03,-0.01,0.04
CarII-0064,5194.94,26.0,1.56,-2.02,116.8,,7.4,,5.13,0.33,0.14,0.3,0.24,-0.06,-0.16,-0.02,0.1
CarII-0064,5197.58,26.1,3.23,-2.22,77.7,,6.3,,5.34,0.16,0.1,0.13,-0.02,0.11,-0.06,0.01,0.05
CarII-0064,5198.71,26.0,2.22,-2.09,75.3,,6.2,,5.3,0.24,0.1,0.21,0.2,-0.04,-0.06,-0.01,0.05
CarII-0064,5202.34,26.0,2.17,-1.87,109.7,,5.9,,5.61,0.28,0.11,0.26,0.21,-0.06,-0.14,-0.01,0.09
CarII-0064,5206.02,24.0,0.94,0.02,121.9,,5.2,,3.02,0.3,0.1,0.28,0.22,-0.07,-0.16,-0.02,0.1
CarII-0064,5210.38,22.0,0.05,-0.82,51.3,,5.4,,2.4,0.27,0.08,0.26,0.26,-0.04,-0.03,-0.01,0.03
CarII-0064,5215.18,26.0,3.26,-0.86,57.8,,5.7,,5.09,0.18,0.09,0.16,0.15,-0.03,-0.04,-0.0,0.04
CarII-0064,5216.27,26.0,1.61,-2.08,125.2,,5.8,,5.41,0.32,0.11,0.3,0.25,-0.06,-0.16,-0.02,0.1
CarII-0064,5217.39,26.0,3.21,-1.07,70.0,,4.6,,5.41,0.19,0.07,0.17,0.16,-0.04,-0.05,-0.01,0.05
CarII-0064,5232.94,26.0,2.94,-0.19,123.9,,5.5,,5.12,0.27,0.1,0.25,0.19,-0.07,-0.15,-0.01,0.1
CarII-0064,5234.63,26.1,3.22,-2.18,84.2,,5.6,,5.42,0.16,0.09,0.14,-0.03,0.11,-0.08,0.01,0.06
CarII-0064,5242.49,26.0,3.63,-0.84,41.5,,4.2,,5.26,0.16,0.07,0.15,0.14,-0.03,-0.02,-0.0,0.03
CarII-0064,5247.56,24.0,0.96,-1.59,34.9,,5.1,,3.23,0.23,0.09,0.21,0.21,-0.03,-0.01,-0.0,0.03
CarII-0064,5250.65,26.0,2.2,-2.18,61.2,,4.7,,5.15,0.22,0.07,0.21,0.2,-0.04,-0.04,-0.01,0.04
