Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,R,H,I,V,B,J,K,U,otype,plx_value,pmdec,rvz_nature,rvz_qual,pmra,sp_qual,sp_bibcode,sp_type
True,,BL147,02:38:44.02,-34:30:51.8,[LHT2010] BL147,39.68355907800792,-34.514457378695276,0.0569,0.0716,90,O,2020yCat.1350....0G,,15.734999656677246,,,,16.17300033569336,,,RG*,,-0.413,s,A,0.353,,,
True,,BL148,02:39:11.05,-34:39:08.6,2MASS J02391107-3439090,39.79618013182001,-34.65252476604001,0.0503,0.065,90,O,2020yCat.1350....0G,,15.001999855041504,16.739999771118164,18.360000610351562,,15.777999877929688,14.579000473022461,,RG*,0.0322,-0.405,s,A,0.481,,,
True,,BL149,02:38:57.19,-34:35:39.8,GB07 Fnx28,39.73841634816,-34.59449315761001,0.0561,0.0749,90,O,2020yCat.1350....0G,,15.302000045776367,,18.57699966430664,,15.973999977111816,15.128999710083008,,RG*,0.0432,-0.411,s,A,0.33,,,
True,,BL150,02:39:13.94,-34:28:36.1,GB07 Fnx10,39.808227871296666,-34.47683414556361,0.0582,0.0747,90,O,2020yCat.1350....0G,17.70800018310547,15.239999771118164,16.989999771118164,18.549999237060547,20.038999557495117,16.027999877929688,14.854000091552734,,RG*,,-0.183,s,A,0.245,,,
True,,BL151,02:39:00.29,-34:30:30.0,GB07 Fnx13,39.75132764018,-34.50841476779,0.0597,0.0759,90,O,2020yCat.1350....0G,,14.949000358581543,17.010000228881836,18.56599998474121,,15.961000442504883,15.057999610900879,,RG*,,-0.472,s,A,0.407,,,
True,,BL153,02:39:08.35,-34:32:44.8,2MASS J02390838-3432451,39.78490090662999,-34.54584821605,0.0556,0.0725,90,O,2020yCat.1350....0G,17.701000213623047,15.305999755859375,17.030000686645508,18.559999465942383,20.070999145507812,15.871000289916992,15.180999755859375,,RG*,0.0363,-0.514,s,A,0.373,,,
True,,BL155,02:38:40.44,-34:35:25.0,2MASS J02384047-3435251,39.66864674369,-34.59035161985,0.0535,0.0688,90,O,2020yCat.1350....0G,,15.079999923706055,16.979999542236328,18.510000228881836,,15.984000205993652,14.751999855041504,,RG*,,-0.256,s,A,0.266,,,
True,,BL156,02:39:05.62,-34:26:30.6,2MASS J02390563-3426310,39.773528418789994,-34.44196399332,0.0634,0.0819,90,O,2020yCat.1350....0G,,15.269000053405762,17.1200008392334,18.56999969482422,,16.242000579833984,14.961000442504883,,RG*,0.1851,-0.299,s,A,0.442,,,
True,,BL157,02:39:02.44,-34:27:35.4,Gaia DR3 5062258908463470336,39.760314738103745,-34.459909488798615,0.0623,0.0822,90,O,2020yCat.1350....0G,,,,,,,,,RG*,,-0.237,,,0.3,,,
True,,BL158,02:39:06.84,-34:35:45.7,[LHT2010] BL158,39.77860162757624,-34.59610618395084,0.0573,0.0755,90,O,2020yCat.1350....0G,,15.248000144958496,,,,16.052000045776367,15.156999588012695,,RG*,,-0.51,s,A,0.437,,,
True,,BL160,02:39:01.74,-34:27:19.2,[WMO2009] For-1208,39.75739068184,-34.45544964595,0.0577,0.0776,90,O,2020yCat.1350....0G,,15.100000381469727,17.06999969482422,18.59000015258789,,16.018999099731445,15.03600025177002,,*,,-0.292,s,A,0.115,,,
True,,BL163,02:38:43.54,-34:32:25.4,[LHT2010] BL163,39.68155727066042,-34.54045327630722,0.058,0.0738,90,O,2020yCat.1350....0G,,15.322999954223633,,,,15.918000221252441,15.036999702453613,,RG*,0.0394,-0.352,s,A,0.448,,,
True,,BL165,02:39:13.37,-34:40:15.8,2MASS J02391340-3440163,39.805851827889995,-34.67120354175,0.0527,0.0687,90,O,2020yCat.1350....0G,,15.065999984741211,16.90999984741211,18.440000534057617,,15.869999885559082,14.684000015258789,,RG*,,-0.48,s,A,0.368,,,
True,,BL166,02:39:16.01,-34:30:12.9,GB07 Fnx12,39.81685177701,-34.50370905779,0.0565,0.0703,90,O,2020yCat.1350....0G,,15.116000175476074,16.959999084472656,18.496000289916992,,16.209999084472656,15.095999717712402,,RG*,,-0.318,s,A,0.361,,,
True,,BL168,02:39:14.78,-34:27:29.8,[WMO2009] For-0391,39.811697603860004,-34.45843480495,0.0666,0.087,90,O,2020yCat.1350....0G,,15.199000358581543,17.020000457763672,18.530000686645508,,16.233999252319336,15.067000389099121,,*,,0.281,s,A,0.046,,,
True,,BL171,02:39:15.48,-34:30:46.5,2MASS J02391551-3430468,39.81460385205,-34.51302527729,0.0608,0.0749,90,O,2020yCat.1350....0G,,15.347000122070312,17.059999465942383,18.610000610351562,,16.025999069213867,15.052000045776367,,RG*,,-0.535,s,A,0.363,,,
