Seq,Name,[Fe/H],Species,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_[X/H],Nlines
7,BS 16467-062,-3.77,Zn I,,1.06,,-3.54,,0.23,,1
8,BS 16477-003,-3.36,C-H,,5.5,,-3.02,,0.34,,
8,BS 16477-003,-3.36,C-N,,,,,,,,
8,BS 16477-003,-3.36,O I,,,,,,,,
8,BS 16477-003,-3.36,Na I,,3.04,,-3.29,,0.07,,2
8,BS 16477-003,-3.36,Mg I,,4.5,,-3.08,,0.28,0.15,8
8,BS 16477-003,-3.36,Al I,,2.51,,-3.96,,-0.61,,2
8,BS 16477-003,-3.36,Si I,,4.69,,-2.86,,0.5,,1
8,BS 16477-003,-3.36,K I,,2.23,,-2.89,,0.47,,1
8,BS 16477-003,-3.36,Ca I,,3.38,,-3.98,,0.38,0.15,17
8,BS 16477-003,-3.36,Sc II,,-0.18,,-3.35,,0.01,0.14,7
8,BS 16477-003,-3.36,Ti I,,1.98,,-3.04,,0.32,0.1,14
8,BS 16477-003,-3.36,Ti II,,1.9,,-3.12,,0.24,0.12,29
8,BS 16477-003,-3.36,Cr I,,1.94,,-3.73,,-0.38,0.12,7
8,BS 16477-003,-3.36,Mn I,,1.53,,-3.86,,-0.51,0.11,3
8,BS 16477-003,-3.36,Fe I,,4.14,,-3.36,,0.0,0.12,141
8,BS 16477-003,-3.36,Fe II,,4.15,,-3.35,,0.01,0.05,16
8,BS 16477-003,-3.36,Co I,,1.93,,-2.99,,0.37,0.09,4
8,BS 16477-003,-3.36,Ni I,,2.92,,-3.33,,0.03,0.07,3
8,BS 16477-003,-3.36,Zn I,,1.42,,-3.18,,0.18,,1
9,BS 17569-049,-2.88,C-H,,5.45,,-3.07,,-0.22,,
9,BS 17569-049,-2.88,C-N,,5.8,,-2.12,,0.73,,
9,BS 17569-049,-2.88,O I,,,,,,,,
9,BS 17569-049,-2.88,Na I,,3.87,,-2.46,,0.42,,2
9,BS 17569-049,-2.88,Mg I,,4.95,,-2.63,,0.25,0.2,8
9,BS 17569-049,-2.88,Al I,,3.12,,-3.35,,-0.48,,2
9,BS 17569-049,-2.88,Si I,,5.27,,-2.28,,0.6,,1
9,BS 17569-049,-2.88,K I,,2.73,,-2.39,,0.49,,2
9,BS 17569-049,-2.88,Ca I,,3.89,,-2.47,,0.41,0.13,16
9,BS 17569-049,-2.88,Sc II,,0.35,,-2.82,,0.06,0.16,7
9,BS 17569-049,-2.88,Ti I,,2.42,,-2.6,,0.28,0.06,13
9,BS 17569-049,-2.88,Ti II,,2.37,,-2.65,,0.23,0.12,30
9,BS 17569-049,-2.88,Cr I,,2.54,,-3.13,,-0.26,0.08,7
