source_id,ra,dec,[Eu II/Mg I],e_[Eu II/Mg I],[Eu II/Fe II],e_[Eu II/Fe II],[Sr II/Ba II],e_[Sr II/Ba II],[Sr II/Mg I],e_[Sr II/Mg I],[Eu II/Ba II],e_[Eu II/Ba II],[C/Fe],e_[C/Fe],[Na I/Fe],e_[Na I/Fe],[Mg I/Fe],e_[Mg I/Fe],[Al I/Fe],e_[Al I/Fe],[Si I/Fe],e_[Si I/Fe],[Ca I/Fe],e_[Ca I/Fe],[Sc II/Fe],e_[Sc II/Fe],[Ti II/Fe],e_[Ti II/Fe],[Cr I/Fe],e_[Cr I/Fe],[Cr II/Fe],e_[Cr II/Fe],[Mn I/Fe],e_[Mn I/Fe],[Co I/Fe],e_[Co I/Fe],[Ni I/Fe],e_[Ni I/Fe],[Zn I/Fe],e_[Zn I/Fe],[Sr II/Fe],e_[Sr II/Fe],[Y II/Fe],e_[Y II/Fe],[Zr II/Fe],e_[Zr II/Fe],[Ba II/Fe],e_[Ba II/Fe],[La II/Fe],e_[La II/Fe],[Eu II/Fe],e_[Eu II/Fe],[Dy II/Fe],e_[Dy II/Fe],[Fe/H],e_[Fe/H],[C/H],e_[C/H],[Na I/H],e_[Na I/H],[Mg I/H],e_[Mg I/H],[Al I/H],e_[Al I/H],[Si I/H],e_[Si I/H],[Ca I/H],e_[Ca I/H],[Sc II/H],e_[Sc II/H],[Ti II/H],e_[Ti II/H],[Cr I/H],e_[Cr I/H],[Cr II/H],e_[Cr II/H],[Mn I/H],e_[Mn I/H],[Co I/H],e_[Co I/H],[Ni I/H],e_[Ni I/H],[Zn I/H],e_[Zn I/H],[Sr II/H],e_[Sr II/H],[Y II/H],e_[Y II/H],[Zr II/H],e_[Zr II/H],[Ba II/H],e_[Ba II/H],[La II/H],e_[La II/H],[Eu II/H],e_[Eu II/H],[Dy II/H],e_[Dy II/H],teff,logg,mh,vt,etot_teff,etot_logg,etot_mh,etot_vt,UT-DATE,BINNING,EXPTIME,SLITSIZE
2659914516754259456,23:27:24.54,4.44383,0.27,0.11,0.5,0.07,-0.22,0.16,-0.6,0.21,0.64,0.09,-0.4,0.15,0.31,0.1,0.26,0.09,-1.37,0.17,0.79,0.12,0.32,0.07,-0.17,0.05,0.27,0.07,-0.12,0.05,-0.0,0.06,-0.5,0.09,-0.04,0.13,-0.1,0.07,-0.0,0.16,-0.36,0.21,-0.38,0.06,-0.11,0.06,-0.14,0.09,0.12,0.07,0.5,0.07,0.84,0.06,-2.3,0.17,-2.7,0.25,-1.99,0.25,-2.05,0.11,-3.67,0.31,-1.52,0.06,-1.98,0.12,-2.45,0.09,-2.0,0.09,-2.43,0.17,-2.28,0.09,-2.81,0.11,-2.35,0.2,-2.41,0.13,-2.31,0.1,-2.64,0.24,-2.66,0.09,-2.38,0.08,-2.42,0.12,-2.16,0.09,-1.78,0.08,-1.43,0.08,4725,1.39,-2.31,2.25,122,0.2,0.22,0.25,2021-11-02,2x2,4175,0.70x5.00
2733469542550276352,22:39:25.16,15.81226,0.1,0.12,0.56,0.04,0.07,0.19,-0.38,0.19,0.55,0.1,0.26,0.16,0.14,0.09,0.29,0.06,-1.15,0.11,0.39,0.14,0.32,0.06,0.14,0.04,0.42,0.07,-0.01,0.1,0.13,0.07,-0.38,0.06,0.21,0.06,0.05,0.05,0.11,0.08,0.09,0.19,-0.12,0.06,0.3,0.04,0.02,0.1,0.25,0.1,0.56,0.04,0.7,0.05,-2.39,0.13,-2.13,0.26,-2.25,0.18,-2.1,0.09,-3.54,0.23,-2.0,0.26,-2.07,0.1,-2.42,0.08,-2.15,0.1,-2.4,0.16,-2.44,0.09,-2.76,0.1,-2.18,0.12,-2.34,0.09,-2.28,0.07,-2.48,0.21,-2.68,0.07,-2.26,0.07,-2.55,0.12,-2.32,0.1,-2.0,0.08,-1.86,0.09,5276,2.67,-2.39,1.76,123,0.21,0.24,0.24,2021-11-08,2x2,3600,0.70x5.00
2765074076578453760,23:37:14.18,13.36582,0.14,0.21,0.52,0.08,-0.11,0.12,-0.32,0.13,0.36,0.17,-0.62,0.24,-0.18,0.16,0.41,0.11,-0.71,0.08,0.48,0.18,0.37,0.08,0.1,0.08,0.35,0.07,-0.11,0.05,0.0,0.05,-0.46,0.11,-0.1,0.21,-0.1,0.1,0.02,0.24,0.05,0.11,-0.11,0.05,0.12,0.07,0.16,0.12,0.16,0.08,0.52,0.08,0.51,0.06,-1.89,0.24,-2.51,0.24,-2.07,0.11,-1.48,0.15,-2.6,0.24,-1.4,0.07,-1.52,0.18,-1.76,0.14,-1.51,0.13,-2.0,0.26,-1.86,0.1,-2.35,0.15,-1.99,0.26,-1.99,0.17,-1.87,0.09,-1.81,0.12,-1.98,0.12,-1.74,0.12,-1.7,0.19,-1.7,0.12,-1.34,0.11,-1.35,0.14,4505,1.1,-1.9,1.91,123,0.2,0.21,0.24,2021-11-08,2x2,3600,0.70x5.00
2792504520868554240,0:25:17.56,16.044,-0.41,0.22,0.22,0.1,0.08,0.11,-0.92,0.2,0.58,0.1,-1.02,0.2,0.1,0.1,0.61,0.12,-0.99,0.25,0.63,0.16,0.39,0.09,0.14,0.06,0.39,0.06,-0.15,0.04,0.04,0.06,-0.38,0.09,-0.08,0.08,-0.04,0.08,0.03,0.21,-0.29,0.15,-0.52,0.08,-0.32,0.06,-0.37,0.07,-0.23,0.09,0.22,0.1,0.21,0.11,-2.35,0.21,-3.36,0.24,-2.25,0.31,-1.73,0.13,-3.34,0.15,-1.72,0.06,-1.96,0.14,-2.23,0.09,-1.97,0.08,-2.5,0.22,-2.32,0.09,-2.72,0.13,-2.43,0.2,-2.38,0.16,-2.32,0.06,-2.65,0.17,-2.89,0.09,-2.69,0.09,-2.73,0.11,-2.59,0.1,-2.15,0.11,-2.16,0.13,4401,0.7,-2.36,2.25,122,0.2,0.22,0.22,2021-11-03,2x2,3420,0.70x5.00
2810525379008979968,23:17:24.68,11.31729,0.56,0.17,0.85,0.08,-0.26,0.14,-0.22,0.13,0.51,0.15,-0.42,0.23,-0.05,0.13,0.2,0.13,-0.84,0.22,0.37,0.18,0.43,0.06,0.22,0.1,0.42,0.08,0.02,0.08,0.19,0.1,-0.29,0.09,-0.34,0.17,-0.04,0.08,-0.1,0.21,0.07,0.12,-0.05,0.14,0.33,0.11,0.34,0.11,0.5,0.06,0.85,0.08,0.92,0.13,-1.17,0.22,-1.59,0.21,-1.22,0.11,-0.97,0.14,-2.01,0.31,-0.8,0.06,-0.74,0.19,-1.04,0.16,-0.84,0.15,-1.15,0.29,-1.07,0.15,-1.46,0.17,-1.51,0.21,-1.21,0.16,-1.27,0.12,-1.19,0.12,-1.31,0.18,-0.93,0.16,-0.92,0.19,-0.76,0.11,-0.41,0.1,-0.34,0.02,4721,1.84,-1.16,1.59,122,0.2,0.21,0.23,2021-07-28,2x1,2700,0.50x5.00
2811948250134539520,23:15:24.85,12.26771,0.24,0.19,0.53,0.11,-0.17,0.15,-0.26,0.14,0.33,0.18,-0.46,0.25,0.04,0.12,0.18,0.14,-0.92,0.14,0.32,0.18,0.37,0.05,0.26,0.12,0.47,0.09,0.02,0.11,0.17,0.11,-0.28,0.09,-0.23,0.21,-0.06,0.07,0.01,0.21,0.03,0.15,-0.11,0.11,0.22,0.11,0.2,0.12,0.29,0.09,0.53,0.11,0.63,0.11,-1.11,0.2,-1.57,0.18,-1.06,0.1,-0.93,0.13,-2.03,0.24,-0.79,0.05,-0.74,0.18,-0.96,0.19,-0.75,0.16,-1.08,0.29,-1.05,0.17,-1.38,0.16,-1.34,0.23,-1.17,0.15,-1.1,0.14,-1.19,0.11,-1.33,0.15,-1.01,0.09,-1.02,0.19,-0.93,0.11,-0.69,0.1,-0.59,0.05,4646,1.73,-1.11,1.55,122,0.21,0.21,0.24,2021-07-28,2x1,2700,0.50x5.00
2911019229961694208,5:59:47.38,-27.13725,-0.28,0.17,0.16,0.06,0.16,0.12,-0.07,0.11,-0.04,0.12,-0.49,0.16,0.69,0.11,0.51,0.11,,,0.38,0.13,0.41,0.07,0.06,0.05,0.33,0.06,-0.2,0.05,0.06,0.05,-0.53,0.09,0.03,0.14,-0.04,0.06,0.2,0.17,0.37,0.15,-0.02,0.05,0.28,0.05,0.21,0.09,0.11,0.08,0.16,0.06,0.22,0.11,-2.23,0.18,-2.72,0.24,-1.55,0.09,-1.73,0.13,,,-1.85,0.21,-1.83,0.12,-2.11,0.11,-1.84,0.08,-2.43,0.19,-2.11,0.08,-2.77,0.12,-2.21,0.2,-2.27,0.14,-2.03,0.06,-1.8,0.14,-2.19,0.08,-1.89,0.11,-1.96,0.14,-2.06,0.08,-2.01,0.08,-1.95,0.14,4590,1.14,-2.24,2.42,122,0.2,0.22,0.24,2021-12-23,2x2,1200,0.70x5.00
2914192523598690048,5:45:52.52,-25.944,0.41,0.1,0.74,0.06,-0.12,0.13,-0.27,0.18,0.56,0.09,0.14,0.14,0.17,0.1,0.28,0.07,-0.88,0.21,0.46,0.09,0.33,0.05,0.09,0.04,0.36,0.05,-0.12,0.04,0.01,0.05,-0.47,0.07,0.14,0.09,-0.05,0.06,0.05,0.1,0.06,0.17,-0.06,0.05,0.26,0.04,0.18,0.08,0.45,0.06,0.74,0.06,0.78,0.06,-2.19,0.14,-2.05,0.25,-2.02,0.21,-1.91,0.09,-3.07,0.34,-1.73,0.05,-1.86,0.09,-2.14,0.09,-1.87,0.08,-2.31,0.14,-2.23,0.08,-2.66,0.08,-2.05,0.14,-2.24,0.1,-2.14,0.07,-2.18,0.2,-2.3,0.08,-1.98,0.07,-2.06,0.12,-1.78,0.08,-1.5,0.08,-1.46,0.05,5126,2.36,-2.2,1.93,122,0.2,0.23,0.24,2021-10-26,2x2,1200,0.70x5.00
3247170789616103808,3:32:15.70,-6.7416,0.23,0.15,0.61,0.06,0.11,0.08,-0.2,0.11,0.54,0.1,-0.18,0.16,0.12,0.05,0.33,0.11,-0.71,0.19,0.58,0.1,0.37,0.07,0.08,0.05,0.37,0.05,-0.15,0.05,0.07,0.05,-0.43,0.1,0.11,0.12,-0.01,0.08,0.08,0.15,0.18,0.12,-0.12,0.05,0.23,0.05,0.07,0.09,0.3,0.06,0.61,0.06,0.64,0.05,-2.0,0.18,-2.18,0.24,-1.88,0.18,-1.67,0.13,-2.71,0.05,-1.42,0.14,-1.63,0.12,-1.98,0.11,-1.69,0.1,-2.16,0.18,-1.98,0.09,-2.44,0.11,-1.9,0.2,-2.02,0.14,-1.92,0.06,-1.87,0.14,-2.17,0.1,-1.82,0.1,-1.98,0.14,-1.76,0.08,-1.45,0.09,-1.41,0.09,4804,1.67,-2.03,1.97,122,0.2,0.22,0.24,2021-12-24,2x2,1744,0.70x5.00
3257948717988018304,3:59:35.07,0.95294,0.23,0.13,0.33,0.07,-0.08,0.08,-0.14,0.14,0.29,0.11,-0.5,0.13,,,0.22,0.1,-1.02,0.06,0.06,0.09,0.24,0.06,-0.04,0.05,0.19,0.05,-0.15,0.05,-0.0,0.06,-0.54,0.09,0.06,0.09,-0.09,0.07,-0.06,0.11,-0.04,0.14,-0.22,0.05,0.08,0.04,0.04,0.09,0.19,0.07,0.33,0.07,0.36,0.06,-2.11,0.15,-2.61,0.23,,,-1.9,0.12,-3.13,0.16,-2.06,0.2,-1.87,0.1,-2.04,0.11,-1.81,0.1,-2.26,0.15,-2.0,0.09,-2.65,0.1,-2.05,0.17,-2.21,0.12,-2.17,0.07,-2.04,0.17,-2.22,0.09,-1.92,0.08,-1.96,0.14,-1.8,0.09,-1.67,0.09,-1.64,0.1,4989,2.05,-2.12,2.15,123,0.21,0.22,0.24,2021-11-08,2x2,4800,0.70x5.00
3642334203486585728,14:23:13.78,-5.33796,0.5,0.21,0.66,0.15,-0.22,0.18,-0.04,0.15,0.32,0.2,-0.72,0.31,0.08,0.11,0.14,0.14,-1.14,0.2,0.29,0.19,0.36,0.12,0.48,0.26,0.24,0.14,0.19,0.18,-0.14,0.08,-0.29,0.1,,,-0.09,0.07,-0.2,0.22,0.12,0.22,-0.04,0.28,,,0.34,0.2,0.71,0.25,0.66,0.15,,,-0.93,0.18,-1.64,0.24,-0.85,0.15,-0.79,0.14,-2.07,0.24,-0.64,0.09,-0.57,0.23,-0.48,0.29,-0.71,0.17,-0.74,0.33,-1.1,0.16,-1.22,0.19,,,-1.01,0.17,-1.13,0.2,-0.84,0.09,-1.0,0.2,,,-0.61,0.21,-0.25,0.18,-0.29,0.13,,,4215,1.13,-0.96,1.63,122,0.22,0.23,0.25,2021-07-28,2x1,900,0.50x5.00
4045622011959470464,18:20:20.18,-32.30391,0.36,0.21,0.68,0.13,-0.13,0.16,-0.21,0.15,0.44,0.19,-0.3,0.25,0.05,0.13,0.35,0.14,-0.8,0.2,0.36,0.2,0.37,0.04,0.28,0.11,0.36,0.09,0.02,0.1,0.02,0.12,-0.26,0.09,-0.23,0.21,-0.02,0.08,0.04,0.22,0.12,0.17,-0.13,0.14,0.11,0.11,0.25,0.13,0.24,0.1,0.68,0.13,0.58,0.1,-1.3,0.2,-1.61,0.19,-1.26,0.1,-0.96,0.13,-2.1,0.29,-0.95,0.06,-0.93,0.18,-1.0,0.18,-0.92,0.15,-1.29,0.28,-1.26,0.17,-1.56,0.14,-1.53,0.23,-1.32,0.14,-1.26,0.12,-1.16,0.12,-1.41,0.15,-1.17,0.09,-1.03,0.19,-1.05,0.11,-0.6,0.13,-0.7,0.07,4598,1.69,-1.31,1.58,124,0.21,0.21,0.24,2021-10-10,2x2,1200,0.70x5.00
4081038754562022528,19:14:46.24,-22.19383,0.53,0.21,0.7,0.13,-0.19,0.15,-0.19,0.14,0.52,0.15,-0.8,0.28,0.0,0.1,0.23,0.12,-1.05,0.16,0.44,0.19,0.35,0.09,0.33,0.2,0.28,0.14,-0.06,0.2,-0.2,0.06,-0.38,0.1,-0.44,0.25,-0.06,0.08,0.03,0.22,-0.02,0.2,-0.09,0.26,,,0.18,0.16,0.29,0.2,0.7,0.13,0.44,0.21,-1.21,0.18,-2.0,0.22,-1.21,0.13,-0.98,0.14,-2.26,0.24,-0.77,0.09,-0.86,0.22,-0.82,0.2,-0.87,0.17,-1.26,0.36,-1.35,0.16,-1.59,0.15,-1.65,0.24,-1.27,0.14,-1.18,0.17,-1.16,0.09,-1.24,0.2,,,-0.97,0.18,-0.86,0.15,-0.45,0.13,-0.7,0.02,4253,1.18,-1.22,1.83,122,0.21,0.22,0.24,2021-09-09,2x2,1800,0.70x5.00
4227203402244069120,20:55:15.30,-0.90447,0.4,0.2,0.58,0.14,-0.2,0.23,-0.08,0.22,0.28,0.18,-0.8,0.29,0.3,0.09,0.18,0.12,-1.07,0.16,0.35,0.18,0.32,0.1,0.48,0.22,0.48,0.14,0.07,0.19,-0.12,0.06,-0.27,0.1,-0.14,0.13,-0.04,0.08,-0.04,0.2,0.11,0.24,0.02,0.25,0.1,0.22,0.3,0.19,0.52,0.18,0.58,0.14,0.35,0.22,-1.19,0.17,-1.99,0.23,-0.88,0.14,-1.0,0.14,-2.26,0.24,-0.84,0.09,-0.86,0.22,-0.7,0.24,-0.71,0.17,-1.12,0.34,-1.31,0.16,-1.46,0.2,-1.33,0.11,-1.23,0.15,-1.23,0.15,-1.08,0.2,-1.17,0.19,-1.09,0.0,-0.88,0.2,-0.67,0.12,-0.61,0.13,-0.84,0.06,4220,1.15,-1.18,1.73,122,0.21,0.22,0.23,2021-07-29,2x1,1659,0.50x5.00
