ID,Name,Species,logepsX_sun,l_logepsX_NY,logepsX_NY,e_logepsX_NY,N_NY,l_[X/Fe]_NY,[X/Fe]_NY,e_[X/Fe]_NY,l_logepsX_GM,logepsX_GM,e_logepsX_GM,N_GM,l_[X/Fe]_GM,[X/Fe]_GM,e_[X/Fe]_GM
94,BooI-94,Ti II,4.95,,2.23,0.07,5,,0.24,0.19,,2.29,0.02,6,,0.25,0.18
94,BooI-94,Cr I,5.64,,2.33,0.05,4,,-0.34,0.06,,2.40,0.04,4,,-0.33,0.06
94,BooI-94,Fe I,7.50,,4.53,0.02,64,,-2.97,0.16,,4.59,0.02,46,,-2.91,0.16
94,BooI-94,Fe II,7.50,,4.42,0.26,2,,-0.11,0.34,,,,,,,
94,BooI-94,Ni I,6.22,,3.25,0.17,3,,-0.01,0.17,,3.40,0.05,4,,0.09,0.07
94,BooI-94,Zn I,4.56,,,,,,,,,2.06,,1,,0.41,0.18
94,BooI-94,Y II,2.21,,,,,,,,,-1.09,,1,,-0.39,0.20
94,BooI-94,Ba II,2.18,,-1.77,0.14,3,,-0.98,0.21,,-1.62,,1,,-0.89,0.19
117,BooI-117,Na I,6.24,,,,,,,,,4.14,,1,,-0.05,0.24
117,BooI-117,Mg I,7.60,,5.36,,1,,0.07,0.20,,5.85,,1,,0.30,0.23
117,BooI-117,Si I,7.51,,,,,,,,,5.56,,1,,0.10,0.26
117,BooI-117,Ca I,6.34,,4.28,0.05,11,,0.24,0.06,,4.44,0.05,11,,0.15,0.07
117,BooI-117,Sc II,3.15,,0.86,0.04,3,,0.02,0.21,,1.08,0.02,5,,-0.02,0.18
117,BooI-117,Ti I,4.95,,2.75,0.05,6,,0.12,0.07,,3.05,0.07,9,,0.16,0.09
117,BooI-117,Ti II,4.95,,2.76,0.07,4,,0.12,0.19,,3.10,0.02,6,,0.20,0.18
117,BooI-117,Cr I,5.64,,3.17,0.05,6,,-0.16,0.07,,3.44,0.07,5,,-0.15,0.08
117,BooI-117,Fe I,7.50,,5.19,0.02,61,,-2.31,0.16,,5.45,0.03,57,,-2.05,0.16
117,BooI-117,Fe II,7.50,,5.22,0.26,3,,0.03,0.33,,5.51,0.04,4,,0.06,0.22
117,BooI-117,Ni I,6.22,,3.89,0.16,3,,-0.03,0.17,,4.12,0.04,9,,-0.05,0.06
117,BooI-117,Zn I,4.56,,2.53,,1,,0.28,0.24,,2.64,,1,,0.13,0.19
117,BooI-117,Y II,2.21,,,,,,,,,-0.35,0.12,2,,-0.52,0.21
117,BooI-117,Ba II,2.18,,-0.76,0.22,4,,-0.64,0.27,,-0.51,0.18,2,,-0.65,0.24
119,BooI-119,Na I,6.24,,3.73,,1,,0.70,0.20,,3.55,,1,,0.75,0.26
119,BooI-119,Mg I,7.60,,5.33,,1,,0.94,0.18,,5.30,,1,,1.14,0.25
119,BooI-119,Si I,7.51,,,,,,,,,,,,,,
119,BooI-119,Ca I,6.34,,3.39,0.09,4,,0.26,0.10,,3.57,,1,,0.67,0.25
119,BooI-119,Sc II,3.15,,,,,,,,,,,,,,
119,BooI-119,Ti I,4.95,,,,,,,,,2.19,,1,,0.69,0.25
119,BooI-119,Ti II,4.95,,,,,,,,,2.43,,1,,0.92,0.30
119,BooI-119,Cr I,5.64,,1.94,0.18,2,,-0.49,0.19,,2.26,,1,,0.06,0.25
119,BooI-119,Fe I,7.50,,4.29,0.04,18,,-3.21,0.16,,4.06,0.05,24,,-3.44,0.16
119,BooI-119,Fe II,7.50,,3.51,,1,,-0.78,0.28,,,,,,,
119,BooI-119,Ni I,6.22,,,,,,,,,,,,,,
119,BooI-119,Zn I,4.56,,,,,,,,,,,,,,
119,BooI-119,Y II,2.21,,,,,,,,,,,,,,
119,BooI-119,Ba II,2.18,,-2.03,,1,,-1.00,0.24,,,,,,,
127,BooI-127,Na I,6.24,,,,,,,,,,,,,,
127,BooI-127,Mg I,7.60,,5.63,,1,,0.14,0.21,,5.88,0.05,2,,0.20,0.14
127,BooI-127,Si I,7.51,,,,,,,,,5.72,,1,,0.13,0.23
127,BooI-127,Ca I,6.34,,4.45,0.04,11,,0.22,0.05,,4.53,0.04,13,,0.10,0.05
127,BooI-127,Sc II,3.15,,0.99,0.02,3,,-0.04,0.20,,1.27,0.06,5,,0.03,0.19
127,BooI-127,Ti I,4.95,,2.96,0.09,7,,0.13,0.11,,3.27,0.07,10,,0.25,0.09
127,BooI-127,Ti II,4.95,,3.07,0.04,4,,0.23,0.18,,3.23,0.06,7,,0.19,0.19
127,BooI-127,Cr I,5.64,,3.40,0.06,5,,-0.12,0.07,,3.67,0.07,6,,-0.06,0.08
127,BooI-127,Fe I,7.50,,5.39,0.03,59,,-2.11,0.16,,5.58,0.02,64,,-1.92,0.16
127,BooI-127,Fe II,7.50,,5.41,0.09,3,,0.03,0.24,,5.72,0.09,4,,0.13,0.23
127,BooI-127,Ni I,6.22,,4.12,0.09,2,,0.02,0.15,,4.16,0.10,11,,-0.15,0.11
127,BooI-127,Zn I,4.56,,,,,,,,,,,,,,
127,BooI-127,Y II,2.21,,,,,,,,,,,,,,
127,BooI-127,Ba II,2.18,,-0.49,0.25,4,,-0.56,0.30,,-0.55,0.01,2,,-0.81,0.28
130,BooI-130,Na I,6.24,,3.92,,1,,0.03,0.21,,,,,,,
130,BooI-130,Mg I,7.60,,5.35,,1,,0.10,0.19,,5.64,,1,,0.32,0.24
130,BooI-130,Si I,7.51,,,,,,,,,,,,,,
130,BooI-130,Ca I,6.34,,4.06,0.08,6,,0.07,0.09,,4.37,0.05,11,,0.31,0.06
130,BooI-130,Sc II,3.15,,0.73,,1,,-0.07,0.28,,0.89,0.04,5,,0.03,0.19
130,BooI-130,Ti I,4.95,,2.60,0.08,3,,0.01,0.13,,2.79,0.08,7,,0.13,0.10
130,BooI-130,Ti II,4.95,,2.94,0.15,3,,0.34,0.23,,2.89,0.02,6,,0.22,0.18
130,BooI-130,Cr I,5.64,,3.28,0.25,4,,-0.01,0.25,,3.49,0.06,5,,0.13,0.07
130,BooI-130,Fe I,7.50,,5.15,0.03,55,,-2.35,0.16,,5.22,0.04,35,,-2.28,0.16
130,BooI-130,Fe II,7.50,,5.16,0.10,2,,0.01,0.25,,5.45,0.11,3,,0.24,0.25
130,BooI-130,Ni I,6.22,,3.85,0.14,3,,-0.02,0.15,,4.06,0.06,5,,0.12,0.07
130,BooI-130,Zn I,4.56,,2.47,,1,,0.26,0.24,,,,,,,
130,BooI-130,Y II,2.21,,,,,,,,,,,,,,
130,BooI-130,Ba II,2.18,,-0.74,0.23,3,,-0.57,0.28,,-0.61,0.06,2,,-0.51,0.19
