Star ID                , [Na I/H], e_[Na I/H], [Mg I/H], e_[Mg I/H], [Al I/H], e_[Al I/H], [SiI/H], e_[SiI/H], [Ca I/H], e_[Ca I/H], [Sc II/H], e_[Sc II/H], [Ti I/H], e_[Ti I/H], [Ti II/H], e_[Ti II/H]
2MASS J08203890+3619470, -2.03   , 0.13      , -2.30   ,       0.15, ...     , ...       , ...    , ...      , -2.39   ,       0.44, -2.15    , 0.20       , -2.34   ,       0.19, -2.35    ,        0.21
2MASS J08471988+3209297, -1.37   , 0.15      , -2.16   ,       0.22, ...     , ...       , -1.39  , 0.19     , -1.80   ,       0.23, -2.07    , 0.16       , -1.79   ,       0.35, -1.51    ,        0.24
2MASS J09092839+1704521, -1.79   , 0.13      , -1.89   ,       0.27, -4.74   , 0.25      , -1.65  , 0.16     , -1.66   ,       0.25, -1.89    , 0.34       , -2.07   ,       0.29, -1.91    ,        0.23
2MASS J09143307+2351544, -2.76   , 0.11      , -2.82   ,       0.30, -3.42   , 0.14      , -2.81  , 0.60     , -2.78   ,       0.27, -3.31    , 0.14       , -3.09   ,       0.40, -2.81    ,        0.29
2MASS J09185208+5107215, -2.98   , 0.08      , -2.45   ,       0.32, -2.48   , 0.15      , -2.12  , 0.10     , -2.41   ,       0.27, -3.13    , 0.15       , -2.68   ,       0.30, -2.94    ,        0.24
2MASS J09261148+1802142, -2.38   , 0.14      , -2.35   ,       0.12, ...     , ...       , -1.48  , 0.16     , -2.25   ,       0.27, ...      , ...        , -2.46   ,       0.30, -2.25    ,        0.30
2MASS J09563630+5953170, -1.69   , 0.13      , -1.99   ,       0.14, ...     , ...       , -1.52  , 0.10     , -1.90   ,       0.29, -1.84    , 0.15       , -1.53   ,       0.28, -1.70    ,        0.25
2MASS J10122279+2716094, ...     , ...       , -1.99   ,       0.18, -2.02   , 0.10      , -1.43  , 0.10     , -1.66   ,       0.27, -2.22    , 0.17       , -2.21   ,       0.13, -2.23    ,        0.22
2MASS J10542923+2056561, -0.76   , 0.12      , -0.89   ,       0.13, ...     , ...       , -0.32  , 0.16     , -0.23   ,       0.18, 0.31     , 0.13       , -0.07   ,       0.24, 0.20     ,        0.18
2MASS J11052721+3305150, -2.40   , 0.40      , -2.63   ,       0.14, -2.90   , 0.15      , ...    , ...      , -2.46   ,       0.23, -2.56    , 0.17       , -2.17   ,       0.17, -2.20    ,        0.24
2MASS J12131230+2506598, -1.83   , 0.17      , -2.38   ,       0.18, ...     , ...       , ...    , ...      , -2.05   ,       0.50, -1.93    , 0.28       , -2.51   ,       0.17, -2.54    ,        0.19
2MASS J12334194+1952177, -2.77   , 0.18      , -2.26   ,       0.11, ...     , ...       , -1.78  , 0.16     , -2.67   ,       0.33, -2.52    , 0.16       , -2.75   ,       0.18, -2.34    ,        0.29
2MASS J12445815+5820391, -2.68   , 0.23      , -2.38   ,       0.22, -3.63   , 0.22      , -2.46  , 0.15     , -2.29   ,       0.20, -2.48    , 0.21       , -2.86   ,       0.20, -2.41    ,        0.20
2MASS J13281307+5503080, 0.22    , 0.17      , -0.17   ,       0.25, ...     , ...       , 0.52   , 0.34     , 0.26    ,       0.23, 0.85     , 0.26       , 0.15    ,       0.22, 0.31     ,        0.17
2MASS J13525684+2243314, -3.32   , 0.43      , -2.12   ,       0.14, -4.95   , 0.16      , -1.22  , 0.15     , -2.01   ,       0.25, -1.96    , 0.17       , -2.32   ,       0.33, -2.17    ,        0.34
2MASS J13545109+3820077, -2.01   , 0.10      , -2.10   ,       0.21, -4.05   , 0.15      , ...    , ...      , -2.07   ,       0.25, -2.73    , 0.21       , -2.33   ,       0.25, -2.49    ,        0.32
2MASS J14245543+2707241, -0.48   , 0.11      , -1.96   ,       0.21, ...     , ...       , 0.15   , 0.21     , -1.74   ,       0.30, -1.15    , 0.33       , -1.09   ,       0.27, -1.40    ,        0.26
2MASS J14445238+4038527, -2.44   , 0.26      , -2.09   ,       0.18, ...     , ...       , -1.35  , 0.20     , -1.98   ,       0.36, -1.91    , 0.20       , -2.06   ,       0.21, -1.92    ,        0.40
2MASS J15442141+5735135, -1.76   , 0.32      , -2.36   ,       0.22, -5.19   , 0.25      , ...    , ...      , -2.31   ,       0.38, -3.00    , 0.34       , -2.62   ,       0.34, -2.59    ,        0.41
2MASS J16374570+3230413, -1.83   , 0.16      , -2.16   ,       0.13, -3.11   , 0.18      , -1.28  , 0.10     , -2.05   ,       0.29, -2.24    , 0.29       , -2.09   ,       0.29, -2.22    ,        0.21
2MASS J16380702+4059136, -1.94   , 0.14      , -2.58   ,       0.25, -4.44   , 0.19      , ...    , ...      , -2.00   ,       0.26, -2.37    , 0.15       , -2.10   ,       0.26, -2.09    ,        0.40
2MASS J16393877+3616077, -1.26   , 0.14      , -2.17   ,       0.18, ...     , ...       , -1.24  , 0.14     , -1.54   ,       0.33, -1.45    , 0.41       , -1.58   ,       0.20, -1.41    ,        0.30
2MASS J16451495+4357120, -2.20   , 0.11      , -2.42   ,       0.20, ...     , ...       , -2.30  , 0.15     , -2.50   ,       0.25, -3.49    , 0.14       , -2.66   ,       0.24, -2.82    ,        0.27
2MASS J17041197+1626552, -2.50   , 0.24      , -2.38   ,       0.16, -4.49   , 0.25      , -1.82  , 0.30     , -1.99   ,       0.30, -2.31    , 0.13       , -2.16   ,       0.25, -2.05    ,        0.20
2MASS J17045729+3720576, -2.50   , 0.51      , -2.16   ,       0.09, ...     , ...       , -1.70  , 0.21     , -2.34   ,       0.23, -2.01    , 0.02       , -2.07   ,       0.25, -1.74    ,        0.31
2MASS J17125701+4432051, -2.45   , 0.13      , -2.32   ,       0.20, ...     , ...       , -1.77  , 0.13     , -2.29   ,       0.24, -2.62    , 0.15       , -2.41   ,       0.16, -2.48    ,        0.25
2MASS J21463220+2456393, -0.97   , 0.24      , -0.94   ,       0.04, ...     , ...       , ...    , ...      , -0.47   ,       0.34, -0.67    , 0.18       , -0.29   ,       0.42, -0.56    ,        0.33
2MASS J22175058+2104371, -1.32   , 0.24      , -2.12   ,       0.07, ...     , ...       , ...    , ...      , -2.37   ,       0.32, -2.89    , 0.32       , -2.13   ,       0.37, -2.70    ,        0.37
2MASS J22424551+2720245, -3.79   , 0.15      , -3.00   ,       0.16, -4.48   , 0.15      , ...    , ...      , -3.04   ,       0.14, -2.99    , 0.22       , -2.96   ,       0.22, -3.14    ,        0.13
