Name,Teff,logg,log_L,[Fe/H],[N/Fe]_ul,[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,[Sr/Fe]_ul,[Sr/Fe],[Ba/Fe]_ul,[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key
HD 196944,5255,2.74,1.44,-2.44,,1.3,1.2,0.02,1.22,,0.89,,1.1,0,Yong+2013,YON13,VMP,RS,CE
HD 200654,5160,2.55,1.6,-2.8,,,0.27,0.01,0.28,,-0.44,,-0.83,1,McWilliam+1995,MCW95,VMP,,
HD 214925,4050,0.3,3.43,-2.03,,,-0.85,0.74,-0.11,,,,,1,Aoki+2008,AOK08,VMP,,
HD 215801,6005,3.81,0.6,-2.29,,,0.04,0.0,0.04,,,,,1,Akerman+2004,AKE04,VMP,,
HD 216143,4450,0.8,3.09,-2.27,,,-0.41,0.73,0.32,,0.21,,-0.27,1,Aoki+2008,AOK08,VMP,,
HD 237846,4600,1.0,2.95,-3.29,,,0.17,0.75,0.92,,,,,1,Roederer+2010,ROE10,EMP,,CE
HD 340279,6273,4.25,0.24,-2.62,,,0.17,0.0,0.17,,,,,1,Akerman+2004,AKE04,VMP,,
HE 0005-0002,4726,1.58,2.41,-3.06,,,0.13,0.32,0.45,,0.29,,-0.03,1,Barklem+2005,BAR05,EMP,,
HE 0007-1832,6500,3.8,0.75,-2.79,,2.11,2.66,0.0,2.66,,0.22,,0.09,1,Cohen+2013,COH13,VMP,,CE
HE 0008-3842,4327,0.65,3.19,-3.33,,,-0.93,0.73,-0.2,,-1.4,,-1.8,1,Barklem+2005,BAR05,EMP,,
HE 0009-6039,5250,2.7,1.48,-3.29,,,0.16,0.01,0.17,,,,-1.11,1,Cohen+2013,COH13,EMP,,
HE 0011-0035,4950,1.8,2.27,-2.99,,,0.0,0.12,0.12,,,,-0.27,1,Cohen+2013,COH13,VMP,,
HE 0012-1441,5750,3.5,0.83,-2.52,,0.54,1.59,0.0,1.59,,,,1.15,0,Cohen+2013,COH13,VMP,RS,CE
HE 0013-0257,4500,0.5,3.41,-3.82,,,-0.22,0.69,0.47,,,,-1.16,1,Hollek+2011,HOL11,EMP,,
HE 0013-0522,4900,1.7,2.36,-3.24,,,0.22,0.15,0.37,,,,-0.89,1,Hollek+2011,HOL11,EMP,,
HE 0015+0048,4600,0.9,3.05,-3.07,,,0.62,0.67,1.29,,,,-1.17,1,Hollek+2011,HOL11,EMP,,NO
HE 0017-4346,6198,3.8,0.66,-3.07,,,2.9,0.0,2.9,,,,1.28,0,Cohen+2013,COH13,EMP,RS,CE
HE 0017-4838,5149,2.23,1.91,-3.23,,,-0.33,0.0,-0.33,,0.78,,-0.83,1,Barklem+2005,BAR05,EMP,,
HE 0018-1349,5719,4.62,-0.29,-2.27,,,0.32,0.0,0.32,,0.05,,0.43,1,Barklem+2005,BAR05,VMP,,
HE 0023-4825,5816,3.63,0.72,-2.06,,,0.27,0.0,0.27,,0.08,,-0.11,1,Barklem+2005,BAR05,VMP,,
HE 0024-2523,6625,4.3,0.28,-2.7,,2.12,2.62,0.0,2.62,,0.44,,1.52,0,Masseron+2012,MAS12,VMP,RS,CE
HE 0029-1839,5010,2.19,1.91,-2.5,,,0.27,0.01,0.28,,0.13,,-1.35,1,Barklem+2005,BAR05,VMP,,
HE 0037-0348,4920,1.8,2.26,-3.15,,0.92,0.12,0.1,0.22,,,,-0.52,1,Cohen+2013,COH13,EMP,,
HE 0037-2657,4982,2.21,1.88,-3.22,,,0.27,0.01,0.28,,-0.54,,-1.14,1,Barklem+2005,BAR05,EMP,,
HE 0039-4154,4784,1.5,2.52,-3.18,,,0.06,0.38,0.44,,-0.14,,0.02,1,Cohen+2013,COH13,EMP,,
HE 0043-2845,5517,4.42,-0.16,-2.91,,,0.15,0.0,0.15,,-0.67,,,1,Barklem+2005,BAR05,VMP,,
HE 0044-2459,5242,2.92,1.25,-3.28,,,0.41,0.0,0.41,,-1.55,,,1,Barklem+2005,BAR05,EMP,,
HE 0044-4023,5694,3.26,1.06,-2.56,,,0.36,0.0,0.36,,0.03,,-0.4,1,Barklem+2005,BAR05,VMP,,
HE 0048-0611,5180,2.5,1.65,-2.66,,0.13,0.37,0.01,0.38,,,,-0.43,1,Cohen+2013,COH13,VMP,,
HE 0048-6408,4360,0.35,3.5,-3.76,,,-0.3,0.69,0.39,,-0.82,,-1.37,1,Placco+2014a,PLA4a,EMP,,
HE 0049-5700,5952,4.08,0.31,-2.4,,,0.35,0.0,0.35,,0.19,,-0.47,1,Barklem+2005,BAR05,VMP,,
HE 0051-2304,4537,1.22,2.7,-2.44,,,-0.68,0.69,0.01,,0.03,,-0.11,1,Barklem+2005,BAR05,VMP,,
HE 0054-0657,5908,4.4,-0.02,-2.0,,,0.25,0.0,0.25,,0.05,,-0.13,1,Barklem+2005,BAR05,VMP,,
HE 0055-2314,6290,4.4,0.09,-2.66,,,0.72,0.0,0.72,,,,-0.49,1,Cohen+2013,COH13,VMP,,NO
HE 0057-4541,5083,2.55,1.57,-2.31,,,0.13,0.01,0.14,,0.16,,-0.16,1,Barklem+2005,BAR05,VMP,,
HE 0057-5959,5257,2.65,1.53,-4.08,,2.15,0.86,0.0,0.86,,,,-0.46,1,Yong+2013,YON13,UMP,,NO
HE 0058-0244,5620,3.4,0.89,-2.76,,1.78,1.93,0.01,1.94,,0.42,,1.97,0,Cohen+2013,COH13,VMP,RS,CE
HE 0102-0633,6012,3.7,0.71,-3.1,,,0.87,0.0,0.87,,-0.41,,-0.54,1,Cohen+2013,COH13,EMP,,NO
HE 0102-1213,6100,3.65,0.79,-3.28,,,1.31,0.0,1.31,,,-0.64,,1,Yong+2013,YON13,EMP,,NO
HE 0103-0357,5406,3.2,1.03,-3.15,,-0.03,0.52,0.0,0.52,,,,-0.87,1,Cohen+2013,COH13,EMP,,
HE 0104-4007,5154,2.64,1.5,-3.3,,,0.46,0.01,0.47,,-0.88,,-0.69,1,Barklem+2005,BAR05,EMP,,
HE 0104-5300,4732,1.43,2.57,-3.31,,,-0.05,0.45,0.4,,-0.49,,-1.57,1,Barklem+2005,BAR05,EMP,,
HE 0105-6141,5218,2.83,1.34,-2.55,,,0.16,0.01,0.17,,0.08,,0.13,1,Barklem+2005,BAR05,VMP,,
HE 0107-5240,5100,2.2,1.93,-5.54,,2.43,3.85,0.06,3.91,-0.2,,0.82,,1,Yong+2013,YON13,HMP,,NO
HE 0109-0742,5315,1.85,2.35,-2.52,,,-0.18,0.15,-0.03,,0.07,,-0.22,1,Barklem+2005,BAR05,VMP,,
HE 0111-1454,4632,1.05,2.91,-2.99,,,-0.26,0.74,0.48,,-0.03,,-0.75,1,Barklem+2005,BAR05,VMP,,
HE 0121-2826,4955,1.99,2.09,-2.97,,,0.46,0.03,0.49,,0.37,,-0.64,1,Barklem+2005,BAR05,VMP,,
HE 0122-1616,5215,2.5,1.66,-2.8,,,0.31,0.01,0.32,,,,-1.07,1,Cohen+2013,COH13,VMP,,
HE 0130-1749,4820,1.6,2.43,-3.34,,,0.4,0.32,0.72,,,,-0.72,1,Cohen+2013,COH13,EMP,,NO
HE 0131-2740,5351,3.03,1.18,-3.08,,,0.31,0.0,0.31,,,,,1,Barklem+2005,BAR05,EMP,,
HE 0131-3953,5928,3.83,0.56,-2.71,,,2.36,0.0,2.36,,0.56,,2.12,0,Barklem+2005,BAR05,VMP,RS,CE
HE 0132-2429,5294,2.75,1.44,-3.6,,1.22,0.83,0.01,0.84,,0.13,,-0.85,1,Cohen+2008,COH08,EMP,,NO
HE 0132-2439,5249,2.63,1.55,-3.79,,1.07,0.62,0.01,0.63,,,,-0.88,1,Yong+2013,YON13,EMP,,
HE 0134-1519,5525,3.17,1.1,-3.98,-0.2,,1.0,0.0,1.0,,,-0.81,,1,Hansen+2014,HAN14,EMP,,NO
HE 0134-2504,5204,2.5,1.66,-2.74,,,1.79,0.02,1.81,,,,1.65,0,Cohen+2013,COH13,VMP,RS,CE
HE 0139-2826,4900,1.5,2.56,-3.46,,0.03,0.48,0.38,0.86,,-1.51,,-1.22,1,Placco+2014a,PLA4a,EMP,,NO
HE 0143-0441,6276,3.84,0.65,-2.32,,0.85,1.82,0.0,1.82,,0.93,,2.42,0,Yong+2013,YON13,VMP,RS,CE
HE 0143-1135,5629,4.53,-0.23,-2.13,,,0.19,0.0,0.19,,-0.1,,-0.13,1,Barklem+2005,BAR05,VMP,,
HE 0143-4108,5121,2.41,1.72,-2.62,,,0.12,0.01,0.13,,-0.84,,-1.23,1,Barklem+2005,BAR05,VMP,,
HE 0143-4146,4799,1.5,2.52,-2.95,,,0.07,0.41,0.48,,-0.52,,-0.84,1,Barklem+2005,BAR05,VMP,,
HE 0146-1548,4636,0.99,2.97,-3.46,,,0.84,0.73,1.57,,,,-0.71,1,Yong+2013,YON13,EMP,,NO
HE 0157-3335,4775,1.62,2.39,-3.08,,,-0.26,0.29,0.03,,0.15,,-0.46,1,Barklem+2005,BAR05,EMP,,
HE 0200-0955,5216,2.57,1.6,-2.47,,,0.37,0.01,0.38,,-0.26,,-0.73,1,Barklem+2005,BAR05,VMP,,
HE 0206-1916,5073,2.23,1.89,-2.52,,1.61,2.1,0.02,2.12,,,,1.99,0,Yong+2013,YON13,VMP,RS,CE
HE 0207-1423,5023,2.07,2.03,-2.95,,,2.38,0.03,2.41,,,,1.73,0,Yong+2013,YON13,VMP,RS,CE
HE 0212-0557,5075,2.2,1.92,-2.27,,1.09,1.74,0.02,1.76,,0.04,,2.18,0,Cohen+2013,COH13,VMP,RS,CE
HE 0226+0103,5250,2.7,1.48,-2.81,,0.88,0.04,0.01,0.05,,,,0.12,1,Cohen+2013,COH13,VMP,,
HE 0231-4016,5972,3.59,0.81,-2.08,,,1.27,0.0,1.27,,0.77,,1.38,0,Barklem+2005,BAR05,VMP,RS,CE
HE 0233-0343,6075,3.4,1.03,-4.68,1.2,,3.32,0.0,3.32,,,0.7,,1,Hansen+2014,HAN14,UMP,,NO
HE 0240-0807,4729,1.54,2.46,-2.68,,,-0.39,0.42,0.03,,0.01,,0.16,1,Barklem+2005,BAR05,VMP,,
HE 0240-6105,4720,1.26,2.73,-3.23,,,-0.29,0.59,0.3,,0.46,,-0.73,1,Barklem+2005,BAR05,EMP,,
HE 0243-0753,5066,2.29,1.82,-2.49,,,0.25,0.01,0.26,,-0.28,,-1.07,1,Barklem+2005,BAR05,VMP,,
HE 0243-5238,5085,2.35,1.77,-3.04,,,0.36,0.01,0.37,,0.06,,-0.35,1,Barklem+2005,BAR05,EMP,,
HE 0244-4111,5624,3.39,0.91,-2.56,,,0.21,0.0,0.21,,-0.05,,-0.37,1,Barklem+2005,BAR05,VMP,,
HE 0248+0039,5199,2.57,1.59,-2.53,,,0.05,0.01,0.06,,-0.15,,-0.31,1,Barklem+2005,BAR05,VMP,,
HE 0251-3216,5750,3.7,0.63,-3.15,,,2.32,0.0,2.32,,,,1.28,0,Cohen+2013,COH13,EMP,RS,CE
HE 0255-0859,5250,4.8,-0.62,-2.55,,,-0.18,0.0,-0.18,,,,-0.71,1,Cohen+2013,COH13,VMP,,
HE 0256-1109,5891,4.04,0.34,-2.73,,,0.63,0.0,0.63,,,,,1,Barklem+2005,BAR05,VMP,,
HE 0300-0751,5280,2.97,1.22,-2.27,,,0.06,0.01,0.07,,0.23,,-0.02,1,Barklem+2005,BAR05,VMP,,
HE 0302-3417a,4400,0.2,3.67,-3.7,,,0.48,0.72,1.2,,,,-2.1,1,Hollek+2011,HOL11,EMP,,NO
HE 0305-4520,4817,1.56,2.47,-2.91,,,0.29,0.36,0.65,,-0.56,,0.53,1,Barklem+2005,BAR05,VMP,,
HE 0305-5442,4904,1.7,2.36,-3.3,,,0.27,0.16,0.43,,,,-2.41,1,Cohen+2013,COH13,EMP,,
HE 0308-1154,4984,2.05,2.04,-2.82,,,0.34,0.02,0.36,,-1.83,,,1,Barklem+2005,BAR05,VMP,,
HE 0312-5200,5204,2.6,1.56,-3.11,,,0.26,0.01,0.27,,,,-0.98,1,Cohen+2013,COH13,EMP,,
HE 0315+0000,5013,2.11,1.99,-2.73,,,0.14,0.01,0.15,,0.09,,0.3,1,Barklem+2005,BAR05,VMP,,
HE 0316+0214,4639,1.39,2.57,-3.14,,,-0.75,0.53,-0.22,,-1.38,,-1.43,1,Barklem+2005,BAR05,EMP,,
HE 0317-0554,5400,3.1,1.13,-2.75,,,0.4,0.01,0.41,,,,-0.32,1,Cohen+2013,COH13,VMP,,
HE 0317-4640,5872,4.1,0.27,-2.32,,,0.18,0.0,0.18,,0.01,,-0.24,1,Barklem+2005,BAR05,VMP,,
HE 0323-4529,5127,2.51,1.63,-3.14,,,0.34,0.01,0.35,,0.38,,0.25,1,Barklem+2005,BAR05,EMP,,
HE 0324+0152a,4775,1.2,2.81,-3.32,,,0.18,0.66,0.84,,,,-1.2,1,Hollek+2011,HOL11,EMP,,NO
HE 0328-1047,5301,3.03,1.16,-2.24,,,0.11,0.01,0.12,,0.11,,-0.12,1,Barklem+2005,BAR05,VMP,,
HE 0330-4004,5946,3.78,0.61,-2.19,,,0.04,0.0,0.04,,0.04,,-0.08,1,Barklem+2005,BAR05,VMP,,
HE 0331-4939,5206,2.6,1.56,-2.87,,,0.3,0.01,0.31,,0.03,,-0.98,1,Barklem+2005,BAR05,VMP,,
HE 0332-1007,4750,1.3,2.7,-2.9,,,-0.64,0.62,-0.02,,,,-0.33,1,Cohen+2013,COH13,VMP,,
HE 0333-4001,5892,4.31,0.07,-2.64,,,0.28,0.0,0.28,,-0.05,,-0.21,1,Barklem+2005,BAR05,VMP,,
HE 0336+0113,5819,3.59,0.77,-2.6,,1.6,2.25,0.0,2.25,,1.77,,2.69,0,Yong+2013,YON13,VMP,RS,CE
HE 0336-3829,5740,3.22,1.11,-2.75,,,0.19,0.0,0.19,,-0.19,,-0.13,1,Barklem+2005,BAR05,VMP,,
HE 0337-5127,5247,2.86,1.32,-2.61,,,0.12,0.01,0.13,,0.09,,-0.07,1,Barklem+2005,BAR05,VMP,,
HE 0338-3945,6160,4.13,0.32,-2.38,,,2.07,0.0,2.07,,0.84,,2.31,0,Jonsell+2006,JON06,VMP,RS,CE
HE 0340-5355,4862,1.81,2.23,-2.88,,,-0.15,0.13,-0.02,,-0.43,,-1.46,1,Barklem+2005,BAR05,VMP,,
HE 0344-0243,5140,2.3,1.84,-3.35,,0.72,-0.09,0.01,-0.08,,,,-1.23,1,Cohen+2013,COH13,EMP,,
HE 0347-1819,5198,4.23,-0.07,-2.77,,,-0.01,0.0,-0.01,,-0.08,,-0.56,1,Barklem+2005,BAR05,VMP,,
HE 0349-0045,5022,2.3,1.8,-2.23,,0.5,0.15,0.01,0.16,,,,-1.56,1,Cohen+2013,COH13,VMP,,
HE 0353-6024,5320,3.15,1.05,-3.17,,,0.25,0.0,0.25,,-1.18,,,1,Barklem+2005,BAR05,EMP,,
HE 0400-2917,5065,2.39,1.72,-2.88,,,0.11,0.01,0.12,,-0.77,,-1.14,1,Barklem+2005,BAR05,VMP,,
HE 0401-0138,4866,1.76,2.28,-3.34,,,0.2,0.12,0.32,,0.21,,-0.25,1,Barklem+2005,BAR05,EMP,,
HE 0401-3835,5458,3.2,1.04,-3.05,,,0.78,0.0,0.78,,,,-0.75,1,Cohen+2013,COH13,EMP,,NO
HE 0411-5725,5000,2.1,1.99,-3.08,,,0.35,0.01,0.36,,,,-1.25,1,Cohen+2013,COH13,EMP,,
HE 0414-0343,4660,0.75,3.22,-2.38,,,1.38,0.21,1.59,,,,1.73,0,Hollek+2014,HOL14,VMP,RS,CE
HE 0417-0821,5811,4.83,-0.48,-2.33,,,0.21,0.0,0.21,,-0.06,,-0.41,1,Barklem+2005,BAR05,VMP,,
HE 0420+0123a,4800,1.45,2.57,-3.03,,,0.33,0.45,0.78,,,,0.08,1,Hollek+2011,HOL11,EMP,,CE
HE 0430-4404,6214,4.27,0.2,-2.07,,,1.35,0.0,1.35,,0.66,,1.53,0,Barklem+2005,BAR05,VMP,RS,CE
HE 0430-4901,5296,3.12,1.07,-2.72,,,0.05,0.01,0.06,,0.1,,0.46,1,Barklem+2005,BAR05,VMP,,
HE 0432-0923,5131,2.64,1.5,-3.19,,,0.2,0.01,0.21,,0.58,,0.67,0,Barklem+2005,BAR05,EMP,,
HE 0432-1005a,4525,0.5,3.42,-3.21,,,0.23,0.73,0.96,,,,-0.9,1,Hollek+2011,HOL11,EMP,,NO
HE 0436-4008,5431,3.34,0.9,-2.35,,,0.45,0.0,0.45,,0.43,,-0.31,1,Barklem+2005,BAR05,VMP,,
HE 0441-0652,4811,1.52,2.5,-2.77,,0.89,1.38,0.25,1.63,,,,1.2,0,Yong+2013,YON13,VMP,RS,CE
HE 0441-4343,5629,3.59,0.71,-2.52,,,0.29,0.0,0.29,,-0.01,,-0.65,1,Barklem+2005,BAR05,VMP,,
HE 0442-1234,4604,1.34,2.61,-2.41,,,-0.65,0.61,-0.04,,-0.22,,-0.19,1,Barklem+2005,BAR05,VMP,,
HE 0445-2339,5165,2.1,2.05,-2.85,,,-0.57,0.0,-0.57,,,,-0.64,1,Cohen+2013,COH13,VMP,,
HE 0447-1858,5570,3.5,0.78,-2.56,,-1.12,0.17,0.0,0.17,,,,-1.61,1,Cohen+2013,COH13,VMP,,
HE 0450-4705,5429,3.34,0.89,-3.1,,,0.8,0.0,0.8,,-0.38,,,1,Barklem+2005,BAR05,EMP,,CE
HE 0454-4758,5388,3.33,0.89,-3.1,,,0.4,0.0,0.4,,-0.26,,-0.74,1,Barklem+2005,BAR05,EMP,,
HE 0501-5139,5861,3.54,0.83,-2.38,,,0.36,0.0,0.36,,-0.03,,,1,Barklem+2005,BAR05,VMP,,
HE 0501-5644,5033,2.3,1.8,-2.4,,,0.23,0.01,0.24,,-0.06,,-0.5,1,Barklem+2005,BAR05,VMP,,
HE 0512-3835,4948,2.01,2.06,-2.39,,,-0.26,0.04,-0.22,,0.13,,-0.16,1,Barklem+2005,BAR05,VMP,,
HE 0513-4557,5629,3.62,0.68,-2.79,,,0.35,0.0,0.35,,0.11,,,1,Barklem+2005,BAR05,VMP,,
HE 0516-3820,5342,3.05,1.16,-2.32,,,0.35,0.01,0.36,,0.14,,-0.16,1,Barklem+2005,BAR05,VMP,,
HE 0517-1952,5254,1.99,2.19,-2.61,,,-0.56,0.03,-0.53,,0.07,,-0.43,1,Barklem+2005,BAR05,VMP,,
HE 0519-5525,5580,3.48,0.8,-2.52,,,0.25,0.0,0.25,,0.29,,-0.24,1,Barklem+2005,BAR05,VMP,,
HE 0520-1748,5272,3.06,1.12,-2.52,,,0.41,0.01,0.42,,-0.44,,-0.64,1,Barklem+2005,BAR05,VMP,,
HE 0524-2055,4739,1.57,2.43,-2.59,,,-0.29,0.41,0.12,,0.23,,0.02,1,Barklem+2005,BAR05,VMP,,
HE 0533-5340,4937,1.8,2.27,-2.67,,,-0.06,0.18,0.12,,,,-0.94,1,Cohen+2013,COH13,VMP,,
HE 0534-4615,5506,3.4,0.86,-2.01,,,0.09,0.0,0.09,,0.15,,-0.06,1,Barklem+2005,BAR05,VMP,,
HE 0547-4539,5152,2.59,1.55,-3.01,,,0.46,0.01,0.47,,0.28,,-1.08,1,Barklem+2005,BAR05,EMP,,
HE 0557-4840,4900,2.2,1.86,-4.75,,,1.65,0.01,1.66,-1.04,,,0.03,1,Masseron+2012,MAS12,UMP,,NO
HE 0858-0016,4447,0.75,3.14,-2.75,,,-0.84,0.77,-0.07,,-0.6,,-0.59,1,Barklem+2005,BAR05,VMP,,
HE 0926-0508,6249,4.24,0.24,-2.78,,,0.53,0.0,0.53,,0.08,,-0.36,1,Barklem+2005,BAR05,VMP,,
HE 0926-0546,5159,2.5,1.65,-3.73,,1.2,0.5,0.01,0.51,,,,-0.78,1,Cohen+2013,COH13,EMP,,
HE 0938+0114,6777,4.89,-0.27,-2.51,,,0.57,0.0,0.57,,0.02,,-0.19,1,Barklem+2005,BAR05,VMP,,
HE 0951-1152,5349,4.75,-0.54,-2.62,,,0.06,0.0,0.06,,-0.4,,0.04,1,Barklem+2005,BAR05,VMP,,
HE 1005-1439,5202,2.55,1.61,-3.09,,1.79,2.48,0.02,2.5,,,,1.17,0,Yong+2013,YON13,EMP,RS,CE
HE 1006-2218,6638,4.62,-0.04,-2.69,,,0.58,0.0,0.58,,-0.05,,,1,Zhang+2011,ZHA11,VMP,,
HE 1012-1540,5745,3.45,0.88,-3.47,,1.25,2.22,0.0,2.22,,-0.46,,-0.25,1,Yong+2013,YON13,EMP,,NO
HE 1015-0027,6315,4.4,0.1,-2.65,,,0.67,0.0,0.67,,0.53,,,1,Zhang+2011,ZHA11,VMP,,
HE 1031-0020,5043,2.13,1.98,-2.79,,2.48,1.63,0.02,1.65,,0.39,,1.61,0,Yong+2013,YON13,VMP,RS,CE
HE 1044-2509,5227,2.78,1.39,-2.88,,,0.48,0.01,0.49,,0.33,,0.18,1,Barklem+2005,BAR05,VMP,,
HE 1045+0226,5077,2.2,1.92,-2.2,,,0.97,0.02,0.99,,,,1.24,0,Cohen+2013,COH13,VMP,RS,CE
HE 1052-2548,6534,4.52,0.04,-2.29,,,0.47,0.0,0.47,,0.35,,0.82,0,Barklem+2005,BAR05,VMP,,
HE 1054-0059,4601,1.19,2.76,-3.34,,,-0.77,0.69,-0.08,,-0.61,,-1.26,1,Barklem+2005,BAR05,EMP,,
HE 1059-0118,5560,4.3,-0.02,-2.8,,,0.33,0.0,0.33,,-0.41,,,1,Barklem+2005,BAR05,VMP,,
HE 1100-0137,6101,4.25,0.19,-2.9,,,0.43,0.0,0.43,,,,,1,Barklem+2005,BAR05,VMP,,
HE 1105+0027,6132,3.45,1.0,-2.42,,,1.91,0.0,1.91,,0.83,,2.36,0,Barklem+2005,BAR05,VMP,RS,CE
HE 1111-3026,5000,2.0,2.09,-2.0,,,0.97,0.06,1.03,,,,1.31,0,Cohen+2013,COH13,VMP,RS,CE
HE 1116-0634,4400,0.1,3.77,-3.73,,,0.08,0.73,0.81,,,,-1.81,1,Hollek+2011,HOL11,EMP,,NO
HE 1120-0153,6191,4.09,0.37,-2.77,,,0.54,0.0,0.54,,-0.08,,-0.22,1,Barklem+2005,BAR05,VMP,,
HE 1122-1429,5787,3.29,1.06,-2.65,,,0.4,0.0,0.4,,0.04,,-0.4,1,Barklem+2005,BAR05,VMP,,
HE 1124-2335,5226,2.68,1.49,-2.95,,,0.76,0.01,0.77,,0.18,,-1.15,1,Barklem+2005,BAR05,VMP,,NO
HE 1126-1735,5689,3.31,1.01,-2.69,,,0.19,0.0,0.19,,-0.07,,-0.51,1,Barklem+2005,BAR05,VMP,,
HE 1127-1143,5224,2.64,1.53,-2.72,,,0.5,0.01,0.51,,0.34,,0.57,1,Barklem+2005,BAR05,VMP,,
HE 1128-0823,5909,3.71,0.67,-2.71,,,0.43,0.0,0.43,,0.12,,-0.21,1,Barklem+2005,BAR05,VMP,,
HE 1131+0141,5236,2.98,1.19,-2.49,,,0.08,0.01,0.09,,0.25,,0.48,1,Barklem+2005,BAR05,VMP,,
HE 1132+0125,5732,3.54,0.79,-2.38,,,0.2,0.0,0.2,,0.07,,-0.21,1,Barklem+2005,BAR05,VMP,,
HE 1132+0204,5046,2.25,1.86,-2.53,,,0.09,0.01,0.1,,-0.12,,-0.74,1,Barklem+2005,BAR05,VMP,,
HE 1133-1641,6500,4.2,0.35,-2.82,,,1.09,0.0,1.09,,,,-0.55,1,Cohen+2013,COH13,VMP,,NO
HE 1135+0139,5487,1.8,2.45,-2.33,,,1.11,0.15,1.26,,0.76,,1.04,0,Barklem+2005,BAR05,VMP,RS,CE
HE 1135-0344,6154,4.03,0.42,-2.63,,,0.99,0.0,0.99,,0.48,,,1,Barklem+2005,BAR05,VMP,,CE
HE 1141-0610,6750,4.1,0.51,-2.28,,,0.89,0.0,0.89,,0.09,,-0.04,1,Cohen+2013,COH13,VMP,,NO
HE 1144-1349,6500,4.16,0.39,-2.61,,,0.15,0.0,0.15,,,,,1,Akerman+2004,AKE04,VMP,,
HE 1148-0037,5964,4.16,0.24,-3.47,,,0.8,0.0,0.8,,-0.32,,,1,Barklem+2005,BAR05,EMP,,CE
HE 1150-0428,5208,2.54,1.62,-3.47,,2.52,2.37,0.02,2.39,,-0.32,,-0.48,1,Yong+2013,YON13,EMP,,NO
HE 1157-0518,4900,2.0,2.06,-2.34,,,2.15,0.05,2.2,,,,2.14,0,Aoki+2007,AOK07,VMP,RS,CE
HE 1159-0525,4838,1.5,2.53,-2.91,,,1.82,0.22,2.04,,,,1.53,0,Cohen+2013,COH13,VMP,RS,CE
HE 1201-1512,5725,3.39,0.94,-3.92,1.29,,1.6,0.0,1.6,,,-0.34,,1,Yong+2013,YON13,EMP,,NO
HE 1207-2031,6281,4.4,0.09,-2.82,,,0.6,0.0,0.6,,-0.06,,,1,Barklem+2005,BAR05,VMP,,
HE 1208-0040,5995,4.29,0.12,-2.09,,,0.13,0.0,0.13,,,,,1,Akerman+2004,AKE04,VMP,,
HE 1210+0048,6028,3.73,0.69,-2.28,,,0.48,0.0,0.48,,0.03,,-0.14,1,Barklem+2005,BAR05,VMP,,
HE 1210-1956,5790,3.3,1.05,-2.57,,,0.18,0.0,0.18,,0.14,,-0.47,1,Barklem+2005,BAR05,VMP,,
HE 1212-0127,4915,1.85,2.21,-2.16,,,-0.43,0.18,-0.25,,-0.09,,-0.36,1,Barklem+2005,BAR05,VMP,,
HE 1214-1819,4916,1.88,2.18,-3.0,,,0.31,0.07,0.38,,0.36,,-0.1,1,Barklem+2005,BAR05,EMP,,
HE 1215+0149,5098,2.37,1.76,-2.9,,,0.11,0.01,0.12,,0.39,,-0.81,1,Barklem+2005,BAR05,VMP,,
HE 1217-0540,5700,4.2,0.12,-2.94,,,0.77,0.0,0.77,,0.23,,,1,Barklem+2005,BAR05,VMP,,CE
HE 1219-0312,5140,2.4,1.74,-2.8,,,-0.12,0.01,-0.11,,0.41,,0.65,0,Barklem+2005,BAR05,VMP,,
HE 1221-0522,5789,4.04,0.31,-2.84,,,0.49,0.0,0.49,,-0.35,,,1,Barklem+2005,BAR05,VMP,,
HE 1221-1948,6083,3.81,0.62,-3.36,,,1.38,0.0,1.38,,,,,1,Barklem+2005,BAR05,EMP,,CE
HE 1222-0200,5288,2.72,1.47,-2.44,,,0.19,0.01,0.2,,-0.03,,,1,Barklem+2005,BAR05,VMP,,
HE 1222-0336,6052,3.96,0.46,-2.04,,,0.18,0.0,0.18,,-0.23,,-0.25,1,Barklem+2005,BAR05,VMP,,
HE 1225+0155,4842,1.8,2.24,-2.75,,,0.22,0.18,0.4,,0.18,,-0.5,1,Barklem+2005,BAR05,VMP,,
HE 1226-1149,5120,2.3,1.83,-2.91,,1.43,0.42,0.01,0.43,,,,0.9,0,Cohen+2013,COH13,VMP,,
HE 1230-1724,5952,3.98,0.41,-2.3,,,0.09,0.0,0.09,,0.04,,-0.22,1,Barklem+2005,BAR05,VMP,,
HE 1237-3103,4851,1.72,2.32,-2.91,,,-0.1,0.21,0.11,,-0.09,,-0.65,1,Barklem+2005,BAR05,VMP,,
HE 1243-1425,5507,3.19,1.07,-2.67,,,0.47,0.01,0.48,,0.34,,-0.45,1,Barklem+2005,BAR05,VMP,,
HE 1245-0215,6500,3.8,0.75,-2.85,,,1.66,0.0,1.66,,,,0.29,1,Cohen+2013,COH13,VMP,,CE
HE 1245-1616,6191,4.04,0.42,-2.98,,,0.68,0.0,0.68,,0.36,,0.19,1,Barklem+2005,BAR05,VMP,,
HE 1246-1344,4853,1.65,2.39,-3.4,,,-0.1,0.22,0.12,,-1.15,,,1,Barklem+2005,BAR05,EMP,,
