Name,Teff,logg,log_L,[Fe/H],[N/Fe]_ul,[N/Fe],[C/Fe],[C/Fe]c,[C/Fe]f,[Sr/Fe]_ul,[Sr/Fe],[Ba/Fe]_ul,[Ba/Fe],I/O,Reference,Ref,MP_key,Ncap_key,C_key
HE 2249-1704,4592,1.1,2.84,-2.95,,,1.76,0.31,2.07,,,,1.75,0,Cohen+2013,COH13,VMP,RS,CE
HE 2250-2132,5705,3.69,0.63,-2.22,,,0.37,0.0,0.37,,0.1,,-0.36,1,Barklem+2005,BAR05,VMP,,
HE 2251-0821,5160,2.5,1.65,-2.91,,,0.57,0.01,0.58,,,,-0.49,1,Cohen+2013,COH13,VMP,,
HE 2252-4225,4708,1.53,2.46,-2.82,,,-0.43,0.43,0.0,,0.16,,0.4,1,Barklem+2005,BAR05,VMP,,
HE 2253-0849,4425,0.2,3.68,-2.88,,,-0.77,0.76,-0.01,,,,-0.38,1,Hollek+2011,HOL11,VMP,,
HE 2258-3456,4988,1.55,2.54,-2.97,,,-0.24,0.39,0.15,,-0.93,,-1.2,1,Barklem+2005,BAR05,VMP,,
HE 2258-6358,4900,1.6,2.46,-2.67,,1.44,2.42,0.08,2.5,,0.8,,2.23,0,Placco+2013,PLA13,VMP,RS,CE
HE 2259-3407,6266,4.32,0.16,-2.29,,,0.37,0.0,0.37,,-0.08,,-0.57,1,Barklem+2005,BAR05,VMP,,
HE 2301-4024,5743,3.76,0.57,-2.1,,,0.26,0.0,0.26,,0.1,,0.44,1,Barklem+2005,BAR05,VMP,,
HE 2301-4126,5841,3.66,0.7,-2.37,,,0.35,0.0,0.35,,0.03,,0.06,1,Barklem+2005,BAR05,VMP,,
HE 2302-2154a,4675,0.9,3.08,-3.9,,,0.38,0.7,1.08,,,,-1.5,1,Hollek+2011,HOL11,EMP,,NO
HE 2304-4153,4663,1.01,2.96,-3.02,,,-0.69,0.75,0.06,,-1.53,,-1.66,1,Barklem+2005,BAR05,EMP,,
HE 2311+0129,5188,2.65,1.51,-2.78,,,0.29,0.01,0.3,,0.2,,-0.24,1,Barklem+2005,BAR05,VMP,,
HE 2314-1554,5050,2.2,1.91,-3.28,,2.2,1.01,0.01,1.02,,0.16,,-0.77,1,Cohen+2013,COH13,EMP,,NO
HE 2318-1621,4846,1.4,2.64,-3.67,,1.24,1.04,0.5,1.54,,-1.0,,-1.61,1,Placco+2014a,PLA4a,EMP,,NO
HE 2319-0852,4724,1.36,2.63,-3.38,,,-0.36,0.52,0.16,,-0.43,,-1.04,1,Barklem+2005,BAR05,EMP,,
HE 2323-0256,4958,1.84,2.24,-3.97,,2.16,1.06,0.04,1.1,,,,-0.52,1,Yong+2013,YON13,EMP,,NO
HE 2323-6549,5215,2.6,1.56,-3.35,,0.42,0.72,0.01,0.73,,0.03,,-0.58,1,Placco+2014a,PLA4a,EMP,,NO
HE 2325-0755,5665,3.17,1.14,-2.85,,,0.17,0.0,0.17,,-0.14,,-0.62,1,Barklem+2005,BAR05,VMP,,
HE 2326+0038,5145,2.51,1.63,-2.78,,,0.19,0.01,0.2,,-0.35,,-0.71,1,Barklem+2005,BAR05,VMP,,
HE 2327-5642,5050,2.34,1.77,-2.78,,-0.2,0.13,0.01,0.14,,0.4,,0.31,1,Masseron+2010,MAS10,VMP,,
HE 2329-3702,6060,3.72,0.71,-2.15,,,0.11,0.0,0.11,,0.24,,-0.19,1,Barklem+2005,BAR05,VMP,,
HE 2330-0555,4867,1.65,2.4,-2.98,,1.0,2.09,0.15,2.24,,,,1.17,0,Yong+2013,YON13,VMP,RS,CE
HE 2333-1358,5020,2.15,1.95,-3.34,,,0.29,0.01,0.3,,-1.77,,,1,Barklem+2005,BAR05,EMP,,
HE 2335-5958,5765,3.24,1.1,-2.32,,,0.04,0.0,0.04,,0.05,,-0.37,1,Barklem+2005,BAR05,VMP,,
HE 2338-1311,5582,3.5,0.78,-2.86,,,0.3,0.0,0.3,,,,,1,Barklem+2005,BAR05,VMP,,
HE 2338-1618,5515,3.38,0.88,-2.64,,,0.43,0.0,0.43,,-0.12,,,1,Barklem+2005,BAR05,VMP,,
