Reference,Ref,Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,logg,M/H,Vmic,e_Teff,e_logg,e_M/H,e_Vmic,UT-DATE,BINNING,EXPTIME,SLITSIZE,[C/Fe],e_[C/Fe],[C/H],e_[C/H],[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[Sc/H],[TiII/H],[Cr/H],[CrII/H],[Mn/H],[Co/H],[Ni/H],[Zn/H],[Sr/H],[Y/H],[Zr/H],[Ba/H],[La/H],[Eu/H],[Dy/H],e_[Fe/H],e_[Na/H],e_[Mg/H],e_[Al/H],e_[Si/H],e_[Ca/H],e_[Sc/H],e_[TiII/H],e_[Cr/H],e_[CrII/H],e_[Mn/H],e_[Co/H],e_[Ni/H],e_[Zn/H],e_[Sr/H],e_[Y/H],e_[Zr/H],e_[Ba/H],e_[La/H],e_[Eu/H],e_[Dy/H],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[Ca/Fe],[Sc/Fe],[TiII/Fe],[Cr/Fe],[CrII/Fe],[Mn/Fe],[Co/Fe],[Ni/Fe],[Zn/Fe],[Sr/Fe],[Y/Fe],[Zr/Fe],[Ba/Fe],[La/Fe],[Eu/Fe],[Dy/Fe],e_[Na/Fe],e_[Mg/Fe],e_[Al/Fe],e_[Si/Fe],e_[Ca/Fe],e_[Sc/Fe],e_[TiII/Fe],e_[Cr/Fe],e_[CrII/Fe],e_[Mn/Fe],e_[Co/Fe],e_[Ni/Fe],e_[Zn/Fe],e_[Sr/Fe],e_[Y/Fe],e_[Zr/Fe],e_[Ba/Fe],e_[La/Fe],e_[Eu/Fe],e_[Dy/Fe],[Eu/Mg],[Eu/FeII],[Sr/Ba],[Sr/Mg],[Eu/Ba],e_[Eu/Mg],e_[Eu/FeII],e_[Sr/Ba],e_[Sr/Mg],e_[Eu/Ba]
Ou+2024c,OU24c,Gaia DR3 2659914516754259456,Gaia DR3 2659914516754259456,DW,Gaia-Sausage/Enceladus,23:27:24.54,+04:26:37.79,351.85225,4.44383,4725,1.39,-2.31,2.25,122,0.2,0.22,0.25,2021-11-02,2x2,4175,0.70x5.00,-0.4,0.15,-2.7,0.25,-2.3,-1.99,-2.05,-3.67,-1.52,-1.98,-2.45,-2.0,-2.43,-2.28,-2.81,-2.35,-2.41,-2.31,-2.64,-2.66,-2.38,-2.42,-2.16,-1.78,-1.43,0.17,0.25,0.11,0.31,0.06,0.12,0.09,0.09,0.17,0.09,0.11,0.2,0.13,0.1,0.24,0.09,0.08,0.12,0.09,0.08,0.08,0.31,0.26,-1.37,0.79,0.32,-0.17,0.27,-0.12,-0.0,-0.5,-0.04,-0.1,-0.0,-0.36,-0.38,-0.11,-0.14,0.12,0.5,0.84,0.1,0.09,0.17,0.12,0.07,0.05,0.07,0.05,0.06,0.09,0.13,0.07,0.16,0.21,0.06,0.06,0.09,0.07,0.07,0.06,0.27,0.5,-0.22,-0.6,0.64,0.11,0.07,0.16,0.21,0.09
Ou+2024c,OU24c,Gaia DR3 2733469542550276352,Gaia DR3 2733469542550276352,DW,Gaia-Sausage/Enceladus,22:39:25.16,+15:48:44.14,339.854833,15.81226,5276,2.67,-2.39,1.76,123,0.21,0.24,0.24,2021-11-08,2x2,3600,0.70x5.00,0.26,0.16,-2.13,0.26,-2.39,-2.25,-2.1,-3.54,-2.0,-2.07,-2.42,-2.15,-2.4,-2.44,-2.76,-2.18,-2.34,-2.28,-2.48,-2.68,-2.26,-2.55,-2.32,-2.0,-1.86,0.13,0.18,0.09,0.23,0.26,0.1,0.08,0.1,0.16,0.09,0.1,0.12,0.09,0.07,0.21,0.07,0.07,0.12,0.1,0.08,0.09,0.14,0.29,-1.15,0.39,0.32,0.14,0.42,-0.01,0.13,-0.38,0.21,0.05,0.11,0.09,-0.12,0.3,0.02,0.25,0.56,0.7,0.09,0.06,0.11,0.14,0.06,0.04,0.07,0.1,0.07,0.06,0.06,0.05,0.08,0.19,0.06,0.04,0.1,0.1,0.04,0.05,0.1,0.56,0.07,-0.38,0.55,0.12,0.04,0.19,0.19,0.1
Ou+2024c,OU24c,Gaia DR3 2765074076578453760,Gaia DR3 2765074076578453760,DW,Gaia-Sausage/Enceladus,23:37:14.18,+13:21:56.95,354.309083,13.36582,4505,1.1,-1.9,1.91,123,0.2,0.21,0.24,2021-11-08,2x2,3600,0.70x5.00,-0.62,0.24,-2.51,0.24,-1.89,-2.07,-1.48,-2.6,-1.4,-1.52,-1.76,-1.51,-2.0,-1.86,-2.35,-1.99,-1.99,-1.87,-1.81,-1.98,-1.74,-1.7,-1.7,-1.34,-1.35,0.24,0.11,0.15,0.24,0.07,0.18,0.14,0.13,0.26,0.1,0.15,0.26,0.17,0.09,0.12,0.12,0.12,0.19,0.12,0.11,0.14,-0.18,0.41,-0.71,0.48,0.37,0.1,0.35,-0.11,0.0,-0.46,-0.1,-0.1,0.02,0.05,-0.11,0.12,0.16,0.16,0.52,0.51,0.16,0.11,0.08,0.18,0.08,0.08,0.07,0.05,0.05,0.11,0.21,0.1,0.24,0.11,0.05,0.07,0.12,0.08,0.08,0.06,0.14,0.52,-0.11,-0.32,0.36,0.21,0.08,0.12,0.13,0.17
Ou+2024c,OU24c,Gaia DR3 2792504520868554240,Gaia DR3 2792504520868554240,DW,Gaia-Sausage/Enceladus,00:25:17.56,+16:02:38.40,6.323167,16.044,4401,0.7,-2.36,2.25,122,0.2,0.22,0.22,2021-11-03,2x2,3420,0.70x5.00,-1.02,0.2,-3.36,0.24,-2.35,-2.25,-1.73,-3.34,-1.72,-1.96,-2.23,-1.97,-2.5,-2.32,-2.72,-2.43,-2.38,-2.32,-2.65,-2.89,-2.69,-2.73,-2.59,-2.15,-2.16,0.21,0.31,0.13,0.15,0.06,0.14,0.09,0.08,0.22,0.09,0.13,0.2,0.16,0.06,0.17,0.09,0.09,0.11,0.1,0.11,0.13,0.1,0.61,-0.99,0.63,0.39,0.14,0.39,-0.15,0.04,-0.38,-0.08,-0.04,0.03,-0.29,-0.52,-0.32,-0.37,-0.23,0.22,0.21,0.1,0.12,0.25,0.16,0.09,0.06,0.06,0.04,0.06,0.09,0.08,0.08,0.21,0.15,0.08,0.06,0.07,0.09,0.1,0.11,-0.41,0.22,0.08,-0.92,0.58,0.22,0.1,0.11,0.2,0.1
Ou+2024c,OU24c,Gaia DR3 2810525379008979968,Gaia DR3 2810525379008979968,DW,Gaia-Sausage/Enceladus,23:17:24.68,+11:19:02.24,349.352833,11.31729,4721,1.84,-1.16,1.59,122,0.2,0.21,0.23,2021-07-28,2x1,2700,0.50x5.00,-0.42,0.23,-1.59,0.21,-1.17,-1.22,-0.97,-2.01,-0.8,-0.74,-1.04,-0.84,-1.15,-1.07,-1.46,-1.51,-1.21,-1.27,-1.19,-1.31,-0.93,-0.92,-0.76,-0.41,-0.34,0.22,0.11,0.14,0.31,0.06,0.19,0.16,0.15,0.29,0.15,0.17,0.21,0.16,0.12,0.12,0.18,0.16,0.19,0.11,0.1,0.02,-0.05,0.2,-0.84,0.37,0.43,0.22,0.42,0.02,0.19,-0.29,-0.34,-0.04,-0.1,0.07,-0.05,0.33,0.34,0.5,0.85,0.92,0.13,0.13,0.22,0.18,0.06,0.1,0.08,0.08,0.1,0.09,0.17,0.08,0.21,0.12,0.14,0.11,0.11,0.06,0.08,0.13,0.56,0.85,-0.26,-0.22,0.51,0.17,0.08,0.14,0.13,0.15
Ou+2024c,OU24c,Gaia DR3 2811948250134539520,Gaia DR3 2811948250134539520,DW,Gaia-Sausage/Enceladus,23:15:24.85,+12:16:03.76,348.853542,12.26771,4646,1.73,-1.11,1.55,122,0.21,0.21,0.24,2021-07-28,2x1,2700,0.50x5.00,-0.46,0.25,-1.57,0.18,-1.11,-1.06,-0.93,-2.03,-0.79,-0.74,-0.96,-0.75,-1.08,-1.05,-1.38,-1.34,-1.17,-1.1,-1.19,-1.33,-1.01,-1.02,-0.93,-0.69,-0.59,0.2,0.1,0.13,0.24,0.05,0.18,0.19,0.16,0.29,0.17,0.16,0.23,0.15,0.14,0.11,0.15,0.09,0.19,0.11,0.1,0.05,0.04,0.18,-0.92,0.32,0.37,0.26,0.47,0.02,0.17,-0.28,-0.23,-0.06,0.01,0.03,-0.11,0.22,0.2,0.29,0.53,0.63,0.12,0.14,0.14,0.18,0.05,0.12,0.09,0.11,0.11,0.09,0.21,0.07,0.21,0.15,0.11,0.11,0.12,0.09,0.11,0.11,0.24,0.53,-0.17,-0.26,0.33,0.19,0.11,0.15,0.14,0.18
Ou+2024c,OU24c,Gaia DR3 2911019229961694208,Gaia DR3 2911019229961694208,DW,Gaia-Sausage/Enceladus,05:59:47.38,-27:08:14.10,89.947417,-27.13725,4590,1.14,-2.24,2.42,122,0.2,0.22,0.24,2021-12-23,2x2,1200,0.70x5.00,-0.49,0.16,-2.72,0.24,-2.23,-1.55,-1.73,,-1.85,-1.83,-2.11,-1.84,-2.43,-2.11,-2.77,-2.21,-2.27,-2.03,-1.8,-2.19,-1.89,-1.96,-2.06,-2.01,-1.95,0.18,0.09,0.13,,0.21,0.12,0.11,0.08,0.19,0.08,0.12,0.2,0.14,0.06,0.14,0.08,0.11,0.14,0.08,0.08,0.14,0.69,0.51,,0.38,0.41,0.06,0.33,-0.2,0.06,-0.53,0.03,-0.04,0.2,0.37,-0.02,0.28,0.21,0.11,0.16,0.22,0.11,0.11,,0.13,0.07,0.05,0.06,0.05,0.05,0.09,0.14,0.06,0.17,0.15,0.05,0.05,0.09,0.08,0.06,0.11,-0.28,0.16,0.16,-0.07,-0.04,0.17,0.06,0.12,0.11,0.12
Ou+2024c,OU24c,Gaia DR3 2914192523598690048,Gaia DR3 2914192523598690048,DW,Gaia-Sausage/Enceladus,05:45:52.52,-25:56:38.40,86.468833,-25.944,5126,2.36,-2.2,1.93,122,0.2,0.23,0.24,2021-10-26,2x2,1200,0.70x5.00,0.14,0.14,-2.05,0.25,-2.19,-2.02,-1.91,-3.07,-1.73,-1.86,-2.14,-1.87,-2.31,-2.23,-2.66,-2.05,-2.24,-2.14,-2.18,-2.3,-1.98,-2.06,-1.78,-1.5,-1.46,0.14,0.21,0.09,0.34,0.05,0.09,0.09,0.08,0.14,0.08,0.08,0.14,0.1,0.07,0.2,0.08,0.07,0.12,0.08,0.08,0.05,0.17,0.28,-0.88,0.46,0.33,0.09,0.36,-0.12,0.01,-0.47,0.14,-0.05,0.05,0.06,-0.06,0.26,0.18,0.45,0.74,0.78,0.1,0.07,0.21,0.09,0.05,0.04,0.05,0.04,0.05,0.07,0.09,0.06,0.1,0.17,0.05,0.04,0.08,0.06,0.06,0.06,0.41,0.74,-0.12,-0.27,0.56,0.1,0.06,0.13,0.18,0.09
Ou+2024c,OU24c,Gaia DR3 3247170789616103808,Gaia DR3 3247170789616103808,DW,Gaia-Sausage/Enceladus,03:32:15.70,-06:44:29.76,53.065417,-6.7416,4804,1.67,-2.03,1.97,122,0.2,0.22,0.24,2021-12-24,2x2,1744,0.70x5.00,-0.18,0.16,-2.18,0.24,-2.0,-1.88,-1.67,-2.71,-1.42,-1.63,-1.98,-1.69,-2.16,-1.98,-2.44,-1.9,-2.02,-1.92,-1.87,-2.17,-1.82,-1.98,-1.76,-1.45,-1.41,0.18,0.18,0.13,0.05,0.14,0.12,0.11,0.1,0.18,0.09,0.11,0.2,0.14,0.06,0.14,0.1,0.1,0.14,0.08,0.09,0.09,0.12,0.33,-0.71,0.58,0.37,0.08,0.37,-0.15,0.07,-0.43,0.11,-0.01,0.08,0.18,-0.12,0.23,0.07,0.3,0.61,0.64,0.05,0.11,0.19,0.1,0.07,0.05,0.05,0.05,0.05,0.1,0.12,0.08,0.15,0.12,0.05,0.05,0.09,0.06,0.06,0.05,0.23,0.61,0.11,-0.2,0.54,0.15,0.06,0.08,0.11,0.1
Ou+2024c,OU24c,Gaia DR3 3257948717988018304,Gaia DR3 3257948717988018304,DW,Gaia-Sausage/Enceladus,03:59:35.07,+00:57:10.58,59.896125,0.95294,4989,2.05,-2.12,2.15,123,0.21,0.22,0.24,2021-11-08,2x2,4800,0.70x5.00,-0.5,0.13,-2.61,0.23,-2.11,,-1.9,-3.13,-2.06,-1.87,-2.04,-1.81,-2.26,-2.0,-2.65,-2.05,-2.21,-2.17,-2.04,-2.22,-1.92,-1.96,-1.8,-1.67,-1.64,0.15,,0.12,0.16,0.2,0.1,0.11,0.1,0.15,0.09,0.1,0.17,0.12,0.07,0.17,0.09,0.08,0.14,0.09,0.09,0.1,,0.22,-1.02,0.06,0.24,-0.04,0.19,-0.15,-0.0,-0.54,0.06,-0.09,-0.06,-0.04,-0.22,0.08,0.04,0.19,0.33,0.36,,0.1,0.06,0.09,0.06,0.05,0.05,0.05,0.06,0.09,0.09,0.07,0.11,0.14,0.05,0.04,0.09,0.07,0.07,0.06,0.23,0.33,-0.08,-0.14,0.29,0.13,0.07,0.08,0.14,0.11
Ou+2024c,OU24c,Gaia DR3 3642334203486585728,Gaia DR3 3642334203486585728,DW,Gaia-Sausage/Enceladus,14:23:13.78,-05:20:16.66,215.807417,-5.33796,4215,1.13,-0.96,1.63,122,0.22,0.23,0.25,2021-07-28,2x1,900,0.50x5.00,-0.72,0.31,-1.64,0.24,-0.93,-0.85,-0.79,-2.07,-0.64,-0.57,-0.48,-0.71,-0.74,-1.1,-1.22,,-1.01,-1.13,-0.84,-1.0,,-0.61,-0.25,-0.29,,0.18,0.15,0.14,0.24,0.09,0.23,0.29,0.17,0.33,0.16,0.19,,0.17,0.2,0.09,0.2,,0.21,0.18,0.13,,0.08,0.14,-1.14,0.29,0.36,0.48,0.24,0.19,-0.14,-0.29,,-0.09,-0.2,0.12,-0.04,,0.34,0.71,0.66,,0.11,0.14,0.2,0.19,0.12,0.26,0.14,0.18,0.08,0.1,,0.07,0.22,0.22,0.28,,0.2,0.25,0.15,,0.5,0.66,-0.22,-0.04,0.32,0.21,0.15,0.18,0.15,0.2
