Name,Species,lambda,chi,loggf,EW,logepsX
LeoIV-S1,Fe I,5283.629,3.24,-0.524,40.0,4.13
LeoIV-S1,Fe I,5302.307,3.28,-0.720,55.0,4.57
LeoIV-S1,Fe I,5307.369,1.61,-2.912,48.0,4.48
LeoIV-S1,Fe I,5324.191,3.21,-0.103,99.0,4.39
LeoIV-S1,Fe I,5497.526,1.01,-2.825,128.0,4.49
LeoIV-S1,Fe I,5501.477,0.96,-3.046,110.0,4.41
LeoIV-S1,Fe I,5506.791,0.99,-2.789,142.0,4.60
LeoIV-S1,Fe I,5569.631,3.42,-0.500,54.0,4.49
LeoIV-S1,Fe I,5572.851,3.40,-0.275,57.0,4.27
LeoIV-S1,Fe I,5615.658,3.33,0.050,82.0,4.14
LeoIV-S1,Fe I,6136.624,2.45,-1.410,82.0,4.37
LeoIV-S1,Fe I,6137.702,2.59,-1.346,66.0,4.32
LeoIV-S1,Fe I,6191.571,2.43,-1.416,95.0,4.48
LeoIV-S1,Fe I,6219.287,2.20,-2.448,40.0,4.58
LeoIV-S1,Fe I,6230.736,2.56,-1.276,60.0,4.13
LeoIV-S1,Fe I,6252.565,2.40,-1.767,59.0,4.39
LeoIV-S1,Fe I,6265.141,2.18,-2.550,21.0,4.31
LeoIV-S1,Fe I,6335.337,2.20,-2.180,43.0,4.34
LeoIV-S1,Fe I,6393.612,2.43,-1.576,68.0,4.33
LeoIV-S1,Fe I,6400.009,3.60,-0.290,40.0,4.24
LeoIV-S1,Fe I,6411.658,3.65,-0.595,25.0,4.35
LeoIV-S1,Fe I,6421.360,2.28,-2.014,44.0,4.28
LeoIV-S1,Fe I,6430.856,2.18,-1.946,75.0,4.44
LeoIV-S1,Fe I,6494.994,2.40,-1.239,100.0,4.28
LeoIV-S1,Fe I,6677.997,2.69,-1.420,58.0,4.38
LeoIV-S1,Fe I,6750.164,2.42,-2.621,13.0,4.43
LeoIV-S1,Fe II,4923.930,2.89,-1.260,84.0,4.02
LeoIV-S1,Fe II,5018.450,2.89,-1.110,120.0,4.35
LeoIV-S1,Fe II,5197.560,3.23,-2.220,44.0,4.83
LeoIV-S1,Fe II,5276.000,3.20,-2.010,67.0,4.88
LeoIV-S1,Fe II,6456.391,3.90,-2.075,21.0,5.00
LeoIV-S1,Ni I,6643.638,1.68,-2.300,48.0,3.56
LeoIV-S1,Ni I,6767.784,1.83,-2.170,20.0,3.15
LeoIV-S1,Sr II,4215.539,0.00,-0.170,120.0,-1.34
LeoIV-S1,Ba II,4554.036,0.00,0.160,62.0,-2.46
