J164551.2-042947    4310 0.22 2.08 -2.15 0.01 -2.29 0.04
J181146.8-212609    4210 0.81 1.34 -1.23 0.02 -1.24 0.04
J190501.2-194928    4687 0.99 2.46 -1.89 0.01 -1.94 0.03
J200506.7-305745    4624 0.96 2.38 -2.75 0.02 -3.02 0.05
J201027.8-082656    4195 0.22 2.23 -2.02 0.01 -2.09 0.03
J203226.1+000014    4612 0.79 2.22 -2.24 0.02 -2.22 0.03
J203622.6-071420    4283 0.07 3.20 -2.41 0.02 -2.77 0.05
J203858.9-025212    4280 0.06 2.26 -2.15 0.01 -2.30 0.03
J205423.5-003310    4345 0.13 2.99 -2.66 0.01 -2.97 0.03
J205849.2-035434    4831 1.65 1.75 -2.36 0.02 -2.40 0.04
J211621.9-021342    4248 0.40 3.17 -2.58 0.01 -2.70 0.03
J215136.0-054340    4568 0.90 2.70 -2.47 0.01 -2.59 0.03
2MJ22562536-0719562 4558 1.20 2.63 -2.26 0.01 -2.37 0.04
J225652.6-050007    4465 0.80 1.89 -1.97 0.01 -2.00 0.04
J230430.2+015517    4613 1.24 2.63 -2.46 0.02 -2.60 0.04
J232519.0-081554    4995 1.54 1.97 -2.30 0.20 -2.43 0.04
