J1500-0613   TYC 6535-3183-1 4460 0.73 1.74 -2.05 0.01  99 -2.05 0.03 26   0.33 0.15
J1502-0528   TYC 6535-3183-1 4370 0.56 1.74 -1.82 0.01  88 -1.84 0.03 25   0.26 0.10
J1507-0659   TYC 6535-3183-1 4300 0.52 2.02 -2.07 0.01  90 -2.09 0.03 26   0.44 0.10
J1508-1459   TYC 5329-1927-1 4543 1.13 2.14 -2.29 0.01  88 -2.29 0.04 21   0.08 0.15
J1511+0025   TYC 5329-1927-1 4568 0.90 2.09 -2.46 0.01  88 -2.48 0.04 25  -0.12 0.15
J1516-2122   TYC 6535-3183-1 4325 0.19 2.30 -2.36 0.01  80 -2.32 0.02 20   1.04 0.15 C
2MJ1521-0607 TYC 4995-333-1  4707 1.33 1.84 -2.00 0.01  92 -2.02 0.03 24   0.34 0.10
J1527-2336   TYC 5911-452-1  6260 4.57 1.83 -1.78 0.01  35 -1.80 0.03  3   0.20 0.15
J1534-0857   HE 1320-1339    4721 1.26 1.60 -3.03 0.02  67 -2.99 0.03 11   0.47 0.10
J1538-1804   TYC 4995-333-1  4752 1.63 1.51 -2.09 0.02 103 -2.10 0.03 19   0.26 0.10
J1542-0131   TYC 5329-1927-1 4638 1.34 2.09 -2.18 0.01  96 -2.20 0.04 25   0.27 0.12
J1547-0837   TYC 6535-3183-1 4285 0.25 2.19 -2.48 0.01  71 -2.46 0.03  8   0.16 0.10
J1554+0021   BD-01 2582      5210 1.24 1.48 -2.18 0.01  92 -2.17 0.10 13   0.42 0.13
J1602-1521   TYC 4995-333-1  4977 2.57 1.09 -1.87 0.01 100 -1.85 0.04 20  -0.26 0.10
J1606-0400   TYC 6535-3183-1 4060 0.02 2.19 -2.09 0.01  68 -2.07 0.03 22   0.56 0.10
J1606-1632   TYC 6535-3183-1 4285 0.36 2.09 -2.28 0.01  84 -2.28 0.02 25   0.43 0.10
J1609-0941   HD 122563       4634 0.66 1.79 -2.66 0.01  93 -2.70 0.01 21   0.25 0.16
J1612-0541   TYC 6535-3183-1 4420 0.70 1.79 -1.80 0.01  92 -1.83 0.03 16   0.20 0.16
J1612-0848   TYC 6535-3183-1 4350 0.56 1.89 -2.11 0.01  94 -2.10 0.02 25   0.17 0.12
J1616-0401   TYC 6535-3183-1 4370 0.63 1.89 -1.97 0.01  95 -1.98 0.03 26   0.25 0.10
J1618-0630   TYC 5861-1732-1 5335 1.31 1.43 -2.41 0.03  73 -2.43 0.08 13   0.50 0.40
J1627-0848   TYC 5329-1927-1 4678 1.54 2.01 -2.36 0.02  89 -2.36 0.05 20  -0.15 0.15
J1628-1014   TYC 5861-1732-1 4955 1.31 2.19 -2.00 0.02  87 -2.04 0.04 13   0.24 0.10
J1639-0522   TYC 6535-3183-1 4370 0.56 1.89 -2.07 0.01  98 -2.03 0.04 25   0.26 0.16
J1645-0429   TYC 6535-3183-1 4310 0.22 1.99 -2.15 0.01  91 -2.12 0.05 20   0.36 0.12
J1811-2126   TYC 6535-3183-1 4210 0.81 1.41 -1.24 0.02  51 -1.21 0.04  9   0.17 0.20
J1905-1949   TYC 4995-333-1  4687 0.99 2.39 -1.89 0.01  83 -1.93 0.03 25   0.21 0.10
J2005-3057   HD 122563       4624 0.96 1.73 -2.74 0.02  70 -2.78 0.05 10   0.44 0.16
J2010-0826   TYC 6535-3183-1 4195 0.22 2.09 -2.02 0.01  80 -2.06 0.03 26   0.23 0.10
J2032+0000   TYC 4995-333-1  4612 0.79 2.04 -2.24 0.02  87 -2.24 0.03 26   0.18 0.16
J2036-0714   TYC 5329-1927-1 4283 0.07 3.04 -2.41 0.02  67 -2.41 0.05 15   0.88 0.16 C
J2038-0252   TYC 6535-3183-1 4280 0.06 2.18 -2.16 0.01  85 -2.14 0.04 20   0.22 0.12
J2054-0033   HE 1523-0901    4405 0.13 2.54 -2.62 0.01  46 -2.65 0.03  9   0.78 0.10 C
J2058-0354   TYC 4924-33-1   4831 1.65 1.54 -2.36 0.02 103 -2.32 0.04 19   0.40 0.14
J2116-0213   TYC 5329-1927-1 4248 0.40 2.61 -2.58 0.01  79 -2.57 0.03 23  -0.17 0.16
J2151-0543   TYC 5329-1927-1 4568 0.90 2.01 -2.47 0.01  83 -2.46 0.03 24  -0.07 0.10
2MJ2256-0719 TYC 5329-1927-1 4558 1.20 2.27 -2.26 0.01  88 -2.24 0.04 23   0.18 0.16
J2256-0500   TYC 6535-3183-1 4465 0.80 1.79 -1.97 0.01  98 -1.97 0.04 26   0.30 0.10
J2304+0155   TYC 5329-1927-1 4613 1.24 2.01 -2.46 0.02  88 -2.47 0.04 24   0.48 0.10
J2325-0815   BD-01 2582      4995 1.54 1.70 -2.30 0.02  95 -2.28 0.04 13  -0.24 0.20
