Name,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe]
TucV-2,V II,1,,+1.58,,-2.35,0.16,,+0.08,0.16
TucV-2,Cr I,10,,+3.00,,-2.64,0.12,,-0.18,0.11
TucV-2,Cr II,2,,+3.08,,-2.56,0.17,,-0.12,0.16
TucV-2,Mn I,3,,+1.78,,-3.65,0.21,,-1.19,0.20
TucV-2,Fe I,112,,+5.04,,-2.46,0.06,,,
TucV-2,Fe II,11,,+5.06,,-2.44,0.10,,,
TucV-2,Co I,3,,+2.16,,-2.83,0.22,,-0.37,0.21
TucV-2,Ni I,6,,+3.86,,-2.36,0.11,,+0.11,0.10
TucV-2,Zn I,2,,+2.47,,-2.09,0.13,,+0.37,0.13
TucV-2,Sr II,2,,-0.82,,-3.69,0.31,,-1.26,0.27
TucV-2,Y II,3,,-0.91,,-3.12,0.22,,-0.69,0.21
TucV-2,Zr II,1,,-0.50,,-3.08,0.35,,-0.65,0.35
TucV-2,Ba II,5,,-0.58,,-2.76,0.15,,-0.32,0.11
TucV-2,La II,2,,-1.55,,-2.65,0.20,,-0.22,0.19
TucV-2,Ce II,2,,-0.81,,-2.39,0.31,,+0.04,0.32
TucV-2,Pr II,1,,-1.34,,-2.06,0.30,,+0.37,0.27
TucV-2,Nd II,5,,-0.58,,-2.00,0.13,,+0.43,0.12
TucV-2,Eu II,2,,-1.53,,-2.05,0.14,,+0.36,0.11
TucV-2,Dy II,1,,-1.16,,-2.26,0.35,,+0.18,0.36
TucV-3,C-H,,,+6.10,,-2.33,0.17,,+0.29,0.15
#TucV-3,C_corr,,,+6.37,,-2.05,0.17,,+0.56,0.15
TucV-3,C-N,,,,,,,,,
TucV-3,O I,,,,,,,,,
TucV-3,Na I,2,,+3.77,,-2.47,0.23,,+0.14,0.21
TucV-3,Mg I,5,,+5.09,,-2.51,0.11,,+0.10,0.12
TucV-3,Al I,1,,+3.06,,-3.39,0.62,,-0.78,0.62
TucV-3,Si I,2,,+5.34,,-2.17,0.32,,+0.44,0.30
TucV-3,K I,1,,+3.41,,-1.62,0.16,,+0.99,0.15
TucV-3,Ca I,15,,+4.58,,-1.76,0.11,,+0.85,0.12
TucV-3,Sc II,5,,+0.20,,-2.96,0.19,,-0.35,0.15
TucV-3,Ti I,2,,+2.47,,-2.48,0.20,,+0.13,0.19
TucV-3,Ti II,12,,+2.58,,-2.37,0.15,,+0.25,0.14
TucV-3,V II,,<,+2.05,<,-1.88,,<,+0.69,
TucV-3,Cr I,6,,+2.83,,-2.81,0.17,,-0.20,0.16
TucV-3,Cr II,,,,,,,,,
TucV-3,Mn I,3,,+1.58,,-3.85,0.28,,-1.23,0.28
TucV-3,Fe I,65,,+4.89,,-2.61,0.10,,,
TucV-3,Fe II,6,,+4.89,,-2.61,0.14,,,
TucV-3,Co I,2,,+2.26,,-2.73,0.29,,-0.12,0.28
TucV-3,Ni I,,<,+4.11,<,-2.11,,<,+0.46,
TucV-3,Zn I,,<,+2.54,<,-2.02,,<,+0.55,
TucV-3,Sr II,1,,-1.48,,-4.35,0.38,,-1.74,0.35
TucV-3,Y II,,,,,,,,,
TucV-3,Zr II,,,,,,,,,
TucV-3,Ba II,2,,-1.44,,-3.62,0.27,,-1.01,0.23
TucV-3,La II,,,,,,,,,
