ID,Wave,Species,ExPot,log(gf),EW,f_EW,logX
SMSS~J000113.96-363337.9,5049.82,26.0,2.28,-1.355,71.1,,4.97
SMSS~J000113.96-363337.9,5051.634,26.0,0.92,-2.764,95.6,,5.27
SMSS~J000113.96-363337.9,5060.08,26.0,0.0,-5.46,19.4,,5.25
SMSS~J000113.96-363337.9,5064.65,22.0,0.05,-0.935,47.5,,2.76
SMSS~J000113.96-363337.9,5068.766,26.0,2.94,-1.041,62.1,,5.25
SMSS~J000113.96-363337.9,5079.224,26.0,2.2,-2.105,57.7,,5.33
SMSS~J000113.96-363337.9,5079.74,26.0,0.99,-3.245,67.3,,5.22
SMSS~J000113.96-363337.9,5080.523,28.0,3.65,0.13,27.5,,3.92
SMSS~J000113.96-363337.9,5081.11,28.0,3.85,0.3,25.0,,3.92
SMSS~J000113.96-363337.9,5083.339,26.0,0.96,-2.842,92.9,,5.33
SMSS~J000113.96-363337.9,5084.08,28.0,3.68,0.03,22.7,,3.94
SMSS~J000113.96-363337.9,5098.697,26.0,2.18,-2.03,63.9,,5.37
SMSS~J000113.96-363337.9,5110.413,26.0,0.0,-3.76,108.5,,5.4
SMSS~J000113.96-363337.9,5123.72,26.0,1.01,-3.058,85.8,,5.45
SMSS~J000113.96-363337.9,5125.117,26.0,4.22,-0.14,27.4,,5.14
SMSS~J000113.96-363337.9,5127.36,26.0,0.92,-3.249,72.9,,5.24
SMSS~J000113.96-363337.9,5131.468,26.0,2.22,-2.515,30.1,,5.23
SMSS~J000113.96-363337.9,5133.689,26.0,4.18,0.14,48.9,,5.27
SMSS~J000113.96-363337.9,5137.075,28.0,1.68,-1.99,42.6,,4.02
SMSS~J000113.96-363337.9,5137.382,26.0,4.18,-0.4,23.3,,5.26
SMSS~J000113.96-363337.9,5141.739,26.0,2.42,-2.238,31.0,,5.21
SMSS~J000113.96-363337.9,5142.929,26.0,0.96,-3.08,89.0,,5.47
SMSS~J000113.96-363337.9,5150.839,26.0,0.99,-3.037,77.2,,5.21
SMSS~J000113.96-363337.9,5151.911,26.0,1.01,-3.321,73.6,,5.44
SMSS~J000113.96-363337.9,5162.273,26.0,4.18,0.02,43.2,,5.27
SMSS~J000113.96-363337.9,5166.282,26.0,0.0,-4.123,98.6,,5.53
SMSS~J000113.96-363337.9,5171.596,26.0,1.49,-1.721,115.3,,5.35
SMSS~J000113.96-363337.9,5173.74,22.0,0.0,-1.062,45.0,,2.76
SMSS~J000113.96-363337.9,5185.902,22.1,1.89,-1.49,53.6,,3.05
SMSS~J000113.96-363337.9,5191.455,26.0,3.04,-0.551,76.3,,5.17
SMSS~J000113.96-363337.9,5192.344,26.0,3.0,-0.421,83.2,,5.14
SMSS~J000113.96-363337.9,5192.97,22.0,0.02,-0.95,53.0,,2.82
SMSS~J000113.96-363337.9,5194.942,26.0,1.56,-2.021,92.8,,5.23
SMSS~J000113.96-363337.9,5197.58,26.1,3.23,-2.22,49.8,,5.24
SMSS~J000113.96-363337.9,5198.711,26.0,2.22,-2.091,49.2,,5.17
SMSS~J000113.96-363337.9,5210.39,22.0,0.05,-0.828,54.0,,2.75
SMSS~J000113.96-363337.9,5216.274,26.0,1.61,-2.082,92.0,,5.33
SMSS~J000113.96-363337.9,5217.39,26.0,3.21,-1.162,38.2,,5.2
SMSS~J000113.96-363337.9,5225.526,26.0,0.11,-4.755,48.9,,5.27
SMSS~J000113.96-363337.9,5226.538,22.1,1.57,-1.26,80.6,,2.97
SMSS~J000113.96-363337.9,5232.94,26.0,2.94,-0.057,104.0,,5.15
SMSS~J000113.96-363337.9,5234.63,26.1,3.22,-2.18,49.3,,5.17
SMSS~J000113.96-363337.9,5239.811,21.1,1.46,-0.77,30.5,,0.99
SMSS~J000113.96-363337.9,5247.05,26.0,0.09,-4.946,47.9,,5.43
SMSS~J000113.96-363337.9,5247.564,24.0,0.96,-1.64,20.8,,3.17
SMSS~J000113.96-363337.9,5250.21,26.0,0.12,-4.938,43.8,,5.38
SMSS~J000113.96-363337.9,5250.646,26.0,2.2,-2.18,58.3,,5.42
SMSS~J000113.96-363337.9,5254.956,26.0,0.11,-4.764,61.1,,5.5
SMSS~J000113.96-363337.9,5263.305,26.0,3.27,-0.879,44.4,,5.12
SMSS~J000113.96-363337.9,5265.556,20.0,2.52,-0.26,46.2,,4.45
SMSS~J000113.96-363337.9,5266.555,26.0,3.0,-0.385,85.6,,5.16
SMSS~J000113.96-363337.9,5276.0,26.1,3.2,-2.01,56.5,,5.12
SMSS~J000113.96-363337.9,5281.79,26.0,3.04,-0.833,64.2,,5.19
SMSS~J000113.96-363337.9,5283.621,26.0,3.24,-0.524,71.6,,5.27
SMSS~J000113.96-363337.9,5284.08,26.1,2.89,-3.19,26.3,,5.31
SMSS~J000113.96-363337.9,5296.69,24.0,0.98,-1.36,33.8,,3.21
SMSS~J000113.96-363337.9,5298.28,24.0,0.98,-1.14,43.5,,3.18
SMSS~J000113.96-363337.9,5302.3,26.0,3.28,-0.72,45.5,,4.99
SMSS~J000113.96-363337.9,5307.361,26.0,1.61,-2.912,51.9,,5.31
SMSS~J000113.96-363337.9,5322.04,26.0,2.28,-2.802,14.1,,5.14
SMSS~J000113.96-363337.9,5324.179,26.0,3.21,-0.103,83.5,,5.06
SMSS~J000113.96-363337.9,5328.039,26.0,0.92,-1.466,166.0,,5.23
SMSS~J000113.96-363337.9,5328.531,26.0,1.56,-1.85,111.9,,5.46
SMSS~J000113.96-363337.9,5332.9,26.0,1.55,-2.776,55.7,,5.17
SMSS~J000113.96-363337.9,5336.786,22.1,1.58,-1.59,63.6,,2.95
SMSS~J000113.96-363337.9,5339.93,26.0,3.27,-0.72,52.4,,5.11
SMSS~J000113.96-363337.9,5345.8,24.0,1.0,-0.95,43.4,,3.0
SMSS~J000113.96-363337.9,5348.31,24.0,1.0,-1.21,30.4,,3.01
SMSS~J000113.96-363337.9,5349.465,20.0,2.71,-0.31,27.9,,4.35
SMSS~J000113.96-363337.9,5364.871,26.0,4.45,0.228,27.4,,5.03
SMSS~J000113.96-363337.9,5367.467,26.0,4.42,0.443,34.5,,4.95
SMSS~J000113.96-363337.9,5369.962,26.0,4.37,0.536,46.3,,5.03
SMSS~J000113.96-363337.9,5381.021,22.1,1.57,-1.92,44.6,,2.92
SMSS~J000113.96-363337.9,5383.369,26.0,4.31,0.645,53.5,,4.99
SMSS~J000113.96-363337.9,5393.168,26.0,3.24,-0.91,57.2,,5.35
SMSS~J000113.96-363337.9,5405.775,26.0,0.99,-1.852,141.2,,5.31
SMSS~J000113.96-363337.9,5409.77,24.0,1.03,-0.67,59.8,,3.07
SMSS~J000113.96-363337.9,5410.91,26.0,4.47,0.398,33.8,,5.03
SMSS~J000113.96-363337.9,5415.199,26.0,4.39,0.643,45.8,,4.94
SMSS~J000113.96-363337.9,5424.068,26.0,4.32,0.52,51.5,,5.09
SMSS~J000113.96-363337.9,5434.524,26.0,1.01,-2.126,120.9,,5.23
SMSS~J000113.96-363337.9,5446.917,26.0,0.99,-1.91,140.3,,5.34
SMSS~J000113.96-363337.9,5476.9,28.0,1.83,-0.89,88.2,,4.03
SMSS~J000113.96-363337.9,5497.516,26.0,1.01,-2.825,91.9,,5.3
SMSS~J000113.96-363337.9,5501.465,26.0,0.96,-3.046,95.4,,5.53
SMSS~J000113.96-363337.9,5506.779,26.0,0.99,-2.789,102.8,,5.47
SMSS~J000113.96-363337.9,5526.785,21.1,1.77,0.02,52.8,,0.97
SMSS~J000113.96-363337.9,5528.405,12.0,4.34,-0.498,91.1,,5.72
SMSS~J000113.96-363337.9,5569.618,26.0,3.42,-0.54,55.1,,5.15
SMSS~J000113.96-363337.9,5572.842,26.0,3.4,-0.275,68.7,,5.14
SMSS~J000113.96-363337.9,5576.088,26.0,3.43,-1.0,35.9,,5.24
SMSS~J000113.96-363337.9,5581.971,20.0,2.52,-0.555,24.3,,4.28
SMSS~J000113.96-363337.9,5586.756,26.0,3.37,-0.144,80.7,,5.21
SMSS~J000113.96-363337.9,5588.76,20.0,2.52,0.21,70.1,,4.44
SMSS~J000113.96-363337.9,5590.12,20.0,2.52,-0.571,26.8,,4.35
SMSS~J000113.96-363337.9,5594.468,20.0,2.52,0.097,66.6,,4.48
SMSS~J000113.96-363337.9,5598.487,20.0,2.52,-0.087,52.5,,4.39
SMSS~J000113.96-363337.9,5601.285,20.0,2.53,-0.523,27.3,,4.33
SMSS~J000113.96-363337.9,5615.644,26.0,3.33,0.05,89.0,,5.15
SMSS~J000113.96-363337.9,5624.542,26.0,3.42,-0.755,48.5,,5.24
SMSS~J000113.96-363337.9,5641.0,21.1,1.5,-1.13,17.6,,1.06
SMSS~J000113.96-363337.9,5657.907,21.1,1.51,-0.6,40.5,,1.05
SMSS~J000113.96-363337.9,5658.816,26.0,3.4,-0.793,44.6,,5.17
SMSS~J000113.96-363337.9,5662.516,26.0,4.18,-0.573,18.5,,5.28
