The Galaxy                   |          |  |    | |   |   |         |    | | |    | |   |  |     | |   |      |               | |
HIZSS 3B                     |          |  |    | |   |   |         |2.6 | | |    | |   |  |     |N|   |      |262            | |HI velocity gradient of ~2.5km/s/arcmin
KKR 25                       |   1.4    |  |    | |   |   |         |    | | |    | |   |  |     | |   |      |               | |See Huchtmeier et al. (2000, Cat. J/A+AS/147/187) for attempted HI observations
ESO 410- G 005               |   3.5    |  |    | |   |   |         |0.73| | |14.2| |0.6|  |     | |   |      |263            | |
NGC 55                       |2200.     |  |    | |   |   |         |1300| | |    | |   |  | 86.0| |6.0|      |264            | |Castro et al. (2008, Cat. J/A+A/485/41) obtain stellar velocities for ~200 massive blue stars and find that their kinematics closely trace the HI rotation curve
ESO 294- G 010               |   2.7    |  |    | |   |   |         |0.34| | | 9.7| |0.9|  |     | |   |      |263            | |
NGC 300                      |2100.     |  |    | |   |   |         |1800| | |13.0| |5.0|  | 98.8| |3.1|      |265,266        | |HI velocity dispersion shows significant spatial variation
IC 5152                      | 270.     |  |    | |   |   |         |87  | | |    | |   |  |     | |   |      |245            | |HI line widths available in Koribalski et al. (2004, Cat. J/AJ/128/16)
KKH 98                       |   4.5    |  |    | |   |   |         |6.6 | | |    | |   |  |     | |   |      |267            | |HI line widths available in Begum et al. (2008MNRAS.386.1667B) and Huchtmeier et al. (2003A&A...401..483H)
UKS 2323-326                 |  17.     |  |    | |   |   |         |17  |:| |    | |   |  |     | |   |      |268            | |See also Huchtmeier & Richter (1986A&AS...63..323H); HI line widths available in Longmore et al. (1982MNRAS.200..325L) and Huchtmeier & Richter (1986A&AS...63..323H)
KKR 3                        |   0.54   |  |    | |   |   |         |2.5 | | | 7.5| |0.5|  |     |N|   |      |269            | |HI velocity gradient of ~3.3km/s/arcmin
GR 8                         |   6.4    |  |    | |   |   |         |11  | | | 7.0| |0.2|  |     |N|   |      |248            | |Lumpy HI velocity distribution, with some evidence of an overall velocity gradient
UGC 9128                     |   7.8    |  |    | |   |   |         |18  | |<|15.0| |   |  | 56.0|:|   |      |249            | |See also Begum et al. (2008MNRAS.386.1667B)
UGC 8508                     |  19.     |  |    | |   |   |         |29  | | |    | |   |  | 31.2| |2.3|      |267,270        | |
IC 3104                      |  62.     |  |    | |   |   |         |13  | | |    | |   |  |     |N|   |      |245            | |HI line widths available in Koribalski et al. (2004, Cat. J/AJ/128/16)
DDO 125                      |  47.     |  |    | |   |   |         |35  | | | 7.3| |1.5|  | 11.2| |2.7|      |271,272        | |HI rotational velocity measured at r = 2 arcmin; see also Huchtmeier et al. (2003A&A...401..483H), Begum et al. (2008MNRAS.386.1667B), and Swaters et al. (2009A&A...493..871S)
UGCA 86                      |  16.     |  |    | |   |   |         |860 | | | 8.8| |1.0|  |122.0| |5.0|      |273            | |HI structure consists of a rotating disk and a kinematically distinct, elongated "spur"
DDO 99                       |  16.     |  |    | |   |   |         |52  | | |    | |   |  |     | |   |      |267            | |HI line widths available in Begum et al. (2008MNRAS.386.1667B)
IC 4662                      | 190.     |  |    | |   |   |         |180 | | |    | |   |  |     | |   |      |245            | |HI line widths available in Koribalski et al. (2004, Cat. J/AJ/128/16)
DDO 190                      |  51.     |  |    | |   |   |         |43  | | |10.0| |2.4|  | 24.7| |2.5|      |271,272        | |HI rotational velocity measured at r=1.5arcmin
KKH 86                       |   0.82   |  |    | |   |   |         |0.88| | |    | |   |  |     | |   |      |274            | |HI line widths available in Karachentsev et al. (2001, Cat. J/A+A/366/428)
NGC 4163                     |  37.     |  |    | |   |   |         |7.9 | |<| 7.4| |   |  |  8.7|:|   |      |275            | |
DDO 113                      |   2.1    |  |    | |   |   |         |48  |k| |    | |   |  |     | |   |      |276            | |HI line widths available in Huchtmeier & Richter (1986A&AS...63..323H)
