Ion,lambda,EP,loggf,EW1,f_EW1,e_EW1,l_logeps1,logeps1,e_logeps1,EW2,f_EW2,e_EW2,l_logeps2,logeps2,e_logeps2,EW3,f_EW3,e_EW3,l_logeps3,logeps3,e_logeps3,EW4,f_EW4,e_EW4,l_logeps4,logeps4,e_logeps4
Ca I,5857.45,2.93,0.23,,,,,,,42.6,,9.6,,4.17,0.17,,,,,,,,,,,,
Ca I,6102.72,1.88,-0.79,62.4,,10.4,,4.04,0.14,52.9,,10.1,,4.06,0.15,42.5,,9.3,,3.99,0.15,,,,,,
Ca I,6122.22,1.89,-0.32,83.7,,13.1,,3.85,0.18,100.3,,15.6,,4.27,0.23,55.5,,9.0,,3.72,0.13,55.1,,12.9,,4.08,0.21
Ca I,6162.17,1.9,-0.09,109.8,,15.2,,3.98,0.21,100.0,,14.6,,4.04,0.22,70.8,,10.9,,3.71,0.15,67.6,,18.9,,4.06,0.3
Ca I,6169.56,2.53,-0.48,,,,,,,,,,,,,31.0,,7.3,,4.25,0.15,,,,,,
Ca I,6439.07,2.52,0.47,74.5,,10.8,,3.72,0.14,66.3,,11.5,,3.75,0.16,44.2,,7.4,,3.5,0.12,90.2,,19.5,,4.59,0.34
Ca I,6449.81,2.52,-0.5,29.5,,7.1,,4.04,0.14,34.6,,7.6,,4.25,0.14,,,,,,,,,,,,
Ca I,6717.69,2.71,-0.52,26.3,,5.7,,4.22,0.13,20.9,,5.6,,4.21,0.16,,,,,,,,,,,,
Sc II,4246.82,0.32,0.24,,syn,,,0.55,0.5,,syn,,,0.63,0.7,,,,,,,,,,,,
Sc II,4314.08,0.62,-0.1,,,,,,,,syn,,,0.8,0.45,,,,,,,,,,,,
Sc II,4325.0,0.59,-0.44,,syn,,,0.5,0.5,,syn,,,0.57,0.4,,,,,,,,,,,,
Sc II,4400.39,0.61,-0.54,,syn,,,0.25,0.4,,syn,,,0.96,0.3,,,,,,,,,,,,
Sc II,4415.54,0.59,-0.67,,syn,,,1.0,0.35,,syn,,,0.87,0.3,,,,,,,,,,,,
Sc II,5684.2,1.51,-0.85,,,,,,,,,,,,,,syn,,<,0.98,,,syn,,<,2.65,
Ti I,3998.64,0.05,0.01,,,,,,,102.7,,34.8,,2.57,0.75,,,,,,,,,,,,
Ti I,4518.02,0.83,-0.27,,,,,,,35.0,,11.2,,2.61,0.22,,,,,,,,,,,,
Ti I,4533.25,0.85,0.53,95.8,,25.7,,2.51,0.43,57.3,,20.6,,2.18,0.31,,,,,,,,,,,,
Ti I,4534.78,0.84,0.34,75.9,,21.3,,2.39,0.32,48.1,,16.2,,2.22,0.27,,,,,,,,,,,,
Ti I,4535.57,0.83,0.12,63.0,,18.9,,2.42,0.27,,,,,,,,,,,,,,,,,,
Ti I,4555.49,0.85,-0.43,37.6,,11.7,,2.62,0.22,,,,,,,,,,,,,,,,,,
Ti I,4656.47,0.0,-1.29,64.9,,14.0,,2.78,0.19,,,,,,,,,,,,,,,,,,
Ti I,4681.91,0.05,-1.01,78.5,,14.4,,2.73,0.2,37.4,,9.4,,2.42,0.17,,,,,,,,,,,,
Ti I,4981.73,0.84,0.56,69.2,,17.5,,2.02,0.23,87.0,,22.9,,2.52,0.38,72.4,,17.8,,2.41,0.27,,,,,,
Ti I,4991.07,0.84,0.44,111.1,,29.8,,2.74,0.48,,,,,,,52.9,,14.8,,2.26,0.23,,,,,,
Ti I,5007.21,0.82,0.17,,,,,,,,,,,,,38.5,,11.0,,2.29,0.19,,,,,,
Ti I,5173.74,0.0,-1.06,76.1,,18.8,,2.62,0.24,66.6,,23.9,,2.78,0.33,,,,,,,,,,,,
Ti I,5192.97,0.02,-0.95,71.2,,19.3,,2.48,0.25,,,,,,,,,,,,,,,,,,
Ti I,5210.39,0.05,-0.83,71.4,,16.5,,2.39,0.21,66.2,,16.4,,2.6,0.23,,,,,,,,,,,,
Ti II,4012.4,0.57,-1.75,,,,,,,93.4,,32.1,,2.27,0.67,,,,,,,,,,,,
Ti II,4025.12,0.61,-1.98,,,,,,,108.4,,39.5,,2.84,0.85,,,,,,,,,,,,
Ti II,4161.53,1.08,-2.16,,,,,,,42.4,,15.5,,2.47,0.28,,,,,,,,,,,,
Ti II,4184.31,1.08,-2.51,55.1,,18.1,,2.7,0.28,,,,,,,,,,,,,,,,,,
Ti II,4290.22,1.16,-0.93,,,,,,,102.7,,33.2,,2.27,0.68,,,,,,,,,,,,
Ti II,4330.72,1.18,-2.06,97.5,,25.0,,3.0,0.46,59.9,,21.1,,2.74,0.32,,,,,,,,,,,,
Ti II,4337.91,1.08,-0.96,138.4,,32.2,,2.54,0.62,136.3,,34.6,,2.87,0.68,,,,,,,,,,,,
Ti II,4394.06,1.22,-1.78,102.8,,23.0,,2.85,0.43,77.4,,18.2,,2.75,0.3,,,,,,,,,,,,
Ti II,4395.03,1.08,-0.54,162.7,,29.9,,2.55,0.56,152.0,,27.2,,2.74,0.54,,,,,,,,,,,,
Ti II,4395.84,1.24,-1.93,60.2,,18.3,,2.37,0.27,57.2,,15.2,,2.63,0.23,,,,,,,,,,,,
Ti II,4399.77,1.24,-1.19,130.5,,30.4,,2.8,0.58,102.9,,21.2,,2.62,0.41,,,,,,,,,,,,
Ti II,4417.71,1.17,-1.19,127.4,,26.0,,2.64,0.5,118.5,,26.9,,2.83,0.53,,,,,,,,,,,,
Ti II,4418.33,1.24,-1.97,74.7,,19.6,,2.62,0.3,68.5,,19.6,,2.83,0.31,,,,,,,,,,,,
Ti II,4441.73,1.18,-2.41,,,,,,,56.4,,17.9,,3.02,0.27,,,,,,,,,,,,
Ti II,4443.8,1.08,-0.72,,,,,,,152.6,,28.5,,2.91,0.56,,,,,,,,,,,,
Ti II,4444.55,1.12,-2.24,,,,,,,70.5,,19.3,,2.98,0.3,,,,,,,,,,,,
Ti II,4450.48,1.08,-1.52,119.0,,21.8,,2.68,0.41,89.8,,18.9,,2.51,0.33,,,,,,,,,,,,
Ti II,4464.45,1.16,-1.81,99.7,,24.1,,2.73,0.42,111.5,,26.5,,3.28,0.53,,,,,,,,,,,,
Ti II,4468.52,1.13,-0.6,,,,,,,140.2,,29.2,,2.6,0.58,,,,,,,,,,,,
Ti II,4470.85,1.17,-2.02,72.2,,18.0,,2.53,0.27,66.8,,21.2,,2.77,0.32,,,,,,,,,,,,
Ti II,4501.27,1.12,-0.77,145.0,,22.4,,2.45,0.42,145.9,,23.7,,2.86,0.46,,,,,,,,,,,,
Ti II,4529.48,1.57,-2.03,,,,,,,45.4,,17.2,,2.94,0.29,,,,,,,,,,,,
Ti II,4533.96,1.24,-0.53,,,,,,,145.4,,28.1,,2.75,0.56,98.7,,25.5,,1.76,0.48,,,,,,
Ti II,4545.14,1.13,-1.81,,,,,,,52.5,,14.6,,2.3,0.22,,,,,,,,,,,,
Ti II,4563.77,1.22,-0.96,157.1,,24.5,,2.98,0.45,129.2,,21.0,,2.83,0.41,,,,,,,,,,,,
Ti II,4571.97,1.57,-0.32,,,,,,,143.0,,22.7,,2.89,0.44,,,,,,,,,,,,
Ti II,4589.91,1.24,-1.79,106.5,,19.9,,2.91,0.35,93.7,,20.5,,3.02,0.36,,,,,,,,,,,,
Ti II,4657.2,1.24,-2.24,68.7,,14.2,,2.77,0.2,47.2,,13.6,,2.77,0.22,,,,,,,,,,,,
Ti II,4708.66,1.24,-2.34,62.5,,12.4,,2.78,0.17,61.1,,13.2,,3.06,0.19,,,,,,,,,,,,
Ti II,4779.98,2.05,-1.37,53.7,,12.4,,2.7,0.19,45.4,,13.2,,2.84,0.22,,,,,,,,,,,,
Ti II,4798.53,1.08,-2.68,76.0,,15.5,,3.09,0.22,46.5,,12.3,,2.99,0.2,,,,,,,,,,,,
Ti II,4805.09,2.06,-1.1,64.5,,12.9,,2.59,0.19,59.8,,15.5,,2.79,0.23,,,,,,,,,,,,
Ti II,4865.61,1.12,-2.81,30.4,,8.2,,2.6,0.17,29.1,,10.2,,2.88,0.24,,,,,,,,,,,,
Ti II,5129.16,1.89,-1.24,,,,,,,60.3,,19.1,,2.71,0.28,,,,,,,,,,,,
Ti II,5154.07,1.58,-1.22,,,,,,,,,,,,,,,,,,,62.7,,22.0,,2.99,0.38
Ti II,5185.9,1.89,-1.49,68.4,,18.3,,2.78,0.25,39.2,,15.8,,2.64,0.29,,,,,,,,,,,,
Ti II,5188.69,1.58,-1.05,125.5,,24.6,,2.78,0.42,85.5,,25.3,,2.48,0.41,,,,,,,,,,,,
Ti II,5226.54,1.57,-1.26,,,,,,,66.1,,19.9,,2.41,0.28,,,,,,,,,,,,
Ti II,5336.79,1.58,-1.59,85.9,,21.4,,2.7,0.3,83.9,,19.2,,2.99,0.29,46.6,,12.4,,2.38,0.19,,,,,,
Ti II,5381.02,1.57,-1.92,41.2,,10.1,,2.42,0.17,,,,,,,,,,,,,,,,,,
Ti II,5418.77,1.58,-2.0,30.6,,8.3,,2.33,0.17,,,,,,,,,,,,,,,,,,
Cr I,4274.8,0.0,-0.22,,,,,,,147.6,,38.2,,2.77,0.78,,,,,,,,,,,,
Cr I,4289.72,0.0,-0.37,,,,,,,128.7,,33.9,,2.54,0.68,,,,,,,,,,,,
Cr I,4616.14,0.98,-1.19,48.9,,12.0,,2.91,0.18,31.1,,8.2,,2.83,0.17,,,,,,,,,,,,
Cr I,4626.19,0.97,-1.32,50.6,,11.9,,3.05,0.18,,,,,,,,,,,,,,,,,,
Cr I,4646.15,1.03,-0.74,74.4,,15.2,,2.88,0.21,60.1,,14.8,,2.89,0.22,,,,,,,,,,,,
Cr I,4652.16,1.0,-1.03,31.0,,10.4,,2.49,0.22,,,,,,,,,,,,,,,,,,
Cr I,5206.04,0.94,0.02,137.0,,29.0,,2.87,0.47,110.7,,23.7,,2.73,0.44,66.8,,15.7,,2.17,0.22,,,,,,
Cr I,5208.42,0.94,0.16,,,,,,,,,,,,,104.2,,19.4,,2.6,0.35,,,,,,
Cr I,5296.69,0.98,-1.36,53.9,,11.8,,3.09,0.17,,,,,,,,,,,,,,,,,,
Cr I,5298.28,0.98,-1.14,52.9,,13.9,,2.85,0.2,54.3,,14.5,,3.09,0.22,23.1,,6.8,,2.67,0.18,,,,,,
Cr I,5345.8,1.0,-0.95,66.2,,16.1,,2.86,0.22,45.1,,13.7,,2.78,0.22,,,,,,,,,,,,
Cr I,5409.77,1.03,-0.67,94.4,,18.3,,2.97,0.27,58.4,,15.4,,2.73,0.23,,,,,,,,,,,,
Mn I,4030.75,0.0,-0.48,,syn,,,2.7,0.5,,syn,,,1.9,0.65,,,,,,,,,,,,
Mn I,4033.06,0.0,-0.62,,syn,,,3.05,0.6,,syn,,,1.98,0.7,,,,,,,,,,,,
Mn I,4034.48,0.0,-0.81,,syn,,,3.05,0.7,,syn,,,2.25,0.8,,,,,,,,,,,,
Mn I,4041.36,2.11,0.28,,syn,,,2.4,0.5,,syn,,,2.35,0.4,,,,,,,,,,,,
Mn I,4754.05,2.28,-0.09,,syn,,,2.45,0.25,,syn,,,2.56,0.2,,,,,,,,,,,,
Mn I,4783.43,2.3,0.04,,syn,,,2.43,0.25,,syn,,,2.43,0.25,,,,,,,,,,,,
Mn I,4783.43,2.78,0.04,,syn,,,2.43,0.25,,syn,,,2.43,0.25,,,,,,,,,,,,
Mn I,4823.53,2.32,0.14,,syn,,,2.4,0.2,,syn,,,2.56,0.15,,syn,,<,2.97,,,,,,,
Fe I,4139.93,0.99,-3.63,76.3,,22.8,,5.17,0.38,,,,,,,,,,,,,,,,,,
Fe I,4143.41,3.05,-0.2,106.5,,30.0,,4.9,0.62,,,,,,,,,,,,,,,,,,
Fe I,4152.17,0.96,-3.23,89.9,,28.1,,4.95,0.49,71.3,,21.9,,4.94,0.38,,,,,,,,,,,,
Fe I,4156.8,2.83,-0.81,,,,,,,74.5,,24.5,,4.85,0.46,,,,,,,,,,,,
Fe I,4175.64,2.85,-0.83,81.5,,32.3,,4.82,0.6,,,,,,,,,,,,,,,,,,
Fe I,4181.76,2.83,-0.37,107.4,,23.2,,4.8,0.48,77.9,,24.2,,4.47,0.45,,,,,,,,,,,,
Fe I,4187.04,2.45,-0.51,110.8,,25.5,,4.51,0.49,107.5,,31.4,,4.69,0.61,,,,,,,,,,,,
Fe I,4187.8,2.42,-0.51,128.5,,28.8,,4.82,0.55,95.9,,27.2,,4.42,0.54,,,,,,,,,,,,
Fe I,4191.43,2.47,-0.67,116.5,,28.4,,4.81,0.54,86.2,,21.2,,4.46,0.41,,,,,,,,,,,,
Fe I,4195.33,3.33,-0.49,,,,,,,60.1,,18.7,,4.9,0.3,,,,,,,,,,,,
Fe I,4216.18,0.0,-3.36,,,,,,,132.6,,29.5,,5.03,0.62,,,,,,,,,,,,
Fe I,4222.21,2.45,-0.91,107.3,,28.8,,4.84,0.55,,,,,,,,,,,,,,,,,,
Fe I,4233.6,2.48,-0.58,115.5,,27.1,,4.7,0.51,,,,,,,,,,,,,,,,,,
Fe I,4250.12,2.47,-0.38,119.5,,31.8,,4.56,0.59,,,,,,,,,,,,,,,,,,
Fe I,4282.4,2.18,-0.78,116.0,,27.2,,4.52,0.53,,,,,,,,,,,,,,,,,,
Fe I,4337.05,1.56,-1.7,136.9,,33.7,,5.0,0.61,128.3,,40.8,,5.18,0.8,,,,,,,,,,,,
Fe I,4352.73,2.22,-1.29,113.5,,23.3,,5.01,0.45,96.7,,21.7,,4.95,0.44,,,,,,,,,,,,
Fe I,4407.71,2.18,-1.97,78.4,,18.9,,5.02,0.3,79.0,,17.9,,5.25,0.32,,,,,,,,,,,,
Fe I,4422.57,2.85,-1.11,58.3,,18.3,,4.71,0.27,,,,,,,,,,,,,,,,,,
Fe I,4427.31,0.05,-2.92,,,,,,,135.4,,26.2,,4.63,0.53,,,,,,,,,,,,
Fe I,4430.61,2.22,-1.66,78.5,,19.3,,4.76,0.31,,,,,,,,,,,,,,,,,,
Fe I,4442.34,2.2,-1.23,108.9,,24.8,,4.8,0.47,82.2,,19.4,,4.59,0.34,,,,,,,,,,,,
Fe I,4447.72,2.22,-1.34,112.8,,23.4,,5.01,0.44,108.1,,22.4,,5.19,0.45,,,,,,,,,,,,
Fe I,4459.12,2.18,-1.28,120.4,,24.5,,5.04,0.45,120.7,,26.6,,5.33,0.52,,,,,,,,,,,,
Fe I,4461.65,0.09,-3.19,,,,,,,154.9,,29.9,,5.31,0.58,,,,,,,,,,,,
Fe I,4476.02,2.85,-0.82,96.3,,18.7,,5.0,0.33,74.4,,19.0,,4.84,0.32,,,,,,,,,,,,
Fe I,4484.22,3.6,-0.86,47.0,,13.3,,5.22,0.22,,,,,,,,,,,,,,,,,,
Fe I,4489.74,0.12,-3.9,,,,,,,108.5,,26.1,,5.13,0.52,,,,,,,,,,,,
Fe I,4494.56,2.2,-1.14,115.0,,24.3,,4.81,0.46,113.2,,25.7,,5.06,0.51,,,,,,,,,,,,
Fe I,4528.61,2.18,-0.82,,,,,,,131.1,,29.5,,5.06,0.58,,,,,,,,,,,,
Fe I,4531.15,1.48,-2.1,120.8,,30.0,,4.92,0.54,131.8,,37.0,,5.49,0.72,,,,,,,,,,,,
Fe I,4592.65,1.56,-2.46,107.5,,19.1,,5.15,0.33,72.4,,17.3,,4.86,0.28,,,,,,,,,,,,
Fe I,4602.94,1.49,-2.21,126.0,,26.4,,5.11,0.48,97.3,,20.0,,4.93,0.39,,,,,,,,,,,,
Fe I,4632.91,1.61,-2.91,73.5,,14.8,,5.13,0.21,36.4,,10.6,,4.83,0.2,,,,,,,,,,,,
Fe I,4647.43,2.95,-1.35,56.2,,13.5,,5.03,0.2,36.9,,11.2,,4.9,0.21,,,,,,,,,,,,
Fe I,4678.85,3.6,-0.83,23.4,,7.2,,4.75,0.19,,,,,,,,,,,,,,,,,,
Fe I,4691.41,2.99,-1.52,43.0,,10.3,,5.04,0.17,,,,,,,,,,,,,,,,,,
Fe I,4707.27,3.24,-1.08,64.5,,14.3,,5.22,0.21,32.8,,9.7,,4.9,0.2,,,,,,,,,,,,
Fe I,4733.59,1.49,-2.99,72.8,,14.3,,5.03,0.2,54.6,,12.8,,5.03,0.19,,,,,,,,,,,,
Fe I,4736.77,3.21,-0.75,79.3,,15.0,,5.06,0.23,61.2,,13.0,,4.98,0.19,,,,,,,,,,,,
Fe I,4859.74,2.88,-0.76,83.6,,19.5,,4.71,0.3,85.8,,22.0,,4.94,0.38,,,,,,,,,,,,
Fe I,4871.32,2.87,-0.36,110.2,,18.1,,4.71,0.3,103.0,,17.8,,4.82,0.32,,,,,,,,,,,,
Fe I,4872.14,2.88,-0.57,107.1,,18.0,,4.88,0.31,98.7,,17.6,,4.96,0.32,79.1,,17.2,,4.73,0.28,,,,,,
Fe I,4890.76,2.88,-0.39,126.6,,22.6,,5.03,0.39,108.2,,18.7,,4.95,0.34,58.0,,14.4,,4.24,0.21,,,,,,
Fe I,4891.49,2.85,-0.11,110.6,,19.3,,4.44,0.33,105.8,,18.2,,4.59,0.33,,,,,,,,,,,,
Fe I,4903.31,2.88,-0.93,75.8,,15.9,,4.76,0.24,71.5,,15.2,,4.89,0.23,,,,,,,,,,,,
Fe I,4918.99,2.85,-0.34,103.5,,20.7,,4.55,0.35,113.4,,22.1,,4.95,0.39,71.7,,16.9,,4.35,0.26,,,,,,
Fe I,4920.5,2.83,0.07,137.4,,25.9,,4.69,0.44,134.7,,26.8,,4.9,0.48,76.7,,17.0,,3.99,0.26,,,,,,
Fe I,4938.81,2.88,-1.08,67.3,,13.3,,4.79,0.18,60.5,,12.8,,4.88,0.19,,,,,,,,,,,,
Fe I,4939.69,0.86,-3.25,108.6,,17.4,,4.94,0.26,94.8,,15.6,,5.08,0.26,81.7,,17.7,,5.01,0.29,,,,,,
Fe I,4966.09,3.33,-0.87,63.4,,16.0,,5.09,0.23,52.3,,13.0,,5.09,0.19,,,,,,,,,,,,
Fe I,4994.13,0.92,-2.97,,,,,,,125.8,,37.8,,5.41,0.69,,,,,,,,,,,,
Fe I,5006.12,2.83,-0.61,89.2,,21.6,,4.56,0.34,,,,,,,43.1,,11.9,,4.18,0.2,,,,,,
Fe I,5012.07,0.86,-2.64,,,,,,,,,,,,,105.8,,18.6,,4.79,0.34,,,,,,
Fe I,5041.07,0.96,-3.09,140.8,,36.2,,5.39,0.56,,,,,,,63.9,,13.4,,4.71,0.19,,,,,,
Fe I,5041.76,1.49,-2.2,136.9,,35.6,,5.16,0.58,,,,,,,101.7,,18.5,,5.04,0.34,,,,,,
Fe I,5049.82,2.28,-1.35,,,,,,,,,,,,,78.3,,18.3,,4.76,0.29,,,,,,
Fe I,5051.63,0.92,-2.76,,,,,,,,,,,,,110.5,,21.7,,5.05,0.42,,,,,,
Fe I,5079.74,0.99,-3.25,107.2,,27.4,,5.07,0.42,,,,,,,48.8,,13.2,,4.68,0.2,,,,,,
Fe I,5083.34,0.96,-2.84,153.3,,34.7,,5.33,0.54,120.8,,30.3,,5.21,0.56,57.8,,13.5,,4.37,0.2,,,,,,
Fe I,5098.7,2.18,-2.03,,,,,,,57.0,,16.0,,4.92,0.24,,,,,,,,,,,,
Fe I,5110.41,0.0,-3.76,,,,,,,127.5,,25.4,,5.04,0.45,,,,,,,,,,,,
Fe I,5123.72,1.01,-3.06,129.9,,29.3,,5.24,0.46,94.3,,22.5,,5.04,0.38,57.5,,12.8,,4.64,0.18,,,,,,
Fe I,5127.36,0.92,-3.25,107.8,,26.5,,4.97,0.4,89.5,,23.9,,5.04,0.39,53.6,,13.5,,4.67,0.2,,,,,,
Fe I,5133.69,4.18,0.14,56.0,,18.7,,5.02,0.29,,,,,,,,,,,,,,,,,,
Fe I,5142.93,0.96,-3.08,117.9,,26.6,,5.01,0.39,117.0,,27.2,,5.38,0.51,75.9,,16.6,,4.85,0.26,,,,,,
Fe I,5150.84,0.99,-3.04,125.3,,28.0,,5.11,0.43,115.0,,24.2,,5.34,0.45,37.9,,9.0,,4.31,0.15,,,,,,
Fe I,5151.91,1.01,-3.32,94.4,,23.0,,4.97,0.33,65.9,,19.7,,4.88,0.28,34.6,,8.8,,4.56,0.17,,,,,,
Fe I,5166.28,0.0,-4.12,,,,,,,97.2,,25.0,,4.87,0.42,,,,,,,106.6,,34.1,,6.12,0.68
Fe I,5171.6,1.49,-1.72,152.0,,33.2,,4.88,0.53,148.5,,37.9,,5.26,0.69,96.5,,19.3,,4.45,0.33,116.0,,43.7,,5.58,0.86
Fe I,5191.45,3.04,-0.55,87.7,,18.9,,4.72,0.28,,,,,,,,,,,,,,,,,,
Fe I,5192.34,3.0,-0.42,96.7,,21.8,,4.67,0.35,109.2,,29.6,,5.1,0.51,61.1,,13.5,,4.44,0.2,,,,,,
Fe I,5194.94,1.56,-2.02,141.3,,29.6,,5.11,0.47,85.5,,21.6,,4.54,0.35,62.5,,14.3,,4.33,0.2,,,,,,
Fe I,5198.71,2.22,-2.09,66.2,,19.4,,4.92,0.26,,,,,,,,,,,,,,,,,,
Fe I,5202.34,2.18,-1.87,,,,,,,89.5,,21.8,,5.22,0.37,,,,,,,,,,,,
Fe I,5216.27,1.61,-2.08,123.9,,22.6,,4.94,0.37,102.7,,21.8,,4.93,0.38,66.7,,13.6,,4.51,0.19,,,,,,
Fe I,5217.39,3.21,-1.16,64.9,,14.8,,5.22,0.2,,,,,,,,,,,,,,,,,,
Fe I,5232.94,2.94,-0.06,,,,,,,122.3,,26.6,,4.89,0.45,73.8,,14.5,,4.18,0.22,106.9,,34.5,,5.25,0.6
Fe I,5250.21,0.12,-4.94,,,,,,,61.8,,18.2,,5.33,0.26,,,,,,,,,,,,
Fe I,5250.65,2.2,-2.18,63.0,,17.1,,4.94,0.23,58.5,,17.5,,5.1,0.26,,,,,,,,,,,,
Fe I,5254.96,0.11,-4.76,,,,,,,76.6,,19.2,,5.33,0.29,,,,,,,,,,,,
Fe I,5266.56,3.0,-0.39,114.8,,26.0,,4.91,0.42,89.3,,21.7,,4.73,0.36,54.9,,11.7,,4.31,0.17,67.4,,23.2,,4.96,0.4
Fe I,5269.54,0.86,-1.33,,,,,,,,,,,,,173.5,,25.1,,4.65,0.44,177.6,,47.0,,5.39,0.64
Fe I,5281.79,3.04,-0.83,60.6,,12.7,,4.62,0.17,60.7,,16.3,,4.8,0.24,42.7,,10.0,,4.62,0.17,,,,,,
Fe I,5283.62,3.24,-0.52,79.9,,15.7,,4.82,0.23,,,,,,,36.1,,9.4,,4.44,0.17,,,,,,
Fe I,5302.3,3.28,-0.72,64.1,,15.8,,4.85,0.22,43.8,,11.2,,4.73,0.18,,,,,,,81.1,,29.9,,5.82,0.5
Fe I,5307.36,1.61,-2.91,75.6,,14.7,,5.07,0.19,82.0,,19.3,,5.42,0.3,,,,,,,,,,,,
Fe I,5324.18,3.21,-0.1,104.1,,22.4,,4.71,0.36,101.1,,20.2,,4.88,0.34,59.7,,11.4,,4.34,0.16,,,,,,
Fe I,5328.04,0.92,-1.47,,,,,,,,,,,,,151.2,,23.9,,4.47,0.45,,,,,,
Fe I,5328.53,1.56,-1.85,159.6,,30.6,,5.18,0.48,149.3,,27.7,,5.45,0.49,95.7,,17.8,,4.63,0.31,,,,,,
Fe I,5332.9,1.55,-2.78,103.0,,22.0,,5.23,0.32,74.1,,17.0,,5.11,0.24,,,,,,,,,,,,
Fe I,5339.93,3.27,-0.72,72.2,,15.3,,4.95,0.21,,,,,,,,,,,,,,,,,,
Fe I,5367.47,4.42,0.44,45.5,,12.7,,4.84,0.21,,,,,,,,,,,,,,,,,,
Fe I,5369.96,4.37,0.54,63.0,,13.9,,4.93,0.2,,,,,,,,,,,,,,,,,,
Fe I,5371.49,0.96,-1.64,,,,,,,166.0,,27.2,,4.75,0.46,145.8,,21.4,,4.58,0.39,,,,,,
Fe I,5383.37,4.31,0.65,54.2,,12.4,,4.62,0.18,40.1,,11.4,,4.53,0.21,,,,,,,58.5,,19.4,,5.2,0.33
Fe I,5393.17,3.24,-0.91,60.7,,15.1,,4.94,0.21,60.8,,17.2,,5.12,0.25,26.1,,7.3,,4.64,0.18,,,,,,
Fe I,5397.13,0.92,-1.98,,,,,,,164.2,,30.4,,5.0,0.52,136.4,,19.1,,4.69,0.35,125.1,,31.2,,5.35,0.61
Fe I,5405.77,0.99,-1.85,,,,,,,139.4,,24.5,,4.53,0.44,119.0,,17.8,,4.32,0.33,,,,,,
