Seq,---,SDSS,A(Fe1),A(Fe2),A(Na),A(Mg),A(Ca),A(Ti),A(Dr),A(Ba),A(C)
87,SDSS,J1436+0301,3.9,4.35,3.43,4.73,3.25,,,,
88,SDSS,J1437+5231,4.6,4.32,2.99,5.06,3.72,2.19,-0.16,,
89,SDSS,J1437+5837,4.48,4.34,3.13,4.92,3.92,2.18,-0.43,,
90,SDSS,J1446+1249,4.51,4.31,2.74,4.6,3.38,2.16,-0.6,,
91,SDSS,J1502+3113,4.64,4.43,3.16,5.17,3.79,2.35,-0.33,,
92,SDSS,J1504+4623,4.19,4.41,2.85,4.6,3.46,2.23,,,
93,SDSS,J1515+4503,4.16,4.17,,4.89,3.41,2.4,-0.03,,
94,SDSS,J1516+4333,4.59,4.57,3.0,5.01,3.66,,0.06,,
95,SDSS,J1521+3437,4.71,,3.61,5.54,4.04,,0.27,,
96,SDSS,J1522+3055,3.91,4.03,2.52,4.53,3.27,,,,
97,SDSS,J1523+4942,4.44,4.79,,4.92,3.55,2.56,0.2,-0.95,
98,SDSS,J1528+4915,4.51,4.31,3.18,4.93,3.52,,-0.33,,
99,SDSS,J1551+2521,4.43,4.13,3.53,5.11,3.53,1.91,-0.44,,
100,SDSS,J1553+2511,4.2,4.23,2.83,4.59,3.32,,-0.11,,
101,SDSS,J1603+2917,4.14,4.13,2.85,4.72,3.16,,-0.45,,
102,SDSS,J1612+0421,4.64,4.65,3.5,5.03,3.79,2.59,-0.82,-0.62,6.2
103,SDSS,J1613+5309,4.18,4.21,3.68,5.2,3.49,1.96,-0.89,-1.12,7.2
104,SDSS,J1623+3913,4.31,4.28,2.95,5.25,3.95,,-0.84,,
105,SDSS,J1626+1458,4.51,4.56,4.68,5.08,,,0.24,0.88,8.3
106,SDSS,J1633+3907,4.62,4.41,2.68,4.25,3.79,,,,
107,SDSS,J1640+3709,4.11,,2.77,4.58,3.52,,,,
108,SDSS,J1646+2824,4.45,4.53,,5.26,3.77,2.31,-0.74,0.91,7.9
109,SDSS,J1650+2242,4.94,4.46,3.2,5.16,3.72,,0.08,,
110,SDSS,J1659+3515,4.26,4.15,2.89,5.03,3.59,,,,
111,SDSS,J1703+2836,4.29,,2.83,,,2.6,,,5.5
112,SDSS,J1728+0657,4.65,4.72,,4.89,,2.25,,,
113,SDSS,J1734+4316,4.99,4.99,4.16,5.32,4.07,2.64,,1.28,7.7
114,SDSS,J1735+4446,4.21,4.24,3.33,4.63,3.03,1.62,,,
115,SDSS,J1736+4420,4.57,4.58,3.52,5.09,3.84,2.25,-0.34,-1.22,
116,SDSS,J1746+2455,4.33,4.38,3.55,5.12,3.66,2.22,-0.28,-0.73,6.5
117,SDSS,J1830+4141,4.49,4.38,2.97,4.75,3.77,,-0.47,,
118,SDSS,J1834+2023,5.52,4.91,,5.88,4.69,2.88,0.85,,
119,SDSS,J1836+6317,4.65,4.66,5.17,5.58,4.03,2.28,,1.7,7.6
120,SDSS,J2005-1045,4.16,,2.57,4.31,3.29,,,,
121,SDSS,J2052+0109,4.7,4.58,3.14,4.97,3.54,,-0.46,,
122,SDSS,J2104-0104,4.07,4.21,3.23,5.13,3.9,1.91,,-1.98,
123,SDSS,J2111+0109,4.75,4.82,3.02,4.87,4.43,2.58,0.34,-0.5,
124,SDSS,J2118-0640,4.59,4.53,3.15,4.9,3.98,,,,
125,SDSS,J2123-0820,4.62,4.64,3.53,5.39,4.36,2.59,0.47,,
126,SDSS,J2128-0756,4.74,4.73,4.25,5.06,3.37,2.81,0.22,0.0,
127,SDSS,J2206-0925,4.33,4.34,,5.04,3.59,2.06,-1.4,-1.84,5.9
128,SDSS,J2207+2017,5.08,5.33,3.68,5.43,4.29,2.94,0.35,-0.67,
129,SDSS,J2208+0613,4.66,4.51,2.78,5.05,3.83,2.81,-0.29,,
130,SDSS,J2213-0726,4.95,4.98,4.19,5.47,3.56,2.55,-0.01,-1.05,
131,SDSS,J2300+0559,4.56,4.55,,4.9,3.36,2.62,,,
132,SDSS,J2308-0855,4.76,4.28,2.84,4.88,3.45,,-0.72,,
133,SDSS,J2309+2308,4.41,,2.82,4.52,2.6,,,,
134,SDSS,J2334+1538,4.59,4.8,,4.98,3.61,,,,
135,SDSS,J2338+0902,4.38,4.39,4.05,4.84,3.1,2.1,-0.73,-1.7,
136,SDSS,J2349+3832,4.3,,,4.32,,,,,
137,SDSS,J2357-0052,4.3,,,5.15,,,0.3,0.3,5.8
