ref_number,bibcode,author,year,citation_key,comments
354,1978MNRAS.183P..97L,Longmore et al.,1978,Longmore+1978,
355,2008MNRAS.387L..45K,Kopylov et al.,2008,Kopylov+2008,"These authors calculate a new distance to UGC 4879and show that it is on the periphery of the Local Group. While included in Vorontsov-Velyaminov (1959VV....C......0V), earlier references to this object have not been found."
356,1847QB3.H52........,Herschel,1847,Herschel+1847,
357,1997AJ....114..996W,Whiting et al.,1997,Whiting+1997,"These authors rediscovered this galaxy and showed that it was in the periphery of the Local Group, but it had earlier been cataloged by Corwin et al. (1985sgcc.book.....C), Feitzinger & Galinski (1985A&AS...61..503F), and Arp & Madore (1987cspg.book.....A)."
358,2000AJ....119.2686H,Henning et al.,2000,Henning+2000,HIZSS 3 resolved into two sources by Begum et al. (2005MNRAS.359L..53B). Position corresponds to the 'HIZSS3 system'.
359,2001A&A...379..407K,Karachentsev et al.,2001,Karachentsev+2001,
360,1982euse.book.....L,Lauberts,1982,Lauberts+1982,Cat. VII/34C
361,1982MNRAS.200..325L,Longmore et al.,1982,Longmore+1982,
362,1828RSPT..118..113D,Dunlop,1828,Dunlop+1828,
363,1899ApJ.....9..173P,Pickering,1899,Pickering+1899,D. Stewart. Reported in Pickering (1899ApJ.....9..173P)
364,2001A&A...366..428K,Karachentsev et al.,2001,Karachentsev+2001,Cat. J/A+A/366/428
365,1998A&AS..127..409K,Karachentseva & Karachentsev,1998,Karachentseva+1998,Cat. J/A+AS/127/409. See also Karachentseva et al. (1999A&AS..135..221K)
366,1956AJ.....61...69R,Reaves,1956,Reaves+1956,Discovered on inspection of photographic plates from a survey discussed in Shane (1947PASP...59..182S). C. D. Shane speculated that some of the nebulae that were visible could be Local Group dwarf galaxies.
367,1962TrSht..32..207V,Vorontsov-Vel'Yaminov & Krasnogorskaya,1962,Vorontsov-Vel'Yaminov+1962,
368,1908AnHar..60..147P,Pickering,1908,Pickering+1908,D. Stewart. Reported in Pickering (1908AnHar..60..147P)
369,1974UppOR...5....0N,Nilson,1974,Nilson+1974,
370,1902MNRAS..62..468L,Lunt,1902,Lunt+1902,R. Innes. Reported in Lunt (1902MNRAS..62..468L)
400,2004MNRAS.354.1263B,Bellazzini et al.,2004,Bellazzini+2004,
401,2007ApJ...670..346C,Chou et al.,2007,Chou+2007,Cat. J/ApJ/670/346
402,2010ApJ...723.1632N,Norris et al.,2010,Norris+2010,Cat. J/ApJ/723/1632
403,2008ApJ...685L..43K,Kirby et al.,2008,Kirby+2008,
404,2011ApJ...727...78K,Kirby et al.,2011,Kirby+2011,
405,2009ApJ...690..453K,Koch et al.,2009,Koch+2009,
406,2011AJ....142..128W,Willman et al.,2011,Willman+2011,
407,2009ApJ...702L...9C,Carlin et al.,2009,Carlin+2009,
408,2008AJ....135..836C,Carrera et al.,2008,Carrera+2008,Cat. J/AJ/135/836
409,2010AJ....139.1168P,Parisi et al.,2010,Parisi+2010,Cat. J/AJ/139/1168
410,2009ApJ...705..328K,Kirby et al.,2009,Kirby+2009,Cat. J/ApJ/705/328
411,2006AJ....131..895K,Koch et al.,2006,Koch+2006,Cat. J/AJ/131/895
412,2010ApJ...710.1664D,de Jong et al.,2010,Jong+2010,Cat. J/ApJ/710/1664
413,1996AJ....112.1975G,Grillmair et al.,1996,Grillmair+1996,
415,2005MNRAS.356..979M,McConnachie et al.,2005,McConnachie+2005,
416,2011ApJ...729...23B,Brasseur et al.,2011,Brasseur+2011,
417,2010ApJ...711..671K,Kalirai et al.,2010,Kalirai+2010,
419,2010ApJ...711..361G,Geha et al.,2010,Geha+2010,Cat. J/ApJ/711/361
420,2009MNRAS.400.1472L,Letarte et al.,2009,Letarte+2009,
421,2009AstL...35..748T,Tikhonov & Galazutdinova,2009,Tikhonov+2009,Cat. J/PAZh/35/829
422,1995AJ....110.1129L,Lee,1995,Lee+1995,
423,2010ApJ...712.1259B,Bernard et al.,2010,Bernard+2010,Cat. J/ApJ/712/1259
424,1999AJ....118..862M,Martinez-Delgado et al.,1999,Martinez-Delgado+1999,
425,2001MNRAS.327..918T,Tolstoy et al.,2001,Tolstoy+2001,Cat. J/MNRAS/327/918
426,2007MNRAS.375.1364L,Lewis et al.,2007,Lewis+2007,
427,2009ApJ...699....1L,Leaman et al.,2009,Leaman+2009,
