Found,JINA_ID,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,,HD 88609,,,HD  88609,10 14 28.9853,+53 33 39.342,14,14,0.0131,0.0154,90,A,O,2020yCat.1350....0G,9.93,9.54,8.62,7.78,7.15,6.665,6.129,6.006,ChemPec*,G5IIIw,10 14 28.9853,+53 33 39.342,3.614,-32.621,0.8567,-37.64,1
True,,HD 94028,,,HD  94028,10 51 28.1256,+20 16 38.965,14,14,0.0291,0.018,90,A,O,2020yCat.1350....0G,8.51,8.69,8.22,7.82,7.54,7.13,6.854,6.832,HighPM*,F8,10 51 28.1256,+20 16 38.965,-260.331,-456.387,20.2078,65.06,1
True,,HD 94028,,,HD  94028,10 51 28.1256,+20 16 38.965,14,14,0.0291,0.018,90,A,O,2020yCat.1350....0G,8.51,8.69,8.22,7.82,7.54,7.13,6.854,6.832,HighPM*,F8,10 51 28.1256,+20 16 38.965,-260.331,-456.387,20.2078,65.06,1
True,,HD 106373,,,HD 106373,12 14 13.2931,-28 15 06.555,14,14,0.0154,0.0114,90,A,O,2020yCat.1350....0G,,9.33,8.9,,,7.782,7.536,7.444,HorBranch*,F5:Ia:kA3mA3,12 14 13.2931,-28 15 06.555,-105.614,21.912,1.3629,84.12,1
True,,HD 106373,,,HD 106373,12 14 13.2931,-28 15 06.555,14,14,0.0154,0.0114,90,A,O,2020yCat.1350....0G,,9.33,8.9,,,7.782,7.536,7.444,HorBranch*,F5:Ia:kA3mA3,12 14 13.2931,-28 15 06.555,-105.614,21.912,1.3629,84.12,1
True,,HD 108317,,,HD 108317,12 26 36.8319,+05 18 09.023,14,14,0.0258,0.0185,90,A,O,2020yCat.1350....0G,,,,7.7,,6.623,6.233,6.153,ChemPec*,G2IVm-5,12 26 36.8319,+05 18 09.023,-165.961,-22.704,5.15,7.26,1
True,,HD 108317,,,HD 108317,12 26 36.8319,+05 18 09.023,14,14,0.0258,0.0185,90,A,O,2020yCat.1350....0G,,,,7.7,,6.623,6.233,6.153,ChemPec*,G2IVm-5,12 26 36.8319,+05 18 09.023,-165.961,-22.704,5.15,7.26,1
True,,HD 119516,,,HD 119516,13 43 26.7251,+15 34 31.069,14,14,0.0115,0.0091,90,A,O,2020yCat.1350....0G,,9.59,9.12,,,7.771,7.431,7.366,HorBranch*,G5,13 43 26.7251,+15 34 31.069,-49.997,-14.872,1.8653,-284.74,1
True,,HD 122196,,,HD 122196,14 01 02.1249,-38 03 03.313,14,14,0.0299,0.028,90,A,O,2020yCat.1350....0G,,9.19,8.75,,,7.629,7.361,7.275,HighPM*,F0(V)w,14 01 02.1249,-38 03 03.313,-455.163,-80.353,9.6354,-29.0,1
True,,HD 122563,,,HD 122563,14 02 31.8455,+09 41 09.944,14,14,0.0249,0.0229,90,A,O,2020yCat.1350....0G,7.47,7.1,6.19,5.37,4.79,4.33,3.76,3.731,ChemPec*,G8:III:Fe-5,14 02 31.8455,+09 41 09.944,-189.539,-70.415,3.0991,-26.13,1
True,,HD 122563,,,HD 122563,14 02 31.8455,+09 41 09.944,14,14,0.0249,0.0229,90,A,O,2020yCat.1350....0G,7.47,7.1,6.19,5.37,4.79,4.33,3.76,3.731,ChemPec*,G8:III:Fe-5,14 02 31.8455,+09 41 09.944,-189.539,-70.415,3.0991,-26.13,1
True,,HD 122563,,,HD 122563,14 02 31.8455,+09 41 09.944,14,14,0.0249,0.0229,90,A,O,2020yCat.1350....0G,7.47,7.1,6.19,5.37,4.79,4.33,3.76,3.731,ChemPec*,G8:III:Fe-5,14 02 31.8455,+09 41 09.944,-189.539,-70.415,3.0991,-26.13,1
True,,HD 126238,,,HD 126238,14 25 29.9571,-43 38 36.948,14,14,0.0229,0.024,90,A,O,2020yCat.1350....0G,,8.44,7.7,7.44,,5.975,5.458,5.338,ChemPec*,G3/8wF0/2,14 25 29.9571,-43 38 36.948,26.385,-106.302,3.6027,251.81,1
True,,HD 126587,,,HD 126587,14 27 00.3636,-22 14 38.992,14,14,0.0197,0.0155,90,A,O,2020yCat.1350....0G,,9.88,9.6,8.75,,7.258,6.777,6.668,ChemPec*,CEMP-no,14 27 00.3636,-22 14 38.992,-14.966,-53.351,1.5676,149.89,1
True,,HD 126587,,,HD 126587,14 27 00.3636,-22 14 38.992,14,14,0.0197,0.0155,90,A,O,2020yCat.1350....0G,,9.88,9.6,8.75,,7.258,6.777,6.668,ChemPec*,CEMP-no,14 27 00.3636,-22 14 38.992,-14.966,-53.351,1.5676,149.89,1
True,,HD 126587,,,HD 126587,14 27 00.3636,-22 14 38.992,14,14,0.0197,0.0155,90,A,O,2020yCat.1350....0G,,9.88,9.6,8.75,,7.258,6.777,6.668,ChemPec*,CEMP-no,14 27 00.3636,-22 14 38.992,-14.966,-53.351,1.5676,149.89,1
True,,HD 128279,,,HD 128279,14 36 48.5108,-29 06 46.612,14,14,0.0257,0.0239,90,A,O,2020yCat.1350....0G,8.64,8.63,8.0,,,6.568,6.151,6.065,ChemPec*,Gw,14 36 48.5108,-29 06 46.612,64.219,-340.907,7.6334,-75.803,1
True,,HD 128279,,,HD 128279,14 36 48.5108,-29 06 46.612,14,14,0.0257,0.0239,90,A,O,2020yCat.1350....0G,8.64,8.63,8.0,,,6.568,6.151,6.065,ChemPec*,Gw,14 36 48.5108,-29 06 46.612,64.219,-340.907,7.6334,-75.803,1
True,,HD 128279,,,HD 128279,14 36 48.5108,-29 06 46.612,14,14,0.0257,0.0239,90,A,O,2020yCat.1350....0G,8.64,8.63,8.0,,,6.568,6.151,6.065,ChemPec*,Gw,14 36 48.5108,-29 06 46.612,64.219,-340.907,7.6334,-75.803,1
True,,HD 128279,,,HD 128279,14 36 48.5108,-29 06 46.612,14,14,0.0257,0.0239,90,A,O,2020yCat.1350....0G,8.64,8.63,8.0,,,6.568,6.151,6.065,ChemPec*,Gw,14 36 48.5108,-29 06 46.612,64.219,-340.907,7.6334,-75.803,1
True,,HD 132475,,,HD 132475,14 59 49.7651,-22 00 45.815,14,14,0.0221,0.0219,90,A,O,2020yCat.1350....0G,8.98,9.11,8.55,,,7.327,6.996,6.912,HighPM*,F5/6V,14 59 49.7651,-22 00 45.815,-558.393,-500.762,10.6709,176.24,1
True,,HD 132475,,,HD 132475,14 59 49.7651,-22 00 45.815,14,14,0.0221,0.0219,90,A,O,2020yCat.1350....0G,8.98,9.11,8.55,,,7.327,6.996,6.912,HighPM*,F5/6V,14 59 49.7651,-22 00 45.815,-558.393,-500.762,10.6709,176.24,1
True,,HD 175305,,,HD 175305,18 47 06.4416,+74 43 31.451,14,14,0.0125,0.0139,90,A,O,2020yCat.1350....0G,8.07,7.93,7.18,6.52,6.03,5.613,5.167,5.057,RGB*,G5III,18 47 06.4416,+74 43 31.451,320.046,79.552,6.3919,-184.256,1
True,,HD 175606,,,HD 175606,18 58 51.3362,-51 27 56.498,14,14,0.0252,0.0247,90,A,O,2020yCat.1350....0G,,10.15,9.8,,,8.709,8.43,8.386,ChemPec*,F/Gw,18 58 51.3362,-51 27 56.498,21.426,-163.145,5.7281,162.76,1
True,,HD 178443,,,HD 178443,19 10 36.8478,-43 16 36.165,14,14,0.0137,0.0136,90,A,O,2020yCat.1350....0G,10.82,10.73,10.05,,,8.414,8.013,7.911,HorBranch*,F8,19 10 36.8478,-43 16 36.165,-12.976,-50.013,1.0341,342.94,1
True,,HD 178443,,,HD 178443,19 10 36.8478,-43 16 36.165,14,14,0.0137,0.0136,90,A,O,2020yCat.1350....0G,10.82,10.73,10.05,,,8.414,8.013,7.911,HorBranch*,F8,19 10 36.8478,-43 16 36.165,-12.976,-50.013,1.0341,342.94,1
True,,HD 184266,,,HD 184266,19 34 15.3865,-16 19 00.228,14,14,0.0193,0.0172,90,A,O,2020yCat.1350....0G,8.27,8.12,7.57,,,6.252,5.913,5.83,HorBranch*,F2V,19 34 15.3865,-16 19 00.228,130.058,-198.548,4.4625,-347.98,1
True,,HD 186478,,,HD 186478,19 45 14.1409,-17 29 27.071,14,14,0.0154,0.0139,90,A,O,2020yCat.1350....0G,,10.116,9.302,8.527,7.961,7.117,6.602,6.443,SB*,K2III,19 45 14.1409,-17 29 27.071,-22.127,-85.068,1.0967,32.4603,1
True,,HD 188510,,,HD 188510,19 55 09.6782,+10 44 27.398,14,14,0.0151,0.0111,90,A,O,2020yCat.1350....0G,9.3,9.41,,8.5,,7.57,7.221,7.125,HighPM*,G5V:,19 55 09.6782,+10 44 27.398,-38.395,290.612,26.2783,-192.5,1
True,,HD 193901,,,HD 193901,20 23 35.8471,-21 22 14.226,14,14,0.0187,0.0128,90,A,O,2020yCat.1350....0G,9.08,9.22,8.67,8.17,7.87,7.5,7.219,7.144,HighPM*,F7V,20 23 35.8471,-21 22 14.226,540.323,-1056.853,20.854,-171.494,1
True,,HD 196892,,,HD 196892,20 40 49.3802,-18 47 33.282,14,14,0.0387,0.0235,90,A,O,2020yCat.1350....0G,,8.73,8.23,,,7.182,6.907,6.824,HighPM*,F6V,20 40 49.3802,-18 47 33.282,45.217,-429.945,15.8218,-34.565,1
True,,HD 196944,,,HD 196944,20 40 46.0815,-06 47 50.604,14,14,0.0606,0.0365,90,A,O,2020yCat.1350....0G,,9.01,8.4,8.08,,7.017,6.626,6.53,SB*,CEMP-rs,20 40 46.0815,-06 47 50.604,38.602,-30.271,1.9082,-174.0604,1
True,,HD 200654,,,HD 200654,21 06 34.7513,-49 57 50.280,14,14,0.0111,0.009,90,A,O,2020yCat.1350....0G,,9.74,9.1,,,7.648,7.252,7.154,ChemPec*,CEMP,21 06 34.7513,-49 57 50.280,193.953,-274.04,3.6212,-44.78,1
True,,HD 200654,,,HD 200654,21 06 34.7513,-49 57 50.280,14,14,0.0111,0.009,90,A,O,2020yCat.1350....0G,,9.74,9.1,,,7.648,7.252,7.154,ChemPec*,CEMP,21 06 34.7513,-49 57 50.280,193.953,-274.04,3.6212,-44.78,1
True,,HD 201891,,,HD 201891,21 11 59.0321,+17 43 39.890,14,14,0.0168,0.0127,90,A,O,2020yCat.1350....0G,7.74,7.88,7.37,6.91,6.59,6.254,5.993,5.935,ChemPec*,G5V_Fe-2.5,21 11 59.0321,+17 43 39.890,-122.133,-899.404,29.8775,-44.47,1
True,,HD 214362,,,HD 214362,22 37 58.6722,-22 38 40.152,14,14,0.0137,0.0115,90,A,O,2020yCat.1350....0G,,9.56,8.8,,,7.924,7.616,7.535,HorBranch*,Gwl,22 37 58.6722,-22 38 40.152,174.208,-54.964,2.0045,-91.55,1
True,,HD 214362,,,HD 214362,22 37 58.6722,-22 38 40.152,14,14,0.0137,0.0115,90,A,O,2020yCat.1350....0G,,9.56,8.8,,,7.924,7.616,7.535,HorBranch*,Gwl,22 37 58.6722,-22 38 40.152,174.208,-54.964,2.0045,-91.55,1
True,,HD 214362,,,HD 214362,22 37 58.6722,-22 38 40.152,14,14,0.0137,0.0115,90,A,O,2020yCat.1350....0G,,9.56,8.8,,,7.924,7.616,7.535,HorBranch*,Gwl,22 37 58.6722,-22 38 40.152,174.208,-54.964,2.0045,-91.55,1
True,,HD 219617,,,HD 219617,23 17 05.0437,-13 51 03.597,9,9,22.67,19.31,90,A,O,2007A&A...474..653V,8.41,8.6,8.14,7.7,7.37,7.082,6.86,6.771,**,F8,23 17 05.0437,-13 51 03.597,-500.84,-1192.37,15.08,13.09,1
True,,HD 220127,,,HD 220127,23 21 43.5876,-49 29 15.113,14,14,0.0078,0.0085,90,A,O,2020yCat.1350....0G,,10.81,10.41,,,8.691,8.276,8.191,ChemPec*,G3/5,23 21 43.5876,-49 29 15.113,210.17,-289.131,2.6811,76.46,1
True,,HD 237846,,,HD 237846,09 52 38.6827,+57 54 58.614,14,14,0.01,0.0088,90,A,O,2020yCat.1350....0G,,10.6,9.95,,,8.355,7.931,7.816,ChemPec*,CEMP-no,09 52 38.6827,+57 54 58.614,0.752,-8.098,1.1806,-303.1,1
True,,HD 237846,,,HD 237846,09 52 38.6827,+57 54 58.614,14,14,0.01,0.0088,90,A,O,2020yCat.1350....0G,,10.6,9.95,,,8.355,7.931,7.816,ChemPec*,CEMP-no,09 52 38.6827,+57 54 58.614,0.752,-8.098,1.1806,-303.1,1
True,,HE 0454-4758,,,HE 0454-4758,04 55 26.7156,-47 53 41.752,14,14,0.0094,0.0098,90,A,O,2020yCat.1350....0G,,,13.481,,12.704,12.123,11.763,11.671,RGB*,,04 55 26.7156,-47 53 41.752,22.107,28.71,0.589,240.2,1
True,,HE 0938+0114,,,Ross  889,09 40 43.2053,+01 00 29.511,14,14,0.0168,0.013,90,A,O,2020yCat.1350....0G,,,,10.39,,9.553,9.314,9.264,ChemPec*,sdA4,09 40 43.2053,+01 00 29.511,147.98,-505.493,5.5547,-56.68,1
True,,HE 0938+0114,,,Ross  889,09 40 43.2053,+01 00 29.511,14,14,0.0168,0.013,90,A,O,2020yCat.1350....0G,,,,10.39,,9.553,9.314,9.264,ChemPec*,sdA4,09 40 43.2053,+01 00 29.511,147.98,-505.493,5.5547,-56.68,1
True,,HE 0938+0114,,,Ross  889,09 40 43.2053,+01 00 29.511,14,14,0.0168,0.013,90,A,O,2020yCat.1350....0G,,,,10.39,,9.553,9.314,9.264,ChemPec*,sdA4,09 40 43.2053,+01 00 29.511,147.98,-505.493,5.5547,-56.68,1
True,,HE 1012-1540,,,HE 1012-1540,10 14 53.4753,-15 55 53.172,14,14,0.0157,0.0145,90,A,O,2020yCat.1350....0G,,,14.04,,,12.703,12.357,12.323,ChemPec*,CEMP-no,10 14 53.4753,-15 55 53.172,-102.194,28.166,2.5456,219.88,1
True,,HE 1012-1540,,,HE 1012-1540,10 14 53.4753,-15 55 53.172,14,14,0.0157,0.0145,90,A,O,2020yCat.1350....0G,,,14.04,,,12.703,12.357,12.323,ChemPec*,CEMP-no,10 14 53.4753,-15 55 53.172,-102.194,28.166,2.5456,219.88,1
True,,HE 1124-2335,,,HE 1124-2335,11 27 26.9490,-23 52 05.593,14,14,0.0176,0.0142,90,A,O,2020yCat.1350....0G,,,14.634,,13.721,13.127,12.728,12.548,RGB*,CEMP-no,11 27 26.9490,-23 52 05.593,-8.461,-3.222,0.2141,181.5,1
True,,HE 1320-1339,,,BD-13  3695,13 22 44.1122,-13 55 31.431,14,14,0.0169,0.0109,90,A,O,2020yCat.1350....0G,,11.428,10.686,9.794,9.434,8.979,8.441,8.373,RGB*,,13 22 44.1122,-13 55 31.431,-22.911,2.709,0.5636,173.93,1
True,,HE 1320-1339,,,BD-13  3695,13 22 44.1122,-13 55 31.431,14,14,0.0169,0.0109,90,A,O,2020yCat.1350....0G,,11.428,10.686,9.794,9.434,8.979,8.441,8.373,RGB*,,13 22 44.1122,-13 55 31.431,-22.911,2.709,0.5636,173.93,1
True,,HE 1320-1339,,,BD-13  3695,13 22 44.1122,-13 55 31.431,14,14,0.0169,0.0109,90,A,O,2020yCat.1350....0G,,11.428,10.686,9.794,9.434,8.979,8.441,8.373,RGB*,,13 22 44.1122,-13 55 31.431,-22.911,2.709,0.5636,173.93,1
True,,HE 1320-1339,,,BD-13  3695,13 22 44.1122,-13 55 31.431,14,14,0.0169,0.0109,90,A,O,2020yCat.1350....0G,,11.428,10.686,9.794,9.434,8.979,8.441,8.373,RGB*,,13 22 44.1122,-13 55 31.431,-22.911,2.709,0.5636,173.93,1
True,,HE 2047-5612,,,HE 2047-5612,20 51 22.1323,-56 00 52.956,14,14,0.0166,0.0155,90,A,O,2020yCat.1350....0G,,15.5,,,,,,,ChemPec*,,20 51 22.1323,-56 00 52.956,15.263,-33.745,0.3858,-50.0,1
True,,HE 2047-5612,,,HE 2047-5612,20 51 22.1323,-56 00 52.956,14,14,0.0166,0.0155,90,A,O,2020yCat.1350....0G,,15.5,,,,,,,ChemPec*,,20 51 22.1323,-56 00 52.956,15.263,-33.745,0.3858,-50.0,1
True,,HIP 99423,,,HD 345957,20 10 48.1625,+23 57 54.510,14,14,0.0097,0.0104,90,A,O,2020yCat.1350....0G,,9.36,,8.6,,7.711,7.444,7.364,HighPM*,G0V:,20 10 48.1625,+23 57 54.510,-170.627,63.186,9.0909,-115.177,1
