Name,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
HD 214362,McDonald-Smith/Tull,IUR,3000,2008,Nov,02,03,18,2454772.640,-93.6
HD 219617,McDonald-Smith/Tull,IUR,1800,2008,Aug,14,08,25,2454692.856,+12.6
HD 220127,Magellan-Clay/MIKE,GWP,180,2008,Sep,11,03,35,2454720.653,+77.2
HD 237846,McDonald-Smith/Tull,IUR,6000,2009,Jun,11,03,30,2454993.643,-303.8
HD 237846,McDonald-Smith/Tull,IUR,2100,2009,Jun,14,02,58,2454996.620,-303.5
HE 0454-4758,Magellan-Clay/MIKE,GWP,3000,2008,Sep,11,09,35,2454720.900,+240.2
HE 0938+0114,McDonald-Smith/Tull,IUR,7200,2009,Mar,07,02,49,2454897.623,-56.7
HE 0938+0114,McDonald-Smith/Tull,IUR,780,2009,Mar,11,06,04,2454901.758,-57.4
HE 0938+0114,McDonald-Smith/Tull,IUR,5400,2009,May,08,03,01,2454959.627,-57.6
HE 1012-1540,Magellan-Clay/MIKE,IUR,1800,2013,Apr,21,23,40,2456404.489,+225.4
HE 1012-1540,Magellan-Clay/MIKE,IUR,5400,2013,Apr,23,01,45,2456405.576,+225.8
HE 1124-2335,Magellan-Clay/MIKE,IUR,4800,2013,Apr,21,00,24,2456403.521,+181.5
HE 1320-1339,McDonald-Smith/Tull,IUR,900,2009,Feb,18,10,56,2454880.959,+172.9
HE 1320-1339,Magellan-Clay/MIKE,IBT,5400,2009,Feb,19,09,06,2454881.883,+172.9
HE 1320-1339,McDonald-Smith/Tull,IUR,9000,2009,Feb,19,11,19,2454881.975,+172.6
HE 1320-1339,McDonald-Smith/Tull,IUR,6400,2009,May,08,05,17,2454959.725,+170.9
HE 2047-5612,Magellan-Clay/MIKE,IUR,7200,2012,Aug,26,01,24,2456165.562,-26.1
HE 2047-5612,Magellan-Clay/MIKE,IUR,3600,2012,Aug,26,23,35,2456166.486,-25.5
HIP 99423,McDonald-Smith/Tull,IUR,2400,2008,Sep,06,05,11,2454715.720,-115.7
