Name,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
BPS CS 22889-050,Magellan-Baade/MIKE,SAS,3600,2003,Jun,26,01,22,2452816.559,+217.1
BPS CS 22890-011,Magellan-Baade/MIKE,SAS,3600,2003,Jun,26,02,28,2452816.606,-128.7
BPS CS 22890-011,Magellan-Clay/MIKE,IBT,1300,2009,May,16,05,23,2454967.730,-128.6
BPS CS 22890-024,Magellan-Baade/MIKE,GWP,1600,2003,Jun,13,00,40,2452803.532,+228.6
BPS CS 22890-024,Magellan-Clay/MIKE,GWP,3600,2006,Aug,02,23,43,2453950.489,+228.9
BPS CS 22890-064,Magellan-Clay/MIKE,SAS,4000,2003,Jul,21,00,55,2452841.540,-88.5
BPS CS 22891-184,Magellan-Clay/MIKE,SAS,9000,2010,Jul,25,02,12,2455402.596,+26.5
BPS CS 22891-200,Magellan-Clay/MIKE,GWP,4100,2006,Aug,06,01,05,2453953.549,+137.2
BPS CS 22891-209,Magellan-Clay/MIKE,GWP,600,2006,Aug,03,01,29,2453950.566,+80.7
BPS CS 22891-221,Magellan-Clay/MIKE,GWP,8000,2004,Jun,29,02,32,2453185.610,+35.8
BPS CS 22892-025,Magellan-Clay/MIKE,GWP,1800,2005,Aug,25,04,31,2453607.694,+170.0
BPS CS 22892-052,Magellan-Baade/MIKE,SAS,2400,2003,Jun,26,10,12,2452816.928,+12.9
BPS CS 22892-052,Magellan-Clay/MIKE,GWP,2400,2004,Jun,29,09,11,2453185.886,+13.0
BPS CS 22893-005,Magellan-Clay/MIKE,SAS,3600,2010,Jul,26,06,19,2455403.768,-68.9
BPS CS 22893-010,Magellan-Clay/MIKE,IUR,3600,2012,Aug,27,02,48,2456166.622,-51.6
BPS CS 22893-011,Magellan-Clay/MIKE,GWP,3500,2008,Sep,11,01,54,2454720.585,-115.6
BPS CS 22894-004,Magellan-Clay/MIKE,GWP,3200,2008,Sep,10,05,28,2454719.734,-4.5
BPS CS 22894-019,Magellan-Clay/MIKE,GWP,3400,2004,Aug,12,07,47,2453229.829,+30.9
BPS CS 22894-023,Magellan-Clay/MIKE,GWP,2800,2004,Aug,12,06,49,2453229.789,-328.1
BPS CS 22894-049,Magellan-Clay/MIKE,IBT,3600,2010,Sep,20,02,59,2455459.630,-5.6
BPS CS 22896-015,Magellan-Clay/MIKE,IUR,3900,2012,Aug,25,23,44,2456165.492,+53.1
BPS CS 22896-055,Magellan-Baade/MIKE,GWP,3800,2003,Jun,14,03,15,2452804.640,-72.9
BPS CS 22896-055,Magellan-Clay/MIKE,IBT,1500,2009,May,16,09,01,2454967.879,-74.0
BPS CS 22896-110,Magellan-Clay/MIKE,GWP,3600,2007,Aug,24,00,03,2454336.506,+84.1
BPS CS 22896-110,Magellan-Clay/MIKE,IBT,2700,2009,Jul,26,03,31,2455038.651,+84.5
BPS CS 22896-115,Magellan-Clay/MIKE,IBT,6000,2004,Jul,15,04,51,2453201.707,+7.1
BPS CS 22896-115,Magellan-Clay/MIKE,GWP,3000,2004,Aug,12,01,06,2453229.550,+7.0
BPS CS 22896-136,Magellan-Clay/MIKE,GWP,4000,2004,Aug,13,01,40,2453230.574,-17.2
BPS CS 22896-136,Magellan-Clay/MIKE,GWP,2900,2005,Aug,21,02,32,2453603.609,-17.6
BPS CS 22896-136,Magellan-Clay/MIKE,IBT,1200,2006,Jun,07,06,58,2453893.795,-17.2
BPS CS 22896-136,Magellan-Clay/MIKE,IBT,2000,2006,Jul,19,05,42,2453935.742,-16.4
BPS CS 22896-136,Magellan-Clay/MIKE,IBT,1200,2007,Aug,01,03,42,2454313.659,-16.9
BPS CS 22896-136,Magellan-Clay/MIKE,IBT,1800,2007,Aug,02,05,19,2454314.726,-19.8
BPS CS 22897-008,Magellan-Clay/MIKE,GWP,2900,2007,Aug,22,00,59,2454334.544,+266.5
BPS CS 22898-043,Magellan-Baade/MIKE,GWP,4000,2003,Jun,12,06,19,2452802.767,+112.7
BPS CS 22898-043,Magellan-Clay/MIKE,GWP,3600,2003,Oct,12,03,14,2452924.637,+111.8
BPS CS 22898-043,Magellan-Clay/MIKE,IBT,5400,2010,Sep,19,02,07,2455458.592,+115.2
BPS CS 22898-047,Magellan-Clay/MIKE,GWP,3600,2004,Jun,30,04,18,2453186.684,-37.8
BPS CS 22898-047,Magellan-Clay/MIKE,GWP,9300,2007,Aug,21,02,17,2454333.601,-40.3
BPS CS 22937-072,Magellan-Baade/MIKE,SAS,3600,2003,May,23,09,24,2452782.894,-143.7
BPS CS 22937-072,Magellan-Baade/MIKE,SAS,3600,2003,May,24,09,48,2452783.911,-143.9
BPS CS 22940-070,Magellan-Baade/MIKE,SAS,9000,2003,May,24,07,52,2452783.830,+78.5
BPS CS 22940-077,Magellan-Baade/MIKE,IBT,1000,2003,Apr,09,08,14,2452738.843,
BPS CS 22940-121,Magellan-Baade/MIKE,GWP,4000,2003,Jun,14,04,50,2452804.705,-13.1
BPS CS 22940-121,Magellan-Clay/MIKE,GWP,4800,2003,Oct,12,00,34,2452924.524,-13.2
BPS CS 22941-017,Magellan-Clay/MIKE,IUR,6400,2012,Aug,27,04,21,2456166.686,+106.9
BPS CS 22941-027,Magellan-Baade/MIKE,GWP,4600,2003,Jun,14,07,35,2452804.817,-93.4
BPS CS 22941-027,Magellan-Clay/MIKE,GWP,4700,2003,Oct,12,05,27,2452924.731,-93.7
