Name,Simbad_Identifier,RA_hms,DEC_dms,Tel,Obs,Exp,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.s,HJD,RVel
CS 22886-003,BPS CS 29512-0030,22:13:52.1801,-10:47:00.991,Magellan-Clay/MIKE,GWP,3600,2007,Aug,21,04,40,2454333.700,-91.7
CS 22886-003,BPS CS 29512-0030,22:13:52.1801,-10:47:00.991,Magellan-Clay/MIKE,GWP,1200,2009,Sep,05,03,42,2455079.660,-92.0
CS 22886-012,BPS CS 22886-0012,22:13:25.8824,-08:43:43.376,Magellan-Clay/MIKE,GWP,3600,2008,Sep,12,02,59,2454721.630,-56.8
CS 22886-012,BPS CS 22886-0012,22:13:25.8824,-08:43:43.376,Magellan-Clay/MIKE,GWP,1800,2009,Sep,05,03,08,2455079.636,-57.0
CS 22886-013,V* FV Aqr,22:12:03.0156,-08:45:45.923,Magellan-Clay/MIKE,GWP,2000,2005,Aug,25,05,12,2453607.722,-40.7
CS 22886-044,BPS CS 22886-0044,22:20:11.4034,-09:41:39.470,Magellan-Clay/MIKE,GWP,3200,2008,Sep,10,02,05,2454719.592,-130.2
CS 22886-044,BPS CS 22886-0044,22:20:11.4034,-09:41:39.470,Magellan-Clay/MIKE,IBT,2100,2009,Oct,26,02,12,2455130.595,-130.0
CS 22888-002,BPS CS 22888-0002,23:04:37.2331,-36:39:57.874,Magellan-Clay/MIKE,IBT,3800,2006,Jul,22,08,01,2453938.838,+35.4
CS 22888-014,BPS CS 30493-0023,23:04:15.5287,-33:29:44.879,Magellan-Clay/MIKE,IBT,3600,2007,Aug,05,06,05,2454317.758,-128.6
CS 22888-014,BPS CS 30493-0023,23:04:15.5287,-33:29:44.879,Magellan-Clay/MIKE,IBT,3300,2009,Oct,28,00,12,2455132.511,-128.6
CS 22888-031,BPS CS 22888-0031,23:11:32.4788,-35:26:42.872,Magellan-Clay/MIKE,IBT,3600,2004,Jul,15,09,01,2453201.880,-124.8
CS 22888-031,BPS CS 22888-0031,23:11:32.4788,-35:26:42.872,Magellan-Clay/MIKE,IBT,4000,2004,Jul,24,09,06,2453210.884,-124.9
CS 22888-047,BPS CS 22888-0047,23:20:19.8570,-33:45:46.924,Magellan-Baade/MIKE,GWP,4400,2003,Jun,14,09,00,2452804.876,-158.5
CS 22888-047,BPS CS 22888-0047,23:20:19.8570,-33:45:46.924,Magellan-Clay/MIKE,GWP,6000,2003,Oct,13,05,15,2452925.723,-158.1
CS 22889-050,BPS CS 22889-0050,13:45:30.1071,-09:47:11.091,Magellan-Baade/MIKE,SAS,3600,2003,Jun,26,01,22,2452816.559,+217.1
CS 22890-011,BPS CS 22890-0011,15:13:21.0774,+02:14:59.591,Magellan-Baade/MIKE,SAS,3600,2003,Jun,26,02,28,2452816.606,-128.7
CS 22890-011,BPS CS 22890-0011,15:13:21.0774,+02:14:59.591,Magellan-Clay/MIKE,IBT,1300,2009,May,16,05,23,2454967.730,-128.6
CS 22890-024,BPS CS 22890-0024,15:16:05.4008,-00:03:57.930,Magellan-Baade/MIKE,GWP,1600,2003,Jun,13,00,40,2452803.532,+228.6
CS 22890-024,BPS CS 22890-0024,15:16:05.4008,-00:03:57.930,Magellan-Clay/MIKE,GWP,3600,2006,Aug,02,23,43,2453950.489,+228.9
CS 22890-064,BPS CS 30306-0117,15:17:34.0398,+02:45:27.862,Magellan-Clay/MIKE,SAS,4000,2003,Jul,21,00,55,2452841.540,-88.5
CS 22891-184,BPS CS 22891-0184,19:26:12.3252,-60:34:06.291,Magellan-Clay/MIKE,SAS,9000,2010,Jul,25,02,12,2455402.596,+26.5
CS 22891-200,BPS CS 22891-0200,19:35:19.0776,-61:42:24.374,Magellan-Clay/MIKE,GWP,4100,2006,Aug,06,01,05,2453953.549,+137.2
CS 22891-209,BPS CS 22891-0209,19:42:02.1802,-61:03:44.534,Magellan-Clay/MIKE,GWP,600,2006,Aug,03,01,29,2453950.566,+80.7
CS 22891-221,BPS CS 22891-0221,19:35:10.4585,-59:41:58.236,Magellan-Clay/MIKE,GWP,8000,2004,Jun,29,02,32,2453185.610,+35.8
CS 22892-025,BPS CS 22892-0025,22:07:43.0460,-15:15:00.768,Magellan-Clay/MIKE,GWP,1800,2005,Aug,25,04,31,2453607.694,+170.0
CS 22892-052,BPS CS 22892-0052,22:17:01.6558,-16:39:27.051,Magellan-Baade/MIKE,SAS,2400,2003,Jun,26,10,12,2452816.928,+12.9
CS 22892-052,BPS CS 22892-0052,22:17:01.6558,-16:39:27.051,Magellan-Clay/MIKE,GWP,2400,2004,Jun,29,09,11,2453185.886,+13.0
CS 22893-005,BPS CS 22893-0005,22:53:50.7332,-09:59:15.382,Magellan-Clay/MIKE,SAS,3600,2010,Jul,26,06,19,2455403.768,-68.9
CS 22893-010,BPS CS 22893-0010,22:58:11.7253,-11:56:45.431,Magellan-Clay/MIKE,IUR,3600,2012,Aug,27,02,48,2456166.622,-51.6
CS 22893-011,BPS CS 22893-0011,23:00:52.3021,-10:35:26.203,Magellan-Clay/MIKE,GWP,3500,2008,Sep,11,01,54,2454720.585,-115.6
CS 22894-004,BPS CS 22894-0004,23:32:39.5577,-00:56:12.553,Magellan-Clay/MIKE,GWP,3200,2008,Sep,10,05,28,2454719.734,-4.5
