Name,Species,l_logepsX,logepsX,e_logepsX,N,l_[X/Fe],[X/Fe],s_[X/Fe],e_[X/Fe]
CC07452,Al I,<,5.22,0.17,1,<,0.06,0.1,0.2
CC07452,Si I,,,,,,,,
CC07452,Ca I,,4.82,0.04,19,,-0.32,0.04,0.06
CC07452,Sc II,,0.96,0.17,1,,-0.9,0.13,0.21
CC07452,Ti I,,3.34,0.12,5,,-0.32,0.09,0.15
CC07452,Ti II,,3.51,0.12,4,,-0.15,0.11,0.16
CC07452,V I,,1.94,0.19,5,,-0.69,0.11,0.22
CC07452,Cr I,,4.22,0.04,4,,-0.13,0.08,0.09
CC07452,Mn I,,3.81,0.06,5,,-0.33,0.05,0.08
CC07452,Fe II,,6.44,0.04,12,,0.24,0.17,0.17
CC07452,Co I,,,,,,,,
CC07452,Ni I,,4.5,0.06,7,,-0.43,0.06,0.08
CC07452,Cu I,,,,,,,,
CC07452,Ba II,,0.15,0.08,3,,-0.74,0.08,0.11
CC07452,La II,,,,,,,,
CC07452,Nd II,,,,,,,,
CC07452,Eu II,,,,,,,,
CC07889,Fe I,,5.21,0.04,27,,-2.29,0.12,0.13
CC07889,O I,<,7.63,0.22,1,<,1.23,0.08,0.23
CC07889,Na I,<,4.72,0.22,1,<,0.77,0.08,0.23
CC07889,Mg I,,6.13,0.22,1,,0.82,0.06,0.23
CC07889,Al I,<,5.88,0.22,1,<,1.72,0.08,0.23
CC07889,Si I,,,,,,,,
CC07889,Ca I,,4.3,0.08,8,,0.16,0.05,0.09
CC07889,Sc II,,0.98,0.22,1,,0.12,0.1,0.24
CC07889,Ti I,,,,,,,,
CC07889,Ti II,,2.99,0.22,1,,0.33,0.1,0.24
CC07889,V I,,,,,,,,
CC07889,Cr I,,2.92,0.16,2,,-0.42,0.03,0.16
CC07889,Mn I,,,,,,,,
CC07889,Fe II,,5.86,0.32,2,,0.65,0.14,0.35
CC07889,Co I,,,,,,,,
CC07889,Ni I,,4.36,0.22,1,,0.43,0.05,0.23
CC07889,Cu I,,,,,,,,
CC07889,Ba II,,-0.9,0.1,2,,-0.79,0.07,0.12
CC07889,La II,,,,,,,,
CC07889,Nd II,,,,,,,,
CC07889,Eu II,,,,,,,,
CC08447,Fe I,,6.02,0.02,72,,-1.48,0.13,0.13
CC08447,O I,,,,,,,,
CC08447,Na I,,4.55,0.18,1,,-0.21,0.08,0.2
CC08447,Mg I,,6.4,0.23,2,,0.28,0.04,0.23
CC08447,Al I,,,,,,,,
CC08447,Si I,,6.13,0.18,1,,0.1,0.13,0.22
CC08447,Ca I,,5.03,0.03,18,,0.08,0.02,0.04
CC08447,Sc II,,1.68,0.09,6,,0.01,0.13,0.16
CC08447,Ti I,,3.59,0.04,4,,0.13,0.09,0.1
CC08447,Ti II,,4.01,0.06,3,,0.55,0.12,0.13
CC08447,V I,,2.47,0.12,7,,0.02,0.11,0.16
CC08447,Cr I,,4.09,0.06,4,,-0.07,0.08,0.1
CC08447,Mn I,,3.65,0.12,4,,-0.29,0.07,0.14
CC08447,Fe II,,6.33,0.06,9,,0.32,0.18,0.19
CC08447,Co I,,,,,,,,
CC08447,Ni I,,4.47,0.07,6,,-0.27,0.05,0.09
CC08447,Cu I,,2.23,0.18,1,,-0.48,0.08,0.2
CC08447,Ba II,,0.81,0.09,3,,0.11,0.11,0.14
CC08447,La II,,,,,,,,
CC08447,Nd II,,,,,,,,
CC08447,Eu II,,,,,,,,
CC08469,Fe I,,6.16,0.03,68,,-1.34,0.14,0.14
CC08469,O I,,7.65,0.22,1,,0.3,0.14,0.26
CC08469,Na I,,4.46,0.22,1,,-0.44,0.09,0.24
CC08469,Mg I,,6.24,0.06,2,,-0.02,0.03,0.07
CC08469,Al I,<,5.42,0.22,1,<,0.31,0.1,0.24
CC08469,Si I,,6.6,0.09,3,,0.42,0.13,0.16
CC08469,Ca I,,5.1,0.04,19,,0.01,0.02,0.04
CC08469,Sc II,,1.78,0.04,6,,-0.03,0.12,0.13
CC08469,Ti I,,3.74,0.03,9,,0.13,0.09,0.09
CC08469,Ti II,,3.6,0.23,2,,-0.01,0.11,0.25
CC08469,V I,,2.46,0.09,4,,-0.13,0.11,0.14
CC08469,Cr I,,4.05,0.15,4,,-0.25,0.09,0.17
CC08469,Mn I,,3.67,0.1,4,,-0.43,0.05,0.11
CC08469,Fe II,,6.38,0.06,9,,0.22,0.18,0.19
CC08469,Co I,,,,,,,,
CC08469,Ni I,,4.78,0.04,8,,-0.1,0.03,0.05
CC08469,Cu I,,2.29,0.22,1,,-0.56,0.09,0.24
CC08469,Ba II,,1.0,0.05,3,,0.15,0.1,0.11
CC08469,La II,,0.0,0.09,2,,0.24,0.11,0.14
CC08469,Nd II,,,,,,,,
CC08469,Eu II,,,,,,,,
CC08615,Fe I,,5.77,0.03,56,,-1.73,0.11,0.11
CC08615,O I,,7.51,0.22,1,,0.55,0.1,0.24
CC08615,Na I,,4.45,0.22,1,,-0.06,0.07,0.23
CC08615,Mg I,,6.39,0.23,2,,0.52,0.05,0.24
CC08615,Al I,<,5.64,0.22,1,<,0.92,0.07,0.23
CC08615,Si I,,6.34,0.22,1,,0.56,0.1,0.24
CC08615,Ca I,,4.88,0.04,18,,0.18,0.03,0.05
CC08615,Sc II,,1.47,0.22,2,,0.05,0.09,0.24
CC08615,Ti I,,3.67,0.24,2,,0.45,0.05,0.25
CC08615,Ti II,,3.27,0.23,3,,0.05,0.1,0.25
CC08615,V I,,,,,,,,
CC08615,Cr I,,3.72,0.02,3,,-0.19,0.04,0.04
CC08615,Mn I,,,,,,,,
CC08615,Fe II,,6.15,0.1,5,,0.38,0.13,0.16
CC08615,Co I,,,,,,,,
CC08615,Ni I,,4.63,0.14,6,,0.14,0.04,0.15
CC08615,Cu I,,,,,,,,
CC08615,Ba II,,0.71,0.31,3,,0.26,0.11,0.33
CC08615,La II,,0.01,0.22,1,,0.64,0.09,0.24
CC08615,Nd II,,,,,,,,
CC08615,Eu II,,,,,,,,
CC08695,Fe I,,6.21,0.02,71,,-1.29,0.14,0.14
CC08695,O I,,7.61,0.18,1,,0.21,0.15,0.23
CC08695,Na I,,4.81,0.18,1,,-0.14,0.08,0.2
CC08695,Mg I,,6.43,0.13,2,,0.12,0.04,0.14
CC08695,Al I,,,,,,,,
CC08695,Si I,,6.36,0.18,1,,0.14,0.13,0.22
CC08695,Ca I,,5.19,0.06,18,,0.05,0.02,0.06
CC08695,Sc II,,1.78,0.09,5,,-0.08,0.11,0.14
CC08695,Ti I,,3.74,0.05,8,,0.08,0.1,0.11
CC08695,Ti II,,3.99,0.19,3,,0.32,0.09,0.21
CC08695,V I,,2.46,0.11,8,,-0.19,0.11,0.16
CC08695,Cr I,,3.98,0.1,4,,-0.37,0.09,0.13
CC08695,Mn I,,3.55,0.05,6,,-0.59,0.07,0.09
CC08695,Fe II,,6.43,0.05,9,,0.21,0.17,0.18
CC08695,Co I,,3.43,0.18,1,,-0.27,0.1,0.21
CC08695,Ni I,,4.69,0.08,8,,-0.24,0.05,0.09
CC08695,Cu I,,2.12,0.18,1,,-0.78,0.1,0.21
CC08695,Ba II,,1.11,0.03,3,,0.22,0.09,0.09
CC08695,La II,,0.06,0.18,1,,0.25,0.12,0.22
CC08695,Nd II,,0.23,0.18,1,,0.1,0.09,0.2
CC08695,Eu II,,-0.22,0.18,1,,0.55,0.13,0.22
CC08788,Fe I,,6.02,0.03,52,,-1.48,0.13,0.13
CC08788,O I,,,,,,,,
CC08788,Na I,,4.63,0.22,1,,-0.13,0.09,0.24
CC08788,Mg I,,6.38,0.13,2,,0.26,0.06,0.14
CC08788,Al I,<,5.66,0.22,1,<,0.69,0.08,0.23
CC08788,Si I,,6.09,0.22,1,,0.06,0.1,0.24
CC08788,Ca I,,5.08,0.06,15,,0.14,0.03,0.07
CC08788,Sc II,,2.02,0.18,4,,0.36,0.11,0.21
CC08788,Ti I,,3.85,0.33,2,,0.38,0.06,0.34
CC08788,Ti II,,3.51,0.0,2,,0.05,0.1,0.1
CC08788,V I,,2.83,0.28,3,,0.39,0.07,0.29
CC08788,Cr I,,3.96,0.06,3,,-0.19,0.04,0.07
CC08788,Mn I,,3.95,0.1,2,,0.01,0.05,0.11
CC08788,Fe II,,6.35,0.07,7,,0.33,0.15,0.17
CC08788,Co I,,,,,,,,
CC08788,Ni I,,4.74,0.12,8,,0.01,0.04,0.13
CC08788,Cu I,,,,,,,,
CC08788,Ba II,,0.74,0.08,2,,0.04,0.1,0.13
CC08788,La II,,,,,,,,
CC08788,Nd II,,,,,,,,
CC08788,Eu II,,-0.16,0.22,1,,0.8,0.12,0.25
CC09000,Fe I,,5.68,0.02,68,,-1.82,0.13,0.13
CC09000,O I,,,,,,,,
CC09000,Na I,<,3.94,0.16,1,<,-0.48,0.08,0.18
CC09000,Mg I,,5.55,0.16,2,,-0.23,0.04,0.16
CC09000,Al I,<,5.23,0.16,1,<,0.6,0.08,0.18
CC09000,Si I,,,,,,,,
CC09000,Ca I,,4.39,0.03,16,,-0.22,0.03,0.04
CC09000,Sc II,,1.09,0.12,3,,-0.25,0.11,0.16
CC09000,Ti I,,3.05,0.03,3,,-0.08,0.08,0.09
CC09000,Ti II,,3.6,0.19,2,,0.46,0.1,0.21
CC09000,V I,,1.93,0.31,2,,-0.18,0.1,0.33
CC09000,Cr I,,3.64,0.05,4,,-0.19,0.08,0.09
CC09000,Mn I,,3.18,0.03,3,,-0.44,0.05,0.06
CC09000,Fe II,,6.1,0.05,9,,0.42,0.14,0.15
CC09000,Co I,,,,,,,,
CC09000,Ni I,,4.16,0.04,9,,-0.25,0.04,0.06
CC09000,Cu I,,,,,,,,
CC09000,Ba II,,0.64,0.02,3,,0.28,0.1,0.1
CC09000,La II,,-0.24,0.16,1,,0.48,0.1,0.19
CC09000,Nd II,,0.13,0.16,1,,0.53,0.07,0.17
CC09000,Eu II,,-0.46,0.16,1,,0.84,0.12,0.2
CC09179,Fe I,,5.72,0.03,59,,-1.78,0.15,0.15
CC09179,O I,<,7.48,0.21,1,<,0.57,0.13,0.25
CC09179,Na I,<,4.2,0.21,1,<,-0.26,0.09,0.23
CC09179,Mg I,,5.86,0.38,2,,0.03,0.05,0.38
CC09179,Al I,<,5.48,0.21,1,<,0.81,0.1,0.23
CC09179,Si I,,6.57,0.21,1,,0.84,0.11,0.24
CC09179,Ca I,,4.51,0.07,14,,-0.14,0.04,0.08
CC09179,Sc II,,1.15,0.12,2,,-0.22,0.12,0.17
CC09179,Ti I,,,,,,,,
CC09179,Ti II,,3.1,0.05,2,,-0.08,0.11,0.12
CC09179,V I,,2.44,0.21,1,,0.29,0.08,0.22
CC09179,Cr I,,3.73,0.11,3,,-0.13,0.05,0.12
CC09179,Mn I,,,,,,,,
CC09179,Fe II,,6.03,0.07,7,,0.31,0.14,0.16
CC09179,Co I,,,,,,,,
CC09179,Ni I,,4.16,0.07,3,,-0.28,0.07,0.1
CC09179,Cu I,,,,,,,,
CC09179,Ba II,,0.81,0.09,3,,0.41,0.13,0.16
CC09179,La II,,,,,,,,
CC09179,Nd II,,,,,,,,
CC09179,Eu II,,-0.31,0.21,1,,0.95,0.13,0.25
CC09225,Fe I,,5.93,0.02,69,,-1.57,0.13,0.13
CC09225,O I,,7.6,0.17,1,,0.48,0.13,0.21
CC09225,Na I,,4.33,0.17,1,,-0.34,0.09,0.19
CC09225,Mg I,,6.39,0.05,2,,0.36,0.05,0.07
CC09225,Al I,<,5.39,0.17,1,<,0.51,0.09,0.19
CC09225,Si I,,6.02,0.17,1,,0.08,0.12,0.21
CC09225,Ca I,,4.95,0.06,20,,0.08,0.03,0.07
CC09225,Sc II,,1.64,0.06,6,,0.05,0.12,0.13
CC09225,Ti I,,3.61,0.12,2,,0.23,0.08,0.14
CC09225,Ti II,,3.89,0.14,3,,0.51,0.12,0.18
CC09225,V I,,2.32,0.17,6,,-0.05,0.1,0.2
CC09225,Cr I,,3.81,0.08,4,,-0.26,0.06,0.1
CC09225,Mn I,,3.54,0.07,3,,-0.32,0.06,0.09
CC09225,Fe II,,6.09,0.03,8,,0.16,0.17,0.17
CC09225,Co I,,3.5,0.17,1,,0.08,0.08,0.19
CC09225,Ni I,,4.65,0.06,8,,0.0,0.04,0.07
CC09225,Cu I,,,,,,,,
CC09225,Ba II,,0.92,0.04,3,,0.3,0.12,0.13
CC09225,La II,,0.26,0.17,1,,0.73,0.11,0.2
CC09225,Nd II,,0.06,0.17,1,,0.21,0.1,0.2
CC09225,Eu II,,,,,,,,
CC09226,Fe I,,5.94,0.03,65,,-1.56,0.13,0.13
CC09226,O I,,7.58,0.24,1,,0.45,0.13,0.27
CC09226,Na I,,4.46,0.24,1,,-0.22,0.09,0.26
CC09226,Mg I,,6.22,0.14,2,,0.18,0.05,0.15
CC09226,Al I,<,5.51,0.24,1,<,0.62,0.09,0.26
CC09226,Si I,,6.28,0.27,2,,0.34,0.11,0.29
CC09226,Ca I,,4.97,0.05,15,,0.11,0.03,0.06
CC09226,Sc II,,1.69,0.1,4,,0.1,0.12,0.16
CC09226,Ti I,,,,,,,,
CC09226,Ti II,,3.63,0.14,3,,0.24,0.11,0.18
CC09226,V I,,2.94,0.17,2,,0.58,0.08,0.19
CC09226,Cr I,,4.01,0.12,4,,-0.06,0.04,0.13
CC09226,Mn I,,3.7,0.24,1,,-0.17,0.05,0.25
CC09226,Fe II,,6.09,0.09,6,,0.15,0.15,0.17
CC09226,Co I,,,,,,,,
CC09226,Ni I,,4.57,0.04,7,,-0.09,0.06,0.07
CC09226,Cu I,,,,,,,,
CC09226,Ba II,,1.07,0.16,3,,0.45,0.13,0.21
CC09226,La II,,0.69,0.24,1,,1.15,0.11,0.26
CC09226,Nd II,,,,,,,,
CC09226,Eu II,,,,,,,,
CC09430,Fe I,,5.37,0.03,46,,-2.13,0.15,0.15
CC09430,O I,<,7.35,0.18,1,<,0.79,0.12,0.22
CC09430,Na I,<,4.18,0.18,1,<,0.07,0.1,0.21
CC09430,Mg I,,6.23,0.21,2,,0.75,0.06,0.22
CC09430,Al I,<,5.58,0.18,1,<,1.26,0.1,0.21
CC09430,Si I,,,,,,,,
CC09430,Ca I,,4.44,0.08,13,,0.14,0.05,0.09
CC09430,Sc II,,1.41,0.04,4,,0.38,0.11,0.12
CC09430,Ti I,,,,,,,,
CC09430,Ti II,,3.19,0.19,3,,0.37,0.1,0.21
CC09430,V I,,,,,,,,
CC09430,Cr I,,3.23,0.07,3,,-0.28,0.01,0.07
CC09430,Mn I,,3.74,0.05,2,,0.44,0.07,0.09
CC09430,Fe II,,5.75,0.19,3,,0.37,0.14,0.24
CC09430,Co I,,,,,,,,
CC09430,Ni I,,4.06,0.04,4,,-0.03,0.06,0.07
CC09430,Cu I,,,,,,,,
CC09430,Ba II,,-0.08,0.05,2,,-0.13,0.11,0.12
CC09430,La II,,,,,,,,
CC09430,Nd II,,,,,,,,
CC09430,Eu II,,,,,,,,
CC09507,Fe I,,5.78,0.03,58,,-1.72,0.12,0.12
CC09507,O I,<,7.55,0.22,1,<,0.58,0.11,0.25
CC09507,Na I,<,4.25,0.22,1,<,-0.27,0.08,0.23
CC09507,Mg I,,5.76,0.03,2,,-0.12,0.06,0.07
CC09507,Al I,<,5.65,0.22,1,<,0.92,0.09,0.24
CC09507,Si I,,,,,,,,
CC09507,Ca I,,4.6,0.04,15,,-0.11,0.04,0.06
CC09507,Sc II,,1.35,0.16,5,,-0.08,0.11,0.19
CC09507,Ti I,,,,,,,,
CC09507,Ti II,,3.09,0.22,1,,-0.14,0.1,0.24
CC09507,V I,,2.72,0.22,1,,0.51,0.07,0.23
CC09507,Cr I,,4.09,0.11,3,,0.17,0.07,0.13
CC09507,Mn I,,3.95,0.22,1,,0.24,0.06,0.23
CC09507,Fe II,,5.98,0.08,4,,0.2,0.14,0.16
CC09507,Co I,,,,,,,,
CC09507,Ni I,,4.23,0.08,6,,-0.27,0.06,0.1
CC09507,Cu I,,,,,,,,
CC09507,Ba II,,0.97,0.06,2,,0.51,0.12,0.13
CC09507,La II,,0.1,0.22,1,,0.72,0.1,0.24
CC09507,Nd II,,0.01,0.22,1,,0.31,0.09,0.24
CC09507,Eu II,,,,,,,,
CC09633,Fe I,,5.0,0.04,34,,-2.5,0.14,0.15
CC09633,O I,<,7.33,0.23,1,<,1.14,0.1,0.25
CC09633,Na I,<,4.27,0.23,1,<,0.53,0.07,0.24
CC09633,Mg I,,5.25,0.23,1,,0.15,0.06,0.24
CC09633,Al I,<,5.67,0.23,1,<,1.72,0.09,0.25
CC09633,Si I,,,,,,,,
CC09633,Ca I,,4.04,0.07,10,,0.11,0.06,0.09
CC09633,Sc II,,1.1,0.13,2,,0.45,0.1,0.16
CC09633,Ti I,,,,,,,,
CC09633,Ti II,,2.55,0.12,2,,0.09,0.11,0.16
CC09633,V I,,,,,,,,
CC09633,Cr I,,2.88,0.03,3,,-0.26,0.02,0.04
CC09633,Mn I,,3.14,0.23,1,,0.21,0.07,0.24
CC09633,Fe II,,5.48,0.06,2,,0.48,0.13,0.14
CC09633,Co I,,,,,,,,
CC09633,Ni I,,3.64,0.23,1,,-0.08,0.04,0.23
CC09633,Cu I,,,,,,,,
CC09633,Ba II,,-1.32,0.23,1,,-1.0,0.08,0.24
CC09633,La II,,,,,,,,
CC09633,Nd II,,,,,,,,
CC09633,Eu II,,,,,,,,
CC09869,Fe I,,6.24,0.03,66,,-1.26,0.15,0.15
CC09869,O I,,,,,,,,
CC09869,Na I,,4.79,0.2,1,,-0.19,0.09,0.22
CC09869,Mg I,,6.53,0.0,2,,0.19,0.04,0.04
CC09869,Al I,<,5.49,0.2,1,<,0.3,0.11,0.23
CC09869,Si I,,6.38,0.06,2,,0.13,0.13,0.14
CC09869,Ca I,,5.23,0.06,18,,0.06,0.02,0.06
CC09869,Sc II,,2.03,0.08,5,,0.14,0.11,0.14
CC09869,Ti I,,3.75,0.06,3,,0.05,0.08,0.1
CC09869,Ti II,,3.98,0.21,4,,0.29,0.09,0.23
CC09869,V I,,2.39,0.12,5,,-0.28,0.1,0.16
CC09869,Cr I,,4.42,0.11,4,,0.04,0.06,0.13
CC09869,Mn I,,3.83,0.06,4,,-0.34,0.04,0.07
CC09869,Fe II,,6.34,0.1,6,,0.09,0.15,0.18
CC09869,Co I,,,,,,,,
CC09869,Ni I,,4.84,0.06,9,,-0.12,0.05,0.08
CC09869,Cu I,,,,,,,,
CC09869,Ba II,,1.06,0.14,3,,0.13,0.1,0.17
CC09869,La II,,0.25,0.05,2,,0.41,0.12,0.13
CC09869,Nd II,,,,,,,,
CC09869,Eu II,,,,,,,,
CC09929,Fe I,,6.0,0.03,40,,-1.5,0.15,0.15
CC09929,O I,,7.95,0.22,1,,0.76,0.13,0.26
CC09929,Na I,,4.35,0.22,1,,-0.39,0.1,0.24
CC09929,Mg I,,6.26,0.06,2,,0.16,0.05,0.08
CC09929,Al I,<,5.64,0.22,1,<,0.69,0.1,0.24
CC09929,Si I,,6.22,0.22,1,,0.21,0.13,0.26
CC09929,Ca I,,5.17,0.07,16,,0.24,0.03,0.08
CC09929,Sc II,,1.86,0.18,4,,0.2,0.12,0.22
CC09929,Ti I,,,,,,,,
CC09929,Ti II,,3.66,0.13,3,,0.21,0.11,0.17
CC09929,V I,,2.6,0.07,2,,0.16,0.08,0.11
CC09929,Cr I,,4.14,0.09,4,,0.0,0.05,0.1
CC09929,Mn I,,3.61,0.14,4,,-0.32,0.07,0.16
CC09929,Fe II,,6.29,0.11,3,,0.29,0.15,0.19
CC09929,Co I,,,,,,,,
CC09929,Ni I,,4.75,0.09,7,,0.03,0.04,0.1
CC09929,Cu I,,,,,,,,
CC09929,Ba II,,1.09,0.09,2,,0.4,0.11,0.14
CC09929,La II,,0.33,0.01,3,,0.73,0.12,0.12
CC09929,Nd II,,,,,,,,
CC09929,Eu II,,-0.13,0.22,1,,0.85,0.14,0.26
CC10038,Fe I,,6.2,0.02,63,,-1.3,0.15,0.15
CC10038,O I,,7.93,0.19,1,,0.54,0.13,0.23
CC10038,Na I,,4.65,0.19,1,,-0.29,0.09,0.21
CC10038,Mg I,,6.53,0.25,2,,0.24,0.05,0.25
CC10038,Al I,<,5.61,0.19,1,<,0.46,0.1,0.21
CC10038,Si I,,6.54,0.13,3,,0.33,0.13,0.18
CC10038,Ca I,,5.1,0.07,17,,-0.02,0.03,0.08
CC10038,Sc II,,1.88,0.03,6,,0.03,0.1,0.1
CC10038,Ti I,,3.62,0.18,3,,-0.03,0.09,0.2
CC10038,Ti II,,3.99,0.15,3,,0.35,0.08,0.17
CC10038,V I,,2.47,0.08,2,,-0.15,0.09,0.12
CC10038,Cr I,,4.32,0.07,4,,-0.02,0.06,0.09
CC10038,Mn I,,3.7,0.12,5,,-0.42,0.06,0.13
CC10038,Fe II,,6.26,0.08,9,,0.06,0.14,0.16
CC10038,Co I,,3.65,0.19,1,,-0.04,0.1,0.21
CC10038,Ni I,,4.72,0.06,8,,-0.2,0.06,0.08
CC10038,Cu I,,,,,,,,
CC10038,Ba II,,0.98,0.14,3,,0.1,0.1,0.17
CC10038,La II,,,,,,,,
CC10038,Nd II,,,,,,,,
CC10038,Eu II,,,,,,,,
CC10194,Fe I,,6.08,0.03,53,,-1.42,0.15,0.15
CC10194,O I,,7.44,0.22,1,,0.17,0.15,0.27
CC10194,Na I,,4.51,0.22,1,,-0.31,0.1,0.24
CC10194,Mg I,,6.33,0.13,2,,0.15,0.06,0.14
CC10194,Al I,<,5.45,0.22,1,<,0.42,0.12,0.25
CC10194,Si I,,6.27,0.22,1,,0.18,0.15,0.27
CC10194,Ca I,,5.03,0.07,16,,0.01,0.03,0.08
CC10194,Sc II,,1.46,0.08,4,,-0.27,0.13,0.15
CC10194,Ti I,,3.74,0.16,5,,0.21,0.1,0.19
CC10194,Ti II,,3.76,0.11,2,,0.23,0.11,0.16
CC10194,V I,,2.27,0.16,5,,-0.25,0.11,0.19
CC10194,Cr I,,4.23,0.22,4,,0.0,0.08,0.23
CC10194,Mn I,,3.11,0.15,3,,-0.9,0.09,0.17
CC10194,Fe II,,6.08,0.1,5,,-0.01,0.18,0.21
CC10194,Co I,,,,,,,,
CC10194,Ni I,,4.56,0.1,7,,-0.25,0.06,0.12
CC10194,Cu I,,,,,,,,
CC10194,Ba II,,0.89,0.19,3,,0.13,0.11,0.22
CC10194,La II,,-0.08,0.22,1,,0.24,0.13,0.26
CC10194,Nd II,,-0.31,0.22,1,,-0.31,0.12,0.25
CC10194,Eu II,,,,,,,,
CC10318,Fe I,,5.91,0.02,59,,-1.59,0.14,0.14
CC10318,O I,,7.75,0.19,1,,0.65,0.13,0.23
CC10318,Na I,<,4.23,0.19,1,<,-0.42,0.09,0.21
CC10318,Mg I,,6.11,0.2,2,,0.1,0.05,0.21
CC10318,Al I,<,5.44,0.19,1,<,0.58,0.1,0.21
CC10318,Si I,,6.23,0.1,2,,0.31,0.13,0.16
CC10318,Ca I,,4.86,0.05,15,,0.02,0.03,0.06
CC10318,Sc II,,2.04,0.08,5,,0.48,0.11,0.14
CC10318,Ti I,,3.55,0.07,4,,0.19,0.09,0.11
CC10318,Ti II,,3.93,0.24,2,,0.57,0.11,0.26
CC10318,V I,,2.03,0.19,3,,-0.31,0.1,0.21
CC10318,Cr I,,3.87,0.07,4,,-0.18,0.08,0.11
CC10318,Mn I,,3.47,0.06,4,,-0.36,0.07,0.09
CC10318,Fe II,,6.18,0.07,7,,0.27,0.18,0.19
CC10318,Co I,,3.55,0.19,1,,0.15,0.08,0.21
CC10318,Ni I,,4.62,0.07,8,,-0.01,0.04,0.08
CC10318,Cu I,,,,,,,,
CC10318,Ba II,,0.87,0.33,3,,0.28,0.11,0.35
CC10318,La II,,0.0,0.19,1,,0.49,0.12,0.22
