# Note: this data is utilizing the Grevesse & Sauval (1998) solar abundances. The python notebook converts these abundances to the log_eps values.
Star,[Fe/H],e_[Fe/H],[FeII/H],e_[FeII/H],[C/Fe],e_[C/Fe],[N/Fe],e_[N/Fe],[O/Fe],e_[O/Fe],[Na/Fe],e_[Na/Fe],[Mg/Fe],e_[Mg/Fe],[Al/Fe],e_[Al/Fe],[Si/Fe],e_[Si/Fe],[Ca/Fe],e_[Ca/Fe],[ScII/Fe],e_[ScII/Fe],[Ti/Fe],e_[Ti/Fe],[TiII/Fe],e_[TiII/Fe],[V/Fe],e_[V/Fe],[VII/Fe],e_[VII/Fe],[Cr/Fe],e_[Cr/Fe],[CrII/Fe],e_[CrII/Fe],[Mn/Fe],e_[Mn/Fe],[MnII/Fe],e_[MnII/Fe],[Co/Fe],e_[Co/Fe],[Ni/Fe],e_[Ni/Fe],[Cu/Fe],e_[Cu/Fe],[Zn/Fe],e_[Zn/Fe],[SrII/Fe],e_[SrII/Fe],[YII/Fe],e_[YII/Fe],[ZrII/Fe],e_[ZrII/Fe],[BaII/Fe],e_[BaII/Fe],[LaII/Fe],e_[LaII/Fe],[EuII/Fe],e_[EuII/Fe]
BS 16928-053,-3.07,0.09,-3.11,0.08,-0.25,0.22,1.05,0.37,,,0.03,0.08,0.29,0.07,-0.90,0.05,1.16,0.15,0.21,0.05,-0.16,0.08,-0.02,0.07,0.21,0.09,,,-0.37,0.16,-0.25,0.06,,,-0.71,0.12,-0.50,0.10,0.04,0.08,-0.15,0.06,,,,,-0.34,0.17,-0.41,0.09,-0.10,0.12,-0.82,0.09,,,<-0.40,
BS 16929-005,-3.34,0.03,-3.39,0.11,0.97,0.23,0.32,0.32,,,-0.01,0.12,0.45,0.10,-0.66,0.06,,,0.33,0.04,-0.03,0.16,0.45,0.06,0.50,0.06,,,0.01,0.17,-0.50,0.06,,,-0.80,0.10,,0.09,0.38,0.06,0.08,0.07,,,,,0.37,0.08,0.22,0.07,0.53,0.10,-0.28,0.10,,,<0.03,
CS 22872-102,-2.87,0.03,-2.98,0.12,0.60,0.23,<0.55,,,,-0.04,0.12,0.38,0.10,-0.72,0.09,0.28,0.21,0.40,0.03,0.08,0.08,0.48,0.07,0.42,0.05,,,,,-0.32,0.05,,,-0.62,0.10,-0.44,0.10,0.22,0.06,0.03,0.07,,,,,-0.15,0.09,,,,,-0.45,0.18,,,<1.07,
CS 22878-027,-2.48,0.08,-2.68,0.08,0.86,0.12,<1.06,,,,-0.28,0.15,0.02,0.11,-0.84,0.15,0.07,0.15,0.18,0.07,0.16,0.16,0.46,0.12,0.53,0.10,,,,,-0.12,0.04,,,-0.34,0.09,-0.04,0.17,,,0.06,0.05,,,,,-0.18,0.10,,,,,<-0.75,,,,<1.17,
CS 22880-086,-3.01,0.03,-3.03,0.11,0.24,0.19,,,,,,,0.29,0.10,-0.97,0.08,,,0.26,0.06,0.06,0.07,0.23,0.08,0.36,0.06,,,,,-0.37,0.08,,,-0.50,0.14,,,0.47,0.07,0.16,0.06,,,,,-0.10,0.07,-0.27,0.10,,,-0.80,0.10,,,<0.22,
CS 22884-108,-3.14,0.08,-3.32,0.07,<0.92,,<1.22,,,,,,<0.18,,-0.73,0.05,0.11,0.15,0.36,0.06,0.45,0.16,,,0.80,0.11,,,,,-0.25,0.06,,,-0.50,0.11,,,,,0.00,0.08,,,,,0.29,0.11,,,,,0.24,0.17,,,<1.91,
CS 22944-032,-2.98,0.03,-3.04,0.10,0.31,0.15,<-0.44,,0.75,0.33,,,0.39,0.09,-0.84,0.16,,,0.29,0.04,0.11,0.08,0.32,0.06,0.36,0.05,,,0.16,0.08,-0.31,0.05,,,-0.44,0.09,-0.19,0.05,0.45,0.06,0.10,0.06,-1.10,0.08,0.25,0.17,-0.27,0.08,-0.30,0.05,0.05,0.05,-0.62,0.09,,,<0.73,
CS 22957-022,-2.93,0.03,-2.92,0.10,0.16,0.23,0.21,0.23,0.60,0.33,,,0.28,0.10,,,,,0.22,0.04,0.05,0.06,0.30,0.06,0.33,0.05,-0.09,0.16,0.04,0.08,-0.30,0.05,,,-0.76,0.10,-0.25,0.05,0.29,0.09,-0.02,0.08,-1.23,0.09,0.31,0.08,-0.41,0.16,-0.37,0.06,-0.05,0.08,-1.01,0.10,,,<-0.09,
CS 22963-004,-3.42,0.03,-3.44,0.13,0.40,0.23,0.80,0.23,0.99,0.33,,,0.35,0.10,-0.85,0.16,0.42,0.21,0.31,0.06,0.27,0.10,,,0.44,0.08,,,0.07,0.19,-0.40,0.05,,,-0.77,0.10,-0.42,0.18,0.48,0.07,0.08,0.07,-0.94,0.09,,,-0.80,0.10,,,,,-0.44,0.19,,,<1.43,
CS 22965-054,-3.09,0.03,-3.05,0.14,<1.07,,,,,,,,0.31,0.11,-0.73,0.16,0.08,0.21,0.43,0.07,0.03,0.18,,,0.42,0.07,,,,,-0.05,0.07,,,-0.30,0.12,,,0.26,0.16,0.00,0.07,,,,,0.06,0.11,,,,,<-0.48,,,,<1.14,
CS 29502-092,-3.18,0.09,-3.20,0.09,0.96,0.22,0.81,0.27,0.75,0.31,,,0.42,0.05,-0.79,0.15,,,0.31,0.05,0.02,0.06,0.18,0.06,0.19,0.05,-0.06,0.13,0.04,0.07,-0.21,0.04,0.21,0.08,-0.32,0.09,-0.16,0.07,0.36,0.06,0.08,0.04,-1.36,0.10,0.34,0.06,-0.46,0.17,-0.63,0.08,-0.28,0.08,-1.26,0.09,,,<-0.31,
CS 29506-007,-2.85,0.08,-2.89,0.07,<0.83,,<0.93,,<1.52,,,,0.28,0.05,-0.82,0.15,0.10,0.15,0.45,0.05,0.28,0.08,0.66,0.06,0.57,0.07,,,,,-0.17,0.04,,,-0.69,0.09,-0.42,0.16,0.28,0.15,-0.06,0.06,<-0.56,,,,0.13,0.09,0.24,0.16,0.63,0.10,0.11,0.17,,,<0.88,
CS 29522-046,-2.09,0.08,-2.24,0.06,0.42,0.21,-0.33,,0.66,,,,0.40,0.02,,,,,0.38,0.03,0.12,0.04,0.35,0.03,0.43,0.06,0.06,0.15,0.17,0.09,-0.12,0.03,0.11,0.08,-0.47,0.06,-0.27,0.06,0.17,0.05,-0.03,0.05,-0.79,0.06,0.15,0.11,0.22,0.09,0.09,0.06,0.41,0.08,0.14,0.08,,,<0.23,
CS 30312-059,-3.14,0.09,-3.19,0.08,0.27,0.13,<-0.48,,,,0.17,0.08,0.41,0.06,-0.88,0.06,,,0.33,0.05,0.07,0.06,0.31,0.07,0.39,0.06,,,0.04,0.07,-0.34,0.09,0.09,0.16,-0.88,0.10,-0.53,0.06,0.28,0.07,-0.05,0.06,,,,,-0.02,0.17,-0.01,0.08,0.35,0.08,-0.01,0.08,,,0.63,0.11
CS 30325-028,-2.90,0.09,-2.96,0.08,0.38,0.22,-0.22,0.27,0.57,0.31,,,0.41,0.04,,,,,0.32,0.05,0.08,0.07,0.26,0.06,0.35,0.06,-0.11,0.16,0.03,0.07,-0.26,0.04,-0.01,0.08,-0.51,0.12,-0.41,0.11,0.23,0.08,-0.04,0.05,-1.18,0.07,0.33,0.08,0.16,0.18,0.01,0.08,0.40,0.08,-0.34,0.08,-0.18,0.17,0.15,0.21
CS 30336-049,-4.04,0.09,-4.16,0.09,-0.28,0.31,0.92,0.30,1.01,0.31,,,0.08,0.06,,,0.19,0.15,0.09,0.07,0.18,0.08,0.16,0.16,0.27,0.10,,,,,-0.74,0.08,,,-0.82,0.10,-0.52,0.09,0.47,0.07,-0.05,0.06,-1.17,0.16,,,-1.50,0.18,,,,,-1.32,0.17,,,<0.95,
CS 31078-018,-2.84,0.03,-2.91,0.11,0.37,0.19,-0.38,0.23,0.81,0.33,,,0.42,0.09,-0.73,0.16,,,0.41,0.04,0.10,0.06,0.31,0.06,0.38,0.05,0.06,0.13,0.13,0.08,-0.31,0.06,-0.18,0.16,-0.20,0.09,0.01,0.06,0.34,0.10,0.09,0.06,-1.02,0.09,0.41,0.17,0.24,0.16,0.24,0.06,0.63,0.06,0.72,0.18,0.74,0.17,1.23,0.05
CS 31085-024,-2.68,0.08,-2.71,0.08,0.36,0.21,<-0.24,,0.65,,,,0.17,0.03,,,0.21,0.15,0.22,0.03,0.14,0.08,0.32,0.05,0.38,0.08,,,0.14,0.10,-0.23,0.04,-0.10,0.17,-0.41,0.10,-0.19,0.08,0.37,0.05,0.21,0.05,-0.93,0.06,,,-0.30,0.10,,,,,-0.52,0.18,,,<0.60,
