ID,Name,Simbad_Identifier,Member,System,RA_hms,DEC_dms,gmag,imag,Xpix,Ypix,Rad,Vel
# 98,BooI-98,[NWG2010] BooI 98,n,,13:59:08.12,+14:32:28.1,18.58,17.59,-14.0,2.5,14.2,20
# 111,BooI-111,[NWG2010] BooI 111,n,,14:00:22.97,+14:30:45.0,18.55,17.50,4.1,0.8,4.2,-45
# 203,BooI-203,[NWG2010] BooI 203,n,,13:58:52.92,+14:25:05.3,20.78,20.00,-17.7,-4.9,18.4,-24
# 337,BooI-337,[NWG2010] BooI 337,n,,14:03:27.88,+14:15:10.3,20.23,19.51,48.9,-14.7,51.1,-144
# 237,BooI-237,[NWG2010] BooI 237,n,,14:00:42.15,+14:15:20.4,20.51,19.83,8.8,-14.7,17.1,5
# 342,BooI-342,[NWG2010] BooI 342,n,,14:03:45.02,+14:48:33.9,20.07,19.34,52.9,18.7,56.1,-162
# 343,BooI-343,[NWG2010] BooI 343,n,,14:03:25.77,+14:23:06.2,17.76,16.54,48.4,-6.8,48.9,11
# 354,BooI-354,[NWG2010] BooI 354,n,,14:03:18.84,+14:18:25.6,18.00,16.83,46.7,-11.5,48.1,-39
# 399,BooI-399,[NWG2010] BooI 399,n,,14:03:05.58,+14:31:19.5,18.90,17.90,43.5,1.4,43.5,-39
# 414,BooI-414,[NWG2010] BooI 414,n,,14:02:41.93,+14:04:56.4,18.15,17.02,37.8,-25.0,45.3,-12
# 425,BooI-425,[NWG2010] BooI 425,n,,14:02:53.39,+14:31:59.3,20.02,19.33,40.5,2.0,40.6,171
# 436,BooI-436,[NWG2010] BooI 436,n,,14:02:24.00,+13:51:16.2,19.97,19.20,33.5,-38.7,51.2,26
# 463,BooI-463,[NWG2010] BooI 463,n,,14:02:14.20,+13:49:54.4,18.54,17.64,31.1,-40.1,50.7,63
# 465,BooI-465,[NWG2010] BooI 465,n,,14:02:23.66,+14:09:28.6,19.31,18.51,33.4,-20.5,39.2,-6
# 484,BooI-484,[NWG2010] BooI 484,n,,14:02:27.15,+14:23:13.0,20.36,19.61,34.2,-6.7,34.8,45
# 492,BooI-492,[NWG2010] BooI 492,n,,14:02:19.02,+14:18:25.3,18.42,17.29,32.2,-11.5,34.2,-12
# 528,BooI-528,[NWG2010] BooI 528,n,,14:01:39.94,+13:35:55.1,18.59,17.58,22.8,-54.1,58.7,-21
# 572,BooI-572,[NWG2010] BooI 572,n,,14:01:30.41,+13:48:56.6,19.13,18.22,20.5,-41.0,45.9,75
# 574,BooI-574,[NWG2010] BooI 574,n,,14:01:41.91,+14:08:43.0,19.66,18.95,23.3,-21.3,31.5,-145
# 582,BooI-582,[NWG2010] BooI 582,n,,14:01:42.53,+14:15:20.1,18.36,17.39,23.4,-14.6,27.6,3
# 598,BooI-598,[NWG2010] BooI 598,n,,14:01:17.19,+13:38:43.1,20.62,19.87,17.3,-51.3,54.1,-113
# 634,BooI-634,[NWG2010] BooI 634,n,,14:01:05.84,+13:38:46.4,18.37,17.35,14.5,-51.2,53.2,-37
# 653,BooI-653,[NWG2010] BooI 653,n,,14:01:22.38,+14:17:24.3,18.31,17.25,18.5,-12.6,22.4,29
# 655,BooI-655,[NWG2010] BooI 655,n,,14:01:40.25,+14:48:20.2,18.63,17.69,22.8,18.4,29.3,0
# 659,BooI-659,[NWG2010] BooI 659,n,,14:01:51.99,+15:10:55.0,19.96,19.28,25.6,40.9,48.3,-71
# 684,BooI-684,[NWG2010] BooI 684,n,,14:01:50.19,+15:20:06.1,20.75,20.12,25.1,50.1,56.1,32
# 688,BooI-688,[NWG2010] BooI 688,n,,14:00:50.29,+13:45:32.4,20.56,19.78,10.8,-44.5,45.7,69
# 690,BooI-690,[NWG2010] BooI 690,n,,14:01:05.34,+14:11:56.6,20.19,19.46,14.4,-18.0,23.1,-47
# 693,BooI-693,[NWG2010] BooI 693,n,,14:01:32.48,+14:57:23.3,18.79,17.82,20.9,27.4,34.5,-140
# 701,BooI-701,[NWG2010] BooI 701,n,,14:00:56.44,+14:02:53.3,20.06,19.38,12.2,-27.1,29.7,75
# 706,BooI-706,[NWG2010] BooI 706,n,,14:00:49.47,+13:54:19.6,19.74,18.87,10.6,-35.7,37.2,-18
# 720,BooI-720,[NWG2010] BooI 720,n,,14:00:30.65,+13:32:18.8,18.67,17.60,6.0,-57.7,58.0,-32
# 738,BooI-738,[NWG2010] BooI 738,n,,14:00:37.22,+13:56:16.3,20.25,19.45,7.6,-33.7,34.6,65
# 815,BooI-815,[NWG2010] BooI 815,n,,14:00:51.41,+15:00:41.7,18.62,17.68,11.0,30.7,32.6,-42
# 817,BooI-817,[NWG2010] BooI 817,n,,14:00:17.29,+14:09:36.5,20.30,19.65,2.7,-20.4,20.6,40
# 818,BooI-818,[NWG2010] BooI 818,n,,13:59:55.45,+13:31:43.8,20.65,19.93,-2.6,-58.3,58.3,-207
# 822,BooI-822,[NWG2010] BooI 822,n,,14:00:09.49,+13:58:21.3,19.30,18.46,0.8,-31.6,31.7,-21
# 856,BooI-856,[NWG2010] BooI 856,n,,13:59:49.55,+13:44:29.9,17.91,16.85,-4.0,-45.5,45.7,17
# 870,BooI-870,[NWG2010] BooI 870,n,,14:00:37.27,+15:12:18.2,17.81,16.73,7.5,42.3,43.0,-8
# 876,BooI-876,[NWG2010] BooI 876,n,,13:59:38.53,+13:38:37.1,18.53,17.55,-6.7,-51.4,51.8,-35
# 912,BooI-912,[NWG2010] BooI 912,n,,13:59:39.07,+14:00:14.6,20.94,20.31,-6.5,-29.8,30.5,-27
# 952,BooI-952,[NWG2010] BooI 952,n,,13:59:30.37,+14:02:51.2,20.61,20.00,-8.6,-27.1,28.5,70
# 986,BooI-986,[NWG2010] BooI 986,n,,13:59:19.21,+13:56:43.0,19.04,18.12,-11.4,-33.3,35.2,-30
# 992,BooI-992,[NWG2010] BooI 992,n,,13:59:15.22,+13:52:11.8,20.03,19.29,-12.3,-37.8,39.8,68
# 1004,BooI-1004,[NWG2010] BooI 1004,n,,13:59:20.47,+14:08:20.4,18.72,17.71,-11.0,-21.7,24.3,-55
# 1049,BooI-1049,[NWG2010] BooI 1049,n,,13:59:37.88,+15:11:39.5,19.24,18.35,-6.8,41.7,42.2,-20
# 1051,BooI-1051,[NWG2010] BooI 1051,n,,13:58:44.21,+13:41:05.8,19.49,18.76,-19.9,-48.9,52.8,-56
# 1082,BooI-1082,[NWG2010] BooI 1082,n,,13:58:34.41,+13:42:07.5,20.22,19.54,-22.2,-47.9,52.8,0
# 1090,BooI-1090,[NWG2010] BooI 1090,n,,13:58:33.05,+13:49:17.3,20.27,19.61,-22.6,-40.7,46.5,-95
# 1124,BooI-1124,[NWG2010] BooI 1124,n,,13:58:23.90,+13:55:14.8,17.89,16.67,-24.8,-34.7,42.7,-42
# 1126,BooI-1126,[NWG2010] BooI 1126,n,,13:58:16.42,+13:42:49.4,20.74,20.05,-26.6,-47.1,54.1,-52
# 1133,BooI-1133,[NWG2010] BooI 1133,n,,13:58:37.31,+14:23:26.0,20.44,19.75,-21.5,-6.5,22.5,-121
# 1134,BooI-1134,[NWG2010] BooI 1134,n,,13:58:23.81,+14:01:19.5,18.45,17.44,-24.8,-28.7,37.9,-47
# 1177,BooI-1177,[NWG2010] BooI 1177,n,,13:58:05.96,+13:56:19.6,18.79,17.90,-29.1,-33.6,44.5,-44
# 1182,BooI-1182,[NWG2010] BooI 1182,n,,13:58:20.67,+14:25:03.7,20.39,19.73,-25.5,-4.9,26.0,327
# 1186,BooI-1186,[NWG2010] BooI 1186,n,,13:58:32.07,+14:46:03.1,18.93,17.96,-22.7,16.1,27.8,-15
# 1207,BooI-1207,[NWG2010] BooI 1207,n,,13:58:01.58,+14:09:25.0,18.31,17.28,-30.2,-20.5,36.5,-113
# 1225,BooI-1225,[NWG2010] BooI 1225,n,,13:57:41.79,+13:47:16.5,20.56,19.78,-35.0,-42.7,55.2,2
# 1254,BooI-1254,[NWG2010] BooI 1254,n,,13:57:40.05,+14:02:04.8,20.55,19.91,-35.4,-27.9,45.1,-22
# 1259,BooI-1259,[NWG2010] BooI 1259,n,,13:57:35.61,+13:57:04.9,19.30,18.39,-36.5,-32.9,49.1,-46
# 1260,BooI-1260,[NWG2010] BooI 1260,n,,13:57:42.24,+14:09:43.9,19.44,18.54,-34.8,-20.2,40.3,-78
# 1264,BooI-1264,[NWG2010] BooI 1264,n,,13:57:42.11,+14:12:27.8,18.49,17.39,-34.9,-17.5,39.0,-11
# 1271,BooI-1271,[NWG2010] BooI 1271,n,,13:58:10.50,+15:04:50.4,18.56,17.59,-27.9,34.9,44.6,-52
# 1297,BooI-1297,[NWG2010] BooI 1297,n,,13:57:32.72,+14:15:49.1,20.32,19.54,-37.1,-14.1,39.7,-115
# 1313,BooI-1313,[NWG2010] BooI 1313,n,,13:57:28.72,+14:18:30.3,19.73,18.96,-38.1,-11.4,39.8,59
# 1349,BooI-1349,[NWG2010] BooI 1349,n,,13:57:02.69,+13:59:18.3,19.05,18.17,-44.5,-30.6,54.0,-100
# 1378,BooI-1378,[NWG2010] BooI 1378,n,,13:56:50.62,+13:54:02.0,20.50,19.74,-47.4,-35.9,59.5,40
# 1391,BooI-1391,[NWG2010] BooI 1391,n,,13:56:49.09,+13:59:08.2,18.74,17.77,-47.8,-30.8,56.8,-93
# 1439,BooI-1439,[NWG2010] BooI 1439,n,,13:56:50.63,+14:31:58.7,19.50,18.65,-47.3,2.1,47.3,17
# 1449,BooI-1449,[NWG2010] BooI 1449,n,,13:56:35.02,+14:11:13.3,18.29,17.28,-51.1,-18.7,54.4,-34
# 1462,BooI-1462,[NWG2010] BooI 1462,n,,13:56:36.17,+14:24:15.0,20.22,19.46,-50.8,-5.7,51.1,-34
# 1473,BooI-1473,[NWG2010] BooI 1473,n,,13:56:19.22,+14:05:49.2,19.61,18.82,-55.0,-24.1,60.0,19
# 1483,BooI-1483,[NWG2010] BooI 1483,n,,13:56:19.44,+14:22:25.6,18.76,17.81,-54.9,-7.5,55.4,35
## potential Segue 1 stars...
7,Seg1-7,[NWG2010] Seg1 7,y,Segue 1,10:08:14.45,+16:05:01.2,18.05,17.30,16.9,0.1,16.9,194
31,Seg1-31,[NWG2010] Seg1 31,y,Segue 1,10:07:42.72,+16:01:06.9,18.59,17.91,9.3,-3.8,10.0,211
42,Seg1-42,[NWG2010] Seg1 42,y,Segue 1,10:07:33.00,+15:58:34.6,18.73,18.08,7.0,-6.3,9.4,195
71,Seg1-71,[NWG2010] Seg1 71,y,Segue 1,10:07:02.46,+15:50:55.3,18.46,17.72,-0.4,-14.0,14.0,212
98,Seg1-98,[NWG2010] Seg1 98,y,Segue 1,10:07:14.58,+16:01:54.5,18.84,18.07,2.5,-3.0,3.9,199
183,Seg1-183,[NWG2010] Seg1 183,y,Segue 1,10:06:49.05,+16:03:48.7,20.57,20.26,-3.6,-1.1,3.8,185
220,Seg1-220,[NWG2010] Seg1 220,y,Segue 1,10:06:22.36,+16:04:52.3,20.60,20.04,-10.0,-0.0,10.0,199
270,Seg1-270,[NWG2010] Seg1 270,y,Segue 1,10:06:20.86,+16:26:24.9,19.74,19.07,-10.3,21.5,23.9,226
318,Seg1-318,[NWG2010] Seg1 318,y,Segue 1,10:07:10.08,+16:06:23.9,19.19,18.43,1.5,1.5,2.1,213
### commenting out the Segue 1 non-members below
# 1,Seg1-1,[NWG2010] Seg1 1,n,,10:09:49.84,+16:05:09.1,18.21,17.57,39.8,0.3,39.8,-67
# 6,Seg1-6,[NWG2010] Seg1 6,n,,10:09:48.59,+16:03:52.6,18.73,18.09,39.5,-1.0,39.6,9
# 11,Seg1-11,[NWG2010] Seg1 11,n,,10:09:14.95,+15:59:48.4,17.97,17.25,31.5,-5.1,31.9,301
# 15,Seg1-15,[NWG2010] Seg1 15,n,,10:07:53.60,+16:00:33.6,18.90,18.25,11.9,-4.4,12.7,76
# 16,Seg1-16,[NWG2010] Seg1 16,n,,10:07:20.53,+16:03:16.1,17.67,16.87,4.0,-1.6,4.3,-32
# 21,Seg1-21,[NWG2010] Seg1 21,n,,10:08:18.89,+15:57:50.1,17.85,17.09,18.0,-7.1,19.3,50
# 22,Seg1-22,[NWG2010] Seg1 22,n,,10:07:26.19,+16:03:54.3,17.47,16.50,5.3,-1.0,5.4,-4
# 23,Seg1-23,[NWG2010] Seg1 23,n,,10:07:40.13,+16:03:09.7,19.95,19.43,8.7,-1.8,8.9,298
# 24,Seg1-24,[NWG2010] Seg1 24,n,,10:07:52.01,+15:56:23.0,17.25,16.53,11.5,-8.5,14.3,48
# 28,Seg1-28,[NWG2010] Seg1 28,n,,10:07:55.19,+15:51:23.7,20.28,19.58,12.3,-13.5,18.3,-17
# 34,Seg1-34,[NWG2010] Seg1 34,n,,10:08:15.24,+15:49:19.6,19.71,19.18,17.1,-15.6,23.2,-11
# 36,Seg1-36,[NWG2010] Seg1 36,n,,10:08:31.87,+15:55:23.9,19.72,19.06,21.1,-9.5,23.2,167
# 38,Seg1-38,[NWG2010] Seg1 38,n,,10:07:46.02,+15:55:24.0,18.80,17.99,10.1,-9.5,13.9,-128
# 39,Seg1-39,[NWG2010] Seg1 39,n,,10:07:52.76,+15:57:39.0,20.26,19.75,11.7,-7.3,13.8,0
# 39,Seg1-39,[NWG2010] Seg1 39,n,,10:07:52.76,+15:57:39.0,20.26,19.75,11.7,-7.3,13.8,9
# 40,Seg1-40,[NWG2010] Seg1 40,n,,10:08:36.49,+15:55:40.3,17.59,16.65,22.2,-9.2,24.1,81
# 44,Seg1-44,[NWG2010] Seg1 44,n,,10:07:38.95,+15:58:15.3,18.30,17.40,8.4,-6.7,10.7,30
# 46,Seg1-46,[NWG2010] Seg1 46,n,,10:07:58.23,+15:55:25.5,18.28,17.56,13.0,-9.5,16.1,-2
# 54,Seg1-54,[NWG2010] Seg1 54,n,,10:07:23.72,+15:54:07.5,19.71,19.18,4.7,-10.8,11.8,108
# 60,Seg1-60,[NWG2010] Seg1 60,n,,10:07:37.57,+15:45:18.9,18.41,17.62,8.1,-19.6,21.2,47
# 63,Seg1-63,[NWG2010] Seg1 63,n,,10:08:52.37,+15:38:29.7,19.02,18.28,26.1,-26.4,37.1,49
# 68,Seg1-68,[NWG2010] Seg1 68,n,,10:07:22.54,+15:53:33.5,20.00,19.45,4.5,-11.4,12.2,-9
# 68,Seg1-68,[NWG2010] Seg1 68,n,,10:07:22.54,+15:53:33.5,20.00,19.45,4.5,-11.4,12.2,-9
# 74,Seg1-74,[NWG2010] Seg1 74,n,,10:07:28.04,+15:40:23.2,20.26,19.75,5.8,-24.5,25.2,10
# 76,Seg1-76,[NWG2010] Seg1 76,n,,10:07:41.99,+15:54:56.2,19.63,19.09,9.1,-10.0,13.5,24
# 78,Seg1-78,[NWG2010] Seg1 78,n,,10:07:28.05,+15:45:53.3,20.05,19.29,5.8,-19.0,19.9,-54
# 84,Seg1-84,[NWG2010] Seg1 84,n,,10:07:31.49,+15:46:13.5,20.68,20.20,6.6,-18.7,19.8,44
# 84,Seg1-84,[NWG2010] Seg1 84,n,,10:07:31.49,+15:46:13.5,20.68,20.20,6.6,-18.7,19.8,57
# 86,Seg1-86,[NWG2010] Seg1 86,n,,10:07:09.01,+15:43:27.3,19.62,18.86,1.2,-21.5,21.5,111
# 86,Seg1-86,[NWG2010] Seg1 86,n,,10:07:09.01,+15:43:27.3,19.62,18.86,1.2,-21.5,21.5,115
# 93,Seg1-93,[NWG2010] Seg1 93,n,,10:07:07.60,+15:54:26.2,20.34,19.78,0.9,-10.5,10.5,-23
# 95,Seg1-95,[NWG2010] Seg1 95,n,,10:07:07.65,+16:02:43.2,18.53,17.78,0.9,-2.2,2.4,-41
# 97,Seg1-97,[NWG2010] Seg1 97,n,,10:06:36.93,+15:53:25.2,18.83,18.13,-6.5,-11.5,13.2,43
# 99,Seg1-99,[NWG2010] Seg1 99,n,,10:07:20.47,+16:02:03.3,18.68,18.03,4.0,-2.9,4.9,25
# 101,Seg1-101,[NWG2010] Seg1 101,n,,10:06:59.01,+15:44:18.9,19.75,19.13,-1.2,-20.6,20.6,307
# 102,Seg1-102,[NWG2010] Seg1 102,n,,10:07:22.39,+15:45:19.1,19.87,19.41,4.4,-19.6,20.1,96
# 104,Seg1-104,[NWG2010] Seg1 104,n,,10:06:44.62,+15:47:01.9,17.44,16.50,-4.7,-17.9,18.5,41
# 105,Seg1-105,[NWG2010] Seg1 105,n,,10:06:53.97,+15:48:56.9,19.07,18.31,-2.4,-16.0,16.1,-77
# 107,Seg1-107,[NWG2010] Seg1 107,n,,10:07:06.88,+15:44:42.6,19.45,18.62,0.7,-20.2,20.2,154
# 113,Seg1-113,[NWG2010] Seg1 113,n,,10:06:59.91,+15:51:26.2,19.74,19.20,-1.0,-13.5,13.5,-15
# 117,Seg1-117,[NWG2010] Seg1 117,n,,10:05:57.65,+15:41:51.9,17.52,16.64,-16.0,-23.0,28.0,173
# 119,Seg1-119,[NWG2010] Seg1 119,n,,10:06:36.03,+15:44:13.4,20.71,20.18,-6.7,-20.7,21.8,17
# 123,Seg1-123,[NWG2010] Seg1 123,n,,10:06:06.83,+15:45:36.6,19.11,18.43,-13.8,-19.3,23.7,114
# 129,Seg1-129,[NWG2010] Seg1 129,n,,10:06:25.44,+15:46:45.5,20.21,19.65,-9.3,-18.2,20.4,12
# 130,Seg1-130,[NWG2010] Seg1 130,n,,10:05:49.10,+15:37:43.9,21.49,21.05,-18.0,-27.2,32.6,-68
# 133,Seg1-133,[NWG2010] Seg1 133,n,,10:06:12.02,+15:45:48.5,20.08,19.59,-12.5,-19.1,22.8,327
# 137,Seg1-137,[NWG2010] Seg1 137,n,,10:06:26.43,+15:49:37.6,20.11,19.43,-9.0,-15.3,17.8,82
# 139,Seg1-139,[NWG2010] Seg1 139,n,,10:06:20.04,+16:01:02.7,19.23,18.40,-10.6,-3.9,11.2,95
# 141,Seg1-141,[NWG2010] Seg1 141,n,,10:05:28.24,+15:34:40.7,19.91,19.44,-23.1,-30.2,38.0,57
# 143,Seg1-143,[NWG2010] Seg1 143,n,,10:05:39.93,+15:35:47.4,20.20,19.68,-20.2,-29.1,35.5,-67
# 147,Seg1-147,[NWG2010] Seg1 147,n,,10:06:06.39,+15:47:09.5,19.38,18.72,-13.9,-17.8,22.5,35
# 148,Seg1-148,[NWG2010] Seg1 148,n,,10:06:21.43,+15:52:28.2,18.98,18.29,-10.2,-12.4,16.1,100
# 154,Seg1-154,[NWG2010] Seg1 154,n,,10:05:03.32,+15:40:48.3,17.52,16.60,-29.0,-24.1,37.7,95
# 156,Seg1-156,[NWG2010] Seg1 156,n,,10:06:10.80,+15:50:36.4,20.22,19.76,-12.8,-14.3,19.2,-8
# 157,Seg1-157,[NWG2010] Seg1 157,n,,10:06:36.70,+15:54:13.0,20.27,19.76,-6.6,-10.7,12.6,-20
# 160,Seg1-160,[NWG2010] Seg1 160,n,,10:06:23.32,+15:55:04.8,19.75,19.11,-9.8,-9.8,13.9,81
# 161,Seg1-161,[NWG2010] Seg1 161,n,,10:06:39.33,+16:00:08.6,19.46,18.91,-5.9,-4.8,7.6,269
# 163,Seg1-163,[NWG2010] Seg1 163,n,,10:05:51.38,+15:50:21.1,19.23,18.41,-17.5,-14.6,22.7,137
# 173,Seg1-173,[NWG2010] Seg1 173,n,,10:05:30.59,+15:54:18.1,19.80,19.29,-22.5,-10.6,24.8,305
# 174,Seg1-174,[NWG2010] Seg1 174,n,,10:05:20.06,+15:51:23.7,20.07,19.31,-25.0,-13.5,28.4,3
# 175,Seg1-175,[NWG2010] Seg1 175,n,,10:05:00.99,+15:52:59.0,19.62,19.07,-29.6,-11.9,31.9,-15
# 175,Seg1-175,[NWG2010] Seg1 175,n,,10:05:00.99,+15:52:59.0,19.62,19.07,-29.6,-11.9,31.9,-28
# 177,Seg1-177,[NWG2010] Seg1 177,n,,10:05:27.03,+15:56:34.2,18.39,17.66,-23.3,-8.3,24.8,94
# 179,Seg1-179,[NWG2010] Seg1 179,n,,10:04:49.96,+15:56:22.9,18.49,17.87,-32.2,-8.5,33.3,83
# 180,Seg1-180,[NWG2010] Seg1 180,n,,10:06:21.88,+15:53:03.4,19.18,18.51,-10.1,-11.9,15.6,-23
# 181,Seg1-181,[NWG2010] Seg1 181,n,,10:06:35.55,+16:04:15.0,18.69,17.99,-6.8,-0.7,6.9,69
# 182,Seg1-182,[NWG2010] Seg1 182,n,,10:06:10.62,+15:58:30.7,17.40,16.53,-12.8,-6.4,14.3,-11
# 188,Seg1-188,[NWG2010] Seg1 188,n,,10:06:34.93,+15:57:16.2,17.32,16.46,-7.0,-7.6,10.4,72
# 194,Seg1-194,[NWG2010] Seg1 194,n,,10:04:47.97,+16:03:48.6,19.54,18.92,-32.7,-1.1,32.7,139
# 195,Seg1-195,[NWG2010] Seg1 195,n,,10:04:28.53,+15:55:59.1,18.05,17.31,-37.4,-8.9,38.4,76
