ID,Name,Species,N,l_logepsX,logepsX,e_logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
G,DES J033556-540316,Ni I,1,<,4.76,,<,-1.46,<,2.08
G,DES J033556-540316,Sr II,1,<,-0.67,,<,-3.54,<,-0.00
G,DES J033556-540316,Y II,,,,,,,,
G,DES J033556-540316,Ba II,1,<,-1.26,,<,-3.44,<,0.10
G,DES J033556-540316,Ce II,,,,,,,,
G,DES J033556-540316,Nd II,,,,,,,,
G,DES J033556-540316,Eu II,1,<,-0.62,,<,-1.14,<,2.40
G,DES J033556-540316,Dy II,,,,,,,,
H,DES J033457-540531,C,2,,6.70,0.35,,-1.73,,0.35
H,DES J033457-540531,Na I,2,,4.25,0.38,,-1.99,,0.09
H,DES J033457-540531,Mg I,6,,5.76,0.24,,-1.84,,0.24
H,DES J033457-540531,Al I,2,,3.38,0.27,,-3.07,,-0.99
H,DES J033457-540531,Si I,2,,5.98,0.50,,-1.53,,0.55
H,DES J033457-540531,Ca I,5,,4.58,0.17,,-1.76,,0.32
H,DES J033457-540531,Sc II,5,,1.37,0.21,,-1.78,,0.30
H,DES J033457-540531,Ti II,14,,3.35,0.21,,-1.60,,0.48
H,DES J033457-540531,Cr I,3,,3.37,0.12,,-2.27,,-0.20
H,DES J033457-540531,Mn I,2,,2.65,0.35,,-2.78,,-0.70
H,DES J033457-540531,Fe I,67,,5.42,0.19,,-2.08,,0.00
H,DES J033457-540531,Fe II,7,,5.44,0.10,,-2.06,,0.01
H,DES J033457-540531,Co I,1,<,4.24,,<,-0.75,<,1.33
H,DES J033457-540531,Ni I,1,<,4.46,,<,-1.76,<,0.32
H,DES J033457-540531,Sr II,2,,1.17,0.41,,-1.71,,0.37
H,DES J033457-540531,Y II,2,,0.98,0.18,,-1.23,,0.85
H,DES J033457-540531,Ba II,5,,1.46,0.31,,-0.72,,1.36
H,DES J033457-540531,Ce II,1,,0.75,0.37,,-0.83,,1.25
H,DES J033457-540531,Nd II,3,,1.18,0.80,,-0.24,,1.83
H,DES J033457-540531,Eu II,3,,0.21,0.35,,-0.31,,1.76
H,DES J033457-540531,Dy II,2,,1.22,0.14,,0.12,,2.20
I,DES J033454-540558,C,2,,6.51,0.25,,-1.92,,0.85
I,DES J033454-540558,Na I,2,,3.37,0.29,,-2.88,,-0.11
