Species,lambda,chi,loggf,Ref
Ca I,4434.96,1.89,-0.01,2
Ca I,4455.89,1.90,-0.51,2
Ca I,6162.17,1.90,0.10,2
Sc II,4400.39,0.61,-1.76,6
Sc II,4415.54,0.60,-1.29,6
Sc II,4420.66,0.62,-2.94,6
Sc II,5526.79,1.77,-0.52,6
Ti I,4870.13,2.25,0.44,7
Ti I,4981.73,0.85,0.57,7
Ti I,5173.74,0.00,-1.06,7
Ti I,5186.32,2.12,-1.05,1
Ti I,5192.97,0.02,-0.95,7
Ti I,5193.88,2.34,-1.15,7
V I,4005.26,1.87,-3.58,8
V I,6274.65,0.27,-2.13,8
V I,6285.15,0.28,-2.08,8
V I,6531.43,1.22,-1.78,8
Cr I,4540.49,2.54,-0.52,9
Cr I,4541.06,2.54,-1.15,9
Cr I,4544.60,2.54,-0.59,9
Cr I,4545.95,0.94,-1.37,9
Cr I,5206.04,0.94,0.02,9
Cr I,5208.42,0.94,0.17,9
Cr I,5296.69,0.98,-1.36,9
Cr I,5298.28,0.98,-1.14,9
Mn I,4502.22,2.92,-1.48,10
Mn I,4754.04,2.28,-0.79,10
Mn I,4826.50,3.13,-10.54,10
Mn I,5341.05,2.11,-2.66,10
Mn I,5537.71,2.19,-2.81,10
Co I,3995.30,0.92,-1.11,11
Co I,4110.54,1.05,-2.21,11
Co I,4118.77,1.05,-1.12,11
Co I,4121.32,0.92,-1.66,11
Ni I,5115.00,3.09,-4.45,1
Ni I,5476.90,1.83,-0.78,12
Ni I,6643.63,1.68,-2.22,12
Ni I,6767.77,1.83,-2.14,12
Cu I,5015.54,1.39,-2.15,13
Cu I,5218.20,3.81,-0.66,13
Cu I,5782.13,1.64,-2.08,13
Zn I,4722.15,4.03,-0.34,1
Zn I,4810.53,4.08,-0.14,1
Ga I,4172.04,0.10,-0.27,1
Rb I,7800.26,0.00,0.14,1
Rb I,7947.60,0.00,-0.17,1
Sr II,4077.71,0.00,0.17,1
Sr II,4161.79,2.94,-0.50,1
Sr II,4215.52,0.00,-0.14,1
Y II,5119.11,0.99,-1.36,14
Y II,5200.41,0.99,-0.57,14
Y II,5205.73,1.03,-0.34,14
Y II,5289.82,1.03,-1.85,14
Zr II,4149.20,0.80,-0.03,15
Zr II,4161.21,0.71,-0.72,15
Zr II,4208.99,0.71,-0.46,15
Zr II,4211.91,0.53,-1.08,1
Nb II,3818.78,1.59,-0.14,1
Mo I,3864.10,0.00,-0.01,1
Tc I,4262.27,0.00,-0.35,16
Ru I,4709.48,1.13,-0.33,17
Ba II,4554.00,0.00,0.17,18
Ba II,4934.07,0.00,-2.36,18
Ba II,5853.69,0.60,-1.01,19
Ba II,6141.73,0.70,-0.08,19
La II,4662.50,0.00,-1.76,20
La II,4748.73,0.93,-0.54,20
La II,5290.82,0.00,-1.65,20
La II,5303.51,0.32,-1.87,20
La II,6262.29,0.40,-2.13,20
Ce II,4418.78,0.86,0.27,21
Ce II,4486.90,0.32,-1.87,21
Ce II,4562.36,0.48,0.21,21
Ce II,4628.16,0.52,0.14,21
Ce II,5274.23,1.04,0.13,21
Pr II,4408.82,0.00,-0.75,22
Pr II,4510.15,0.42,-0.46,22
Pr II,5259.73,0.63,-0.54,22
Pr II,5322.77,0.48,-0.92,22
Nd II,4706.54,0.00,-0.71,23
Nd II,4825.48,0.18,-0.42,23
Nd II,4914.38,0.38,-0.70,23
Nd II,5255.51,0.20,-0.67,23
Nd II,5293.16,0.82,0.10,23
Nd II,5319.81,0.55,-0.14,23
Sm II,4318.93,0.28,-0.25,24
Sm II,4424.34,0.48,0.14,24
Sm II,4537.94,0.48,-0.48,24
Sm II,4715.27,0.10,-1.46,24
Sm II,4719.84,0.04,-1.24,24
Eu II,4129.60,0.00,-1.03,25
Eu II,4205.01,0.00,-0.77,25
Eu II,4522.56,0.21,-1.27,25
Eu II,5966.05,1.25,-1.75,25
Eu II,6437.63,1.32,-1.07,25
Gd II,4215.02,0.43,-0.44,26
Gd II,4251.73,0.38,-0.22,26
Gd II,4498.29,0.43,-1.08,26
Tb II,4002.57,0.64,-0.49,27
Tb II,4005.47,0.13,-0.02,28
Tb II,4752.53,0.00,-0.55,28
Dy II,3944.68,0.00,0.11,29
Dy II,4103.31,0.10,-0.38,29
Dy II,4449.70,0.00,-1.03,29
Er II,3896.23,0.06,-0.12,30
Er II,3938.63,0.00,-0.52,1
Th II,4019.13,0.00,-0.65,1
