3524.54 Ni I  0.03 -0.03  4
3566.37 Ni I  0.42 -0.27  4
3597.70 Ni I  0.21 -1.09  4
3783.53 Ni I  0.42 -1.30  4
3807.14 Ni I  0.42 -1.18  4
4605.00 Ni I  3.48 -0.29  4
4686.22 Ni I  3.60 -0.64  4
4904.41 Ni I  3.54 -0.17  4
5081.11 Ni I  3.85 +0.30  4
5084.08 Ni I  3.68 +0.03  4
5115.40 Ni I  3.83 -0.11  4
5155.76 Ni I  3.90 -0.09  4
5476.91 Ni I  1.83 -0.89  4
6643.64 Ni I  1.68 -2.30  4
6767.77 Ni I  1.83 -2.17  4
5105.50 Cu I  1.39 -1.50 21
4680.14 Zn I  4.01 -0.85 22
4722.16 Zn I  4.03 -0.37 22
4810.54 Zn I  4.08 -0.15 22
4172.00 Ga I  0.10 -0.31  4
7800.28 Rb I  0.00 +0.14  4
4077.71 Sr II 0.00 +0.15  4
4215.52 Sr II 0.00 -0.17  4
3600.73 Y II  0.18 +0.34 23
3774.33 Y II  0.13 +0.29 23
4398.01 Y II  0.13 -0.75 23
4883.68 Y II  1.08 +0.19 23
5087.42 Y II  1.08 -0.16 23
5200.41 Y II  0.99 -0.47 23
5205.72 Y II  1.03 -0.28 23
4149.20 Zr II 0.80 -0.04 24
4161.20 Zr II 0.71 -0.59 24
4208.98 Zr II 0.71 -0.51 24
3818.86 Nb II 1.59 -0.22 25
3864.10 Mo I  0.00 -0.01 26
4262.27 Tc I  0.00 -0.35 27
3799.35 Ru I  0.00 +0.02 28
3801.01 Sn I  1.07 -0.74  4
4554.03 Ba II 0.00 +0.14 29
4934.08 Ba II 0.00 -0.16 29
5853.68 Ba II 0.60 -0.91 29
6141.71 Ba II 0.70 -0.03 29
6496.90 Ba II 0.60 -0.41 29
3988.51 La II 0.40 +0.21 30
3995.74 La II 0.17 -0.06 30
4086.71 La II 0.00 -0.07 30
4123.22 La II 0.32 +0.13 30
3999.24 Ce II 0.29 +0.06 31
4073.47 Ce II 0.48 +0.21 31
4083.22 Ce II 0.70 +0.27 31
4418.78 Ce II 0.86 +0.27 31
4562.36 Ce II 0.48 +0.21 31
4062.80 Pr II 0.42 +0.33 32
4143.13 Pr II 0.37 +0.60 32
4179.40 Pr II 0.20 +0.46 32
4222.95 Pr II 0.06 +0.23 32
4408.81 Pr II 0.00 +0.05 32
4109.45 Nd II 0.32 +0.35 33
4446.38 Nd II 0.20 -0.35 33
4462.98 Nd II 0.56 +0.04 33
4706.54 Nd II 0.00 -0.71 33
4825.48 Nd II 0.18 -0.42 33
4424.34 Sm II 0.48 +0.14 34
4467.34 Sm II 0.66 +0.15 34
3819.67 Eu II 0.00 +0.51 35
3907.11 Eu II 0.21 +0.17 35
4129.72 Eu II 0.00 +0.22 35
4205.04 Eu II 0.00 +0.21 35
4049.85 Gd II 0.99 +0.48 36
4130.37 Gd II 0.73 -0.02 36
4251.73 Gd II 0.38 -0.22 36
3848.73 Tb II 0.00 +0.28 37
3874.17 Tb II 0.00 +0.27 37
4002.57 Tb II 0.64 +0.10 37
4752.53 Tb II 0.00 -0.55 37
3757.37 Dy II 0.10 -0.17 38
3944.68 Dy II 0.00 +0.11 38
4103.31 Dy II 0.10 -0.38 38
4449.70 Dy II 0.00 -1.03 38
3810.71 Ho II 0.00 +0.19 39
3890.97 Ho II 0.08 +0.46 39
4045.45 Ho II 0.00 -0.05 39
3729.52 Er II 0.00 -0.59 40
3830.48 Er II 0.00 -0.22 40
3896.23 Er II 0.06 -0.12 40
3848.02 Tm II 0.00 -0.14 41
3996.51 Tm II 0.00 -1.20 41
3694.20 Yb II 0.00 -0.30 42
3918.09 Hf II 0.45 -1.14 43
4093.15 Hf II 0.45 -1.15 43
3513.65 Ir I  0.00 -1.21 44
3800.12 Ir I  0.00 -1.44 44
4057.81 Pb I  1.32 -0.22 45
3539.59 Th II 0.00 -0.54 46
4019.13 Th II 0.00 -0.23 46
4094.75 Th II 0.00 -0.88 46
