JINA_ID,Simbad_Identifier,RA_hms,DEC_dms,[Fe/H],[C/Fe],ul[C/Fe],ecc,Z_max,Reference,Name,Reference_2,Ref_2,Ref,Ncap_key,C_key,MP_key,Loc,System,RA_deg,DEC_deg,Priority,NLTE,alpha_key,Type,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Added_by,epsli,epsbe,epsc,epsn,epso,epsf,epsna,epsmg,epsal,epssi,epsp,epss,epsk,epsca,epssc,epsti,epsv,epscr,epsmn,epsfe,epsco,epsni,epscu,epszn,epsga,epsge,epsas,epsse,epsrb,epssr,epsy,epszr,epsnb,epsmo,epsru,epsrh,epspd,epsag,epscd,epssn,epste,epsba,epsla,epsce,epspr,epsnd,epssm,epseu,epsgd,epstb,epsdy,epsho,epser,epstm,epsyb,epslu,epshf,epsw,epsos,epsir,epspt,epsau,epshg,epspb,epsbi,epsth,epsu,ulli,ulbe,ulc,uln,ulo,ulf,ulna,ulmg,ulal,ulsi,ulp,uls,ulk,ulca,ulsc,ulti,ulv,ulcr,ulmn,ulfe,ulco,ulni,ulcu,ulzn,ulga,ulge,ulas,ulse,ulrb,ulsr,uly,ulzr,ulnb,ulmo,ulru,ulrh,ulpd,ulag,ulcd,ulsn,ulte,ulba,ulla,ulce,ulpr,ulnd,ulsm,uleu,ulgd,ultb,uldy,ulho,uler,ultm,ulyb,ullu,ulhf,ulw,ulos,ulir,ulpt,ulau,ulhg,ulpb,ulbi,ulth,ulu,[Li/H],[Be/H],[C/H],[N/H],[O/H],[F/H],[Na/H],[Mg/H],[Al/H],[Si/H],[P/H],[S/H],[K/H],[Ca/H],[Sc/H],[Ti/H],[V/H],[Cr/H],[Mn/H],[Co/H],[Ni/H],[Cu/H],[Zn/H],[Ga/H],[Ge/H],[As/H],[Se/H],[Rb/H],[Sr/H],[Y/H],[Zr/H],[Nb/H],[Mo/H],[Ru/H],[Rh/H],[Pd/H],[Ag/H],[Cd/H],[Sn/H],[Te/H],[Ba/H],[La/H],[Ce/H],[Pr/H],[Nd/H],[Sm/H],[Eu/H],[Gd/H],[Tb/H],[Dy/H],[Ho/H],[Er/H],[Tm/H],[Yb/H],[Lu/H],[Hf/H],[W/H],[Os/H],[Ir/H],[Pt/H],[Au/H],[Hg/H],[Pb/H],[Bi/H],[Th/H],[U/H],ul[Li/H],ul[Be/H],ul[C/H],ul[N/H],ul[O/H],ul[F/H],ul[Na/H],ul[Mg/H],ul[Al/H],ul[Si/H],ul[P/H],ul[S/H],ul[K/H],ul[Ca/H],ul[Sc/H],ul[Ti/H],ul[V/H],ul[Cr/H],ul[Mn/H],ul[Fe/H],ul[Co/H],ul[Ni/H],ul[Cu/H],ul[Zn/H],ul[Ga/H],ul[Ge/H],ul[As/H],ul[Se/H],ul[Rb/H],ul[Sr/H],ul[Y/H],ul[Zr/H],ul[Nb/H],ul[Mo/H],ul[Ru/H],ul[Rh/H],ul[Pd/H],ul[Ag/H],ul[Cd/H],ul[Sn/H],ul[Te/H],ul[Ba/H],ul[La/H],ul[Ce/H],ul[Pr/H],ul[Nd/H],ul[Sm/H],ul[Eu/H],ul[Gd/H],ul[Tb/H],ul[Dy/H],ul[Ho/H],ul[Er/H],ul[Tm/H],ul[Yb/H],ul[Lu/H],ul[Hf/H],ul[W/H],ul[Os/H],ul[Ir/H],ul[Pt/H],ul[Au/H],ul[Hg/H],ul[Pb/H],ul[Bi/H],ul[Th/H],ul[U/H],[Li/Fe],[Be/Fe],[N/Fe],[O/Fe],[F/Fe],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[P/Fe],[S/Fe],[K/Fe],[Ca/Fe],[Sc/Fe],[Ti/Fe],[V/Fe],[Cr/Fe],[Mn/Fe],[Co/Fe],[Ni/Fe],[Cu/Fe],[Zn/Fe],[Ga/Fe],[Ge/Fe],[As/Fe],[Se/Fe],[Rb/Fe],[Sr/Fe],[Y/Fe],[Zr/Fe],[Nb/Fe],[Mo/Fe],[Ru/Fe],[Rh/Fe],[Pd/Fe],[Ag/Fe],[Cd/Fe],[Sn/Fe],[Te/Fe],[Ba/Fe],[La/Fe],[Ce/Fe],[Pr/Fe],[Nd/Fe],[Sm/Fe],[Eu/Fe],[Gd/Fe],[Tb/Fe],[Dy/Fe],[Ho/Fe],[Er/Fe],[Tm/Fe],[Yb/Fe],[Lu/Fe],[Hf/Fe],[W/Fe],[Os/Fe],[Ir/Fe],[Pt/Fe],[Au/Fe],[Hg/Fe],[Pb/Fe],[Bi/Fe],[Th/Fe],[U/Fe],ul[Li/Fe],ul[Be/Fe],ul[N/Fe],ul[O/Fe],ul[F/Fe],ul[Na/Fe],ul[Mg/Fe],ul[Al/Fe],ul[Si/Fe],ul[P/Fe],ul[S/Fe],ul[K/Fe],ul[Ca/Fe],ul[Sc/Fe],ul[Ti/Fe],ul[V/Fe],ul[Cr/Fe],ul[Mn/Fe],ul[Co/Fe],ul[Ni/Fe],ul[Cu/Fe],ul[Zn/Fe],ul[Ga/Fe],ul[Ge/Fe],ul[As/Fe],ul[Se/Fe],ul[Rb/Fe],ul[Sr/Fe],ul[Y/Fe],ul[Zr/Fe],ul[Nb/Fe],ul[Mo/Fe],ul[Ru/Fe],ul[Rh/Fe],ul[Pd/Fe],ul[Ag/Fe],ul[Cd/Fe],ul[Sn/Fe],ul[Te/Fe],ul[Ba/Fe],ul[La/Fe],ul[Ce/Fe],ul[Pr/Fe],ul[Nd/Fe],ul[Sm/Fe],ul[Eu/Fe],ul[Gd/Fe],ul[Tb/Fe],ul[Dy/Fe],ul[Ho/Fe],ul[Er/Fe],ul[Tm/Fe],ul[Yb/Fe],ul[Lu/Fe],ul[Hf/Fe],ul[W/Fe],ul[Os/Fe],ul[Ir/Fe],ul[Pt/Fe],ul[Au/Fe],ul[Hg/Fe],ul[Pb/Fe],ul[Bi/Fe],ul[Th/Fe],ul[U/Fe]
2419,SMSS J155628.74-165533.4,15:56:28.74,-16:55:33.40,-2.79,0.36,,0.36,2.15,Mardini+2022,SMSS J155628.74-165533.4,Jacobson+2015,JAC15,MAR22,,,VMP,DW,Atari Disk,239.11975,-16.925944,1.0,,,RG,,,,,,,,,,,4837.0,1.45,-2.79,2.25,Abohalima,,,6,,,,3.84,5.33,2.98,5.4,,,,4.01,0.22,2.48,,2.68,2.16,4.71,2.27,3.68,,2,,,,,,-0.23,,,,,,,,,,,,-1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.12,,,,,,,,,,,,,,,,,,,,,,-2.43,,,,-2.4,-2.27,-3.47,-2.11,,,,-2.33,-2.93,-2.47,,-2.96,-3.27,-2.72,-2.54,,-2.56,,,,,,-3.1,,,,,,,,,,,,-3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.64,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.52,-0.68,0.68,,,,0.46,-0.14,0.32,,-0.17,-0.48,0.07,0.25,,0.23,,,,,,-0.31,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,
2507,TYC 4928-1438-1,11:18:35.88,-06:50:45.02,-3.73,0.08,,0.31,4.71,Mardini+2022,TYC 4928-1438-1,Hollek+2011,HOL11,MAR22,,,EMP,DW,Atari Disk,169.6495,-6.845839,1.0,,,RG,116.09,2013AJ....146..134K,,12.577,11.606,10.822,10.099,9.675,9.11,9.005,4400.0,0.1,-3.73,2.4,Abohalima,,,4.78,,,,,4.69,2.62,4.41,,,,2.94,-0.11,1.76,,,,3.77,1.65,2.93,,1.41,,,,,,-3.12,,,,,,,,,,,,-3.36,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.13,-1.04,,,,,,,,,,,-2.51,,,,,-3.14,,,,,,,,,,,,,,,,,,,,,,-3.65,,,,,-2.91,-3.83,-3.1,,,,-3.4,-3.26,-3.19,,,,-3.34,-3.29,,-3.15,,,,,,-5.99,,,,,,,,,,,,-5.54,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.34,-3.62,,,,,,,,,,,-3.61,,,,,-3.66,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,-0.1,0.63,,,,0.33,0.47,0.54,,,,0.39,0.44,,0.58,,,,,,-2.26,,,,,,,,,,,,-1.81,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.61,0.11,,,,,,,,,,,0.12,,,,,0.07,,,,,,,,,,,,,,,,,,,
2508,TYC 4961-1053-1,13:19:47.00,-04:23:10.25,-3.1,-0.52,,0.3,4.5,Mardini+2022,TYC 4961-1053-1,Hollek+2011,HOL11,MAR22,,,EMP,DW,Atari Disk,199.945833,-4.386181,1.0,,,RG,-38.0,2013MNRAS.434.1681C,,12.97,12.116,11.558,11.05,10.471,9.991,9.853,4525.0,0.3,-3.1,2.15,Abohalima,0.61,,4.81,,,,,5.06,3.01,5,,,,3.72,0.07,2.11,,2.32,1.9,4.4,1.97,3.22,,1.73,,,,,,-0.45,-1.29,-0.6,,,,,,,,,,-1.27,-2.18,,,,,-2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,,-3.62,,,,,-2.54,-3.44,-2.51,,,,-2.62,-3.08,-2.84,,-3.32,-3.53,-3.02,-3.0,,-2.83,,,,,,-3.32,-3.5,-3.18,,,,,,,,,,-3.45,-3.28,,,,,-3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,,,,,,0.56,-0.34,0.59,,,,0.48,0.02,0.26,,-0.22,-0.43,0.08,0.1,,0.27,,,,,,-0.22,-0.4,-0.08,,,,,,,,,,-0.35,-0.18,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,TYC 6393-564-1,22:49:23.56,-21:30:29.50,-2.38,,,0.54,2.96,Mardini+2022,TYC 6393-564-1,Ruchti+2011,RUC11,MAR22,,,VMP,DW,Atari Disk,342.348167,-21.508194,1.0,,,RG,-111.3,2011ApJ...737....9R,,12.98,12.54,,,10.599,10.161,10.06,5218.0,2.67,-2.38,1.4,Abohalima,,,,,,,,5.51,,,,,,4.23,,2.76,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.09,,,,,,-2.11,,-2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,0.27,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,TYC 7062-1120-1,05:51:42.14,-33:27:33.76,-2.46,,,0.68,1.71,Mardini+2022,TYC 7062-1120-1,Holmbeck+2020,HOL20,MAR22,,,VMP,DW,Atari Disk,87.925583,-33.459378,1.0,,alpha,RG,103.5,2011ApJ...737....9R,,12.61,11.91,,,10.08,9.579,9.455,4617.0,0.96,-2.46,1.9,Abohalima,,,,,,,,5.58,,5.54,,,,4.27,,2.67,,,,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.02,,-1.97,,,,-2.07,,-2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,0.49,,,,0.39,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,TYC 7602-1143-1,05:52:15.78,-39:53:18.47,-2.05,,,0.69,1.33,Mardini+2022,TYC 7602-1143-1,Ruchti+2011,RUC11,MAR22,,,VMP,DW,Atari Disk,88.06575,-39.888464,1.0,,,RG,102.0,2011ApJ...737....9R,,12.405,11.532,,,9.71,9.183,9.075,4875.0,1.87,-2.05,1.9,Abohalima,,,,,,,,5.85,,5.91,,,,4.63,,3.12,,,,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.75,,-1.6,,,,-1.71,,-1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.45,,,,0.34,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,SDSS J102915.14+172927.9,10:29:15.15,+17:29:27.88,-4.97,,0.74,0.06,2.47,Mardini+2022,SDSS J102915.14+172927.9,Caffau+2011,CAF11,MAR22,,,UMP,DW,Atari Disk,157.313125,17.491078,1.0,,,SG,,,,,,,15.98,15.51,15.13,15.15,5811.0,4.0,-4.97,1.5,Abohalima,,,,,,,,2.95,,3.25,,,,1.53,,,,,,2.53,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,4.2,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,-2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.65,,-4.26,,,,-4.81,,,,,,,-4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,-4.23,-4.73,,,,,,,,,,,,,,,,,,,,,,,,,,-5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,0.71,,,,0.16,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,HE 0017-4346,00:20:16.20,-43:30:18.00,-3.07,3.02,,0.52,2.7,Mardini+2022,HE 0017-4346,Cohen+2013,COH13,MAR22,S,CE,EMP,DW,Atari Disk,5.0675,-43.505,1.0,,,SG,58.9,2013ApJ...778...56C,,,15.88,,,,,,6198.0,3.8,-3.07,1.2,Abohalima,,,8.38,,,,4.64,5.39,3.36,,,,,3.69,,2.08,,,1.99,4.43,2.62,3.1,,,,,,,,0.64,-0.13,,,,,,,,,,,0.34,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.56,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,-1.6,-2.21,-3.09,,,,,-2.65,,-2.87,,,-3.44,-2.37,-3.12,,,,,,,,-2.23,-2.34,,,,,,,,,,,-1.84,-1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,1.47,0.86,-0.02,,,,,0.42,,0.2,,,-0.37,0.7,-0.05,,,,,,,,0.84,0.73,,,,,,,,,,,1.23,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,
2591,UCAC4 342-001270,01:07:31.23,-21:46:06.50,-2.55,,,0.11,3.28,Mardini+2022,UCAC4 342-001270,Cohen+2013,COH13,MAR22,,,VMP,DW,Atari Disk,16.880125,-21.768472,1.0,,alpha,MS,-77.3,2013ApJ...778...56C,,15.9,15.76,15.8,,14.78,14.413,14.436,6330.0,4.4,-2.55,1.6,Abohalima,,,,,,,,5.45,3.6,5.11,,,,4.01,0.82,3.21,,2.83,2.13,4.95,2.86,3.48,,,,,,,,0.04,,,,,,,,,,,,-0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.15,-2.85,-2.4,,,,-2.33,-2.33,-1.74,,-2.81,-3.3,-2.13,-2.74,,,,,,,,-2.83,,,,,,,,,,,,-3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,-0.3,0.15,,,,0.22,0.22,0.81,,-0.26,-0.75,0.42,-0.19,,,,,,,,-0.28,,,,,,,,,,,,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,
2609,UCAC4 371-007255,05:10:35.47,-15:51:38.30,-2.43,,,0.6,0.74,Mardini+2022,UCAC4 371-007255,Cohen+2013,COH13,MAR22,,,VMP,DW,Atari Disk,77.647792,-15.860639,1.0,,,MS,88.5,2013ApJ...778...56C,,15.2,15.38,14.8,,14.328,14.073,13.983,6365.0,4.4,-2.43,1.4,Abohalima,,,,,,,,5.55,3.8,5.11,,,,4.14,1.05,3.18,,2.94,2.28,5.07,2.85,3.8,,,,,,,,0.85,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.05,-2.65,-2.4,,,,-2.2,-2.1,-1.77,,-2.7,-3.15,-2.14,-2.42,,,,,,,,-2.02,,,,,,,,,,,,-2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.97,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,-0.22,0.03,,,,0.23,0.33,0.66,,-0.27,-0.72,0.29,0.01,,,,,,,,0.41,,,,,,,,,,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,
2645,HE 1424-0241,14:26:40.33,-02:54:27.49,-4.01,,0.84,0.41,3.5,Mardini+2022,HE 1424-0241,Cohen+2007,COH07,MAR22,,,UMP,DW,Atari Disk,216.668042,-2.907636,2.0,,,RG,59.8,2013ApJ...778...56C,,15.892,15.45,14.887,14.54,13.9,13.425,13.369,5195.0,2.5,-3.96,,Abohalima,,,,,,,2.32,4.03,2.35,2.59,,,,1.84,-0.95,,,1.33,1.59,3.49,1.98,2.52,,,,,,,,,,,,,,,,,,,,-2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,-2.75,-1.46,,,,,,,,,,,,,,,,,-1.95,,,,,,,,,,,,,,,,,,,,,,,,,,-3.92,-3.57,-4.1,-4.92,,,,-4.5,-4.1,,,-4.31,-3.84,-3.01,-3.7,,,,,,,,,,,,,,,,,,,,-4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.17,-2.73,,,,,,,,,,,,,,,,,,,,,,,,,,-5.62,-3.67,,,,,,,,,,,,,,,,,-2.47,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.44,-0.09,-0.91,,,,-0.49,-0.09,,,-0.3,0.17,1.0,0.31,,,,,,,,,,,,,,,,,,,,-0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,-1.61,0.34,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,
2657,UCAC4 452-052732,13:22:35.36,+00:22:32.60,-3.38,,,0.45,2.98,Mardini+2022,UCAC4 452-052732,Cohen+2013,COH13,MAR22,,,EMP,DW,Atari Disk,200.647333,0.375722,1.0,,,SG,22.0,2013ApJ...778...56C,,14.2,13.78,13.7,,12.863,12.624,12.574,6500.0,3.7,-3.38,1.9,Abohalima,,,,,,,,5.33,3.71,4.72,,,,3.99,0.56,2.64,,2.8,2.18,4.84,2.62,3.54,,,,,,,,-0.35,,,,,,,,,,,,-1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.27,-2.74,-2.79,,,,-2.35,-2.59,-2.31,,-2.84,-3.25,-2.37,-2.68,,,,,,,,-3.22,,,,,,,,,,,,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,-0.08,-0.13,,,,0.31,0.07,0.35,,-0.18,-0.59,0.29,-0.02,,,,,,,,-0.56,,,,,,,,,,,,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,
2665,HE 1300+0157,13:02:56.24,+01:41:52.12,-3.78,1.24,,0.26,2.8,Mardini+2022,HE 1300+0157,Frebel+2007a,FRE7a,MAR22,,NO,EMP,DW,Atari Disk,195.734333,1.697811,2.0,,,RG,73.4,2013ApJ...778...56C,,14.536,14.11,13.678,13.261,12.809,12.419,12.351,5450.0,3.2,-3.88,1.54,Abohalima,1.06,,5.89,,6.54,,2.44,4.1,2.04,4.5,,,,2.98,-0.37,1.77,1.15,1.51,0.89,3.72,1.8,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,,,,,,,,,,,,,,,,,,,,1.63,,,,,,-2.64,-0.93,-0.07,,,,,,,,,,-2.56,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,-2.54,,-2.15,,-3.8,-3.5,-4.41,-3.01,,,,-3.36,-3.52,-3.18,-2.78,-4.13,-4.54,-3.19,-3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.71,,,,,,,,,,,,,,,,,,,,-2.93,,,,,,-5.51,-3.14,-2.65,,,,,,,,,,-4.74,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,,,1.63,,-0.02,0.28,-0.63,0.77,,,,0.42,0.26,0.6,1.0,-0.35,-0.76,0.59,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,0.85,,,,,,-1.73,0.64,1.13,,,,,,,,,,-0.96,,,,,,,,,,,,,,,,,,,,,,,,,
5731,2MASS J14355850-0719265,14:35:58.50,-07:19:26.50,-2.99,-0.4,,0.45,3.02,Mardini+2022,2MASS J14355850-0719265,Ezzeddine+2020,EZZ20,MAR22,,,VMP,DW,Atari Disk,218.99375,-7.324028,1.0,,,,,,,,12.877,,,,,,4617.0,1.25,-2.99,2.15,Mardini,,,5.04,,7.74,,4.31,6.13,,5.97,,,3.95,4.72,1.56,3.37,2.55,3.94,3.59,4.51,3.73,4.35,,2.83,,,,,,-0.12,,,,,,,,,,,,-0.91,,,,,,-2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.39,,-0.95,,-1.93,-1.47,,-1.54,,,-1.08,-1.62,-1.59,-1.58,-1.38,-1.7,-1.84,-1.26,-1.87,,-1.73,,,,,,-2.99,,,,,,,,,,,,-3.09,,,,,,-2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,1.06,1.52,,1.45,,,1.91,1.37,1.4,1.41,1.61,1.29,1.15,1.73,1.12,,1.26,,,,,,0.0,,,,,,,,,,,,-0.1,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5755,2MASS J18284356-8441346,18:28:43.44,-84:41:34.81,-2.03,-0.39,,0.32,3.19,Mardini+2022,2MASS J18284356-8441346,Ezzeddine+2020,EZZ20,MAR22,,,VMP,DW,Atari Disk,277.181,-84.693003,1.0,,,,,,,,11.527,,,,,,4648.0,2.95,-2.03,1.8,Mardini,,,6.01,,8.49,,5.41,6.94,,7.42,,,4.46,5.56,2.79,4.15,,4.77,4.6,5.47,,5.2,,3.64,,,,,,1.55,,,,,,,,,,,,1.46,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.42,,-0.2,,-0.83,-0.66,,-0.09,,,-0.57,-0.78,-0.36,-0.8,,-0.87,-0.83,,-1.02,,-0.92,,,,,,-1.32,,,,,,,,,,,,-0.72,,,,,,-0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,1.2,1.37,,1.94,,,1.46,1.25,1.67,1.23,,1.16,1.2,,1.01,,1.11,,,,,,0.71,,,,,,,,,,,,1.31,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
