Name,Ion,Species,l_logepsX,logepsX
CS 29495-041,Y II,39.1,,-1.02
CS 29495-041,La II,57.1,,-2.17
CS 29495-041,Eu II,63.1,,-2.39
CS 29495-041,Pb I,82.0,,
CS 29497-004,Fe I,26.0,,-10.16
CS 29497-004,Zn I,30.0,,2.2
CS 29497-004,Y II,39.1,,0.3
CS 29497-004,La II,57.1,,-0.38
CS 29497-004,Eu II,63.1,,-0.45
CS 29497-004,Pb I,82.0,,
CS 29516-024,Fe I,26.0,,-10.56
CS 29516-024,Zn I,30.0,,1.74
CS 29516-024,Y II,39.1,,-1.59
CS 29516-024,La II,57.1,,-2.57
CS 29516-024,Eu II,63.1,,-2.79
CS 29516-024,Pb I,82.0,,
CS 29518-051,Fe I,26.0,,-10.28
CS 29518-051,Zn I,30.0,,2.17
CS 29518-051,Y II,39.1,,-0.63
CS 29518-051,La II,57.1,,-2.17
CS 29518-051,Eu II,63.1,,
CS 29518-051,Pb I,82.0,,
CS 30306-132,Fe I,26.0,,-9.92
CS 30306-132,Zn I,30.0,,
CS 30306-132,Y II,39.1,,-0.07
CS 30306-132,La II,57.1,,-0.78
CS 30306-132,Eu II,63.1,,-1.02
CS 30306-132,Pb I,82.0,<,0.5
CS 31078-018,Fe I,26.0,,-10.34
CS 31078-018,Zn I,30.0,,2.13
CS 31078-018,Y II,39.1,,-0.43
CS 31078-018,La II,57.1,,-1.0
CS 31078-018,Eu II,63.1,,-1.17
CS 31078-018,Pb I,82.0,<,0.25
CS 31082-001,Fe I,26.0,,-10.4
CS 31082-001,Zn I,30.0,,1.88
CS 31082-001,Y II,39.1,,-0.23
CS 31082-001,La II,57.1,,-0.62
CS 31082-001,Eu II,63.1,,-0.72
CS 31082-001,Pb I,82.0,,-0.55
G005-001,Fe I,26.0,,-8.74
G005-001,Zn I,30.0,,3.5
G005-001,Y II,39.1,,0.73
G005-001,La II,57.1,,-0.09
G005-001,Eu II,63.1,,-0.38
G005-001,Pb I,82.0,<,1.35
G009-036,Fe I,26.0,,-8.67
G009-036,Zn I,30.0,,3.14
G009-036,Y II,39.1,,0.31
G009-036,La II,57.1,,0.26
G009-036,Eu II,63.1,,-0.16
G009-036,Pb I,82.0,,1.25
G017-025,Fe I,26.0,,-9.04
G017-025,Zn I,30.0,,3.4
G017-025,Y II,39.1,,0.87
G017-025,La II,57.1,,
G017-025,Eu II,63.1,,
G017-025,Pb I,82.0,,0.64
G023-014,Fe I,26.0,,-9.14
G023-014,Zn I,30.0,,3.05
G023-014,Y II,39.1,,0.46
G023-014,La II,57.1,,-0.33
G023-014,Eu II,63.1,,-0.58
G023-014,Pb I,82.0,<,0.75
G028-043,Fe I,26.0,,-9.14
G028-043,Zn I,30.0,,3.03
G028-043,Y II,39.1,,0.39
