Name,I/O,Simbad_Identifier,Loc,System,Slit,Reference,Ref,Instrument,Ncap_key,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,logg,Teff,ulc,epsc,e_c,ll[Fe/H],[Fe/H],e_[Fe/H],ul[C/Fe],[C/Fe],e_[C/Fe],[C/Fe]c,ul[C/Fe]f,[C/Fe]f,e_[C/Fe]f,[Ba/H]
10_8_320,1,[CSF2018] 10-8-320,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:01:22.24,-33:46:21.81,15.342667,-33.772725,1.1,4493,,,,,-3.00,0.15,,-0.39,0.40,0.72,,0.33,,
10_8_3315,1,[CSF2018] 10-8-3315,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:05.93,-33:45:56.39,15.024708,-33.765664,0.99,4465,,,,,-2.54,0.18,,-0.59,0.35,0.76,,0.17,,
10_8_3520,1,[CSF2018] 10-8-3520,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:03.27,-33:47:44.44,15.013625,-33.795678,1.33,4591,,,,,-2.85,0.21,,-0.38,0.38,0.59,,0.21,,
10_8_3558,1,[CSF2018] 10-8-3558,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,01:00:02.65,-33:49:18.73,15.011042,-33.821869,3.02,5309,,,,,-2.48,0.31,0.4,,,0.01,0.41,,,
10_8_3625,1,[CSF2018] 10-8-3625,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:01.44,-33:51:16.74,15.006,-33.85465,1.0,4469,,,,,-2.11,0.17,,-0.84,0.31,0.75,,-0.09,,
10_8_3698,1,[CSF2018] 10-8-3698,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,01:00:00.04,-33:45:28.81,15.000167,-33.758003,1.18,4546,,,,,-2.59,0.21,,-0.47,0.38,0.69,,0.22,,
10_8_3709,1,[CSF2018] 10-8-3709,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:59.95,-33:47:02.03,14.999792,-33.783897,1.67,4742,,,,,-2.85,0.24,,0.26,0.40,0.25,,0.51,,
10_8_3723,1,[CSF2018] 10-8-3723,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,Blueward_of_RGB,00:59:59.92,-33:51:11.79,14.999667,-33.853275,2.96,5286,,,,,-2.38,0.82,0.40,,,0.01,0.41,,,
10_8_3751,1,[CSF2018] 10-8-3751,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,,RGB,00:59:59.33,-33:44:24.34,14.997208,-33.740094,1.6,4711,,,,,-3.05,0.24,,0.18,0.39,0.3,,0.48,,
10_8_3804,1,[CSF2018] 10-8-3804,DW,Sculptor,,Chiti+2018a,CHI18a,M2FS,S,CEMP-s,00:59:58.91,-33:50:53.61,14.995458,-33.848225,1.63,4727,,,,-3.15,,,,,,,,,,
