Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
J064013.1-354044,TYC 7099-1614-1,,,06:40:13.1813,-35:40:44.409,100.055,-35.679,11.2,20090216,ESO,130
J064211.9-650134,CPD-64   610,,,06:42:12.0124,-65:01:34.308,100.55,-65.026,9.7,20090215,ESO,160
J070028.0-270512,TYC 6531-554-1,,,07:00:28.0761,-27:05:12.592,105.117,-27.087,9.5,20090212,ESO,160
J070333.5-291748,TYC 6535-3183-1,,,07:03:33.5871,-29:17:47.876,105.89,-29.297,9.8,20090214,ESO,140
J070648.0-324056,TYC 7094-133-1,,,07:06:48.0883,-32:40:56.239,106.7,-32.682,10.7,20080317,APO,120
J073554.7-351938,CD-35  3714,,,07:35:54.7400,-35:19:38.180,113.978,-35.327,9.2,20090215,ESO,110
J081343.6-233252,TYC 6555-1318-1,,,08:13:43.6445,-23:32:52.844,123.432,-23.548,10.1,20090214,ESO,130
J082838.7-482652,TYC 8154-6786-1,,,08:28:38.7902,-48:26:52.333,127.162,-48.448,10.5,20090214,ESO,150
J085934.2-053404,TYC 4873-1606-1,,,08:59:34.2131,-05:34:04.834,134.893,-5.568,9.4,20080324,APO,180
J090722.4-283415,TYC 6598-636-1,,,09:07:22.3840,-28:34:15.282,136.843,-28.571,10.9,20090215,ESO,130
J090922.5-272207,TYC 6594-1176-1,,,09:09:22.5046,-27:22:07.758,137.344,-27.369,10.8,20090216,ESO,130
J093101.0-030405,BD-02  2914,,,09:31:01.0248,-03:04:05.315,142.754,-3.068,9.9,20080317,APO,170
J093101.0-030405,BD-02  2914,,,09:31:01.0248,-03:04:05.315,142.754,-3.068,9.9,combo,APO,180
J093121.3-332635,CD-32  6470,,,09:31:21.3585,-33:26:35.458,142.839,-33.443,10.2,20090215,ESO,180
J093619.9-205314,HD  83212,,,09:36:19.9521,-20:53:14.748,144.083,-20.887,9.2,20090212,ESO,200
J100310.2-203704,TYC 6054-91-1,,,10:03:10.2410,-20:37:03.890,150.793,-20.618,10.1,20090217,ESO,130
J100334.4-170612,TYC 6050-1502-1,,,10:03:34.3897,-17:06:12.143,150.893,-17.103,10.3,20080324,APO,160
J100603.1-114029,BD-10  2990,,,10:06:03.1157,-11:40:29.490,151.513,-11.675,9.2,20071219,APO,180
J101915.7-192446,TYC 6068-514-1,,,10:19:15.7321,-19:24:46.374,154.816,-19.413,10.2,20090216,ESO,130
J102436.9-063029,TYC 4911-1483-1,,,10:24:36.9464,-06:30:29.591,156.154,-6.508,10.5,20090214,ESO,100
J102818.1-280723,TYC 6628-769-1,,,10:28:18.0960,-28:07:23.902,157.075,-28.123,10.0,20090215,ESO,150
J103742.2-104232,BD-09  3110,,,10:37:42.2178,-10:42:32.788,159.426,-10.709,9.4,20090213,ESO,160
J103748.8-350618,TYC 7193-332-1,,,10:37:48.9096,-35:06:18.310,159.454,-35.105,10.5,20090212,ESO,140
J104034.8-112021,TYC 5495-873-1,,,10:40:34.8899,-11:20:21.602,160.145,-11.339,10.2,20080324,APO,130
J104610.9-023806,BD-01  2439,,,10:46:10.9652,-02:38:06.698,161.546,-2.635,9.4,20090213,ESO,110
J104943.6-092646,BD-08  3016,,,10:49:43.6018,-09:26:46.377,162.432,-9.446,9.3,20071219,APO,160
J105252.9-262048,CD-25  8298,,,10:52:52.9188,-26:20:48.576,163.221,-26.347,9.2,20090218,ESO,200
J105642.1-273735,TYC 6643-289-1,,,10:56:42.1412,-27:37:35.257,164.176,-27.626,11.1,20080317,APO,200
J105811.4-263418,CD-25  8351,,,10:58:11.4087,-26:34:17.997,164.548,-26.572,9.2,20090217,ESO,150
J110248.5-030125,TYC 4924-33-1,,,11:02:48.5835,-03:01:26.109,165.702,-3.024,10.8,20070506,LCO,130
J110416.2-124129,HD  95982,,,11:04:16.1920,-12:41:29.574,166.067,-12.692,9.4,20090216,ESO,160
J110708.8-265825,TYC 6644-868-1,,,11:07:08.8428,-26:58:24.857,166.787,-26.974,10.9,20090214,ESO,110
J110746.5-033433,UCAC2  30538222,,,11:07:46.5404,-03:34:33.898,166.944,-3.576,10.5,20070506,LCO,200
