Name,Teff,logg,[M/H],Vmic
T5552_00154_1,4334,0.66,-1.45,1.8
T5762_00685_1,4903,2.68,-1.05,1.1
T5789_00559_1,4385,1.12,-1.13,1.7
T5843_00314_1,4782,1.84,-1.67,1.6
T5866_00288_1,6036,4.18,-0.57,1.1
T5875_00738_1,4350,1.03,-1.34,1.5
T5911_00452_1,6445,4.16,-2.12,1.5
T6090_00859_1,6131,3.85,-0.63,1.5
T6092_00035_1,6269,4.1,-0.47,1.3
T6105_00098_1,4555,2.07,-0.8,1.4
T6117_01347_1,5009,2.28,-0.77,1.3
T6122_00253_1,6084,4.05,-0.71,1.2
T6141_00148_1,5818,4.17,-0.63,0.9
T6170_00280_1,6413,3.96,-0.83,1.8
T6333_00173_1,6224,4.03,-0.52,1.2
T6333_01571_1,6026,4.03,-0.48,1.1
T6338_00797_1,4297,0.84,-1.58,2.0
T6340_00478_1,5636,4.09,-0.63,0.8
T6412_00004_1,6217,3.83,-0.59,1.5
T6444_00154_1,4915,2.64,-1.11,0.9
T6501_01104_1,5013,2.32,-1.67,1.6
T6640_00549_1,6373,4.11,-0.5,1.5
T6642_00874_1,4878,2.87,-0.95,1.5
T6695_00459_1,4942,1.33,-1.86,1.9
T6703_00690_1,5321,1.86,-1.2,1.9
T6709_00331_1,4479,0.94,-1.75,1.9
T6718_00241_1,5077,2.1,-0.93,1.6
T6757_00705_1,4310,0.79,-1.56,2.0
T6904_00180_1,6143,3.88,-0.67,1.5
T6909_00633_1,5808,4.21,-0.86,0.7
T6909_01741_1,5000,2.47,-0.53,1.5
T6913_00155_1,4392,0.84,-2.02,1.9
T6953_00510_1,4834,1.54,-2.01,1.9
T6975_00058_1,5875,3.58,-0.55,1.2
T6975_00904_1,4912,1.76,-2.13,2.0
T7217_00088_1,4868,2.11,-1.39,1.5
T7222_00638_1,4443,0.87,-1.38,2.0
T7228_01050_1,4928,2.05,-1.68,1.6
T7232_00209_1,4640,2.06,-0.67,1.2
T7242_00198_1,5447,2.22,-1.2,1.9
T7299_00506_1,4559,1.95,-0.91,1.3
T7464_00857_1,4318,1.78,-0.85,2.0
T7538_00271_1,6282,4.07,-0.61,1.3
T7578_00560_1,5792,4.15,-0.87,0.8
T7729_00280_1,5516,2.28,-1.15,2.1
T7922_00252_1,6164,3.93,-0.64,1.4
T8055_00583_1,4744,1.62,-1.66,1.8
T8117_00251_1,5818,4.27,-1.18,0.7
T8251_00250_1,4982,2.47,-1.11,1.2
T8409_01371_1,4194,1.29,-0.92,1.6
T8413_00131_1,4199,1.21,-0.81,1.5
T8428_00929_1,4894,2.24,-1.51,1.4
T8446_00381_1,4459,0.89,-1.82,1.9
T8454_00937_1,5597,4.17,-0.88,0.7
T8488_00009_1,5180,2.02,-1.11,1.7
T8519_00103_1,6118,4.18,-0.61,1.2
T8789_00425_1,4351,1.03,-1.55,1.9
T8824_00811_1,5782,3.82,-1.07,-0.0
T8847_00274_1,4930,2.17,-1.51,1.4
T8865_00425_1,4623,1.62,-1.24,1.4
T8870_00259_1,6002,3.9,-1.52,1.2
T9159_01533_1,4790,2.16,-1.12,1.1
T9161_00706_1,5037,1.97,-1.38,1.6
T9169_01585_1,4645,1.63,-0.87,1.6
T9378_00079_1,4933,2.05,-1.75,1.7
T9392_00902_1,5808,4.37,-0.54,0.8
