Name,Z,Species,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
Gaia DR3 6725661847747358336,22,Ti II,,-3.26,,0.19
Gaia DR3 6725661847747358336,24,Cr I,,-3.64,,-0.2
Gaia DR3 6725661847747358336,26,Fe I,,-3.44,,0
Gaia DR3 6725661847747358336,28,Ni I,,-3.63,,-0.19
Gaia DR3 6725661847747358336,38,Sr II,,-4.9,,-1.46
Gaia DR3 6725661847747358336,56,Ba II,,-5,,-1.56
Gaia DR3 6725661847747358336,63,Eu II,,,,
Gaia DR3 6726207068062588160,6,C-H,,-2.61,,0.86
Gaia DR3 6726207068062588160,12,Mg I,,-2.79,,0.69
Gaia DR3 6726207068062588160,14,Si I,,-3.14,,0.34
Gaia DR3 6726207068062588160,20,Ca I,,-2.96,,0.51
Gaia DR3 6726207068062588160,22,Ti I,,-3.03,,0.45
Gaia DR3 6726207068062588160,22,Ti II,,-3.13,,0.35
Gaia DR3 6726207068062588160,24,Cr I,,-3.7,,-0.23
Gaia DR3 6726207068062588160,26,Fe I,,-3.47,,0
Gaia DR3 6726207068062588160,28,Ni I,,-3.43,,0.04
Gaia DR3 6726207068062588160,38,Sr II,,-4.93,,-1.45
Gaia DR3 6726207068062588160,56,Ba II,,-4.89,,-1.42
Gaia DR3 6726207068062588160,63,Eu II,,,,
SMSS J030634.26-750133.3,6,C-H,,-3.12,,-0.1
SMSS J030634.26-750133.3,12,Mg I,,-2.82,,0.2
SMSS J030634.26-750133.3,14,Si I,,-2.78,,0.24
SMSS J030634.26-750133.3,20,Ca I,,-2.93,,0.1
SMSS J030634.26-750133.3,22,Ti I,,-2.8,,0.22
SMSS J030634.26-750133.3,22,Ti II,,-2.91,,0.11
SMSS J030634.26-750133.3,24,Cr I,,-3.27,,-0.25
SMSS J030634.26-750133.3,26,Fe I,,-3.02,,0
SMSS J030634.26-750133.3,28,Ni I,,-2.98,,0.04
SMSS J030634.26-750133.3,38,Sr II,,-4.52,,-1.49
SMSS J030634.26-750133.3,56,Ba II,,-4.66,,-1.63
SMSS J030634.26-750133.3,63,Eu II,,,,
SMSS J030740.92-610018.8,6,C-H,,-3.05,,0.1
SMSS J030740.92-610018.8,12,Mg I,,-2.35,,0.8
SMSS J030740.92-610018.8,14,Si I,,-1.95,,1.2
SMSS J030740.92-610018.8,20,Ca I,,-2.72,,0.43
SMSS J030740.92-610018.8,22,Ti I,,-2.9,,0.25
SMSS J030740.92-610018.8,22,Ti II,,-2.92,,0.23
SMSS J030740.92-610018.8,24,Cr I,,-3.64,,-0.49
SMSS J030740.92-610018.8,26,Fe I,,-3.15,,0
SMSS J030740.92-610018.8,28,Ni I,,-3.06,,0.09
SMSS J030740.92-610018.8,38,Sr II,,-5.5,,-2.35
SMSS J030740.92-610018.8,56,Ba II,,-4.23,,-1.08
SMSS J030740.92-610018.8,63,Eu II,,,,
SMSS J090921.70-163821.1,6,C-H,,-3.51,,0.54
SMSS J090921.70-163821.1,12,Mg I,,-3.83,,0.22
SMSS J090921.70-163821.1,14,Si I,,-3.15,,0.9
SMSS J090921.70-163821.1,20,Ca I,,-3.73,,0.32
SMSS J090921.70-163821.1,22,Ti I,,-4.32,,-0.27
SMSS J090921.70-163821.1,22,Ti II,,-3.9,,0.15
SMSS J090921.70-163821.1,24,Cr I,,-5.2,,-1.14
SMSS J090921.70-163821.1,26,Fe I,,-4.05,,0
SMSS J090921.70-163821.1,28,Ni I,,-4.78,,-0.73
SMSS J090921.70-163821.1,38,Sr II,,-6.39,,-2.34
SMSS J090921.70-163821.1,56,Ba II,,-5.98,,-1.93
SMSS J090921.70-163821.1,63,Eu II,,,,
