Name,System,RA_deg,DEC_deg,RA_hms,DEC_dms,[C/Fe],[N/Fe],[O/Fe],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[K/Fe],[CaI/Fe],[ScII/Fe],[TiII/Fe],[CrI/Fe],[Mn/Fe],[Fe/H],[Co/Fe],[Ni/Fe],[Zn/Fe],[Sr/Fe],[Ba/Fe],[Eu/Fe],Teff,logg,Vmic,Reference,Reference2,Reference3
Boo-117,Bootes I,210.0437083333333,14.529305555555556,14:00:10.49,+14:31:45.5,0.04,,,-0.05,0.30,,0.10,,0.15,-0.02,0.20,-0.15,,-2.05,,-0.05,0.13,-1.22,-0.65,,4750,1.40,1.80,Gilmore+2013,Norris+2010,Ishigak+2014
Boo-119,Bootes I,210.04104166666664,14.473027777777778,14:00:09.85,+14:28:22.9,2.16,,,0.75,1.14,,,,0.67,,0.92,0.06,,-3.44,,,,,,,4750,1.40,2.90,Gilmore+2013,Lai+2011,
Boo-121,Bootes I,210.15216666666663,14.657583333333333,14:00:36.52,+14:39:27.3,0.62,,,,0.20,,,,0.24,,0.07,,,-2.49,,,,,-0.63,,4500,0.80,2.10,Ishigaki+2014,Norris+2010,
Boo-127,Bootes I,210.0607083333333,14.597972222222223,14:00:14.57,+14:35:52.7,0.37,,,-0.02,0.41,-0.89,0.76,,0.24,-0.09,0.33,-0.09,-0.50,-1.99,-0.12,-0.07,<-0.05,-1.20,-0.72,<0.10,4765,1.35,2.30,Frebel+2014,,
Boo-130,Bootes I,209.9540833333333,14.501722222222222,13:59:48.98,+14:30:06.2,0.17,,,,0.32,,,,0.31,0.03,0.22,0.13,,-2.28,,0.12,,,-0.51,,4800,1.40,2.10,Gilmore+2013,Norris+2010,
Boo-911,Bootes I,210.0044583333333,14.614305555555555,14:00:01.07,+14:36:51.5,-0.01,,,-0.28,0.35,,,,-0.01,,0.02,-0.65,,-2.16,,-0.16,<-0.20,,-0.64,,4500,0.90,1.70,Ishigaki+2014,,
Boo-980,Bootes I,209.8028333333333,13.715499999999999,13:59:12.68,+13:42:55.8,0.13,,,0.33,0.29,-0.77,0.44,,0.30,-0.01,0.43,-0.45,-0.44,-3.06,0.53,0.07,0.40,-0.95,-1.23,<0.10,4720,1.40,2.20,Frebel+2014,,
Boo-1137,Bootes I,209.64083333333332,14.352222222222222,13:58:33.8,+14:21:08,0.90,1.10,<1.94,-0.06,0.47,-0.61,0.77,,0.52,-0.16,0.52,-0.41,-0.56,-3.66,0.25,-0.18,<0.70,-1.42,-0.59,<0.49,4700,1.20,2.20,Norris+2010b,,
#Hercules-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herc42241,Hercules,247.73849,12.78898,,,,,,0.78,0.81,<0.75,<0.58,,-0.13,0.04,,-0.05,0.23,-2.02,0.53,0.30,,,<-2.14,,4270,0.69,2.50,Koch+2008,,
#Hercules-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herc41082,Hercules,247.84564,12.74666,,,,,,0.62,0.77,,<0.63,,0.19,0.26,,-0.14,0.42,-2.04,0.12,,,,<-2.10,,4340,0.91,2.50,Koch+2008,,
Herc12175,Hercules,247.81591,12.58238,,,,,,,,,,,0.28,,,,,-3.17,,,,,<-1.24,,,,,Koch+2013,,
Herc12729,Hercules,247.78123,12.52606,,,,,,,,,,,,,,,,-2.35,,,,,<-0.53,,,,,Koch+2013,,
Herc40789,Hercules,247.87404,12.7403,,,,,,,,,,,-0.18,,,,,-2.88,,,,,<-0.79,,,,,Koch+2013,,
Herc40993,Hercules,247.85432,12.75811,,,,,,,,,,,-0.30,,,,,-2.38,,,,,<-1.31,,,,,Koch+2013,,
Herc41460,Hercules,247.8086,12.75741,,,,,,,,,,,0.32,,,,,-3.10,,,,,<-0.50,,,,,Koch+2013,,
Herc41743,Hercules,247.78386,12.8017,,,,,,,,,,,-0.09,,,,,-2.42,,,,,<-1.26,,,,,Koch+2013,,
Herc42096,Hercules,247.75261,12.8255,,,,,,,,,,,0.20,,,,,-2.60,,,,,<-1.21,,,,,Koch+2013,,
Herc42149,Hercules,247.74718,12.79045,,,,,,,,,,,-0.13,,,,,-2.95,,,,,<-1.22,,,,,Koch+2013,,
Herc42324,Hercules,247.73111,12.76968,,,,,,,,,,,0.10,,,,,-2.70,,,,,<-0.66,,,,,Koch+2013,,
Herc42795,Hercules,247.68541,12.82996,,,,,,,,,,,0.06,,,,,-3.17,,,,,<-0.65,,,,,Koch+2013,,
Segue2-1,Segue 2,34.88804166666666,20.14172222222222,02:19:33.13,+20:08:30.2,0.03,<1.81,<0.95,0.16,0.31,-0.60,0.15,0.30,0.17,0.19,0.28,-0.28,-0.51,-2.96,-0.39,0.08,0.37,-1.35,-1.00,<-0.30,4566,1.36,1.85,Roederer+2014,,
CVnII-1,Canes Venatici II,194.30666666666664,34.313027777777776,12:57:13.6,+34:18:46.9,,,,-0.05,0.16,,,,,,,,,-2.58,,,,1.32,<-1.28,,4590,1.20,2.00,Francois+2016,,
RetII-01,Reticulum II,53.84934499999999,-54.068794,03:35:23.84,-54:04:07.66,1.29,,,0.30,0.46,-0.66,0.69,,0.20,-0.17,0.29,-0.41,-0.38,-3.01,0.06,-0.16,,0.18,0.79,1.68,4608,1.00,2.40,Ji+2016b,,
RetII-02,Reticulum II,54.03229,-54.04321700000001,03:36:07.75,-54:02:35.58,0.77,,,0.15,0.38,-0.74,0.45,0.68,0.37,0.14,0.36,-0.23,-0.87,-2.97,0.32,-0.15,,0.62,0.91,1.74,4833,1.55,2.15,Ji+2016b,,
RetII-03,Reticulum II,53.699746,-54.090285,03:34:47.94,-54:05:25.03,0.42,,,0.35,0.45,-0.75,0.26,0.31,0.32,-0.08,0.17,-0.19,-1.00,-2.91,0.37,0.00,,0.35,1.08,1.87,4900,1.70,1.90,Ji+2016b,,
RetII-04,Reticulum II,53.879746,-54.03006600000001,03:35:31.14,-54:01:48.24,0.22,,,0.97,0.69,-0.68,0.54,0.87,0.32,0.30,0.43,-0.23,-0.75,-3.34,0.74,-0.17,,-1.73,<-1.51,<1.50,4925,1.90,1.80,Ji+2016b,Roederer+2016,
RetII-05,Reticulum II,53.95016800000001,-54.06384499999999,03:35:48.04,-54:03:49.84,0.51,,,-0.09,-0.08,<-0.60,0.02,-0.35,0.39,-0.68,0.63,0.02,-0.40,-2.19,0.21,0.07,,-0.35,0.36,0.95,5125,2.35,1.75,Ji+2016b,,
RetII-06,Reticulum II,53.904417,-54.067014,03:35:37.06,-54:04:01.25,0.16,,,0.14,0.18,<-0.12,0.30,,0.19,0.00,0.29,-0.40,<1.00,-2.73,<1.25,<1.37,,0.23,1.40,1.70,5170,2.45,1.55,Ji+2016b,,
RetII-07,Reticulum II,53.98449399999999,-54.054524,03:35:56.28,-54:03:16.29,<1.20,,,0.48,0.54,<-0.20,<1.52,,0.43,0.10,0.62,-0.51,<0.80,-3.54,<1.15,<2.08,,<0.00,<0.10,<2.40,5305,2.95,1.65,Ji+2016b,,
RetII-08,Reticulum II,53.739893,-54.092062,03:34:57.57,-54:05:31.42,0.36,,,0.09,0.24,-0.99,0.55,0.9,0.32,0.30,0.48,-0.19,-0.70,-2.08,<1.33,<0.32,,0.37,1.36,1.77,5328,2.85,1.50,Ji+2016b,,
RetII-09,Reticulum II,53.72600600000001,-54.099457,03:34:54.24,-54:05:58.05,0.86,,,-0.11,0.18,<0.08,<2.53,,0.42,0.16,0.45,-0.50,<1.51,-2.77,<1.62,<1.56,,0.30,1.40,2.11,5395,3.10,1.35,Ji+2016b,,
TucII-006,Tucana II,342.92941666666667,-58.54269444444444,22:51:43.06,-58:32:33.7,1.24,,,0.15,-0.04,-0.69,0.22,0.64,0.32,-0.07,0.12,-0.58,-0.34,-2.93,0.18,0.09,,-1.46,-1.27,<0.91,5017,1.50,1.95,Chiti+2018,,
TucII-011,Tucana II,342.95949999999993,-58.627833333333335,22:51:50.28,-58:37:40.2,0.29,,,0.57,0.51,-0.65,0.54,0.85,0.48,0.12,0.32,-0.32,-0.97,-2.92,0.15,0.15,,-1.60,-1.90,<0.65,4693,1.25,1.92,Chiti+2018,,
TucII-033,Tucana II,342.7846666666667,-58.552249999999994,22:51:08.32,-58:33:08.1,0.60,,,-0.13,0.16,-0.86,0.18,-0.01,0.07,-0.09,-0.08,-0.29,-0.54,-2.39,0.17,,,-0.39,-0.99,<0.20,4828,1.40,1.80,Chiti+2018,,
TucII-052,Tucana II,342.71512499999994,-58.575694444444444,22:50:51.63,-58:34:32.5,0.90,,,0.23,0.36,-0.50,0.32,0.86,0.45,0.24,0.38,-0.33,-0.30,-3.23,0.35,0.13,,-1.05,-0.90,<1.25,4819,1.70,1.85,Chiti+2018,,
TucII-078,Tucana II,343.27779166666664,-58.52111111111111,22:53:06.67,-58:31:16.0,0.43,,,-0.65,0.42,-0.40,0.49,1.01,0.44,0.18,0.47,-0.28,-0.85,-2.69,0.34,0.11,,<-2.00,<-1.90,<0.75,4954,1.90,2.20,Chiti+2018,,
TucII-203,Tucana II,342.5369583333333,-58.49975,22:50:08.87,-58:29:59.1,0.64,,,0.09,0.38,-0.52,0.30,0.62,0.20,0.00,0.31,-0.26,-0.95,-3.08,0.08,0.04,,-1.40,-1.30,<1.00,4882,1.60,2.00,Chiti+2018,,
TucII-206,Tucana II,343.6527916666666,-58.616083333333336,22:54:36.67,-58:36:57.9,0.73,,,0.62,0.45,-0.62,0.20,0.77,0.26,0.25,0.27,-0.12,-0.47,-3.34,,,,-1.30,-0.85,<1.30,4900,1.65,1.90,Chiti+2018,,
TucII-301,Tucana II,342.6879041666666,-58.93902305555555,22:50:45.097,-58:56:20.483,0.62,,,0.13,0.51,-0.44,0.40,,0.31,0.33,0.49,-0.44,-0.64,-3.41,,,,<-1.15,<-0.70,<1.10,4864,1.60,1.73,Chiti+2023,,
TucII-303,Tucana II,343.27164166666665,-57.907508888888884,22:53:05.194,-57:54:27.032,<0.60,,,-0.16,0.14,<-0.30,-0.11,,0.09,-0.82,-0.26,-0.25,-0.50,-2.74,,,,-0.80,<-1.50,<1.10,5071,1.55,2.24,Chiti+2023,,
TucII-305,Tucana II,344.4452458333333,-57.727583055555556,22:57:46.859,-57:43:39.299,0.81,,,-0.15,0.40,-0.49,0.19,,-0.25,-0.07,0.24,-0.38,-0.45,-3.59,,0.33,,<-1.40,<-1.15,<1.45,4810,1.60,2.30,Chiti+2023,,
TucII-306,Tucana II,342.9042458333333,-58.893771944444445,22:51:37.019,-58:53:37.579,0.52,,,0.36,0.71,0.26,1.02,,0.36,0.17,0.46,-0.37,-0.63,-3.26,0.04,,,-1.37,<-1.20,<1.05,4855,1.55,2.04,Chiti+2023,,
TucII-309,Tucana II,342.352875,-58.34706361111111,22:49:24.690,-58:20:49.429,0.48,,,-0.50,-0.34,0.01,-0.58,,0.38,-1.29,0.00,0.07,-1.38,-1.94,,,,-1.79,<-2.09,<0.21,4900,1.75,2.20,Chiti+2023,,
GruI-032,Grus I,344.2420833333333,-50.23275,22:56:58.1,-50:13:57.9,-0.28,,,-0.18,0.40,-0.93,0.42,0.61,0.20,-0.01,0.21,-0.18,-0.40,-2.55,0.32,0.24,-0.06,-2.00,-1.58,<0.32,4495,0.85,2.60,Ji+2019,,
GruI-038,Grus I,344.1245833333333,-50.07591666666667,22:56:29.9,-50:04:33.3,0.23,,,-0.27,0.23,-0.88,0.54,0.71,0.19,0.21,0.29,-0.30,-0.45,-2.49,0.36,0.25,,-2.06,-0.94,<0.75,4660,1.45,2.40,Ji+2019,,
#TriII-40,Triangulum II,,,,,<-1.0,,,-1.1,0.01,,,0.80,0.39,,0.55,-0.29,,-2.87,,,,,<-1.2,<1.9,4800,1.80,2.7,Venn+2017,,
#TriII-46,Triangulum II,,,,,<-1.0,,,<0.0,-0.70,,,,-0.20,,,,,-2.5,,,,,<-0.7,,5050,2.60,2.5,Venn+2017,,
TriII-40,Triangulum II,33.318749999999994,36.17941666666666,02:13:16.5,+36:10:45.9,-0.09,,<1.00,-0.81,0.24,0.00,<0.76,0.88,0.40,0.30,0.14,-0.45,-0.44,-2.92,0.13,0.53,0.40,-1.51,-2.37,<0.02,4816,1.64,2.51,Kirby+2017,,
#TriII-40,Triangulum II,,,,,,,,-0.79,0.35,,,0.81,0.43,<0.65,0.17,-0.20,<0.36,-2.95,,0.57,,,<-1.25,<1.41,4720,1.35,2.51,Ji+2019,,
TriII-46,Triangulum II,33.33958333333333,36.166,02:13:21.5,+36:09:57.6,,,,<1.04,-0.47,,,<0.77,-0.15,<1.02,-0.44,,,-2.01,,<1.15,,,<-0.72,<1.50,5150,2.00,2.35,Ji+2019,,
Tuc3-J235532,Tucana III,358.88624999999996,-59.520833333333336,23:55:32.7,-59:31:15.0,-0.25,0.10,<0.40,+0.19,0.39,-0.86,0.52,0.29,0.05,0.01,0.10,-0.45,-0.57,-2.25,0.13,-0.09,-0.02,-0.39,-0.16,0.60,4720,1.33,2.0,Hansen+2017,,
Tuc3-J000549,Tucana III,359.4104166666666,-59.60325,23:57:38.5,-59:36:11.7,-0.43,<2.00,,,0.45,-0.36,0.39,0.71,0.40,0.15,0.46,-0.38,-0.50,-2.61,0.03,0.00,-0.08,0.09,0.11,0.49,4675,1.39,1.70,Marshall+2019,,
Tuc3-J234351,Tucana III,358.9579166666667,-59.55,23:55:49.9,-59:33:00.0,-0.28,<1.50,,0.32,0.50,-0.99,0.18,0.41,0.35,0.55,0.31,-0.34,-0.42,-2.69,0.14,0.13,0.33,-0.26,-0.20,0.44,4900,1.88,1.60,Marshall+2019,,
Tuc3-J235550,Tucana III,1.4529166666666664,-59.568361111111116,00:05:48.7,-59:34:06.1,-0.19,<1.00,,,0.40,,0.39,0.71,0.44,-0.01,0.50,-0.26,-0.50,-2.69,-0.04,0.22,0.19,0.04,-0.05,0.56,4720,1.55,1.50,Marshall+2019,,
Tuc3-J235738,Tucana III,355.9616666666666,-59.65711111111111,23:43:50.8,-59:39:25.6,-0.05,<0.50,,0.53,0.64,-0.35,0.00,0.56,0.46,0.05,0.41,-0.17,-0.39,-2.58,,0.04,0.22,-0.03,0.14,0.22,4720,1.36,1.30,Marshall+2019,,
HorI-01,Horologium I,43.91793,-54.13534,,,,,,,-0.02,,<1.95,,-0.07,<0.37,,0.01,-0.06,-2.43,,0.01,,,<-0.61,<2.41,5000,2.0,0.8,Nagasawa+2018,,
HorI-02,Horologium I,43.93246,-54.08878,,,,,,,-0.23,,<2.45,,0.00,0.15,,-0.17,-0.04,-2.60,,0.03,,,-1.05,<2.47,4800,1.5,1.8,Nagasawa+2018,,
HorI-03,Horologium I,43.89665,-54.11222,,,<-0.14,<1.25,,,-0.03,-0.90,0.17,,-0.02,-0.09,,-0.19,-0.06,-2.83,0.29,-0.11,<0.87,-0.94,-1.10,<0.91,4500,1.4,3.5,Nagasawa+2018,,
PscII-01,Pisces II,344.60441666666657,5.955666666666667,22:58:25.06,+05:57:20.4,1.08,1.81,2.25,+1.03,1.60,,,,0.13,,0.42,,,-2.60,,0.20,,0.18,-1.10,,4130,0.80,2.0,Spite+2018,,
CarII-0064,Carina II,114.08854166666666,-57.966722222222224,07:36:21.25,-57:58:00.2,0.56,0.43,<1.13,-0.59,-0.12,-1.09,-0.10,<-0.06,0.20,-0.94,-0.08,-0.11,-0.68,-2.22,-0.15,-0.25,-0.13,-1.38,-2.58,<-0.21,4630,1.15,2.31,Ji+2020,,
CarII-2064,Carina II,114.00554166666666,-57.978833333333334,07:36:01.33,-57:58:43.8,0.39,<-1.00,<2.40,-0.16,0.41,-0.76,1.11,0.79,0.49,0.14,0.59,-0.55,-0.05,-2.35,-0.20,0.44,<0.55,-1.62,-0.84,<1.15,5300,2.70,2.15,Ji+2020,,
CarII-4704,Carina II,113.90691666666665,-58.031055555555554,07:35:37.66,-58:01:51.8,0.02,<0.13,<1.17,-0.77,-0.30,-1.24,-0.36,0.13,0.06,-0.22,-0.12,-0.20,-0.63,-2.20,-0.07,0.09,<0.52,-2.36,-2.10,<0.23,4720,1.30,1.97,Ji+2020,,
CarII-4928,Carina II,114.1040833333333,-57.953944444444446,07:36:24.98,-57:57:14.2,0.30,<2.19,<2.87,-0.05,0.74,0.07,0.32,<1.06,0.80,0.26,0.66,-0.68,-0.88,-3.06,0.16,<1.99,<1.58,-1.82,<-0.74,<1.47,5065,2.35,2.10,Ji+2020,,
CarII-5664,Carina II,114.53545833333331,-58.15972222222222,07:38:08.51,-58:09:35.0,0.57,<1.48,<1.72,0.43,0.78,-0.47,0.61,1.02,0.36,0.24,0.27,-0.64,-0.99,-3.53,0.00,-0.44,<0.50,-2.19,<-1.93,<0.21,4430,0.45,2.34,Ji+2020,,
CarII-6544,Carina II,114.21295833333332,-58.02952777777778,07:36:51.11,-58:01:46.3,0.21,0.31,0.96,-0.21,0.20,-0.62,0.30,0.32,0.10,-0.16,0.05,-0.15,-0.48,-2.66,-0.13,-0.13,-0.43,-1.79,-1.52,<-0.20,4330,0.40,2.75,Ji+2020,,
CarII-7872,Carina II,114.21620833333331,-58.27755555555555,07:36:51.89,-58:16:39.2,0.92,1.17,1.38,-0.65,0.03,-0.34,0.16,0.31,0.00,-0.12,0.09,-0.27,-0.64,-2.51,-0.13,-0.08,-0.32,-1.41,-0.57,<-0.61,4380,0.75,2.32,Ji+2020,,
CarII-9296,Carina II,114.41579166666666,-58.08525,07:37:39.79,-58:05:06.9,0.66,<1.37,<2.08,-0.23,0.50,-0.15,0.09,<0.99,0.37,0.13,0.45,-0.47,-0.31,-2.89,-0.34,-0.09,<1.03,-1.26,-1.23,<0.95,4810,1.40,1.90,Ji+2020,,
CarII-V3,Carina II,113.78799999999998,-57.95411111111111,07:35:09.12,-57:57:14.8,,,,-0.56,0.67,-0.56,-0.57,,0.31,0.23,0.30,-0.12,,-2.65,,,,,,,6100,1.75,3.20,Ji+2020,,
CarIII-1120,Carina III,114.59291666666665,-57.883916666666664,07:38:22.30,-57:53:02.1,1.64,<1.20,<2.68,0.96,1.24,-0.17,1.08,<1.15,0.46,0.15,0.30,-0.47,-0.67,-3.87,0.54,<0.78,<1.86,-1.59,<-0.76,<1.55,4500,1.50,1.85,Ji+2020,,
CarIII-8144,Carina III,114.64554166666665,-57.95147222222222,07:38:34.93,-57:57:05.3,0.16,<0.46,<1.74,-0.47,0.27,-0.60,0.60,1.09,0.55,0.50,0.43,-0.14,-0.18,-2.27,-0.15,-0.10,0.55,-1.39,-2.02,<0.42,4990,2.20,1.75,Ji+2020,,
Gru2-J220423,Grus II,331.0995833333333,-46.617355555555555,22:04:23.90,-46:37:02.48,-0.72,<2.00,,0.10,0.44,-0.81,0.20,0.42,0.11,-0.22,0.12,-0.53,-0.51,-2.49,-0.19,-0.03,0.00,-1.13,-0.49,0.31,4720,1.55,2.35,Hansen+2020,,
Gru2-J220409,Grus II,331.0415833333333,-46.35061388888889,22:04:09.98,-46:21:02.21,-0.33,<2.00,,0.02,0.51,-0.97,0.07,0.21,0.04,0.09,0.08,-0.42,-0.52,-2.69,-0.05,-0.24,<0.20,-1.88,-1.26,<0.10,4585,1.22,2.25,Hansen+2020,,
Gru2-J220352,Grus II,330.96624999999995,-46.41288888888889,22:03:51.90,-46:24:46.40,0.52,<2.00,,-0.45,0.72,,0.05,0.25,0.15,0.06,-0.22,-0.64,-0.20,-2.94,-0.13,,<0.70,-1.90,<-1.50,<0.50,4920,1.91,2.25,Hansen+2020,,
CB-1,Coma Berenices,186.68124999999998,24.079361111111112,12:26:43.5,24:04:45.7,,,,0.30,0.87,,,0.65,0.74,-0.10,0.38,-0.18,,-2.88,,-0.13,,,-1.10,,4385,0.33,2.10,Waller+2023,,
CB-2,Coma Berenices,186.51624999999999,24.00725,12:26:03.9,24:00:26.1,,,,-0.13,0.02,,,<0.28,-0.21,0.00,,0.01,,-2.15,,0.53,,,-0.95,,4879,1.24,2.50,Waller+2023,,
UMaI-1,Ursa Major I,158.12541666666664,51.95136111111111,10:32:30.1,51:57:04.9,,,,-0.30,0.19,,,0.55,0.09,0.70,0.90,-0.56,,-2.51,,0.07,,,-0.39,,4308,0.28,2.10,Waller+2023,,
UMaI-2,Ursa Major I,158.87041666666667,51.95041666666667,10:35:28.9,51:57:01.5,,,,-0.73,0.44,,,0.26,0.32,0.00,,0.03,,-2.42,,-0.01,,,-0.43,,4574,0.75,2.40,Waller+2023,,
BooI-2,Bootes I,210.38583333333332,15.114083333333333,14:01:32.6,15:06:50.7,,,,-0.63,0.69,,,0.64,0.22,0.10,0.20,-0.58,,-2.49,,-0.12,,,-1.20,,4390,0.41,2.30,Waller+2023,,
