Name,Ion,Z,logepsX_sun,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_logepsX,e_[X/H],e_[X/Fe]
J1018-0209,Ti II,22,4.95,20,,2.19,,,,-0.01,0.10,,0.09
J1018-0209,V I,23,3.93,1,,0.60,,,,-0.58,0.34,,0.19
J1018-0209,V II,23,3.93,2,,1.18,,,,0.00,0.23,,0.23
J1018-0209,Cr I,24,5.64,5,,2.53,,,,-0.36,0.27,,0.06
J1018-0209,Cr II,24,5.64,0,,,,,,,,,
J1018-0209,Mn I,25,5.43,3,,2.07,,,,-0.61,0.22,,0.09
J1018-0209,Fe I,26,7.50,113,,4.75,,-2.75,,,0.25,0.25,
J1018-0209,Fe II,26,7.50,13,,4.64,,-2.86,,,0.10,0.10,
J1018-0209,Co I,27,4.99,0,,,,,,,,,
J1018-0209,Ni I,28,6.22,4,,3.32,,,,-0.15,0.23,,0.07
J1018-0209,Zn I,30,4.56,2,,2.00,,,,0.19,0.12,,0.26
J1018-0209,Sr II,38,2.87,2,,-0.73,,,,-0.85,0.25,,0.23
J1018-0209,Y II,39,2.21,3,,-1.21,,,,-0.67,0.14,,0.15
J1018-0209,Zr II,40,2.58,1,,-0.58,,,,-0.41,0.23,,0.24
J1018-0209,Ba II,56,2.18,5,,-0.87,,,,-0.30,0.18,,0.17
J1018-0209,La II,57,1.10,2,,-1.77,,,,-0.12,0.19,,0.20
J1018-0209,Ce II,58,1.58,2,,-1.37,,,,-0.20,0.50,,0.50
J1018-0209,Pr II,59,0.72,0,,,,,,,,,
J1018-0209,Nd II,60,1.42,0,,,,,,,,,
J1018-0209,Sm II,62,0.96,2,,-1.64,,,,0.15,0.50,,0.50
J1018-0209,Eu II,63,0.52,3,,-2.06,,,,0.17,0.20,,0.21
J1018-0209,Dy II,66,1.10,0,,,,,,,,,
J1018-0209,Pb I,82,2.04,1,<,0.00,,,<,0.71,,,

# The original C abundances were corrected to the natal abundances according to the stellar evolution corrections presented by Placco et al. (2014).
# J1008 0001 C correction = +0.41 dex
# J1010-0220 C correction = +0.75 dex
# J1015-0238 C correction = +0.77 dex
# J1018-0155 C correction = +0.76 dex
# J1018-0209 C correction = +0.77 dex
# I have manually removed the corrections from the C-H abundances accordingly, such that these abundances reflect the measured values.

# NLTE corrections have been applied to the Li, Na, Mg, Al, Si, K, Fe I, and Pb abundances; see Table 4 for corrections and the text for references.



