Name,Species,lambda,chi,loggf,l_EW,EW,l_logepsX,logepsX
BooI-980,Ti II,4418.331,1.24,-1.970,,49.8,,2.52
BooI-980,Ti II,4441.731,1.18,-2.410,,23.5,,2.38
BooI-980,Ti II,4443.801,1.08,-0.720,,118.8,,2.48
BooI-980,Ti II,4444.554,1.12,-2.240,,30.3,,2.29
BooI-980,Ti II,4450.482,1.08,-1.520,,87.7,,2.58
BooI-980,Ti II,4464.448,1.16,-1.810,,47.4,,2.22
BooI-980,Ti II,4468.517,1.13,-0.600,,103.0,,2.06
BooI-980,Ti II,4470.853,1.17,-2.020,,41.9,,2.34
BooI-980,Ti II,4493.522,1.08,-3.020,,,,
BooI-980,Ti II,4501.270,1.12,-0.770,,123.1,,2.66
BooI-980,Ti II,4529.480,1.57,-2.030,,,,
BooI-980,Ti II,4533.960,1.24,-0.530,,116.4,,2.41
BooI-980,Ti II,4545.144,1.13,-1.810,,37.7,,2.00
BooI-980,Ti II,4563.770,1.22,-0.960,,99.3,,2.41
BooI-980,Ti II,4571.971,1.57,-0.320,,99.2,,2.20
BooI-980,Ti II,4583.409,1.16,-2.920,,,,
BooI-980,Ti II,4589.915,1.24,-1.790,,63.1,,2.55
BooI-980,Ti II,4657.200,1.24,-2.240,,,,
BooI-980,Ti II,4708.662,1.24,-2.340,,,,
BooI-980,Ti II,4779.979,2.05,-1.370,,,,
BooI-980,Ti II,4798.532,1.08,-2.680,,21.8,,2.46
BooI-980,Ti II,4805.089,2.06,-1.100,,47.8,,2.57
BooI-980,Ti II,4865.610,1.12,-2.810,,,,
BooI-980,Ti II,5129.156,1.89,-1.240,,30.7,,2.18
BooI-980,Ti II,5185.902,1.89,-1.490,,,,
BooI-980,Ti II,5188.687,1.58,-1.050,,60.8,,2.13
BooI-980,Ti II,5226.538,1.57,-1.260,,57.5,,2.26
BooI-980,Ti II,5268.607,2.60,-1.620,,,,
BooI-980,Ti II,5336.786,1.58,-1.590,,,,
BooI-980,Ti II,5381.021,1.57,-1.920,,,,
BooI-980,Ti II,5418.768,1.58,-2.000,,,,
BooI-980,Cr I,4254.332,0.00,-0.114,,95.7,,2.01
BooI-980,Cr I,4274.800,0.00,-0.220,,89.1,,1.95
BooI-980,Cr I,4289.720,0.00,-0.370,,83.1,,1.96
BooI-980,Cr I,4337.566,0.97,-1.112,,,,
BooI-980,Cr I,4545.950,0.94,-1.370,,,,
BooI-980,Cr I,4580.056,0.94,-1.650,,,,
BooI-980,Cr I,4600.752,1.00,-1.260,,,,
BooI-980,Cr I,4616.137,0.98,-1.190,,,,
BooI-980,Cr I,4626.188,0.97,-1.320,,,,
BooI-980,Cr I,4646.150,1.03,-0.740,,,,
BooI-980,Cr I,4651.280,0.98,-1.460,,,,
BooI-980,Cr I,4652.158,1.00,-1.030,,,,
BooI-980,Cr I,5206.040,0.94,0.020,,72.5,,2.37
BooI-980,Cr I,5208.419,0.94,0.160,,76.7,,2.31
BooI-980,Cr I,5247.564,0.96,-1.640,,,,
BooI-980,Cr I,5296.690,0.98,-1.360,,,,
BooI-980,Cr I,5298.280,0.98,-1.140,,,,
BooI-980,Cr I,5345.800,1.00,-0.950,,,,
BooI-980,Cr I,5348.310,1.00,-1.210,,,,
BooI-980,Cr I,5409.770,1.03,-0.670,,21.0,,2.19
BooI-980,Cr II,4558.594,4.07,-0.656,,,,
BooI-980,Cr II,4588.142,4.07,-0.826,,,,
BooI-980,Mn I,4030.753,HFS,,,107.5,,2.00
BooI-980,Mn I,4033.062,HFS,,,,,
BooI-980,Mn I,4034.483,HFS,,,88.4,,1.85
BooI-980,Mn I,4041.357,HFS,,,,,
BooI-980,Mn I,4754.048,HFS,,,,,
BooI-980,Mn I,4783.432,HFS,,,,,
BooI-980,Mn I,4823.528,HFS,,,,,
BooI-980,Fe I,3753.611,2.18,-0.890,,60.7,,4.16
BooI-980,Fe I,3765.539,3.24,0.482,,71.3,,4.29
BooI-980,Fe I,3786.677,1.01,-2.185,,86.2,,4.66
BooI-980,Fe I,3849.967,1.01,-0.863,,116.0,,4.08
BooI-980,Fe I,3852.573,2.18,-1.180,,71.5,,4.68
BooI-980,Fe I,3865.523,1.01,-0.950,,128.5,,4.44
BooI-980,Fe I,3887.048,0.91,-1.140,,116.4,,4.23
BooI-980,Fe I,3940.878,0.96,-2.600,,67.9,,4.52
BooI-980,Fe I,3949.953,2.18,-1.251,,53.5,,4.35
BooI-980,Fe I,3977.741,2.20,-1.120,,59.2,,4.35
BooI-980,Fe I,4005.242,1.56,-0.583,,110.0,,4.25
BooI-980,Fe I,4021.866,2.76,-0.730,,,,
BooI-980,Fe I,4032.627,1.49,-2.380,,42.5,,4.43
BooI-980,Fe I,4044.609,2.83,-1.220,,,,
BooI-980,Fe I,4058.217,3.21,-1.110,,,,
BooI-980,Fe I,4062.441,2.85,-0.860,,,,
BooI-980,Fe I,4063.594,1.56,0.062,,134.4,,4.12
BooI-980,Fe I,4067.978,3.21,-0.470,,41.8,,4.56
BooI-980,Fe I,4070.769,3.24,-0.790,,,,
BooI-980,Fe I,4071.738,1.61,-0.008,,138.8,,4.32
BooI-980,Fe I,4073.763,3.27,-0.900,,,,
BooI-980,Fe I,4076.629,3.21,-0.370,,,,
BooI-980,Fe I,4079.838,2.86,-1.360,,,,
BooI-980,Fe I,4095.970,2.59,-1.480,,,,
BooI-980,Fe I,4098.176,3.24,-0.880,,,,
BooI-980,Fe I,4109.802,2.85,-0.940,,,,
BooI-980,Fe I,4114.445,2.83,-1.303,,,,
BooI-980,Fe I,4132.058,1.61,-0.675,,113.4,,4.45
BooI-980,Fe I,4132.899,2.85,-1.010,,38.3,,4.60
BooI-980,Fe I,4134.678,2.83,-0.649,,42.3,,4.30
BooI-980,Fe I,4136.998,3.42,-0.450,,34.9,,4.65
BooI-980,Fe I,4139.927,0.99,-3.629,,,,
BooI-980,Fe I,4143.414,3.05,-0.200,,42.4,,4.11
BooI-980,Fe I,4143.868,1.56,-0.511,,130.6,,4.59
BooI-980,Fe I,4147.669,1.48,-2.071,,63.4,,4.50
BooI-980,Fe I,4152.169,0.96,-3.232,,,,
BooI-980,Fe I,4153.899,3.40,-0.320,,,,
BooI-980,Fe I,4154.498,2.83,-0.688,,,,
BooI-980,Fe I,4154.805,3.37,-0.400,,44.8,,4.73
BooI-980,Fe I,4156.799,2.83,-0.808,,,,
BooI-980,Fe I,4157.780,3.42,-0.403,,,,
BooI-980,Fe I,4158.793,3.43,-0.670,,,,
BooI-980,Fe I,4174.913,0.91,-2.938,,63.7,,4.67
BooI-980,Fe I,4175.636,2.85,-0.827,,,,
BooI-980,Fe I,4181.755,2.83,-0.371,,57.1,,4.29
BooI-980,Fe I,4182.382,3.02,-1.180,,28.9,,4.78
BooI-980,Fe I,4184.892,2.83,-0.869,,,,
BooI-980,Fe I,4187.039,2.45,-0.514,,86.1,,4.58
BooI-980,Fe I,4187.795,2.42,-0.510,,69.4,,4.17
BooI-980,Fe I,4191.430,2.47,-0.666,,62.9,,4.27
BooI-980,Fe I,4195.329,3.33,-0.492,,40.9,,4.70
BooI-980,Fe I,4196.208,3.40,-0.700,,,,
BooI-980,Fe I,4199.095,3.05,0.156,,79.9,,4.51
BooI-980,Fe I,4202.029,1.49,-0.689,,118.6,,4.41
BooI-980,Fe I,4216.184,0.00,-3.357,,93.1,,4.63
BooI-980,Fe I,4217.545,3.43,-0.484,,,,
BooI-980,Fe I,4222.213,2.45,-0.914,,48.6,,4.21
BooI-980,Fe I,4227.427,3.33,0.266,,65.4,,4.41
BooI-980,Fe I,4233.603,2.48,-0.579,,61.0,,4.15
BooI-980,Fe I,4238.810,3.40,-0.233,,,,
BooI-980,Fe I,4247.426,3.37,-0.240,,37.1,,4.41
BooI-980,Fe I,4250.119,2.47,-0.380,,69.6,,4.10
BooI-980,Fe I,4250.787,1.56,-0.713,,118.7,,4.50
BooI-980,Fe I,4260.474,2.40,0.077,,106.8,,4.39
BooI-980,Fe I,4271.154,2.45,-0.337,,76.0,,4.17
BooI-980,Fe I,4271.760,1.49,-0.173,,143.5,,4.36
BooI-980,Fe I,4282.403,2.18,-0.779,,66.1,,4.09
BooI-980,Fe I,4325.762,1.61,0.006,,138.0,,4.21
BooI-980,Fe I,4337.046,1.56,-1.695,,85.6,,4.67
BooI-980,Fe I,4352.735,2.22,-1.290,,48.5,,4.30
BooI-980,Fe I,4375.930,0.00,-3.005,,112.6,,4.69
BooI-980,Fe I,4388.407,3.60,-0.681,,,,
BooI-980,Fe I,4404.750,1.56,-0.147,,144.9,,4.41
BooI-980,Fe I,4407.709,2.18,-1.970,,25.2,,4.47
BooI-980,Fe I,4415.122,1.61,-0.621,,110.4,,4.23
BooI-980,Fe I,4422.568,2.85,-1.110,,,,
BooI-980,Fe I,4427.310,0.05,-2.924,,98.7,,4.33
BooI-980,Fe I,4430.614,2.22,-1.659,,49.1,,4.68
BooI-980,Fe I,4442.339,2.20,-1.228,,44.2,,4.13
BooI-980,Fe I,4443.194,2.86,-1.043,,24.4,,4.33
BooI-980,Fe I,4447.717,2.22,-1.339,,52.1,,4.41
BooI-980,Fe I,4454.381,2.83,-1.300,,,,
BooI-980,Fe I,4459.118,2.18,-1.279,,42.7,,4.13
BooI-980,Fe I,4461.653,0.09,-3.194,,89.7,,4.42
BooI-980,Fe I,4466.552,2.83,-0.600,,47.0,,4.30
BooI-980,Fe I,4476.019,2.85,-0.820,,45.9,,4.53
BooI-980,Fe I,4489.739,0.12,-3.899,,39.0,,4.18
BooI-980,Fe I,4490.083,3.02,-1.580,,,,
BooI-980,Fe I,4494.563,2.20,-1.143,,68.0,,4.48
BooI-980,Fe I,4528.614,2.18,-0.822,,68.4,,4.14
BooI-980,Fe I,4531.148,1.48,-2.101,,43.9,,4.12
BooI-980,Fe I,4592.651,1.56,-2.462,,44.6,,4.58
BooI-980,Fe I,4595.359,3.29,-1.758,,,,
BooI-980,Fe I,4602.941,1.49,-2.208,,51.4,,4.37
BooI-980,Fe I,4630.120,2.28,-2.587,,,,
BooI-980,Fe I,4632.912,1.61,-2.913,,,,
BooI-980,Fe I,4647.434,2.95,-1.351,,,,
BooI-980,Fe I,4678.846,3.60,-0.830,,,,
BooI-980,Fe I,4691.411,2.99,-1.520,,,,
BooI-980,Fe I,4707.274,3.24,-1.080,,,,
BooI-980,Fe I,4710.283,3.02,-1.610,,,,
BooI-980,Fe I,4733.591,1.49,-2.988,,,,
BooI-980,Fe I,4736.772,3.21,-0.752,,29.7,,4.56
BooI-980,Fe I,4786.806,3.00,-1.606,,,,
BooI-980,Fe I,4789.650,3.53,-0.957,,,,
BooI-980,Fe I,4859.741,2.88,-0.760,,56.3,,4.66
BooI-980,Fe I,4871.318,2.87,-0.362,,61.4,,4.34
BooI-980,Fe I,4872.137,2.88,-0.567,,38.0,,4.14
BooI-980,Fe I,4890.755,2.88,-0.394,,48.3,,4.15
BooI-980,Fe I,4891.492,2.85,-0.111,,79.6,,4.41
BooI-980,Fe I,4903.310,2.88,-0.926,,29.,,4.32
BooI-980,Fe I,4918.994,2.85,-0.342,,60.0,,4.27
BooI-980,Fe I,4920.503,2.83,0.068,,105.2,,4.74
BooI-980,Fe I,4924.770,2.28,-2.114,,25.8,,4.71
BooI-980,Fe I,4938.814,2.88,-1.077,,40.2,,4.69
BooI-980,Fe I,4939.687,0.86,-3.252,,39.8,,4.41
BooI-980,Fe I,4946.388,3.37,-1.170,,,,
BooI-980,Fe I,4966.089,3.33,-0.871,,,,
BooI-980,Fe I,4994.130,0.92,-2.969,,41.4,,4.23
BooI-980,Fe I,5001.870,3.88,0.050,,,,
BooI-980,Fe I,5006.119,2.83,-0.615,,,,
BooI-980,Fe I,5012.068,0.86,-2.642,,80.8,,4.53
BooI-980,Fe I,5014.942,3.94,-0.300,,,,
BooI-980,Fe I,5022.236,3.98,-0.530,,,,
BooI-980,Fe I,5041.072,0.96,-3.090,,71.6,,4.92
BooI-980,Fe I,5041.756,1.49,-2.200,,,,
BooI-980,Fe I,5044.212,2.85,-2.017,,,,
BooI-980,Fe I,5049.820,2.28,-1.355,,60.2,,4.58
BooI-980,Fe I,5051.634,0.92,-2.764,,66.6,,4.44
BooI-980,Fe I,5074.749,4.22,-0.200,,,,
BooI-980,Fe I,5079.224,2.20,-2.105,,,,
BooI-980,Fe I,5079.740,0.99,-3.245,,,,
BooI-980,Fe I,5083.339,0.96,-2.842,,47.8,,4.25
BooI-980,Fe I,5098.697,2.18,-2.030,,32.8,,4.65
BooI-980,Fe I,5110.413,0.00,-3.760,,72.1,,4.40
BooI-980,Fe I,5123.720,1.01,-3.058,,58.4,,4.71
BooI-980,Fe I,5125.117,4.22,-0.140,,,,
BooI-980,Fe I,5127.360,0.92,-3.249,,55.6,,4.74
BooI-980,Fe I,5131.468,2.22,-2.515,,,,
BooI-980,Fe I,5133.689,4.18,0.140,,,,
BooI-980,Fe I,5141.739,2.42,-2.238,,,,
BooI-980,Fe I,5142.929,0.96,-3.080,,44.5,,4.43
BooI-980,Fe I,5150.840,0.99,-3.037,,45.9,,4.45
BooI-980,Fe I,5151.911,1.01,-3.321,,,,
BooI-980,Fe I,5162.273,4.18,0.020,,,,
BooI-980,Fe I,5166.282,0.00,-4.123,,67.6,,4.68
BooI-980,Fe I,5171.596,1.49,-1.721,,72.3,,4.20
BooI-980,Fe I,5191.455,3.04,-0.551,,41.0,,4.35
BooI-980,Fe I,5192.344,3.00,-0.421,,,,
BooI-980,Fe I,5194.942,1.56,-2.021,,51.5,,4.21
BooI-980,Fe I,5198.711,2.22,-2.091,,,,
BooI-980,Fe I,5202.336,2.18,-1.871,,,,
BooI-980,Fe I,5216.274,1.61,-2.082,,55.7,,4.41
BooI-980,Fe I,5217.390,3.21,-1.162,,,,
BooI-980,Fe I,5225.526,0.11,-4.755,,,,
BooI-980,Fe I,5232.940,2.94,-0.057,,72.1,,4.29
BooI-980,Fe I,5242.491,3.63,-0.967,,,,
BooI-980,Fe I,5247.050,0.09,-4.946,,,,
BooI-980,Fe I,5250.210,0.12,-4.938,,,,
BooI-980,Fe I,5250.646,2.20,-2.180,,27.0,,4.69
BooI-980,Fe I,5254.956,0.11,-4.764,,19.8,,4.56
BooI-980,Fe I,5263.305,3.27,-0.879,,,,
BooI-980,Fe I,5266.555,3.00,-0.385,,57.5,,4.43
BooI-980,Fe I,5269.537,0.86,-1.333,,146.1,,4.54
BooI-980,Fe I,5281.790,3.04,-0.833,,,,
BooI-980,Fe I,5283.621,3.24,-0.524,,31.4,,4.37
BooI-980,Fe I,5302.300,3.28,-0.720,,,,
BooI-980,Fe I,5307.361,1.61,-2.912,,,,
BooI-980,Fe I,5322.040,2.28,-2.802,,,,
BooI-980,Fe I,5324.179,3.21,-0.103,,62.5,,4.47
BooI-980,Fe I,5328.039,0.92,-1.466,,147.2,,4.76
BooI-980,Fe I,5328.531,1.56,-1.850,,78.1,,4.51
BooI-980,Fe I,5332.900,1.55,-2.776,,,,
BooI-980,Fe I,5339.930,3.27,-0.720,,,,
BooI-980,Fe I,5364.871,4.45,0.228,,,,
BooI-980,Fe I,5365.400,3.56,-1.020,,,,
BooI-980,Fe I,5367.467,4.42,0.443,,,,
BooI-980,Fe I,5369.962,4.37,0.536,,,,
BooI-980,Fe I,5371.489,0.96,-1.644,,127.5,,4.60
BooI-980,Fe I,5379.573,3.69,-1.514,,,,
BooI-980,Fe I,5383.369,4.31,0.645,,,,
BooI-980,Fe I,5389.479,4.42,-0.410,,,,
BooI-980,Fe I,5393.168,3.24,-0.910,,,,
BooI-980,Fe I,5397.128,0.92,-1.982,,126.7,,4.87
BooI-980,Fe I,5405.775,0.99,-1.852,,126.9,,4.82
BooI-980,Fe I,5410.910,4.47,0.398,,,,
BooI-980,Fe I,5415.199,4.39,0.643,,25.5,,4.44
BooI-980,Fe I,5424.068,4.32,0.520,,,,
BooI-980,Fe I,5429.696,0.96,-1.881,,120.1,,4.67
BooI-980,Fe I,5434.524,1.01,-2.126,,83.8,,4.21
BooI-980,Fe I,5446.917,0.99,-1.910,,94.2,,4.18
BooI-980,Fe I,5455.609,1.01,-2.090,,118.7,,4.91
BooI-980,Fe I,5497.516,1.01,-2.825,,69.4,,4.63
BooI-980,Fe I,5501.465,0.96,-3.046,,49.8,,4.46
BooI-980,Fe I,5506.779,0.99,-2.789,,83.0,,4.82
BooI-980,Fe I,5569.618,3.42,-0.540,,,,
BooI-980,Fe I,5572.842,3.40,-0.275,,,,
BooI-980,Fe I,5586.756,3.37,-0.144,,33.9,,4.18
BooI-980,Fe I,5615.644,3.33,0.050,,,,
BooI-980,Fe I,5624.542,3.42,-0.755,,,,
BooI-980,Fe I,5658.816,3.40,-0.793,,,,
BooI-980,Fe I,5662.516,4.18,-0.573,,,,
BooI-980,Fe I,5686.529,4.55,-0.450,,,,
BooI-980,Fe I,5701.544,2.56,-2.143,,,,
BooI-980,Fe I,6065.481,2.61,-1.410,,,,
BooI-980,Fe I,6136.615,2.45,-1.410,,30.2,,4.24
BooI-980,Fe I,6137.691,2.59,-1.346,,48.3,,4.68
BooI-980,Fe I,6151.618,2.18,-3.371,,,,
BooI-980,Fe I,6191.558,2.43,-1.416,,39.7,,4.41
BooI-980,Fe I,6200.312,2.61,-2.437,,,,
BooI-980,Fe I,6213.429,2.22,-2.481,,,,
BooI-980,Fe I,6219.280,2.20,-2.448,,,,
BooI-980,Fe I,6230.723,2.56,-1.276,,42.3,,4.47
BooI-980,Fe I,6240.645,2.22,-3.173,,,,
BooI-980,Fe I,6246.318,3.60,-0.877,,,,
BooI-980,Fe I,6252.555,2.40,-1.687,,,,
BooI-980,Fe I,6254.257,2.28,-2.443,,,,
BooI-980,Fe I,6265.134,2.18,-2.540,,,,
BooI-980,Fe I,6297.792,2.22,-2.640,,,,
BooI-980,Fe I,6301.499,3.65,-0.718,,,,
BooI-980,Fe I,6322.684,2.59,-2.469,,,,
BooI-980,Fe I,6335.330,2.20,-2.180,,,,
BooI-980,Fe I,6336.835,3.69,-1.050,,,,
BooI-980,Fe I,6344.148,2.43,-2.877,,,,
BooI-980,Fe I,6393.601,2.43,-1.576,,25.0,,4.26
BooI-980,Fe I,6400.000,3.60,-0.290,,24.4,,4.37
BooI-980,Fe I,6411.649,3.65,-0.595,,,,
BooI-980,Fe I,6421.350,2.28,-2.014,,23.6,,4.48
BooI-980,Fe I,6430.846,2.18,-1.946,,39.7,,4.62
BooI-980,Fe I,6494.980,2.40,-1.239,,52.6,,4.39
BooI-980,Fe I,6498.940,0.96,-4.699,,,,
BooI-980,Fe I,6592.912,2.73,-1.473,,,,
BooI-980,Fe I,6593.868,2.44,-2.366,,,,
BooI-980,Fe I,6609.109,2.56,-2.661,,,,
BooI-980,Fe I,6663.440,2.42,-2.479,,,,
BooI-980,Fe I,6677.986,2.69,-1.418,,27.8,,4.47
BooI-980,Fe I,6750.152,2.42,-2.584,,,,
BooI-980,Fe I,6978.850,2.48,-2.452,,,,
BooI-980,Fe II,4122.668,2.58,-3.380,,,,
BooI-980,Fe II,4233.170,2.58,-1.970,,76.1,,4.59
BooI-980,Fe II,4416.817,2.78,-2.600,,38.2,,4.72
BooI-980,Fe II,4489.185,2.83,-2.970,,,,
BooI-980,Fe II,4491.410,2.86,-2.710,,,,
BooI-980,Fe II,4508.283,2.86,-2.580,,20.1,,4.39
BooI-980,Fe II,4515.340,2.84,-2.600,,31.3,,4.64
BooI-980,Fe II,4520.224,2.81,-2.600,,,,
BooI-980,Fe II,4522.630,2.84,-2.250,,50.8,,4.66
BooI-980,Fe II,4541.523,2.86,-3.050,,,,
BooI-980,Fe II,4555.890,2.83,-2.400,,37.4,,4.55
BooI-980,Fe II,4576.340,2.84,-2.950,,,,
BooI-980,Fe II,4583.840,2.81,-1.930,,47.2,,4.23
BooI-980,Fe II,4620.520,2.83,-3.210,,,,
BooI-980,Fe II,4731.439,2.89,-3.360,,,,
BooI-980,Fe II,4923.930,2.89,-1.320,,76.8,,4.24
BooI-980,Fe II,4993.350,2.81,-3.670,,,,
BooI-980,Fe II,5018.450,2.89,-1.220,,83.2,,4.25
BooI-980,Fe II,5197.580,3.23,-2.220,,21.3,,4.46
BooI-980,Fe II,5234.630,3.22,-2.180,,,,
BooI-980,Fe II,5276.000,3.20,-2.010,,24.9,,4.30
BooI-980,Fe II,5284.080,2.89,-3.190,,,,
BooI-980,Fe II,5534.834,3.25,-2.930,,,,
BooI-980,Fe II,6247.545,3.89,-2.510,,,,
BooI-980,Fe II,6432.680,2.89,-3.710,,,,
BooI-980,Fe II,6456.383,3.90,-2.080,,,,
BooI-980,Co I,3845.468,0.92,0.010,,98.1,,2.50
BooI-980,Co I,3873.120,0.43,-0.660,,98.2,,2.57
BooI-980,Co I,3995.306,0.92,-0.220,,84.5,,2.33
BooI-980,Co I,4110.532,1.05,-1.080,,,,
BooI-980,Co I,4118.767,1.05,-0.490,,,,
BooI-980,Co I,4121.318,0.92,-0.320,,85.4,,2.41
BooI-980,Ni I,3423.700,0.21,-0.790,,,,
BooI-980,Ni I,3483.770,0.28,-1.120,,107.5,,3.23
BooI-980,Ni I,3524.540,0.03,0.007,,194.0,,3.02
BooI-980,Ni I,3597.710,0.21,-1.115,,,,
BooI-980,Ni I,3783.520,0.42,-1.420,,101.1,,3.30
BooI-980,Ni I,3858.301,0.42,-0.951,,135.8,,3.58
BooI-980,Ni I,4648.659,3.42,-0.160,,,,
BooI-980,Ni I,4714.421,3.38,0.230,,,,
BooI-980,Ni I,4980.161,3.61,-0.110,,,,
BooI-980,Ni I,5035.374,3.63,0.290,,,,
BooI-980,Ni I,5080.523,3.65,0.130,,,,
BooI-980,Ni I,5084.080,3.68,0.030,,,,
BooI-980,Ni I,5137.075,1.68,-1.990,,,,
BooI-980,Ni I,5155.760,3.90,-0.090,,,,
BooI-980,Ni I,5476.900,1.83,-0.890,,46.8,,3.03
BooI-980,Ni I,6108.121,1.68,-2.450,,,,
BooI-980,Ni I,6643.640,1.68,-2.300,,,,
BooI-980,Ni I,6767.770,1.83,-2.170,,,,
BooI-980,Zn I,4810.528,4.08,-0.137,,15.9,,1.90
