JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7405,1.0,ROE10,Roederer+2010,2MASS J22261535+0251462,2MASS J22261535+0251462,,,,EMP,,,,,22:26:15.36,+02:51:46.44,336.564,2.8629,,,,,,,,,,,,,-3.06,,,,,,,,,,,,,,,,,,,,,4.44,,,,1.74,,,,,,,-1.59,,,,,,,,,,,,-2.57,,,,,-2.79,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7406,1.0,ROE10,Roederer+2010,BPS CS 29518-0051,BPS CS 29518-0051,,,,VMP,,,,,01:24:10.03,-28:15:21.24,21.0418,-28.2559,,,,,,,,,,,,,-2.78,,,,,,,,,,,,,,,,,,,,,4.72,,,,2.17,,,,,,,-0.63,,,,,,,,,,,,-2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mardini
7407,1.0,ROE10,Roederer+2010,BPS CS 30306-0132,BPS CS 30306-0132,,,,VMP,,,,,15:14:18.89,+07:27:02.88,228.5787,7.4508,,,,,,,,,,,,,-2.42,,,,,,,,,,,,,,,,,,,,,5.08,,,,,,,,,,,-0.07,,,,,,,,,,,,-0.78,,,,,-1.02,,,,,,,,,,,,,,,,0.5,,,,,,,,,,Mardini
7408,1.0,ROE10,Roederer+2010,BPS CS 31079-0028,BPS CS 31079-0028,,,,VMP,,,,,03:01:00.70,+06:16:31.80,45.2529,6.2755,,,,,,,,,,,,,-2.84,,,,,,,,,,,,,,,,,,,,,4.66,,,,2.13,,,,,,,-0.43,,,,,,,,,,,,-1,,,,,-1.17,,,,,,,,,,,,,,,,0.25,,,,,,,,,,Mardini
7409,1.0,ROE10,Roederer+2010,BD-16 251,BD-16 251,,,,VMP,,,,,01:29:31.15,-16:00:45.36,22.3798,-16.0126,,,,,,,,,,,,,-2.9,,,,,,,,,,,,,,,,,,,,,4.6,,,,1.88,,,,,,,-0.23,,,,,,,,,,,,-0.62,,,,,-0.72,,,,,,,,,,,,,,,,-0.55,,,,,,,,,,Mardini
7410,1.0,ROE10,Roederer+2010,BD+22 396,BD+22 396,,,,MP,,,,,02:48:37.44,+22:35:54.24,42.156,22.5984,,,,,,,,,,,,,-1.24,,,,,,,,,,,,,,,,,,,,,6.26,,,,3.5,,,,,,,0.73,,,,,,,,,,,,-0.09,,,,,-0.38,,,,,,,,,,,,,,,,1.35,,,,,,,,,,Mardini
7411,1.0,ROE10,Roederer+2010,G 47-12,G 47-12,,,,MP,,,,,08:57:59.26,+24:28:22.44,134.4969,24.4729,,,,,,,,,,,,,-1.17,,,,,,,,,,,,,,,,,,,,,6.33,,,,3.14,,,,,,,0.31,,,,,,,,,,,,0.26,,,,,-0.16,,,,,,,,,,,,,,,,1.25,,,,,,,,,,Mardini
7412,1.0,ROE10,Roederer+2010,HD 149414,HD 149414,,,,MP,,,,,16:34:42.36,-04:13:44.76,248.6765,-4.2291,,,,,,,,,,,,,-1.54,,,,,,,,,,,,,,,,,,,,,5.96,,,,3.4,,,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,Mardini
7413,1.0,ROE10,Roederer+2010,BD+05 4314,BD+05 4314,,,,MP,,,,,19:51:49.61,+05:36:45.72,297.9567,5.6127,,,,,,,,,,,,,-1.64,,,,,,,,,,,,,,,,,,,,,5.86,,,,3.05,,,,,,,0.46,,,,,,,,,,,,-0.33,,,,,-0.58,,,,,,,,,,,,,,,,0.75,,,,,,,,,,Mardini
7414,1.0,ROE10,Roederer+2010,BD-00 4470A,BD-00 4470A,,,,MP,,,,,23:09:32.93,+00:42:38.52,347.3872,0.7107,,,,,,,,,,,,,-1.64,,,,,,,,,,,,,,,,,,,,,5.86,,,,3.03,,,,,,,0.39,,,,,,,,,,,,-0.22,,,,,-0.53,,,,,,,,,,,,,,,,0.69,,,,,,,,,,Mardini
