wavelength, species, expot, loggf, type, filename
3944.01,  13.0,  +0.00,  -0.64, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Al3944.moog
3905.52,  14.0,  +1.91,  -1.04, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Si3905.moog
4384.71,  23.0,  +0.29,  +0.41, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V4384.moog
4379.23,  23.0,  +0.30,  +0.58, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V4379.moog
4005.70,  23.1,  +1.82,  -0.45, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V4005.moog
3951.96,  23.1,  +1.48,  -0.73, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V3951.moog
3840.75,  23.0,  +0.04,  -0.16, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/V3840.moog
4020.90,  27.0,  +0.43,  -2.09, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Co4020.moog
4110.53,  27.0,  +1.05,  -1.23, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Co4110.moog
4118.77,  27.0,  +1.05,  -0.48, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Co4118.moog
4121.32,  27.0,  +0.92,  -0.33, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Co4121.moog
4077.71,  38.1,  +0.00,  +0.15, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Sr4077.moog
4215.52,  38.1,  +0.00,  -0.17, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Sr4215.moog
4900.11,  39.1,  +1.03,  -0.09, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Y4900.moog
4883.68,  39.1,  +1.08,  +0.07, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Y4883.moog
4398.01,  39.1,  +0.13,  -1.00, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Y4398.moog
4208.98,  40.1,  +0.71,  -0.51, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Zr4208.moog
4554.03,  56.1,  +0.00,  +0.17, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Ba4554.moog
4934.08,  56.1,  +0.00,  -0.16, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Ba4934.moog
5853.67,  56.1,  +0.60,  -1.01, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Ba5853.moog
6141.71,  56.1,  +0.70,  -0.08, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Ba6141.moog
6496.90,  56.1,  +0.60,  -0.38, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Ba6496.moog
4086.71,  57.1,  +0.00,  -0.07, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/La4086.moog
4123.22,  57.1,  +0.32,  +0.13, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/La4123.moog
4333.75,  57.1,  +0.17,  -0.06, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/La4333.moog
4921.78,  57.1,  +0.24,  -0.45, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/La4921.moog
4077.97,  66.1,  +0.10,  -0.04, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Dy4077.moog
4103.31,  66.1,  +0.10,  -0.38, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Dy4103.moog
4129.72,  63.1,  +0.00,  +0.22, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Eu4129.moog
4205.04,  63.1,  +0.00,  +0.21, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Eu4205.moog
6645.06,  63.1,  +1.38,  +0.12, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/Eu6645.moog
3876.00, 607.0,   +nan,   +nan, syn, /Users/ayelland/Research/metal-poor-stars/spag/spag/linelists/synthesis_lines/CN3876.moog
