Name,Species,l_logepsX,logepsX,f_logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],N,e_logepsX
UMa II-S2,Si I,<,5.74,,<,-1.77,<,1.46,1,
UMa II-S2,Ca I,,3.46,,,-2.85,,0.38,12,0.19
UMa II-S2,Sc II,,-0.30,,,-3.35,,-0.12,2,0.18
UMa II-S2,Ti I,,1.93,,,-2.97,,0.26,5,0.24
UMa II-S2,Ti II,,1.80,,,-3.10,,0.13,16,0.23
UMa II-S2,V I,<,1.37,,<,-2.63,<,0.60,1,
UMa II-S2,Cr I,,1.91,,,-3.73,,-0.50,3,0.25
UMa II-S2,Mn I,<,2.40,,<,-2.99,<,0.24,1,
UMa II-S2,Fe I,,4.22,,,-3.23,,,64,0.16
UMa II-S2,Fe II,,4.28,,,-3.17,,0.06,6,0.23
UMa II-S2,Co I,<,2.59,,<,-2.33,<,0.90,1,
UMa II-S2,Ni I,<,3.58,,<,-2.65,<,0.58,1,
UMa II-S2,Cu I,<,1.60,,<,-2.61,<,0.62,1,
UMa II-S2,Zn I,,1.42,,,-3.18,,0.05,1,0.20
UMa II-S2,Sr II,,-1.30,,,-4.22,,-0.99,1,0.30
UMa II-S2,Y II,<,-1.27,,<,-3.48,<,-0.25,1,
UMa II-S2,Zr II,<,-0.43,,<,-3.02,<,0.21,1,
UMa II-S2,Ba II,,-2.20,,,-4.37,,-1.14,2,0.30
UMa II-S2,La II,<,-1.85,,<,-2.98,<,0.25,1,
UMa II-S2,Ce II,<,-1.49,,<,-3.07,<,0.16,1,
UMa II-S2,Nd II,<,-1.21,,<,-2.66,<,0.57,1,
UMa II-S2,Sm II,<,-1.53,,<,-2.54,<,0.69,1,
UMa II-S2,Eu II,<,-2.20,,<,-2.72,<,0.51,1,
UMa II-S3,C-H,,5.24,,,-3.15,,-0.81,2,0.20
UMa II-S3,O I,<,6.96,,<,-1.70,<,0.64,1,
UMa II-S3,Na I,,3.68,,,-2.49,,-0.15,2,0.30
UMa II-S3,Mg I,,5.95,,,-1.58,,0.76,4,0.17
UMa II-S3,Al I,,3.70,,,-2.66,,-0.34,1,0.30
UMa II-S3,Si I,,6.08,,,-1.43,,0.91,1,0.30
UMa II-S3,Ca I,,4.50,,,-1.81,,0.53,22,0.17
UMa II-S3,Sc II,,0.67,,,-2.38,,-0.04,5,0.15
UMa II-S3,Ti I,,2.60,,,-2.30,,0.04,21,0.10
UMa II-S3,Ti II,,2.77,,,-2.13,,0.21,27,0.20
UMa II-S3,V I,,1.73,,,-2.27,,0.07,2,0.10
UMa II-S3,Cr I,,2.98,,,-2.66,,-0.32,11,0.13
UMa II-S3,Mn I,,2.48,,,-2.91,,-0.57,3,0.10
UMa II-S3,Fe I,,5.11,,,-2.34,,,133,0.15
UMa II-S3,Fe II,,5.11,,,-2.34,,0.00,19,0.16
UMa II-S3,Co I,,2.49,,,-2.43,,-0.09,4,0.12
UMa II-S3,Ni I,,3.87,,,-2.36,,-0.02,10,0.16
UMa II-S3,Cu I,<,1.42,,<,-2.79,<,-0.45,1,
UMa II-S3,Zn I,,2.26,,,-2.34,,0.00,1,0.20
UMa II-S3,Sr II,,-0.90,,,-3.82,,-1.48,1,0.30
UMa II-S3,Y II,,-1.27,,,-3.48,,-1.14,1,0.15
UMa II-S3,Zr II,,-0.35,,,-2.94,,-0.60,1,0.30
UMa II-S3,Ba II,,-0.73,,,-2.90,,-0.56,3,0.30
UMa II-S3,La II,,-1.49,,,-2.62,,-0.28,3,0.40
UMa II-S3,Ce II,<,-1.28,,<,-2.86,<,-0.52,1,
UMa II-S3,Nd II,<,-1.43,,<,-2.88,<,-0.54,1,
UMa II-S3,Sm II,<,-1.79,,<,-2.80,<,-0.46,1,
UMa II-S3,Eu II,<,-2.20,,<,-2.72,<,-0.38,1,
ComBer-S1,C-H,,6.09,,,-2.30,,0.01,2,0.20
ComBer-S1,O I,<,7.07,,<,-1.59,<,0.72,1,
ComBer-S1,Na I,,3.12,,,-3.05,,-0.74,2,0.30
ComBer-S1,Mg I,,5.38,,,-2.15,,0.16,3,0.20
ComBer-S1,Al I,<,5.25,,<,-1.12,<,1.19,1,
ComBer-S1,Si I,<,5.74,,<,-1.77,<,0.54,1,
ComBer-S1,Ca I,,4.11,,,-2.20,,0.11,18,0.18
ComBer-S1,Sc II,,0.32,,,-2.73,,-0.42,5,0.26
ComBer-S1,Ti I,,2.41,,,-2.49,,-0.18,12,0.18
ComBer-S1,Ti II,,2.58,,,-2.32,,-0.01,27,0.14
ComBer-S1,V I,<,1.18,,<,-2.82,<,-0.51,1,
ComBer-S1,Cr I,,3.34,,,-2.30,,0.01,10,0.16
ComBer-S1,Mn I,<,2.40,,<,-2.99,<,-0.68,1,
ComBer-S1,Fe I,,5.14,,,-2.31,,,130,0.17
ComBer-S1,Fe II,,5.16,,,-2.29,,0.02,18,0.18
ComBer-S1,Co I,<,2.69,,<,-2.23,<,0.08,1,
ComBer-S1,Ni I,,3.36,,,-2.87,,-0.56,3,0.20
ComBer-S1,Cu I,<,1.78,,<,-2.43,<,-0.12,1,
ComBer-S1,Zn I,,2.07,,,-2.53,,-0.22,1,0.20
ComBer-S1,Sr II,,-0.80,,,-3.72,,-1.41,1,0.30
ComBer-S1,Y II,<,-1.19,,<,-3.40,<,-1.09,1,
ComBer-S1,Zr II,<,-0.18,,<,-2.77,<,-0.46,1,
ComBer-S1,Ba II,,-2.47,,,-4.64,,-2.33,2,0.30
ComBer-S1,La II,<,-1.57,,<,-2.70,<,-0.39,1,
ComBer-S1,Ce II,<,-1.17,,<,-2.75,<,-0.44,1,
ComBer-S1,Nd II,<,-0.88,,<,-2.33,<,-0.02,1,
ComBer-S1,Sm II,<,-1.18,,<,-2.19,<,0.12,1,
ComBer-S1,Eu II,<,-1.80,,<,-2.32,<,-0.01,1,
ComBer-S2,C-H,,5.60,,,-2.79,,0.09,2,0.20
ComBer-S2,O I,<,7.34,,<,-1.32,<,1.56,1,
ComBer-S2,Na I,,3.13,,,-3.04,,-0.16,1,0.30
ComBer-S2,Mg I,,5.63,,,-1.90,,0.98,3,0.10
ComBer-S2,Al I,<,5.15,,<,-1.22,<,1.66,1,
ComBer-S2,Si I,<,5.71,,<,-1.80,<,1.08,1,
ComBer-S2,Ca I,,4.06,,,-2.25,,0.63,17,0.21
ComBer-S2,Sc II,,0.72,,,-2.33,,0.55,4,0.19
ComBer-S2,Ti I,,2.35,,,-2.55,,0.33,13,0.22
ComBer-S2,Ti II,,2.42,,,-2.48,,0.40,21,0.21
ComBer-S2,V I,<,1.46,,<,-2.54,<,0.34,1,
ComBer-S2,Cr I,,2.22,,,-3.42,,-0.54,4,0.17
ComBer-S2,Mn I,<,2.20,,<,-3.19,<,-0.31,1,
ComBer-S2,Fe I,,4.57,,,-2.88,,,98,0.14
ComBer-S2,Fe II,,4.57,,,-2.88,,0.00,8,0.25
ComBer-S2,Co I,<,2.56,,<,-2.36,<,0.52,1,
ComBer-S2,Ni I,,3.43,,,-2.80,,0.08,5,0.22
ComBer-S2,Cu I,<,1.52,,<,-2.69,<,0.19,1,
ComBer-S2,Zn I,,1.78,,,-2.82,,0.06,1,0.20
ComBer-S2,Sr II,,-1.60,,,-4.52,,-1.64,1,0.30
ComBer-S2,Y II,<,-1.17,,<,-3.38,<,-0.50,1,
ComBer-S2,Zr II,<,0.05,,<,-2.54,<,0.34,1,
ComBer-S2,Ba II,,-2.62,,,-4.79,,-1.91,2,0.30
ComBer-S2,La II,<,-1.70,,<,-2.83,<,0.05,1,
ComBer-S2,Ce II,<,-1.34,,<,-2.92,<,-0.04,1,
ComBer-S2,Nd II,<,-0.99,,<,-2.44,<,0.44,1,
ComBer-S2,Sm II,<,-1.35,,<,-2.36,<,0.52,1,
ComBer-S2,Eu II,<,-2.40,,<,-2.92,<,-0.04,1,
ComBer-S3,C-H,,5.42,,,-2.97,,-0.44,2,0.20
ComBer-S3,O I,<,6.85,,<,-1.81,<,0.72,1,
ComBer-S3,Na I,,3.83,,,-2.34,,0.19,2,0.30
ComBer-S3,Mg I,,5.50,,,-2.03,,0.50,4,0.10
ComBer-S3,Al I,<,5.06,,<,-1.31,<,1.22,1,
ComBer-S3,Si I,<,5.48,,<,-2.03,<,0.50,1,
ComBer-S3,Ca I,,4.38,,,-1.93,,0.60,22,0.15
ComBer-S3,Sc II,,-0.05,,,-3.10,,-0.57,4,0.10
ComBer-S3,Ti I,,2.54,,,-2.36,,0.17,23,0.12
ComBer-S3,Ti II,,2.66,,,-2.24,,0.29,30,0.16
ComBer-S3,V I,<,1.10,,<,-2.90,<,-0.37,1,
ComBer-S3,Cr I,,2.77,,,-2.87,,-0.34,11,0.21
ComBer-S3,Mn I,,2.20,,,-3.19,,-0.66,1,0.20
ComBer-S3,Fe I,,4.92,,,-2.53,,,146,0.14
ComBer-S3,Fe II,,4.87,,,-2.58,,-0.05,20,0.12
ComBer-S3,Co I,<,2.53,,<,-2.39,<,0.14,1,
ComBer-S3,Ni I,,3.51,,,-2.72,,-0.19,9,0.12
ComBer-S3,Cu I,<,1.44,,<,-2.77,<,-0.24,1,
ComBer-S3,Zn I,,2.17,,,-2.43,,0.10,1,0.20
ComBer-S3,Sr II,,-1.00,,,-3.92,,-1.39,1,0.30
ComBer-S3,Y II,<,-1.57,,<,-3.78,<,-1.25,1,
ComBer-S3,Zr II,<,-0.85,,<,-3.44,<,-0.91,1,
ComBer-S3,Ba II,,-1.67,,,-3.84,,-1.31,3,0.30
ComBer-S3,La II,<,-2.08,,<,-3.21,<,-0.68,1,
ComBer-S3,Ce II,<,-1.69,,<,-3.27,<,-0.74,1,
ComBer-S3,Nd II,<,-1.32,,<,-2.77,<,-0.24,1,
ComBer-S3,Sm II,<,-1.71,,<,-2.72,<,-0.19,1,
ComBer-S3,Eu II,<,-2.40,,<,-2.92,<,-0.39,1,
