Found,Name,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,HE 1100-0137,HE 1100-0137,,,HE 1100-0137,11 02 55.5270,-01 53 40.948,14,14,0.0379,0.0293,90,A,O,2020yCat.1350....0G,,16.113,15.78,15.483,15.151,14.829,14.61,14.6,ChemPec*,,11 02 55.5270,-01 53 40.948,-20.825,-14.468,0.5318,318.1,1
True,HE 1105+0027,HE 1105+0027,,,HE 1105+0027,11 07 49.5058,+00 11 38.346,14,14,0.0339,0.0254,90,A,O,2020yCat.1350....0G,,16.038,15.646,15.358,15.018,14.683,14.46,14.168,ChemPec*,CEMP-s,11 07 49.5058,+00 11 38.346,-11.801,-3.471,0.3163,77.0,1
True,HE 1111-3026,HE 1111-3026,,,HE 1111-3026,11 13 44.9578,-30 42 48.978,14,14,0.0137,0.014,90,A,O,2020yCat.1350....0G,,15.531,14.545,14.382,,12.869,12.409,12.307,ChemPec*,CEMP-s,11 13 44.9578,-30 42 48.978,-9.833,-1.739,0.1492,212.33,1
True,HE 1116-0634,HE 1116-0634,,,TYC 4928-1438-1,11 18 35.8831,-06 50 45.020,14,14,0.0197,0.0162,90,A,O,2020yCat.1350....0G,,12.577,11.606,10.822,10.099,9.675,9.11,9.005,ChemPec*,CEMP-no,11 18 35.8831,-06 50 45.020,-3.12,0.381,0.203,115.7,1
True,HE 1120-0153,HE 1120-0153,,,HE 1120-0153,11 22 43.3920,-02 09 36.696,14,14,0.0406,0.0305,90,A,O,2020yCat.1350....0G,11.998,12.21,11.789,11.29,11.036,10.757,10.493,10.473,ChemPec*,CEMP,11 22 43.3920,-02 09 36.696,101.456,-109.557,1.9659,256.48,1
True,HE 1122-1429,HE 1122-1429,,,HE 1122-1429,11 25 06.6895,-14 46 04.213,14,14,0.0322,0.0317,90,A,O,2020yCat.1350....0G,,16.414,16.097,15.798,15.417,15.23,14.986,15.114,ChemPec*,,11 25 06.6895,-14 46 04.213,-13.526,-7.859,0.357,152.0,1
True,HE 1124-2335,HE 1124-2335,,,HE 1124-2335,11 27 26.9490,-23 52 05.593,14,14,0.0176,0.0142,90,A,O,2020yCat.1350....0G,,,14.634,,13.721,13.127,12.728,12.548,RGB*,CEMP-no,11 27 26.9490,-23 52 05.593,-8.461,-3.222,0.2141,181.5,1
True,HE 1126-1735,HE 1126-1735,,,HE 1126-1735,11 28 51.3986,-17 51 42.823,14,14,0.0287,0.0254,90,A,O,2020yCat.1350....0G,,,15.965,,15.232,14.855,14.482,14.573,ChemPec*,,11 28 51.3986,-17 51 42.823,-11.979,2.774,0.2429,281.9,1
True,HE 1127-1143,HE 1127-1143,,,HE 1127-1143,11 29 50.6275,-12 00 12.581,14,14,0.0363,0.0289,90,A,O,2020yCat.1350....0G,,,15.885,15.434,15.002,14.471,14.033,14.044,ChemPec*,,11 29 50.6275,-12 00 12.581,0.221,-4.723,0.0763,228.5,1
True,HE 1128-0823,HE 1128-0823,,,HE 1128-0823,11 30 44.3415,-08 39 54.806,14,14,0.0302,0.0204,90,A,O,2020yCat.1350....0G,,15.562,15.23,14.913,14.551,14.201,13.845,13.779,ChemPec*,,11 30 44.3415,-08 39 54.806,-22.4,-3.447,0.4144,175.306,1
