El,Ion,lambda,loggf,LEP,Ref
Ti,II,4589.958,-1.62,1.237,11
Ti,II,4805.085,-0.96,2.061,1
Ti,II,5129.152,-1.3,1.88,11
Ti,II,5154.07,-1.78,1.566,11
Ti,II,5226.543,-1.23,1.566,11
Ti,II,5336.786,-1.59,1.582,10
Cr,I,4254.332,-0.114,0.0,12
Cr,I,4274.796,-0.231,0.0,12
Cr,I,4289.716,-0.361,0.0,12
Cr,I,4646.148,-0.7,1.03,12
Cr,I,4652.152,-1.03,1.004,12
Cr,I,5206.038,0.019,0.941,12
Cr,I,5208.419,0.158,0.941,12
Mn,I,4030.763,-0.47,0.0,13
Mn,I,4033.06,-0.618,0.0,13
Mn,I,4034.492,-0.811,0.0,13
Mn,I,4754.04,-0.086,2.282,13
Fe,I,4045.812,0.28,1.486,14
Fe,I,4062.441,-0.862,2.845,14
Fe,I,4063.594,0.062,1.558,14
Fe,I,4071.738,-0.008,1.608,14
Fe,I,4132.058,-0.675,1.608,14
Fe,I,4134.678,-0.649,2.831,14
Fe,I,4143.415,-0.204,3.047,14
Fe,I,4143.868,-0.511,1.558,14
Fe,I,4147.669,-2.09,1.485,14
Fe,I,4156.799,-0.809,2.831,14
Fe,I,4157.78,-0.403,3.417,14
Fe,I,4181.755,-0.371,2.831,14
Fe,I,4187.795,-0.53,2.425,14
Fe,I,4191.431,-0.666,2.469,14
Fe,I,4199.095,0.156,3.047,14
Fe,I,4202.029,-0.689,1.485,14
Fe,I,4206.697,-3.96,0.052,14
Fe,I,4216.184,-3.356,0.0,14
Fe,I,4222.213,-0.914,2.449,14
Fe,I,4227.427,0.266,3.332,14
Fe,I,4233.603,-0.579,2.482,14
Fe,I,4235.937,-0.33,2.425,14
Fe,I,4250.12,-0.38,2.469,14
Fe,I,4250.787,-0.713,1.558,14
Fe,I,4258.316,-4.316,0.087,12
Fe,I,4260.474,0.077,2.4,14
Fe,I,4271.154,-0.337,2.449,14
Fe,I,4271.761,-0.173,1.485,14
Fe,I,4282.403,-0.779,2.176,14
Fe,I,4299.235,-0.38,2.425,14
Fe,I,4307.902,-0.073,1.557,14
Fe,I,4325.762,0.006,1.608,14
Fe,I,4337.046,-1.695,1.557,14
Fe,I,4352.735,-1.287,2.223,14
Fe,I,4369.772,-0.73,3.047,12
Fe,I,4375.93,-3.02,0.0,14
Fe,I,4383.545,0.208,1.485,14
Fe,I,4404.75,-0.147,1.557,14
Fe,I,4415.122,-0.621,1.608,14
Fe,I,4422.568,-1.115,2.845,14
Fe,I,4427.31,-2.924,0.052,14
Fe,I,4442.339,-1.228,2.198,14
Fe,I,4447.717,-1.339,2.223,14
Fe,I,4459.118,-1.31,2.176,14
Fe,I,4461.653,-3.2,0.087,14
Fe,I,4466.552,-0.6,2.831,14
Fe,I,4476.019,-0.819,2.845,14
Fe,I,4484.22,-0.864,3.602,14
Fe,I,4489.739,-3.93,0.121,14
Fe,I,4494.563,-1.136,2.198,14
Fe,I,4528.614,-0.85,2.176,14
Fe,I,4531.148,-2.13,1.485,14
Fe,I,4592.651,-2.449,1.557,12
Fe,I,4602.941,-2.209,1.485,14
Fe,I,4733.592,-2.988,1.485,1
Fe,I,4736.773,-0.752,3.211,14
Fe,I,4859.741,-0.764,2.875,14
Fe,I,4871.318,-0.363,2.865,14
Fe,I,4872.138,-0.567,2.882,14
Fe,I,4890.755,-0.394,2.876,14
Fe,I,4891.492,-0.112,2.852,14
Fe,I,4903.31,-1.08,2.882,12
Fe,I,4918.994,-0.342,2.845,14
Fe,I,4920.503,0.068,2.832,14
Fe,I,4938.814,-1.077,2.875,14
Fe,I,4939.687,-3.252,0.859,14
Fe,I,4957.299,-0.408,2.851,14
Fe,I,4957.597,0.233,2.808,14
Fe,I,4994.13,-3.08,0.915,12
Fe,I,5006.119,-0.638,2.832,1
Fe,I,5012.068,-2.642,0.859,12
Fe,I,5041.727,-2.782,3.695,1
Fe,I,5041.756,-2.203,1.485,1
Fe,I,5049.82,-1.42,2.279,12
Fe,I,5051.635,-2.795,0.915,12
Fe,I,5068.766,-1.23,2.94,12
Fe,I,5079.74,-3.22,0.99,12
Fe,I,5083.339,-2.958,0.958,12
Fe,I,5098.698,-2.026,2.176,1
Fe,I,5110.359,-1.366,3.573,1
Fe,I,5123.72,-3.068,1.011,12
Fe,I,5127.359,-3.307,0.915,12
Fe,I,5133.689,0.14,4.178,12
Fe,I,5142.929,-3.08,0.958,1
Fe,I,5150.84,-3.07,0.99,12
Fe,I,5151.911,-3.322,1.011,12
Fe,I,5162.273,0.02,4.178,12
Fe,I,5166.282,-4.195,0.0,12
Fe,I,5171.596,-1.793,1.485,12
Fe,I,5191.455,-0.551,3.038,14
Fe,I,5192.344,-0.421,2.998,14
Fe,I,5194.942,-2.09,1.557,12
Fe,I,5198.711,-2.135,2.223,12
Fe,I,5202.336,-1.838,2.176,12
Fe,I,5204.583,-4.332,0.087,12
Fe,I,5216.274,-2.15,1.608,12
Fe,I,5225.526,-4.789,0.11,12
Fe,I,5232.94,-0.058,2.94,14
Fe,I,5266.555,-0.386,2.998,14
Fe,I,5269.537,-1.321,0.86,12
Fe,I,5270.356,-1.51,1.608,12
Fe,I,5281.79,-1.02,3.038,12
Fe,I,5307.361,-2.987,1.608,12
Fe,I,5324.179,-0.24,3.211,12
Fe,I,5328.039,-1.466,0.915,12
Fe,I,5328.532,-1.85,1.557,1
Fe,I,5332.9,-2.94,1.557,12
Fe,I,5341.024,-2.06,1.608,12
Fe,I,5429.697,-1.879,0.958,12
Fe,I,5434.524,-2.122,1.011,12
Fe,I,5446.917,-1.93,0.99,12
Fe,I,5455.61,-2.091,1.011,1
Fe,I,5497.516,-2.849,1.011,12
Fe,I,5501.465,-2.95,0.958,12
Fe,I,5506.779,-2.797,0.99,12
Fe,I,5569.618,-0.54,3.417,12
Fe,I,5572.842,-0.31,3.396,12
Fe,I,5576.089,-1.0,3.43,12
Fe,I,5586.756,-0.144,3.368,14
Fe,I,5615.644,-0.14,3.332,12
Fe,I,6136.615,-1.4,2.453,12
Fe,I,6137.692,-1.403,2.588,12
Fe,I,6191.558,-1.6,2.433,12
Fe,I,6230.723,-1.281,2.559,12
Fe,I,6335.331,-2.23,2.198,12
Fe,I,6393.601,-1.62,2.433,12
Fe,I,6421.351,-2.027,2.279,12
Fe,I,6430.846,-2.006,2.176,12
Fe,I,6494.98,-1.239,2.4,6
Fe,I,6677.987,-1.47,2.692,12
Fe,II,4178.862,-2.443,2.583,15
Fe,II,4233.172,-1.809,2.583,15
Fe,II,4416.83,-2.54,2.778,16
Fe,II,4508.288,-2.312,2.856,17
Fe,II,4515.339,-2.362,2.844,15
Fe,II,4520.224,-2.55,2.807,16
Fe,II,4522.634,-2.19,2.844,16
Fe,II,4583.837,-1.74,2.807,15
Fe,II,4923.927,-1.206,2.891,15
Fe,II,5018.43,-1.23,2.891,16
Fe,II,5169.033,-1.14,2.891,16
Fe,II,5197.577,-2.35,3.23,16
Fe,II,5234.63,-2.151,3.221,17
Fe,II,5275.99,-2.13,3.199,16
Fe,II,5316.615,-2.02,3.153,16
Co,I,4121.311,-0.3,0.922,18
Ni,I,4714.408,0.26,3.38,1
Ni,I,5476.9,-0.89,1.826,1
Zn,I,4722.153,-0.39,4.03,19
Zn,I,4810.528,-0.17,4.078,19
Sr,II,4077.709,0.158,0.0,20
Sr,II,4215.519,-0.155,0.0,20
Y,II,4374.935,0.16,0.409,21
Y,II,4854.863,-0.38,0.992,21
Y,II,4883.685,0.07,1.084,21
Y,II,4900.11,-0.09,1.03,21
Ba,II,4554.029,0.163,0.0,22
Ba,II,4934.076,-0.15,0.0,1
Ba,II,5853.69,-0.91,0.6,6
Ba,II,6141.73,-0.08,0.7,6
Ba,II,6496.91,-0.38,0.6,6
La,II,4086.709,-0.07,0.0,23
La,II,4333.753,-0.06,0.173,23
Eu,II,4129.725,0.22,0.0,24
