Seq,---,SDSS,eFe1,eFe2,eNa,eMg,eCa,eTi,eSr,eBa,eC
90,SDSS,J1446+1249,0.2,0.28,0.16,0.11,0.14,0.28,0.24,,
91,SDSS,J1502+3113,0.21,0.3,0.21,0.17,0.23,0.27,0.31,,
92,SDSS,J1504+4623,0.21,0.34,0.25,0.16,0.21,0.29,,,
93,SDSS,J1515+4503,0.22,0.38,,0.2,0.27,0.36,0.33,,
94,SDSS,J1516+4333,0.22,0.31,0.32,0.22,0.3,,0.36,,
95,SDSS,J1521+3437,0.22,,0.28,0.19,0.26,,0.27,,
96,SDSS,J1522+3055,0.2,0.34,0.2,0.16,0.21,,,,
97,SDSS,J1523+4942,0.24,0.37,,0.32,0.45,0.31,0.49,0.5,
98,SDSS,J1528+4915,0.2,0.31,0.17,0.13,0.16,,0.23,,
99,SDSS,J1551+2521,0.21,0.3,0.22,0.19,0.26,0.29,0.33,,
100,SDSS,J1553+2511,0.21,0.33,0.19,0.16,0.21,,0.28,,
101,SDSS,J1603+2917,0.21,0.33,0.24,0.21,0.29,,0.29,,
102,SDSS,J1612+0421,0.34,0.42,0.3,0.24,0.24,0.32,0.43,0.43,0.14
103,SDSS,J1613+5309,0.36,0.39,0.3,0.29,0.41,0.34,0.43,0.43,0.14
104,SDSS,J1623+3913,0.21,0.38,0.23,0.2,0.28,,0.34,,
105,SDSS,J1626+1458,0.21,0.29,0.18,0.14,,,0.27,0.26,0.22
106,SDSS,J1633+3907,0.2,0.3,0.19,0.12,0.15,,,,
107,SDSS,J1640+3709,0.21,,0.24,0.16,0.21,,,,
108,SDSS,J1646+2824,0.22,0.32,,0.23,0.32,0.4,0.38,0.32,0.22
109,SDSS,J1650+2242,0.24,0.42,0.26,0.24,0.33,,0.38,,
110,SDSS,J1659+3515,0.21,0.36,0.22,0.18,0.25,,,,
111,SDSS,J1703+2836,0.34,,0.18,,,0.35,,,0.22
112,SDSS,J1728+0657,0.23,0.42,,0.24,,0.41,,,
113,SDSS,J1734+4316,0.34,0.34,0.24,0.19,0.18,0.32,,0.36,0.14
114,SDSS,J1735+4446,0.34,0.37,0.26,0.25,0.35,0.32,,,
115,SDSS,J1736+4420,0.34,0.35,0.28,0.16,0.18,0.31,0.32,0.42,
116,SDSS,J1746+2455,0.35,0.43,0.32,0.31,0.33,0.34,0.35,0.45,0.14
117,SDSS,J1830+4141,0.2,0.28,0.18,0.11,0.13,,0.24,,
118,SDSS,J1834+2023,0.22,0.35,,0.23,0.23,0.31,0.44,,
119,SDSS,J1836+6317,0.35,0.37,0.39,0.28,0.3,0.35,,0.4,0.14
120,SDSS,J2005-1045,0.24,,0.28,0.19,0.25,,,,
121,SDSS,J2052+0109,0.2,0.29,0.22,0.19,0.25,,0.32,,
122,SDSS,J2104-0104,0.35,0.4,0.27,0.26,0.37,0.33,,0.48,
123,SDSS,J2111+0109,0.2,0.28,0.2,0.13,0.16,0.26,0.23,0.28,
124,SDSS,J2118-0640,0.21,0.3,0.19,0.15,0.2,,,,
125,SDSS,J2123-0820,0.24,0.35,0.3,0.28,0.39,0.37,0.44,,
126,SDSS,J2128-0756,0.2,0.29,0.21,0.18,0.24,0.3,0.26,0.33,
127,SDSS,J2206-0925,0.34,0.36,,0.2,0.28,0.31,0.31,0.38,0.14
128,SDSS,J2207+2017,0.2,0.29,0.23,0.15,0.16,0.31,0.27,0.35,
129,SDSS,J2208+0613,0.21,0.3,0.24,0.16,0.21,0.29,0.29,,
130,SDSS,J2213-0726,0.34,0.39,0.25,0.23,0.26,0.32,0.36,0.4,
131,SDSS,J2300+0559,0.22,0.32,,0.24,0.32,0.34,,,
132,SDSS,J2308-0855,0.21,0.3,0.21,0.18,0.25,,0.32,,
133,SDSS,J2309+2308,0.26,,0.28,0.19,0.25,,,,
134,SDSS,J2334+1538,0.25,0.42,,0.24,0.34,,,,
135,SDSS,J2338+0902,0.35,0.47,0.28,0.26,0.38,0.32,0.4,0.42,
136,SDSS,J2349+3832,0.28,,,0.21,,,,,
137,SDSS,J2357-0052,0.34,,,0.29,,,0.28,0.37,0.22
