PIGS,Field,GaiaDR3,RAJ2000,DEJ2000,RV,e_RV,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,__C_Fe_,e__C_Fe_,__C_Fe_corr,pmRAred,pmDEred
Pristine_185039.63-291326.7,Field282.0-29.8_Sag,6761557599525114368,282.665125,-29.22408333333,143.8493,0.729,4961.545,171.997,2.023,0.4694,-1.809,0.1598,-0.28,0.2506,0.1605,-0.026000000000000002,0.11900000000000001
Pristine_184515.76-300148.4,Field282.0-29.8_Sag,6761403156831497472,281.31566666667,-30.03011111111,150.268,0.824,4979.709,152.841,1.886,0.4572,-1.982,0.1522,-0.265,0.2499,0.2281,0.1,0.199
Pristine_184528.68-301011.5,Field282.0-29.8_Sag,6737379308803439488,281.3695,-30.16986111111,140.9431,1.065,4977.573,185.084,2.231,0.4492,-1.58,0.1644,-0.403,0.2442,0.0911,-0.018000000000000002,-0.19100000000000003
Pristine_185021.30-293057.2,Field282.0-29.8_Sag,6761482179904715392,282.58875,-29.51588888889,171.0644,0.959,4833.545,169.12,1.786,0.4144,-1.527,0.1545,-0.138,0.2274,0.2017,0.202,0.164
Pristine_184854.66-291149.1,Field282.0-29.8_Sag,6761552346813250176,282.22775,-29.19697222222,134.6968,1.447,5175.054,179.553,1.95,0.6269,-1.884,0.1884,-0.369,0.3838,0.1823,-0.053000000000000005,-0.34900000000000003
Pristine_184831.91-293501.4,Field282.0-29.8_Sag,6761431881574214144,282.13295833333,-29.58372222222,123.0466,0.821,4956.67,156.463,2.043,0.4677,-2.03,0.1549,-0.191,0.2403,0.1398,0.11200000000000002,0.068
Pristine_184439.33-301600.9,Field282.0-29.8_Sag,6737371814047327360,281.163875,-30.26691666667,171.9353,1.228,4954.475,168.186,1.745,0.5703,-2.076,0.1624,-0.072,0.278,0.2369,-0.005000000000000001,0.12100000000000001
Pristine_184729.74-302729.8,Field282.0-29.8_Sag,6761316913884994816,281.87391666667,-30.45827777778,144.2055,0.489,4733.948,165.504,1.528,0.4253,-1.835,0.1532,-0.538,0.2295,0.4152,-0.129,-0.033
Pristine_185103.06-295624.3,Field282.0-29.8_Sag,6761263931168893184,282.76275,-29.94008333333,126.96,2.803,4668.534,162.136,1.652,0.4222,-2.16,0.1541,-0.384,0.2314,0.3646,-0.14700000000000002,-0.032
Pristine_184737.74-295255.5,Field282.0-29.8_Sag,6761417587922510976,281.90725,-29.88208333333,136.373,0.68,4610.998,171.955,1.587,0.4192,-1.862,0.1624,-0.529,0.2203,0.3947,0.5650000000000001,-0.15100000000000002
Pristine_184342.87-292908.0,Field282.0-29.8_Sag,4071328043996919808,280.928625,-29.48555555556,130.1103,1.686,5291.614,188.026,2.387,0.6544,-1.799,0.1888,0.138,0.2581,0.074,-0.19500000000000003,0.05500000000000001
Pristine_184842.28-293525.7,Field282.0-29.8_Sag,6761431950293678976,282.17616666667,-29.59047222222,134.0402,0.822,4641.643,223.663,1.356,0.6223,-2.138,0.2028,-0.379,0.3097,0.4304,0.128,0.139
Pristine_185055.44-293042.7,Field282.0-29.8_Sag,6761480225719989760,282.731,-29.51186111111,182.3481,0.912,4852.436,198.38,1.722,0.5026,-1.798,0.1658,-0.438,0.285,0.2694,0.081,-0.034
Pristine_184444.92-292520.1,Field282.0-29.8_Sag,4071288216729338496,281.18716666667,-29.42225,130.1098,0.708,4821.372,176.479,1.571,0.5806,-2.24,0.1629,-0.383,0.3142,0.3217,0.25000000000000006,0.339
Pristine_184809.74-284834.5,Field282.0-29.8_Sag,4071423907658758272,282.04058333333,-28.80958333333,156.0195,1.162,5071.645,183.413,1.802,0.5931,-1.845,0.1794,-0.211,0.3301,0.2307,0.15000000000000002,-0.11500000000000002
Pristine_184642.47-292222.0,Field282.0-29.8_Sag,4071302514679576960,281.67695833333,-29.37277777778,178.9768,1.499,5412.498,172.223,3.335,0.7035,-2.629,0.1751,0.144,0.2579,0.0109,0.326,0.19700000000000004
Pristine_184845.30-302309.5,Field282.0-29.8_Sag,6761321758607853824,282.18875,-30.38597222222,153.9512,0.487,4892.442,187.958,1.95,0.6907,-2.402,0.178,-0.457,0.3484,0.2809,0.15900000000000003,-0.28900000000000003
Pristine_184404.54-301357.5,Field282.0-29.8_Sag,6737375627978316544,281.01891666667,-30.23263888889,166.2609,1.728,5037.431,189.483,2.127,0.5165,-1.584,0.1766,-0.053,0.2546,0.1103,0.034,-0.07400000000000001
Pristine_184944.27-293121.2,Field282.0-29.8_Sag,6761524270584203136,282.43445833333,-29.52255555556,129.9827,0.665,4947.958,190.26,2.123,0.5358,-1.869,0.1713,-0.438,0.2772,0.1692,0.22000000000000003,-0.013000000000000001
Pristine_184736.75-290532.7,Field282.0-29.8_Sag,4071402497212865152,281.903125,-29.09241666667,164.7239,1.557,5267.241,153.959,2.341,0.4601,-1.615,0.1797,-0.574,0.3267,0.0859,-0.256,-0.162
Pristine_184607.44-292308.9,Field282.0-29.8_Sag,4071297322053594496,281.531,-29.38580555556,143.3425,0.672,4919.583,139.448,1.641,0.4651,-2.222,0.1456,-0.223,0.2586,0.3279,-0.15200000000000002,-0.026000000000000002
Pristine_184349.86-301108.2,Field282.0-29.8_Sag,4047226577317943552,280.95775,-30.18561111111,141.5137,1.198,5084.68,164.284,1.809,0.5136,-1.797,0.1647,0.006,0.2695,0.1903,0.064,-0.15000000000000002
Pristine_184558.18-292045.3,Field282.0-29.8_Sag,4071309416690709504,281.49241666667,-29.34591666667,120.7647,1.13,5231.647,179.032,2.554,0.6795,-2.169,0.1952,-0.472,0.4185,0.0775,0.256,-0.12000000000000001
Pristine_184853.44-302718.4,Field282.0-29.8_Sag,6761132195931902208,282.22266666667,-30.45511111111,123.9775,0.703,4670.174,156.484,1.44,0.4511,-2.337,0.1552,-0.481,0.2506,0.4477,0.279,-0.10300000000000001
Pristine_184917.31-303048.0,Field282.0-29.8_Sag,6761129378433183104,282.322125,-30.51333333333,143.1193,0.865,4671.88,149.935,1.338,0.3673,-1.978,0.1539,-0.189,0.2305,0.4562,-0.35900000000000004,-0.31100000000000005
Pristine_184840.67-300521.6,Field282.0-29.8_Sag,6761364055447207680,282.16945833333,-30.08933333333,150.3922,0.653,4735.086,160.343,1.716,0.4703,-2.252,0.1539,-0.608,0.2438,0.3201,0.20600000000000002,-0.18600000000000003
Pristine_190452.43-320156.6,Field286.0-31.1,6757370319958976384,286.21845833333,-32.03238888889,132.9555,3.179,4842.18,176.208,1.82,0.4832,-2.017,0.1597,-0.259,0.2464,0.2234,0.22800000000000004,0.11200000000000002
Pristine_190506.74-315429.1,Field286.0-31.1,6757372896939380992,286.27808333333,-31.90808333333,117.1358,1.51,5057.11,146.633,1.412,0.5142,-2.0,0.1532,-0.039,0.288,0.3934,-0.11100000000000002,-0.31300000000000006
Pristine_190427.42-303343.0,Field286.0-31.1,6760611302279999360,286.11425,-30.56194444444,107.2924,1.357,4947.961,165.149,2.218,0.4357,-1.667,0.1631,-0.394,0.2272,0.0788,-0.067,0.04900000000000001
Pristine_190552.22-313420.2,Field286.0-31.1,6757410211616381056,286.46758333333,-31.57227777778,135.8286,1.894,4746.119,157.679,1.3,0.4681,-2.206,0.167,-0.345,0.2796,0.516,0.016,0.07
Pristine_190053.83-305843.6,Field286.0-31.1,6760489870665075328,285.22429166667,-30.97877777778,148.5191,1.118,4684.667,142.353,1.429,0.3445,-1.759,0.1479,-0.375,0.2181,0.4284,0.002,0.026000000000000002
Pristine_190530.89-305920.4,Field286.0-31.1,6757490883972897152,286.37870833333,-30.989,144.767,1.574,4922.033,169.552,1.731,0.578,-2.159,0.1638,-0.449,0.3127,0.3298,0.405,0.41700000000000004
Pristine_190113.62-310212.2,Field286.0-31.1,6760487229269435648,285.30675,-31.03672222222,104.466,1.066,4786.525,155.517,1.811,0.3908,-1.783,0.1483,-0.467,0.2215,0.26,0.07800000000000001,0.082
Pristine_190612.10-315504.4,Field286.0-31.1,6757188660021199360,286.55041666667,-31.91788888889,144.0737,1.19,4917.648,219.136,1.868,0.8398,-2.504,0.1969,-0.458,0.4551,0.3452,0.030000000000000002,0.09600000000000002
Pristine_190246.37-302632.7,Field286.0-31.1,6760580992692275200,285.69320833333,-30.44241666667,153.8289,1.663,4554.027,168.102,1.516,0.408,-2.164,0.1959,0.163,0.2213,0.3797,-0.22600000000000003,0.04800000000000001
Pristine_190629.36-310600.3,Field286.0-31.1,6757532532282249216,286.62233333333,-31.10008333333,145.1178,3.545,4591.493,162.052,1.645,0.3756,-1.701,0.1752,-0.446,0.2168,0.3391,0.04900000000000001,0.17400000000000002
Pristine_190554.01-315745.4,Field286.0-31.1,6757186667155017728,286.47504166667,-31.96261111111,123.192,2.011,4670.205,170.637,1.851,0.4181,-2.183,0.1538,0.291,0.2104,0.1946,-0.34,-0.163
Pristine_190200.09-301329.8,Field286.0-31.1,6760599753099922176,285.500375,-30.22494444444,138.3125,2.621,4555.45,149.917,1.616,0.3333,-1.692,0.2094,-0.587,0.2118,0.353,-0.14,0.042
Pristine_190152.44-311713.7,Field286.0-31.1,6760467644217907072,285.4685,-31.28713888889,172.1937,1.258,4894.759,156.457,1.98,0.4013,-1.593,0.1531,-0.365,0.22,0.1525,0.060000000000000005,0.032
Pristine_190342.87-311600.9,Field286.0-31.1,6757468859382690560,285.928625,-31.26691666667,148.3417,1.16,5147.835,146.332,2.695,0.4014,-1.838,0.1604,-0.354,0.233,0.0194,-0.262,-0.18000000000000002
Pristine_190101.90-312135.1,Field286.0-31.1,6760093153116464768,285.25791666667,-31.35975,140.9375,1.026,4735.02,151.695,1.651,0.3744,-1.729,0.1479,-0.588,0.222,0.3151,0.16000000000000003,-0.021
Pristine_190453.36-305220.2,Field286.0-31.1,6757505113215929856,286.22233333333,-30.87227777778,152.5601,1.008,5018.45,142.073,1.83,0.4203,-1.829,0.2018,-0.808,0.2782,0.247,-0.24600000000000002,-0.07200000000000001
Pristine_190256.16-313257.8,Field286.0-31.1,6757446186263284096,285.734,-31.54938888889,140.6208,1.631,5082.567,144.119,2.466,0.3693,-1.636,0.1552,-0.532,0.2248,0.044,-0.1,-0.11400000000000002
Pristine_190151.93-313404.1,Field286.0-31.1,6757081659487684480,285.466375,-31.56780555556,124.9738,1.134,4653.154,165.708,1.316,0.3964,-1.775,0.1766,-0.572,0.2468,0.4657,-0.0030000000000000005,0.019000000000000003
Pristine_190106.17-314634.8,Field286.0-31.1,6757072730268564736,285.27570833333,-31.77633333333,152.6101,1.044,4585.215,149.477,1.317,0.3516,-1.903,0.1812,-0.602,0.2272,0.4887,0.251,0.033
Pristine_190145.24-310245.9,Field286.0-31.1,6760486542074634112,285.4385,-31.04608333333,143.2917,1.07,4533.3,139.782,1.341,0.3323,-1.628,0.3002,-0.459,0.2102,0.4402,-0.036000000000000004,-0.163
Pristine_190148.75-305430.8,Field286.0-31.1,6760494341735063552,285.453125,-30.90855555556,106.7575,0.764,4930.572,153.96,2.172,0.494,-2.316,0.1514,-0.257,0.2283,0.1198,0.066,-0.05800000000000001
Pristine_190326.73-314307.4,Field286.0-31.1,6757393340983991680,285.861375,-31.71872222222,151.2798,1.693,5202.939,144.139,2.668,0.3646,-1.505,0.1546,-0.22,0.2301,0.0228,-0.14600000000000002,-0.101
Pristine_190618.63-305821.9,Field286.0-31.1,6757581456244047360,286.577625,-30.97275,163.3161,1.793,4660.685,154.813,1.28,0.3818,-1.916,0.175,-0.66,0.25,0.5114,-0.11200000000000002,0.081
Pristine_190105.39-304440.8,Field286.0-31.1,6760547083923983616,285.27245833333,-30.74466666667,160.6509,1.17,4862.646,156.294,1.857,0.3932,-1.621,0.1523,-0.32,0.2222,0.1947,0.329,0.29900000000000004
Pristine_190513.46-305951.1,Field286.0-31.1,6757491060082785920,286.30608333333,-30.99752777778,125.7754,0.809,4591.479,160.626,1.476,0.3698,-1.879,0.173,-0.479,0.226,0.384,0.17600000000000002,-0.005000000000000001
Pristine_190146.11-301525.1,Field286.0-31.1,6760599237703817088,285.442125,-30.25697222222,149.5532,2.89,4637.573,148.822,1.564,0.3393,-1.749,0.1491,-0.458,0.2168,0.3213,-0.22600000000000003,-0.027000000000000003
Pristine_190444.57-313142.0,Field286.0-31.1,6757402892991509376,286.18570833333,-31.52833333333,173.1361,1.244,4963.49,182.356,1.587,0.6447,-2.209,0.1981,-0.581,0.4834,0.3884,-0.30900000000000005,-0.14100000000000001
Pristine_190104.02-305551.8,Field286.0-31.1,6760491726091020800,285.26675,-30.93105555556,178.2608,1.144,4635.097,169.849,1.643,0.3974,-1.77,0.1585,-0.337,0.2231,0.3064,-0.015000000000000001,0.023000000000000003
Pristine_190520.91-312252.0,Field286.0-31.1,6757427662059562752,286.337125,-31.38111111111,151.9506,1.426,4819.975,161.858,2.088,0.4002,-1.829,0.1538,-0.292,0.2161,0.1236,-0.19500000000000003,0.083
Pristine_190300.98-313619.5,Field286.0-31.1,6757444773204683264,285.75408333333,-31.60541666667,136.6301,1.572,4940.544,157.294,2.355,0.3969,-1.578,0.1568,-0.497,0.2156,0.0639,0.037000000000000005,0.11800000000000001
Pristine_190341.19-305546.1,Field286.0-31.1,6760503408402042880,285.921625,-30.92947222222,128.7206,1.32,4577.182,145.52,1.47,0.3413,-1.567,0.1798,-0.328,0.2082,0.4185,-0.136,-0.42000000000000004
Pristine_190239.28-311917.8,Field286.0-31.1,6757464774882048000,285.66366666667,-31.32161111111,140.3793,1.534,4608.062,140.115,1.451,0.325,-1.633,0.1563,-0.395,0.2093,0.4211,0.15500000000000003,-0.10600000000000001
Pristine_190330.85-310244.4,Field286.0-31.1,6757498619225512576,285.87854166667,-31.04566666667,154.6793,1.359,5060.883,162.561,2.272,0.7191,-2.774,0.1634,-0.235,0.2918,0.1373,-0.11800000000000001,0.04800000000000001
Pristine_190448.97-305417.7,Field286.0-31.1,6757503532667954944,286.20404166667,-30.90491666667,147.8087,1.054,4566.625,153.257,1.447,0.3611,-1.595,0.2035,-0.222,0.2101,0.3391,-0.11900000000000001,0.09700000000000002
Pristine_190319.01-311943.9,Field286.0-31.1,6757466973905259520,285.82920833333,-31.32886111111,109.077,0.722,4684.41,144.611,1.706,0.3652,-2.064,0.1478,-0.664,0.2242,0.2858,-0.11100000000000002,-0.016
Pristine_190428.53-310151.0,Field286.0-31.1,6757495969212843392,286.118875,-31.03083333333,167.0916,1.49,5694.683,167.187,3.644,0.6126,-2.071,0.1819,0.295,0.2506,0.0023,0.052000000000000005,0.10900000000000001
Pristine_190602.59-311017.3,Field286.0-31.1,6757438249163106816,286.51079166667,-31.17147222222,130.7279,0.985,4578.388,159.298,1.441,0.3713,-1.718,0.1902,-0.243,0.2158,0.3814,0.23600000000000002,0.019000000000000003
Pristine_190037.19-305135.7,Field286.0-31.1,6760539971469430016,285.15495833333,-30.85991666667,127.3231,1.096,4704.354,158.521,1.503,0.3857,-1.845,0.1503,-0.276,0.2279,0.37,-0.29600000000000004,-0.001
Pristine_190325.60-304726.5,Field286.0-31.1,6760508429228668672,285.85666666667,-30.79069444444,125.4454,1.664,4716.699,161.655,1.686,0.3909,-1.586,0.1551,-0.614,0.2246,0.3143,0.063,-0.085
Pristine_190712.78-310737.7,Field286.0-31.1,6757518547868678272,286.80325,-31.12713888889,128.0266,2.093,4779.899,167.72,1.586,0.4353,-1.597,0.1595,-0.525,0.2339,0.3745,-0.37300000000000005,-0.0030000000000000005
Pristine_190356.72-304709.6,Field286.0-31.1,6760511246711728768,285.98633333333,-30.786,103.54,2.116,4590.232,138.854,1.847,0.3136,-1.602,0.1523,-0.482,0.2039,0.2226,0.21300000000000002,0.17800000000000002
Pristine_190407.47-305247.8,Field286.0-31.1,6757507273566804224,286.031125,-30.87994444444,149.7591,1.41,4620.209,136.902,1.168,0.331,-1.567,0.2012,-0.16,0.2159,0.4209,-0.134,0.022000000000000002
Pristine_190055.49-305105.4,Field286.0-31.1,6760539490433533824,285.23120833333,-30.8515,146.144,2.04,4712.538,153.917,1.486,0.3862,-2.029,0.1497,-0.221,0.2329,0.3953,-0.37300000000000005,0.009000000000000001
Pristine_190209.96-312151.7,Field286.0-31.1,6757463847152458240,285.5415,-31.36436111111,143.1318,1.567,5093.164,150.875,2.244,0.4208,-1.741,0.1585,-0.144,0.2331,0.08,0.134,0.21500000000000002
Pristine_190053.63-312654.7,Field286.0-31.1,6760092298438922112,285.22345833333,-31.44852777778,120.075,1.28,4729.982,169.637,1.993,0.4047,-1.655,0.152,-0.427,0.2177,0.1685,-0.016,0.026000000000000002
Pristine_190008.47-305753.2,Field286.0-31.1,6760162495386384000,285.03529166667,-30.96477777778,152.4094,1.107,4975.198,175.423,2.565,0.4424,-1.657,0.169,-0.209,0.2183,0.0381,0.10700000000000001,0.135
Pristine_190432.69-312516.1,Field286.0-31.1,6757451683821766656,286.13620833333,-31.42113888889,164.1431,1.465,4604.354,146.532,1.428,0.3356,-1.66,0.1612,-0.329,0.2137,0.4187,0.023000000000000003,0.22100000000000003
Pristine_190432.18-311403.7,Field286.0-31.1,6757480301177266560,286.13408333333,-31.23436111111,141.3053,0.965,4757.307,164.897,2.091,0.3905,-1.888,0.1525,-0.398,0.2164,0.1379,-0.07500000000000001,-0.343
Pristine_190359.90-313523.7,Field286.0-31.1,6757396021043740288,285.99958333333,-31.58991666667,138.5162,1.812,4716.92,145.745,1.629,0.3429,-1.81,0.1428,-0.222,0.2136,0.3251,-0.28600000000000003,-0.253
Pristine_190322.59-302045.0,Field286.0-31.1,6760630131416675968,285.844125,-30.34583333333,128.3648,1.432,4629.313,165.703,1.763,0.3777,-1.524,0.1567,-0.559,0.2161,0.2849,-0.19700000000000004,-0.021
Pristine_190511.44-315423.9,Field286.0-31.1,6757372926994787328,286.29766666667,-31.90663888889,162.3373,1.698,5150.323,137.492,1.597,0.623,-2.773,0.1572,0.229,0.3124,0.3038,0.031000000000000003,-0.05500000000000001
Pristine_190538.42-305346.3,Field286.0-31.1,6757585652439282560,286.41008333333,-30.89619444444,152.2161,1.13,4682.266,154.096,1.533,0.367,-1.753,0.1489,-0.246,0.217,0.3541,0.165,0.18700000000000003
Pristine_190329.69-311019.1,Field286.0-31.1,6757470714804174336,285.87370833333,-31.17197222222,146.7047,1.634,4615.258,177.916,1.475,0.4089,-2.011,0.1657,-0.344,0.2489,0.403,0.015000000000000001,0.064
Pristine_190331.36-305905.2,Field286.0-31.1,6757499336468234624,285.88066666667,-30.98477777778,144.867,1.584,5066.906,149.818,2.061,0.4359,-1.756,0.1705,-0.67,0.2651,0.1549,0.12100000000000001,-0.029000000000000005
Pristine_190505.95-304442.6,Field286.0-31.1,6757603004107207040,286.27479166667,-30.74516666667,153.7379,1.095,4973.129,147.414,1.831,0.4172,-1.814,0.1597,-0.643,0.2566,0.2582,0.060000000000000005,0.007000000000000001
Pristine_190608.29-303835.1,Field286.0-31.1,6757607470873281024,286.53454166667,-30.64308333333,156.549,0.983,4774.568,147.223,1.496,0.4325,-2.272,0.1498,-0.537,0.2718,0.4238,0.037000000000000005,-0.068
Pristine_190155.13-305056.7,Field286.0-31.1,6760499014659496576,285.47970833333,-30.84908333333,123.5867,1.657,4735.261,147.303,1.932,0.3485,-1.536,0.1447,-0.296,0.2072,0.208,-0.19500000000000003,-0.14700000000000002
Pristine_190553.43-313542.7,Field286.0-31.1,6757409902378719488,286.472625,-31.59519444444,154.1073,1.346,5041.714,146.269,2.056,0.4645,-2.053,0.1527,-0.089,0.2373,0.1341,0.11500000000000002,0.062000000000000006
Pristine_190153.06-304156.3,Field286.0-31.1,6760501144963342464,285.47108333333,-30.69897222222,156.1427,1.235,4758.681,170.096,2.109,0.4089,-1.581,0.1598,-0.665,0.2209,0.1389,-0.08800000000000001,-0.001
Pristine_190538.53-305714.0,Field286.0-31.1,6757491472399603584,286.41054166667,-30.95388888889,142.4655,1.116,4608.051,164.24,1.331,0.3844,-1.7,0.1845,-0.405,0.2299,0.4216,0.067,0.014000000000000002
Pristine_190600.50-311806.9,Field286.0-31.1,6757432575502494976,286.50208333333,-31.30191666667,170.6522,1.342,4629.337,161.42,1.546,0.3782,-1.912,0.1564,-0.366,0.2292,0.3706,0.08600000000000001,-0.07600000000000001
Pristine_190139.56-313555.7,Field286.0-31.1,6757084064669360384,285.41483333333,-31.59880555556,171.0792,1.481,4805.084,158.793,1.858,0.4101,-1.977,0.1523,-0.211,0.2241,0.2157,-0.17300000000000001,0.012000000000000002
Pristine_190039.03-305042.5,Field286.0-31.1,6760540074548647040,285.162625,-30.84513888889,138.8931,1.083,4982.688,139.623,2.326,0.345,-1.511,0.1485,-0.365,0.2095,0.0614,0.30700000000000005,-0.11400000000000002
Pristine_190202.88-310051.1,Field286.0-31.1,6760480803998316928,285.512,-31.01419444444,149.6263,1.248,4653.752,141.084,1.36,0.3373,-1.681,0.1554,-0.381,0.2164,0.4577,0.05700000000000001,-0.07600000000000001
Pristine_190210.88-302402.1,Field286.0-31.1,6760584810929296896,285.54533333333,-30.40058333333,128.7019,1.947,4932.607,160.317,2.401,0.4236,-1.893,0.1604,-0.333,0.221,0.0505,0.17600000000000002,0.14200000000000002
Pristine_190636.22-314254.1,Field286.0-31.1,6757216869366073728,286.65091666667,-31.71502777778,147.0547,1.11,4800.033,157.535,1.798,0.3901,-1.712,0.149,-0.191,0.2161,0.2355,0.059000000000000004,-0.17400000000000002
Pristine_190207.19-315027.9,Field286.0-31.1,6757060395122193792,285.52995833333,-31.84108333333,120.629,1.468,4896.712,154.764,1.797,0.4199,-1.912,0.1517,-0.389,0.2406,0.2271,0.013000000000000001,-0.339
Pristine_190409.05-311117.3,Field286.0-31.1,6757481336276881024,286.03770833333,-31.18813888889,148.9589,1.486,4939.584,177.738,2.036,0.5271,-2.12,0.1674,-0.159,0.2564,0.1674,-0.24000000000000002,-0.23500000000000001
Pristine_190249.45-311318.1,Field286.0-31.1,6757472157913470464,285.70604166667,-31.22169444444,139.1328,1.557,4852.488,144.954,1.438,0.3861,-1.756,0.1481,-0.28,0.2345,0.3852,0.11200000000000002,-0.025
Pristine_190242.99-304208.1,Field286.0-31.1,6760522173124452480,285.679125,-30.70225,165.8062,1.318,4541.838,148.037,1.364,0.3511,-1.611,0.2715,-0.244,0.212,0.3757,-0.269,-0.08900000000000001
Pristine_190612.95-315228.5,Field286.0-31.1,6757191816814455168,286.55395833333,-31.87458333333,176.8806,1.71,4608.544,157.498,1.731,0.3633,-1.754,0.1549,-0.297,0.212,0.2701,0.17,0.036000000000000004
Pristine_190109.86-311742.0,Field286.0-31.1,6760096004974881792,285.29108333333,-31.295,134.6864,1.586,4786.674,150.162,1.672,0.3788,-1.824,0.1469,-0.246,0.2208,0.3076,0.18000000000000002,0.001
Pristine_190302.45-314212.9,Field286.0-31.1,6757065892680237824,285.76020833333,-31.70358333333,136.7416,1.812,4886.621,152.24,2.095,0.3811,-1.623,0.1522,-0.224,0.2128,0.1345,-0.09400000000000001,-0.23200000000000004
Pristine_190500.50-315122.7,Field286.0-31.1,6757374030810779264,286.25208333333,-31.85630555556,134.7178,1.92,4651.901,157.013,1.442,0.3609,-1.758,0.1559,-0.474,0.228,0.4353,-0.030000000000000002,-0.17900000000000002
Pristine_190511.60-305903.3,Field286.0-31.1,6757491811685838336,286.29833333333,-30.98425,135.5435,2.432,5127.537,173.019,3.098,0.6285,-2.575,0.1946,-0.459,0.3008,0.0107,0.11600000000000002,-0.09400000000000001
Pristine_185030.87-300537.5,Field282.0-29.8_Sag,6761168720335254144,282.628625,-30.09375,139.3167,1.027,5023.555,157.139,2.207,0.577,-2.375,0.1626,0.029,0.2389,0.1406,-0.21100000000000002,-0.002
Pristine_185039.03-292936.2,Field282.0-29.8_Sag,6761479706003597312,282.662625,-29.49338888889,131.5209,0.775,4855.154,185.424,1.923,0.4551,-1.573,0.1583,-0.256,0.2381,0.1912,-0.10700000000000001,0.281
Pristine_184431.86-293145.0,Field282.0-29.8_Sag,4071285193071973504,281.13275,-29.52916666667,137.4938,0.43,5038.878,187.775,2.355,0.6498,-2.223,0.1782,-0.399,0.2892,0.1077,0.48800000000000004,0.042
