HE 1054-0059   38 4601 100 1.19 0.27 0.37 -3.34 0.13 0.18 2.21 0.14 0.24
HE 1059-0118   49 5560 100 4.30 0.25 0.35 -2.81 0.12 0.18 1.28 0.18 0.28
HE 1100-0137   50 6101 100 4.25 0.32 0.42 -2.92 0.13 0.18 1.29 0.17 0.27
HE 1105+0027   43 6132 100 3.45 0.25 0.35 -2.42 0.13 0.19 1.52 0.14 0.24
HE 1120-0153  194 6191 100 4.09 0.24 0.34 -2.77 0.11 0.17 0.68 0.12 0.22
HE 1122-1429   44 5787 100 3.29 0.27 0.37 -2.65 0.13 0.18 1.54 0.15 0.25
HE 1124-2335   48 5226 100 2.68 0.26 0.36 -2.95 0.14 0.19 1.65 0.13 0.23
HE 1126-1735   46 5689 100 3.31 0.28 0.38 -2.69 0.13 0.18 1.55 0.15 0.25
HE 1127-1143   49 5224 100 2.64 0.25 0.35 -2.73 0.14 0.19 1.59 0.14 0.24
HE 1128-0823   65 5909 100 3.71 0.25 0.35 -2.71 0.13 0.18 1.49 0.13 0.23
HE 1131+0141   45 5236 100 2.98 0.25 0.35 -2.48 0.13 0.18 1.63 0.14 0.24
HE 1132+0125   50 5732 100 3.54 0.26 0.36 -2.42 0.11 0.18 1.41 0.13 0.23
HE 1132+0204   42 5046 100 2.25 0.25 0.35 -2.55 0.11 0.18 1.68 0.13 0.23
HE 1135+0139   47 5487 100 1.80 0.26 0.36 -2.33 0.13 0.18 2.66 0.12 0.22
HE 1135-0344   45 6154 100 4.03 0.31 0.41 -2.63 0.12 0.18 1.17 0.17 0.27
HE 1148-0037   76 5964 100 4.16 0.35 0.45 -3.47 0.13 0.18 0.81 0.20 0.30
HE 1207-2031   50 6281 100 4.40 0.30 0.40 -2.82 0.12 0.17 1.42 0.16 0.26
HE 1210+0048   49 6028 100 3.73 0.27 0.37 -2.28 0.11 0.18 1.56 0.14 0.24
HE 1210-1956   50 5790 100 3.30 0.27 0.37 -2.57 0.13 0.18 1.52 0.14 0.24
HE 1212-0127   30 4915 100 1.85 0.26 0.36 -2.15 0.13 0.19 1.87 0.14 0.24
HE 1214-1819   53 4916 100 1.88 0.26 0.36 -3.01 0.12 0.18 1.74 0.13 0.23
HE 1215+0149   35 5098 100 2.37 0.27 0.37 -2.90 0.13 0.19 1.48 0.14 0.24
HE 1217-0540   45 5700 100 4.20 0.27 0.37 -2.95 0.12 0.18 1.41 0.17 0.27
HE 1219-0312   46 5140 100 2.40 0.26 0.36 -2.81 0.12 0.18 1.54 0.13 0.23
HE 1221-0522   44 5789 100 4.04 0.28 0.38 -2.84 0.12 0.17 1.29 0.17 0.27
HE 1221-1948   57 6083 100 3.81 0.28 0.38 -3.36 0.13 0.18 1.65 0.15 0.25
HE 1222-0200   45 5288 100 2.72 0.26 0.36 -2.45 0.13 0.19 1.50 0.14 0.24
HE 1222-0336   46 6052 100 3.96 0.25 0.35 -2.04 0.11 0.17 1.30 0.14 0.24
HE 1225+0155  100 4842 100 1.80 0.23 0.33 -2.75 0.12 0.18 1.85 0.11 0.21
HE 1225-0515   41 6210 100 3.81 0.27 0.37 -1.96 0.13 0.18 1.35 0.15 0.25
HE 1230-1724   54 5952 100 3.98 0.24 0.34 -2.30 0.12 0.17 1.39 0.15 0.25
HE 1237-3103   48 4851 100 1.72 0.26 0.36 -2.91 0.13 0.18 2.04 0.13 0.23
HE 1243-1425   50 5507 100 3.19 0.26 0.36 -2.67 0.12 0.18 1.11 0.15 0.25
HE 1245-1616   47 6191 100 4.04 0.32 0.42 -2.98 0.13 0.18 1.53 0.17 0.27
HE 1246-1344   49 4853 100 1.65 0.27 0.37 -3.40 0.14 0.19 1.84 0.13 0.23
HE 1247-2114   54 5012 100 2.08 0.25 0.35 -2.61 0.12 0.18 1.67 0.12 0.22
HE 1248-1800   43 5288 100 2.92 0.27 0.37 -2.89 0.14 0.19 1.47 0.14 0.24
HE 1249-2932   56 4718 100 1.52 0.24 0.34 -2.65 0.13 0.18 2.09 0.12 0.22
HE 1249-3121   47 5373 100 3.40 0.30 0.40 -3.23 0.14 0.19 1.58 0.18 0.28
HE 1251-0104   53 5084 100 2.32 0.24 0.34 -2.73 0.13 0.18 1.58 0.13 0.23
HE 1252+0044   44 5296 100 2.98 0.29 0.39 -3.28 0.14 0.19 1.57 0.15 0.25
HE 1252-0117   53 4847 100 1.67 0.26 0.36 -2.89 0.11 0.18 1.88 0.13 0.23
HE 1254+0009   54 4865 100 1.86 0.25 0.35 -2.94 0.14 0.19 1.78 0.13 0.23
HE 1256-0228   48 4860 100 1.83 0.25 0.35 -2.07 0.12 0.20 1.69 0.13 0.23
HE 1256-0651   44 6137 100 4.05 0.28 0.38 -2.36 0.13 0.18 1.50 0.16 0.26
HE 1259-0621   44 5787 100 3.68 0.25 0.35 -2.64 0.13 0.18 1.60 0.14 0.24
HE 1300+0157   56 5411 100 3.38 0.34 0.44 -3.76 0.13 0.19 1.43 0.17 0.27
HE 1300-0641   44 5308 100 2.96 0.29 0.39 -3.14 0.13 0.18 1.59 0.15 0.25
HE 1300-0642   43 5173 100 2.68 0.27 0.37 -3.03 0.12 0.18 1.57 0.14 0.24
HE 1300-2201   52 6332 100 4.64 0.28 0.38 -2.61 0.11 0.17 1.34 0.15 0.25
HE 1300-2431   47 5029 100 1.96 0.27 0.37 -3.25 0.14 0.19 1.92 0.13 0.23
HE 1305-0331   46 6081 100 4.22 0.38 0.48 -3.26 0.13 0.18 1.58 0.19 0.29
HE 1311-1412   56 4796 100 1.50 0.25 0.35 -2.91 0.13 0.18 1.92 0.12 0.22
HE 1314-3036   82 4757 100 1.54 0.23 0.33 -2.99 0.12 0.18 1.88 0.11 0.21
HE 1320-1339  291 4935 100 1.69 0.22 0.32 -2.78 0.13 0.18 1.97 0.10 0.20
HE 1330-0354   47 6257 100 4.13 0.27 0.37 -2.29 0.12 0.18 1.49 0.15 0.25
HE 1330-0607   41 5094 100 2.30 0.24 0.34 -2.33 0.13 0.19 1.90 0.14 0.24
HE 1332-0309   38 5125 100 2.40 0.26 0.36 -2.46 0.13 0.18 1.64 0.14 0.24
HE 1333-0340   41 6053 100 4.18 0.31 0.41 -2.64 0.12 0.18 1.37 0.19 0.29
HE 1335+0135   50 5246 100 2.94 0.25 0.35 -2.47 0.12 0.18 1.34 0.13 0.23
HE 1337+0012  229 6141 100 4.25 0.27 0.37 -3.44 0.13 0.18 1.49 0.12 0.22
HE 1337-0453   50 5938 100 3.56 0.27 0.37 -2.34 0.13 0.18 1.62 0.13 0.23
HE 1343-0640   43 5942 100 3.97 0.25 0.35 -1.90 0.11 0.17 1.48 0.14 0.24
HE 1345-0206   34 5006 100 2.22 0.27 0.37 -2.82 0.14 0.19 1.65 0.14 0.24
HE 1351-1049   45 5204 100 2.85 0.26 0.36 -3.46 0.13 0.18 1.48 0.16 0.26
HE 1413-1954   48 6533 100 4.59 0.43 0.53 -3.22 0.12 0.17 1.40 0.16 0.26
HE 1419-1759   45 4809 100 1.63 0.25 0.35 -3.18 0.13 0.18 1.83 0.13 0.23
HE 1421-2006   49 5687 100 3.73 0.25 0.35 -2.65 0.12 0.18 1.33 0.14 0.24
HE 1430+0053   71 5201 100 2.74 0.24 0.34 -3.03 0.13 0.18 1.55 0.13 0.23
HE 1430-0026   53 5855 100 4.12 0.26 0.36 -2.79 0.11 0.17 1.38 0.14 0.24
HE 1430-1123   43 5915 100 3.75 0.29 0.39 -2.71 0.13 0.18 1.40 0.16 0.26
HE 1431-2142   53 6137 100 4.10 0.25 0.35 -2.60 0.13 0.18 1.55 0.14 0.24
HE 1500-1628   45 4994 100 2.10 0.25 0.35 -2.31 0.12 0.18 1.85 0.13 0.23
HE 2133-1432   46 5716 100 3.46 0.24 0.34 -2.02 0.12 0.18 1.46 0.13 0.23
HE 2134+0001   37 5257 100 3.00 0.25 0.35 -2.22 0.12 0.19 1.55 0.14 0.24
HE 2139-1851   83 4925 100 1.86 0.25 0.35 -3.25 0.13 0.18 1.78 0.12 0.22
HE 2143+0030   43 4688 100 1.50 0.25 0.35 -2.43 0.12 0.19 1.91 0.12 0.22
HE 2145-3025   26 5608 100 2.22 0.29 0.39 -2.69 0.14 0.19 2.47 0.15 0.25
HE 2150-0825   39 5960 100 3.67 0.26 0.36 -1.98 0.12 0.18 1.57 0.15 0.25
HE 2151-2858   42 5598 100 4.14 0.25 0.35 -2.38 0.11 0.18 1.39 0.15 0.25
HE 2153-2719   73 4898 100 2.01 0.23 0.33 -2.49 0.12 0.18 1.80 0.12 0.22
HE 2154-2838   44 5303 100 3.18 0.25 0.35 -1.85 0.12 0.19 1.46 0.14 0.24
HE 2155+0136   37 5331 100 3.22 0.25 0.35 -2.07 0.12 0.19 1.23 0.15 0.25
HE 2156-3130   60 4692 100 1.28 0.26 0.36 -3.13 0.13 0.18 1.93 0.13 0.23
HE 2158-3112   85 4843 100 1.85 0.23 0.33 -2.75 0.12 0.18 1.85 0.11 0.21
HE 2200-2030   40 5870 100 3.42 0.27 0.37 -2.00 0.12 0.18 1.64 0.15 0.25
HE 2201-0637   43 4976 100 2.21 0.25 0.35 -2.61 0.11 0.18 1.69 0.13 0.23
HE 2204-1703   36 4932 100 1.87 0.27 0.37 -2.79 0.12 0.18 1.84 0.13 0.23
HE 2206-2245   45 5100 100 2.45 0.25 0.35 -2.73 0.12 0.18 1.70 0.13 0.23
HE 2216-0621   42 4671 100 1.27 0.27 0.37 -3.23 0.13 0.18 2.02 0.12 0.22
HE 2216-1548   75 5154 100 1.73 0.24 0.34 -1.70 0.14 0.20 2.69 0.12 0.22
HE 2217-0706   45 4497 100 1.01 0.24 0.34 -2.56 0.12 0.19 2.13 0.12 0.22
HE 2217-1523   48 4847 100 1.82 0.25 0.35 -2.62 0.13 0.19 1.81 0.13 0.23
HE 2219-0713   55 4789 100 1.68 0.25 0.35 -2.91 0.12 0.18 1.64 0.13 0.23
HE 2221-4150   53 5887 100 4.06 0.24 0.34 -2.03 0.11 0.17 1.41 0.14 0.24
HE 2222-4156   51 5537 100 3.27 0.24 0.34 -2.73 0.12 0.18 1.44 0.14 0.24
HE 2224+0143   88 5198 100 2.66 0.24 0.34 -2.58 0.12 0.18 1.67 0.12 0.22
HE 2224-4103   49 5074 100 2.32 0.25 0.35 -2.64 0.12 0.17 1.75 0.12 0.22
HE 2226-4102   49 5140 100 2.43 0.26 0.36 -2.87 0.13 0.19 1.73 0.13 0.23
HE 2227-4044   49 5811 100 3.85 0.25 0.35 -2.32 0.11 0.17 1.40 0.14 0.24
HE 2228-3806   50 5175 100 2.62 0.27 0.37 -3.07 0.13 0.18 1.65 0.14 0.24
HE 2229-4153   74 5138 100 2.47 0.24 0.34 -2.62 0.12 0.18 1.79 0.12 0.22
HE 2231-0622   22 5211 100 2.90 0.27 0.37 -2.12 0.13 0.19 1.50 0.15 0.25
HE 2234-0521   34 5332 100 3.15 0.25 0.35 -2.78 0.13 0.18 1.39 0.15 0.25
HE 2238-2152   48 5427 100 3.28 0.25 0.35 -2.40 0.12 0.18 1.46 0.13 0.23
HE 2240-0412   30 5852 100 4.33 0.29 0.39 -2.20 0.12 0.18 1.30 0.18 0.28
HE 2242-1930   33 5281 100 2.99 0.26 0.36 -2.21 0.13 0.19 1.81 0.15 0.25
HE 2243-0151   41 6113 100 3.88 0.25 0.35 -1.61 0.11 0.18 1.65 0.14 0.24
HE 2244-1503   46 5122 100 2.57 0.25 0.35 -2.88 0.12 0.18 1.52 0.13 0.23
HE 2247-3705   57 5366 100 3.04 0.24 0.34 -2.27 0.12 0.18 1.48 0.12 0.22
HE 2248-3345   53 5011 100 2.11 0.25 0.35 -2.74 0.12 0.18 1.71 0.13 0.23
HE 2250-2132   54 5705 100 3.69 0.25 0.35 -2.22 0.12 0.18 1.43 0.13 0.23
HE 2252-4157   70 5090 100 2.87 0.24 0.34 -1.93 0.12 0.18 1.55 0.12 0.22
HE 2252-4225   68 4708 100 1.53 0.24 0.34 -2.83 0.12 0.18 1.92 0.12 0.22
HE 2258-3456   51 4988 100 1.55 0.26 0.36 -2.97 0.12 0.18 2.00 0.13 0.23
HE 2259-3407   54 6266 100 4.32 0.26 0.36 -2.29 0.11 0.17 1.37 0.15 0.25
HE 2301-4024   55 5743 100 3.76 0.25 0.35 -2.11 0.11 0.17 1.60 0.13 0.23
HE 2301-4126   55 5841 100 3.66 0.26 0.36 -2.37 0.13 0.19 1.53 0.14 0.24
HE 2304-4153   58 4663 100 1.01 0.26 0.36 -3.02 0.12 0.18 2.12 0.12 0.22
HE 2311+0129   58 5188 100 2.65 0.25 0.35 -2.78 0.12 0.18 1.54 0.12 0.22
HE 2314-1554   52 5139 100 2.62 0.27 0.37 -3.27 0.13 0.18 1.73 0.14 0.24
HE 2319-0852   36 4724 100 1.36 0.27 0.37 -3.38 0.13 0.18 1.97 0.14 0.24
HE 2325-0755   57 5665 100 3.17 0.27 0.37 -2.85 0.13 0.18 1.48 0.13 0.23
HE 2326+0038   54 5145 100 2.51 0.24 0.34 -2.77 0.13 0.19 1.62 0.13 0.23
HE 2327-5642   69 5048 100 2.22 0.25 0.35 -2.95 0.12 0.18 1.69 0.12 0.22
HE 2329-3702   38 6060 100 3.72 0.28 0.38 -2.16 0.12 0.18 1.65 0.15 0.25
HE 2333-1358   40 5020 100 2.15 0.29 0.39 -3.34 0.13 0.18 1.57 0.15 0.25
HE 2334-0604   72 4820 100 1.51 0.25 0.35 -3.41 0.13 0.18 2.15 0.11 0.21
HE 2335-5958B  37 5765 100 3.24 0.28 0.38 -2.33 0.13 0.18 1.63 0.14 0.24
HE 2338-1311   20 5582 100 3.50 0.28 0.38 -2.86 0.13 0.18 1.27 0.18 0.28
HE 2338-1618   40 5515 100 3.38 0.27 0.37 -2.65 0.12 0.18 1.43 0.16 0.26
HE 2345-1919   44 5617 100 4.46 0.25 0.35 -2.46 0.12 0.18 1.47 0.16 0.26
HE 2347-1254   80 6132 100 3.95 0.24 0.34 -1.83 0.13 0.18 1.67 0.12 0.22
HE 2347-1334   81 4453 100 0.95 0.24 0.34 -2.55 0.12 0.19 2.38 0.11 0.21
HE 2347-1448   43 6162 100 3.98 0.27 0.37 -2.31 0.12 0.18 0.84 0.17 0.27
